[00:00:40.903 --> 00:00:41.743]  Good evening, everyone.
[00:00:41.783 --> 00:00:43.784]  Welcome to the Infowars Nightly News.
[00:00:43.944 --> 00:00:44.925]  I'm Darren McBreen.
[00:00:45.045 --> 00:00:46.766]  It is Friday, November 30th, 2012.
[00:00:47.106 --> 00:00:49.547]  Here's a look at what's coming up.
[00:00:53.191 --> 00:00:59.973]  Tonight on the Info Wars Nightly News, present-day mind control looks back at its Sirhan Sirhan roots.
[00:01:00.713 --> 00:01:02.854]  Then, put a wolf in the hen house?
[00:01:02.874 --> 00:01:05.755]  Warren Buffett seems to think it's a great idea.
[00:01:05.775 --> 00:01:09.756]  And fly the zero privacy obligation skies.
[00:01:10.136 --> 00:01:12.217]  The FAA wants your privacy.
[00:01:12.937 --> 00:01:16.258]  All that and more coming up on the Info Wars Nightly News.
[00:01:28.123 --> 00:01:36.088]  You know, a trained psychiatric professional can put someone under hypnosis and tell them to commit certain acts very easily.
[00:01:36.988 --> 00:01:47.715]  For example, Sirhan Sirhan, who was blamed for the murder of Robert Kennedy, he was put under hypnosis several times by a psychiatrist in his jail cell.
[00:01:48.155 --> 00:01:50.057]  Where he reenacted the murder.
[00:01:50.357 --> 00:01:53.720]  I mean, they had him under complete hypnosis in under 10 minutes.
[00:01:54.041 --> 00:01:56.183]  And this was back in 1969.
[00:01:56.583 --> 00:02:04.390]  So you can imagine what government psychiatrists can do with mind control subjects and government patsies in our era.
[00:02:04.650 --> 00:02:08.174]  In fact, it looks like another shadow patsy has risen.
[00:02:08.554 --> 00:02:12.658]  And this time the mind control is connected to gun control.
[00:02:13.476 --> 00:02:24.442]  And of course, I am talking about the Batman massacre in Aurora, Colorado, which has resulted in damaging consequences on our struggle for gun rights.
[00:02:24.922 --> 00:02:38.850]  And recently, an alleged inmate of the Batman massacre culprit, James Holmes, he claims that the shooter told him he was programmed to carry out the massacre by an evil therapist.
[00:02:39.290 --> 00:02:49.899]  Now I know this sounds like sci-fi movie or something straight out of Hollywood, but look, the CIA's use of mind control to create killers is a matter of historical record.
[00:02:50.279 --> 00:02:52.822]  So it's not sci-fi, it is a fact.
[00:02:53.282 --> 00:03:07.434]  We know about MKUltra, the covert and illegal CIA human research program, which according to 14-year CIA veteran Victor Marchetti, the MKUltra program is still ongoing and has never really been abandoned.
[00:03:08.490 --> 00:03:13.154]  So was James Holmes, the Batman shooter, a victim of mind control?
[00:03:13.514 --> 00:03:16.296]  Was he a modern-day Manchurian candidate?
[00:03:16.916 --> 00:03:21.160]  For more on this, we go now to a special report by David Knight.
[00:03:23.621 --> 00:03:25.443]  I'm David Knight with the InfoWars Nightly News.
[00:03:26.083 --> 00:03:29.926]  Now yesterday, two related stories broke on the Drudge Report and elsewhere nationally.
[00:03:30.226 --> 00:03:35.010]  The first one was from InfoWars.com, and it talked about an update to the Batman shooter killings.
[00:03:35.672 --> 00:03:41.013]  Now, in that update, an inmate was told by James Holmes that he was programmed to kill by an evil therapist.
[00:03:41.173 --> 00:03:42.594]  He felt like he was in a video game.
[00:03:42.694 --> 00:03:45.694]  And he said music from the soundtrack was a trigger for him to kill.
[00:03:45.714 --> 00:03:49.895]  Now, the other story concerns the death of a CIA scientist in 1953.
[00:03:49.935 --> 00:03:58.197]  Now, both sides agree that Dr. Frank Olson died from a fall through a closed window with the curtains drawn at the high-rise Statler Hotel.
[00:03:58.657 --> 00:04:05.139]  They also agree that he was given, nine days earlier, a brandy that was laced with LSD in a CIA meeting.
[00:04:05.740 --> 00:04:13.827]  But after 60 years, Frank Olson's family has filed suit alleging that the CIA murdered their father because he was going to resign.
[00:04:13.927 --> 00:04:14.707]  Why would he resign?
[00:04:15.328 --> 00:04:20.732]  Because he was horrified by the biological and chemical experiments that he had witnessed while working at the CIA.
[00:04:21.730 --> 00:04:29.977]  Now, a 2009 book titled, A Terrible Mistake, The Murder of Frank Olson and the CIA's Secret Cold War Experiments, by H.P.
[00:04:30.197 --> 00:04:41.988]  Albarelli, does an excellent job of chronicling not only the death of Dr. Olson, but the key roles that Nazi war criminals and Japanese war criminals played in developing these programs for the CIA.
[00:04:42.328 --> 00:04:49.234]  It also discusses the origins of the MKULTRA program and the assassination programs that the CIA created
[00:04:49.834 --> 00:04:50.554]  At that time.
[00:04:50.934 --> 00:04:56.556]  Now, one of the problems I have with the book is that it takes the naive position that these experiments have stopped.
[00:04:57.216 --> 00:04:57.456]  Really?
[00:04:57.476 --> 00:05:00.717]  Do we really have a kinder and gentler CIA?
[00:05:01.117 --> 00:05:01.437]  Well, yes.
[00:05:01.657 --> 00:05:09.400]  20 years after Dr. Olson's murder, some of the dark secrets of the CIA were revealed during the Church Committee as well as the Rockefeller Commission hearings.
[00:05:09.840 --> 00:05:14.641]  You may recall then-director of the CIA, William Colby, demonstrating a heart attack gun.
[00:05:14.821 --> 00:05:18.142]  This is the Chairman, and a special one was developed which
[00:05:18.866 --> 00:05:21.747]  But the CIA and many in power at the time were very angry about that.
[00:05:21.847 --> 00:05:23.308]  And William Colby was replaced by George H.W.
[00:05:24.049 --> 00:05:24.229]  Bush.
[00:05:31.542 --> 00:05:35.385]  The Olson family had, at that time, been looking for justice for 20 years.
[00:05:36.046 --> 00:05:39.748]  And in the background, some familiar names were obstructing that justice.
[00:05:40.129 --> 00:05:45.132]  Donald Rumsfeld was then the White House Chief of Staff, and Dick Cheney was a White House assistant.
[00:05:45.413 --> 00:05:54.119]  And it was discovered 10 years ago by a history researcher in the President Ford Library that the two of them were conspiring in memos to cover up Dr. Frank Olson's death.
[00:05:54.360 --> 00:05:57.362]  This is what they found in a memo between Dick Cheney and Don Rumsfeld.
[00:05:57.802 --> 00:06:03.946]  The Olson lawyers will seek to explore all the circumstances of Dr. Olson's employment, as well as those concerning his death.
[00:06:04.566 --> 00:06:16.493]  In any trial, it may become apparent that we're concealing evidence for national security reasons, and any settlement or judgment reached thereafter could be perceived as money paid to cover up the activities of the CIA.
[00:06:16.693 --> 00:06:20.536]  Well, in fact, they did pay money to the Olson family during the Ford administration.
[00:06:21.316 --> 00:06:24.418]  It was kind of hush money, but what the family really wanted was justice.
[00:06:24.638 --> 00:06:26.259]  What the family really wanted was truth.
[00:06:27.000 --> 00:06:28.961]  And there hasn't been a change of heart at the CIA.
[00:06:28.981 --> 00:06:32.261]  There really wasn't even a change of regime and power.
[00:06:32.441 --> 00:06:35.662]  Rumsfeld and Cheney were still players at the time of September 11th.
[00:06:35.942 --> 00:06:38.023]  And the Bushes had significant ties to bin Laden.
[00:06:38.043 --> 00:06:46.765]  Now the book, A Terrible Mistake, does a great job of laying out the ruthless origins of these assassination and mind control programs, as well as biological and chemical weapons.
[00:06:47.345 --> 00:06:57.951]  ...does a great job of explaining to people who may not have understood the origins of these programs and the parts that war criminals from Nazi Germany and from Japan played in this.
[00:06:58.211 --> 00:07:01.093]  But over the years, they have not backed off from these programs.
[00:07:01.153 --> 00:07:08.497]  Instead, they've continued to refine these programs so that today, they're more adept at hiding them, as well as more sophisticated technologically.
[00:07:10.502 --> 00:07:11.263]  We're good to go.
[00:07:31.869 --> 00:07:40.758]  Just as they experimented and killed scientists who worked with them 60 years ago, they still experiment and use scientists who work with them like James Holmes, the Batman shooter.
[00:07:41.699 --> 00:07:43.961]  I'm David Knight for InfoWars Knightly News.
[00:07:46.613 --> 00:08:05.987]  And you know, after watching that report by David Knight, I thought it would be interesting to talk to an expert on mind control, and we are now joined by the author of Controlling the Human Mind, the Technologies of Political Control, or Tools for Peak Performance.
[00:08:06.548 --> 00:08:08.730]  Welcome to the program, Dr. Nick Begich.
[00:08:09.350 --> 00:08:10.311]  Hey, thanks for having me.
[00:08:10.331 --> 00:08:15.915]  It's always good to be with you folks, and I wish everyone well this holiday and Christmas season.
[00:08:16.744 --> 00:08:29.467]  Well, thanks for joining us, and I wanted to get your opinion on the allegations that are being made by an alleged inmate of the Batman shooter James Holmes, who claims that he was a victim of mind control.
[00:08:30.825 --> 00:08:34.228]  Well, you know, that's interesting because this comes up often.
[00:08:34.449 --> 00:08:45.279]  In fact, the idea of what film has called the Manchurian Candidate actually is a concept that was developed by the Central Intelligence Agency.
[00:08:45.379 --> 00:08:51.145]  In fact, it goes back to work starting in the 1920s with a gentleman named Estabrook.
[00:08:51.205 --> 00:08:52.186]  And Dr. Estabrook
[00:08:52.826 --> 00:08:53.627]  I think so.
[00:09:22.481 --> 00:09:34.069]  Well, yeah, and there's also a lot of similarities between the Batman shooter and, for example, Sirhan Sirhan, who was, you know, the patsy, if you will, for the murder of Robert Kennedy.
[00:09:34.589 --> 00:09:38.812]  Both of these guys were described as behaving as if they were in a trance.
[00:09:39.793 --> 00:09:43.395]  They can't recall the events of the shooting.
[00:09:43.996 --> 00:09:50.160]  And, you know, both of them have eyewitnesses that reported that there was more than one gunman on the scene.
[00:09:50.820 --> 00:09:52.981]  And what about the use of drugs?
