[00:00:00.129 --> 00:00:07.975]  So... Big Brother.
[00:00:08.616 --> 00:00:09.677]  Mainstream media.
[00:00:10.397 --> 00:00:11.678]  Government cover-ups.
[00:00:12.139 --> 00:00:12.979]  You want answers?
[00:00:13.720 --> 00:00:14.701]  Well, so does he.
[00:00:15.281 --> 00:00:18.884]  He's Alex Jones on the GCN Radio Network.
[00:00:19.484 --> 00:00:23.548]  And now, live from Austin, Texas, Alex Jones.
[00:00:25.262 --> 00:00:29.946]  I'll guarantee you it's an intelligence operation to infiltrate and set up these men.
[00:00:30.887 --> 00:00:36.191]  General who sent thousands of inappropriate emails to women who reported harassment by Petraeus' mistress.
[00:00:36.211 --> 00:00:39.334]  You got the FBI spying on the CIA director?
[00:00:39.574 --> 00:00:40.815]  Give me a break, ladies and gentlemen.
[00:00:40.835 --> 00:00:41.616]  That's off the charts.
[00:00:42.821 --> 00:00:47.085]  We're going to be breaking that down with Dr. Steve Pachinick coming up, getting his take on what's really going on.
[00:00:47.125 --> 00:00:48.306]  He personally knows Petraeus.
[00:00:48.947 --> 00:00:51.810]  Goes to the CFR and called out General Dempsey.
[00:00:51.850 --> 00:00:56.274]  He said there wouldn't be an Iran attack because the Joint Chiefs had told Israel there wouldn't be.
[00:00:57.094 --> 00:01:00.738]  I respect what he has to say, but we're going to try to flesh it all out.
[00:01:01.258 --> 00:01:03.340]  Coming up, this is going to be some pretty powerful radio.
[00:01:03.740 --> 00:01:05.682]  Gary in New York, you're on the air.
[00:01:05.782 --> 00:01:06.663]  Thanks for holding, sir.
[00:01:07.043 --> 00:01:08.625]  Are you celebrating Obama's victory?
[00:01:09.736 --> 00:01:10.237]  No, sir.
[00:01:10.377 --> 00:01:10.898]  No, I'm not.
[00:01:10.958 --> 00:01:11.999]  I'm a true patriot.
[00:01:12.800 --> 00:01:14.383]  First off, God bless you and your staff.
[00:01:14.423 --> 00:01:15.785]  I appreciate all you guys do.
[00:01:16.045 --> 00:01:16.425]  Thank you.
[00:01:16.445 --> 00:01:26.199]  You know, I was thinking, maybe this, before I get on my Obamunoids, pushing Obamunism statement, possibly this
[00:01:27.826 --> 00:01:29.867]  The Petraeus thing could be a blessing in disguise.
[00:01:30.167 --> 00:01:32.709]  Maybe, you know, start some things up.
[00:01:33.449 --> 00:01:35.970]  Possibly get Obama maybe in some trouble.
[00:01:36.651 --> 00:01:39.152]  Well, my gut is, this is what they did with Nixon and others.
[00:01:39.592 --> 00:01:44.775]  When somebody goes into a second term, they're dangerous to even the establishment because they're not facing re-election.
[00:01:45.055 --> 00:01:49.998]  And if a president ever tried to actually act like a president, and not just a total puppet, they have to assassinate him.
[00:01:50.398 --> 00:01:53.920]  But they don't like that either, because people won't buy that anymore, like Kennedy.
[00:01:54.320 --> 00:01:56.461]  So instead what they do is they destroy it with a scandal.
[00:01:56.741 --> 00:02:03.986]  But they don't like scandals that deal with corporate corruption, so they usually get you with a sex scandal, like Clinton and Monica Lewinsky.
[00:02:05.207 --> 00:02:08.329]  And again, I was no fan of Bill Clinton, but that was all part and parcel of that.
[00:02:08.349 --> 00:02:17.236]  The Republicans wouldn't go after him, you know, for the missile secrets of Laura Allen Hughes, the Communist Chinese, or the death of Commerce Secretary Ron Brown.
[00:02:17.536 --> 00:02:20.638]  They went after him on a sex thing, because that's isolated to just that.
[00:02:22.179 --> 00:02:24.481]  And that's probably what's going to end up happening here.
[00:02:24.501 --> 00:02:26.022]  I think it's a balance of power thing.
[00:02:26.702 --> 00:02:27.243]  That's happening.
[00:02:27.263 --> 00:02:30.026]  But again, we know this is a big scandal.
[00:02:30.286 --> 00:02:31.748]  We know it's bigger than what they're saying.
[00:02:31.768 --> 00:02:33.450]  We know it's an intelligence operation.
[00:02:33.690 --> 00:02:35.052]  We know they knew about Benghazi.
[00:02:35.092 --> 00:02:36.013]  We know they lied about it.
[00:02:36.293 --> 00:02:37.615]  The question is who's behind it?
[00:02:37.675 --> 00:02:38.516]  What are the real players?
[00:02:38.796 --> 00:02:39.817]  What's the outcome going to be?
