[00:00:06.038 --> 00:00:07.880]  Ladies and gentlemen,
[00:00:28.533 --> 00:00:30.715]  It is Monday, the 23rd day of July 2012.
[00:00:30.795 --> 00:00:38.602]  We're going to be live here for the next three hours, breaking down all of the amazing developments unfolding worldwide.
[00:00:40.563 --> 00:00:47.629]  Yesterday we posted a Lou Rockwell article that's now in the featured archive of Infowars.com.
[00:00:48.610 --> 00:00:51.753]  Just click on the top stories link at the top of Infowars.com.
[00:00:52.634 --> 00:01:00.520]  Dealing with the other post-Colorado shooting rampage, and the police had shot a citizen, the neighborhood came out.
[00:01:01.221 --> 00:01:03.722]  And was saying, you know, angrily, why'd you do this?
[00:01:03.742 --> 00:01:08.083]  So the police opened fire on him with rubber bullets that can kill you at close range.
[00:01:08.903 --> 00:01:23.548]  And the footage, because I hadn't watched it until this morning, I just saw the article and read it, has police releasing police dogs on women with babies in their arms and baby strollers and walking up and shotgunning.
[00:01:24.168 --> 00:01:26.329]  And I've seen this in Portland, Oregon.
[00:01:27.942 --> 00:01:38.625]  They had an anti-war demonstration, the police kettled it, it was peaceful and attacked it, and they come over to the baby in a baby carriage, that's like the favorite thing to target, and spray the babies in the face, and the mother's like, why are you doing that?
[00:01:38.645 --> 00:01:40.466]  And says, well, you shouldn't bring a baby to a protest.
[00:01:41.666 --> 00:01:51.589]  So, this is the type of just insanity that we see going on in some areas of this country.
[00:01:52.609 --> 00:01:55.090]  Now, in the aftermath of the shooting,
[00:01:58.840 --> 00:02:05.685]  There, in Colorado, we've seen all the surrogates of Obama come out and call for restrictions of the Second Amendment.
[00:02:06.366 --> 00:02:09.908]  But now Obama himself is suggesting he's not going to go after your guns.
[00:02:10.308 --> 00:02:16.693]  And the Council on Foreign Relations came out with a report yesterday, Kurt Nimmo wrote about it, saying, look, this treaty won't restrict your guns, go back to sleep.
[00:02:16.733 --> 00:02:22.638]  Kind of like, Obama won't sign the NDAA, he won't hire any lobbyists, you know, he won't do this and that, but then he did.
[00:02:22.958 --> 00:02:26.600]  That's their standard tactic, is to get people into
[00:02:27.581 --> 00:02:30.084]  A false sense of security and then come after your rights.
[00:02:30.524 --> 00:02:36.711]  They want to get this treaty through because it does shine us under UN law, but they want to just later implement it.
[00:02:36.731 --> 00:02:40.395]  It's kind of like Obama said, yeah, I signed the NDAA, but I won't implement it.
[00:02:41.416 --> 00:02:41.717]  Maybe.
[00:02:43.735 --> 00:02:45.275]  So we've got all that happening.
[00:02:45.896 --> 00:03:00.820]  Also, we've got another article posted up at Infowars.com of that video that happened early last week, or the video got released early last week, it happened a few weeks ago, with the people in the internet cafe and the two guys coming with masks and guns to rob them.
[00:03:01.440 --> 00:03:07.042]  And an old man gets up with a .25 Cal and starts, with precision, knowing what he's doing, shooting them.
[00:03:07.402 --> 00:03:10.143]  They turn tail and run, and he chases them out the door.
[00:03:11.386 --> 00:03:21.489]  And of course, that article that you need to circulate to everybody is up at InfoWars.com.
[00:03:21.529 --> 00:03:24.770]  So please, please get it out to everybody.
[00:03:25.250 --> 00:03:27.870]  I'm looking for the exact headline.
[00:03:27.910 --> 00:03:29.831]  Yeah, it's in Featured News down towards the bottom.
[00:03:30.151 --> 00:03:31.611]  How to Stop a Massacre.
