[00:00:00.009 --> 00:00:01.450]  Alex Jones Broadcasting Network.
[00:00:10.935 --> 00:00:13.016]  Waging war on corruption.
[00:00:13.216 --> 00:00:15.116]  Alright, here I go.
[00:00:15.316 --> 00:00:20.978]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:21.598 --> 00:00:24.919]  Are we seeing the earth?
[00:00:24.959 --> 00:00:29.060]  We've got it.
[00:00:29.200 --> 00:00:30.801]  Are we seeing the earth now?
[00:00:31.041 --> 00:00:33.542]  We've got it.
[00:00:34.582 --> 00:00:35.284]  I don't know.
[00:00:44.422 --> 00:00:45.343]  Yes, we do.
[00:00:45.703 --> 00:00:57.711]  I'm Alex Jones coming to you from the historic Lakewood Theatre here in Dallas, Texas, where I'm going to be premiering a still unnamed 45-minute documentary that's powerful.
[00:00:58.211 --> 00:01:05.236]  And right before we went live here, I was still trying to think of what is the name of this new film that we're going to premiere this evening.
[00:01:05.516 --> 00:01:08.718]  I've got to think of a name by the time that I actually get on air.
[00:01:09.538 --> 00:01:12.120]  So that is coming up today.
[00:01:12.140 --> 00:01:15.501]  We're going to have Jim Mars showing up here in the next 30 minutes or so.
[00:01:15.942 --> 00:01:22.225]  And he's scheduled to be with us in studio, or here on the road, in the second hour.
[00:01:22.945 --> 00:01:32.671]  We have one of the people that was on the show, Preppers, on the Nat Geo channel.
[00:01:33.743 --> 00:01:35.745]  He's going to be on the broadcast with us.
[00:01:35.785 --> 00:01:41.709]  He, of course, had his guns confiscated just because he went to visit the doctor for some chest pains.
[00:01:42.210 --> 00:01:45.432]  And they said, well, we're just going to go ahead and take your firearms away from you.
[00:01:45.873 --> 00:01:51.237]  So we've got Kurt Haskell, Jim Mars, and others joining us today.
[00:01:51.257 --> 00:01:55.521]  In fact, Kurt Haskell, who just a few days ago at the sentencing of the
[00:01:57.245 --> 00:02:01.907]  Underwear bomber who was put on the aircraft on Christmas Day by the US government.
[00:02:02.327 --> 00:02:11.690]  At the sentencing Kurt Haskell was able to expose to the world that this was basically a Patsy setup and a false flag inside job operation.
[00:02:11.750 --> 00:02:20.233]  So he is going to be joining us coming up right after this break that is about to happen here in just one moment.
[00:02:21.193 --> 00:02:29.435]  We will also, of course, get into some of the latest news and developments at Infowars.com.
[00:02:30.235 --> 00:02:30.595]  U.N.
[00:02:30.695 --> 00:02:35.697]  guidelines are recruiting religious leaders as agents of change for a one-world religion.
[00:02:36.197 --> 00:02:37.777]  That's official by the U.N.
[00:02:37.797 --> 00:02:43.039]  They're openly announcing world government, world taxation, world regulation, world agenda 21, the end of the family.
[00:02:43.939 --> 00:02:48.780]  Also, drug stores are pushing all different types of poison, including fluoridated
[00:02:48.780 --> 00:02:49.321]  We're good to go.
[00:03:06.943 --> 00:03:24.403]  We're just simply stating Al-Qaeda is even worse and they claim we should give up all our rights because of Al-Qaeda and let the TSA fondle all of us to keep us safe is absolutely patently ridiculous to a level that I can't even begin to fathom or imagine.
[00:03:25.004 --> 00:03:26.405]  So it's all coming up today.
[00:03:26.506 --> 00:03:27.106]  Kurt Haskell
[00:03:27.987 --> 00:03:34.088]  Then the gentleman on top of that from the show Hoarders is also going to be joining us.
[00:03:34.848 --> 00:03:37.669]  I had some notes here and I had his name written on a cocktail napkin.
[00:03:38.129 --> 00:03:40.110]  That's my big prep for the guest here today.
[00:03:40.870 --> 00:03:42.010]  But it's David Sardi.
[00:03:42.050 --> 00:03:45.011]  And of course we wrote an article about that earlier in the week.
[00:03:45.371 --> 00:03:50.872]  And it's gotten no media coverage basically even though it was a big national TV show that his guns have been confiscated.
[00:03:53.177 --> 00:03:53.257]  I'm
[00:04:15.533 --> 00:04:15.893]  We're good to go.
[00:04:31.565 --> 00:04:33.145]  Here in Dallas, Texas.
[00:04:33.285 --> 00:04:37.706]  And unfortunately, all of the tickets have sold out.
[00:04:38.066 --> 00:04:40.207]  They were holding like 5% back at the door.
[00:04:40.827 --> 00:04:42.067]  And those have all sold out.
