[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[00:00:13.598 --> 00:00:17.802]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:18.463 --> 00:00:19.284]  You want answers?
[00:00:20.065 --> 00:00:20.965]  Well, so does he.
[00:00:21.626 --> 00:00:25.330]  He's Alex Jones on the GCN Radio Network.
[00:00:25.850 --> 00:00:29.954]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.407 --> 00:00:36.028]  Welcome to the Alex Jones Show!
[00:00:36.488 --> 00:00:45.190]  It is another Monday, and this is Mike Adams filling in for Alex today, who is no doubt still working today because he just never stops working.
[00:00:45.950 --> 00:00:51.272]  We've got an incredible lineup of news for you here today, breaking news on several fronts.
[00:00:52.012 --> 00:00:56.653]  We've got some hard-hitting guests joining us, including in the third hour, a U.S.
[00:00:56.753 --> 00:00:58.774]  Army medic who was court-martialed
[00:00:59.494 --> 00:01:06.961]  For refusing vaccines, but even going through the legal process in the military to have a religious exemption to those vaccines.
[00:01:07.722 --> 00:01:11.305]  He was threatened with being fragged, among other things.
[00:01:11.345 --> 00:01:12.546]  He's going to join us in the third hour.
[00:01:13.107 --> 00:01:15.889]  In the second hour, we're joined by John Rappaport.
[00:01:16.590 --> 00:01:30.040]  From nomorefakenews.com to just, we are going to tear into the breaking news now about the drug companies and the fraud and the bribery and the spiked vaccine test results.
[00:01:30.100 --> 00:01:32.021]  We now have evidence.
[00:01:33.001 --> 00:01:33.361]  We're good.
[00:01:53.519 --> 00:01:56.080]  Allegations which were filed in a false claims act.
[00:01:56.220 --> 00:01:57.581]  It's now a matter of public record.
[00:01:57.881 --> 00:02:08.445]  They say that Merck actually, through their actions, contributed to the spread of infectious disease and thereby allowed them to sell more vaccines because the disease was spreading.
[00:02:08.825 --> 00:02:17.149]  Gee, we're vindicated yet again here in the alternative media, which is becoming the new mainstream media, the only truth-telling media left on the planet, it seems.
[00:02:17.389 --> 00:02:19.350]  We've got that story coming up in the second hour.
[00:02:19.930 --> 00:02:29.134]  Also, here in the first hour, I've got a review of the new video just put out yesterday by Alex Jones and the InfoWars crew, Humanity's Greatest Secret.
[00:02:29.494 --> 00:02:38.818]  I'm going to talk about that and tell you why that is such a big deal and why the big picture perspective here is so on target to what really matters.
[00:02:38.838 --> 00:02:42.500]  We are talking about the future of human civilization.
[00:02:42.520 --> 00:02:47.142]  It's why we've got to defeat the tyranny, we've got to defeat the globalists, we've got to defeat the
[00:02:47.782 --> 00:02:53.968]  The genetic intervention of the future of life on Earth, because the very future of humanity is at stake.
[00:02:54.308 --> 00:02:57.231]  And I'll tell you why, coming up in the bottom of this first hour.
[00:02:57.271 --> 00:03:00.413]  But before then, now, some of the breaking news today.
[00:03:00.433 --> 00:03:01.014]  Check this out.
