[00:00:00.348 --> 00:00:00.875]  You've got it!
[00:00:07.479 --> 00:00:11.861]  Waging war on corruption.
[00:00:11.861 --> 00:00:18.143]  It's Alex Jones coming to you live from the front lines of the InfoWar.
[00:00:18.143 --> 00:00:21.484]  Are we seeing the earth?
[00:00:21.484 --> 00:00:23.765]  We've got it.
[00:00:23.765 --> 00:00:27.487]  Are we seeing the earth now?
[00:00:27.487 --> 00:00:30.068]  We've got it.
[00:00:39.249 --> 00:00:51.394]  All right, we've got another extremely important broadcast lined up for you today.
[00:00:51.394 --> 00:00:58.137]  And we are going to be here for the next two hours.
[00:00:58.137 --> 00:01:02.879]  It is, of course, Sunday, the 12th day of February, 2012.
[00:01:08.857 --> 00:01:12.138]  And yes, I'll get into Whitney Houston dead.
[00:01:12.138 --> 00:01:16.660]  And it looks like it's from prescription drugs.
[00:01:16.660 --> 00:01:18.740]  And we'll go over some of the numbers.
[00:01:18.740 --> 00:01:22.121]  Prescription drugs, of course, kill a lot more people than illegal drugs do.
[00:01:22.121 --> 00:01:26.843]  There's different numbers out there, but it dwarfs them by more than 10 to 1 conservatively.
[00:01:28.032 --> 00:01:39.882]  Prescription drugs are one of the most dangerous things out there and not just the ones that supposedly get you high like opiates and some of the speed drugs out there like Adderall and Ritalin.
[00:01:39.882 --> 00:01:50.812]  No, it's just regular prescription drug interactions and even over-the-counter prescription drug interactions that we are talking about.
[00:01:52.895 --> 00:01:56.376]  And so we're going to be breaking all of that down today.
[00:01:56.376 --> 00:02:21.027]  Also, if you've wondered why they fired people like Glenn Beck at Fox News and why they have gotten rid of Freedom Watch and why you see people like the chipmunk who's got a weekend show coming out and endorsing Obama and saying he's a Christian and a man of the Lord.
[00:02:22.188 --> 00:02:23.489]  And then Obama's a great guy.
[00:02:23.489 --> 00:02:33.700]  It's because Rupert Murdoch is clearly being blackmailed by the criminal, gun-running, drug-dealing, money-laundering Justice Department.
[00:02:33.700 --> 00:02:44.131]  And there have now been a bunch more arrests made in England, and there's open talk of Rupert Murdoch being arrested, his son being arrested, who runs News Corp over in the UK, and a lot more.
[00:02:45.529 --> 00:02:49.634]  Of course, Mike Huckabee, I call him the chipmunk.
[00:02:49.634 --> 00:02:51.817]  I guess that's kind of my nickname for him.
[00:02:51.817 --> 00:02:58.825]  Kind of like my nickname for Janet Napolitano is Mr. Napolitano or Janet Dung Beetle Napolitano.
[00:02:58.825 --> 00:03:01.488]  So I shouldn't just address her as the Dung Beetle.
[00:03:01.488 --> 00:03:02.850]  Some people won't know what I'm talking about.
[00:03:02.850 --> 00:03:04.632]  The fake conservative chipmunk.
[00:03:05.592 --> 00:03:09.593]  They're to pacify libertarians and conservatives and Christians.
[00:03:09.593 --> 00:03:12.234]  Huckabee, of course, is saying how great Obama is.
[00:03:12.234 --> 00:03:13.875]  You're going to see a lot more of that.
[00:03:13.875 --> 00:03:15.475]  You're going to hear a lot more of that.
[00:03:15.475 --> 00:03:19.117]  Because it's all a mutual blackmail society.
[00:03:19.117 --> 00:03:23.178]  And yeah, News Corp is basically a private intelligence gathering operation.
[00:03:23.178 --> 00:03:25.539]  Always has been.
[00:03:25.539 --> 00:03:31.121]  And now British Arrest 8, an inquiry about Murdoch tabloid, paying off police.
[00:03:32.301 --> 00:03:37.304]  Which is just standard procedure for dirt and wiretaps and things.
[00:03:37.304 --> 00:03:40.667]  Who do you think puts wiretaps on your house for the tabloids?
[00:03:40.667 --> 00:03:46.071]  The Chinese jet pilot from the moon or the Keebler elves?
[00:03:46.071 --> 00:03:50.854]  Continuing here, a Sun journalist arrested as bribe probe widens.
[00:03:50.854 --> 00:03:53.616]  Rupert Murdoch's own Wall Street Journal reports.
[00:03:53.616 --> 00:03:56.118]  And now Murdoch's on a plane over there right now.
[00:03:56.118 --> 00:03:59.640]  News Corp faces renewed threat of prosecution in U.S.
[00:03:59.640 --> 00:04:00.721]  following Sun threats.
[00:04:01.946 --> 00:04:10.009]  And so that's why Fox News isn't covering Fast and Furious and all that white Peruvian flake the Justice Department's been caught shipping in.
[00:04:10.009 --> 00:04:12.190]  You know, that's in the federal courts.
[00:04:12.190 --> 00:04:13.991]  They've declared national security.
[00:04:13.991 --> 00:04:15.311]  That's all hiding in plain view.
[00:04:15.311 --> 00:04:19.113]  Chicago Tribune, El Paso Times, other papers have reported it.
[00:04:19.113 --> 00:04:27.196]  Murder for hire, eight federal agencies bringing drugs in, shipping guns all over the U.S., not just to Mexico, but also Honduras.
[00:04:27.196 --> 00:04:31.278]  So it's just different branches of mafia fighting with each other.
[00:04:32.441 --> 00:04:35.845]  We've got all of that coming up for you today as well.
[00:04:35.845 --> 00:04:43.134]  And we have an amazing guest on Agenda 21 that I'll tell you about after this quick break.
[00:04:43.134 --> 00:04:43.835]  We'll be right back.
[00:04:43.835 --> 00:04:44.256]  Stay with us.
[00:04:59.238 --> 00:05:06.461]  A little over a year ago, I began to do a lot of research into why, even though I had a pretty good-sized meal, that I was still starving.
[00:05:06.461 --> 00:05:24.350]  And my research led me to a well-known fact that most of the soils that we grow our crops on here in the United States and across the industrialized world are almost completely depleted of almost all of the key minerals and trace elements that our bodies need to rebuild themselves, fight off cancer, and be healthy.
[00:05:24.350 --> 00:05:28.452]  I then searched out the best vitamin and mineral company out there.
[00:05:28.932 --> 00:05:38.659]  The longevity products are designed to give you the real nutrition you need, and once you've got that, you don't have to eat as much to be satisfied.
[00:05:38.659 --> 00:05:44.983]  I've lost 37 pounds in two months simply getting the vitamins and minerals I need.
[00:05:44.983 --> 00:05:46.264]  Check it out for yourself.
[00:05:46.264 --> 00:05:47.144]  It's incredible.
[00:05:47.144 --> 00:05:56.351]  Go to Infowarsteam.com today and order your first canister of Beyond Tangy Tangerine Complete Multivitamin Mineral Complex Dietary Supplement.
[00:05:56.351 --> 00:05:58.232]  That's Infowarsteam.com.
[00:06:03.378 --> 00:06:09.966]  You are listening to an InfoWars.com Frontline Report.
[00:06:09.966 --> 00:06:13.890]  If you are receiving this transmission, you are the Resistance.
[00:06:21.474 --> 00:06:32.637]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:32.637 --> 00:06:35.077]  Alright, every broadcast is important.
[00:06:35.077 --> 00:06:36.698]  The weekday show from 11 a.m.
[00:06:36.698 --> 00:06:37.338]  to 2 p.m.
[00:06:37.338 --> 00:06:42.459]  Central, the Sunday transmission from 4 to 6 Central, they're all important.
[00:06:43.951 --> 00:07:01.017]  But I had read some of this lady's articles over the years and found them to be very spot on with a full spectrum understanding of how the global corporations have set up the United Nations to bring in a global fascist dictatorship.
[00:07:01.017 --> 00:07:03.978]  And they pose as if they're liberal and trendy.
[00:07:03.978 --> 00:07:09.260]  Conservatives act like they're against the UN and are always saying, get us out of the UN.
[00:07:09.260 --> 00:07:12.381]  But it was actually the Pentagon, it was actually the US government
[00:07:13.109 --> 00:07:18.456]  That set up the United Nations in 1945.
[00:07:18.456 --> 00:07:23.343]  So it's special corporate interests that have already taken over America and are taking over the world.
[00:07:23.343 --> 00:07:26.587]  They've set up the UN to be that new global government.
[00:07:27.415 --> 00:07:35.939]  And Ban Ki-moon, the head of the UN, of course, a week ago was all over the news, called for global government and a global tax and a global court and a global army.
[00:07:35.939 --> 00:07:37.579]  It's already all in place.
[00:07:37.579 --> 00:07:42.501]  Ruth Bader Ginsburg and four other justices in one week all made announcements.
[00:07:42.501 --> 00:07:47.804]  She's a former justice, but four current justices all came out and said, get rid of the Constitution.
[00:07:48.524 --> 00:07:51.866]  The New York Times came out and bad-mouthed it and said, get rid of it.
[00:07:51.866 --> 00:07:59.491]  Time Magazine, Newsweek, USA Today, CNN, ABC News, all in the last two weeks said, ditch it.
[00:07:59.491 --> 00:08:05.855]  I mean, I was walking by newsstands and just saw it all over the place when I was at Barnes & Noble a week ago.
[00:08:05.855 --> 00:08:13.360]  Went home, search engine, you know, dumped the Constitution, get rid of the Constitution, and there were hundreds of articles.
[00:08:13.360 --> 00:08:15.442]  That was the globalist PR release.
[00:08:16.823 --> 00:08:21.488]  You can see, you know, they're paid talking heads, you can see the talking points.
[00:08:21.488 --> 00:08:24.091]  And it's come out there are major talking points.
[00:08:24.091 --> 00:08:31.059]  They got talking points that returning veterans are going to start staging terror attacks, and that returning veterans are the main enemy.
[00:08:31.059 --> 00:08:37.246]  I told you that back when it was secret and we got documents from FBI, federal marshals, and state police across the country.
[00:08:38.067 --> 00:08:43.592]  Three years ago, government said, well, that's internal, you shouldn't have it, but admitted it was real.
[00:08:43.592 --> 00:08:48.256]  Now they're doing the rollout that domestic groups are going to stage terror attacks.
[00:08:48.256 --> 00:08:54.322]  That means they're getting ready to pull the trigger and carry out the staged events to be blamed on us.
[00:08:54.322 --> 00:08:58.326]  Again, the PR rollout is everything you need to know.
[00:08:59.449 --> 00:09:05.515]  In the PR rollout that's always targeting dumbed down, unconscious people that buy whatever they're told.
[00:09:05.515 --> 00:09:07.036]  If you're awake, it's ridiculous.
[00:09:07.036 --> 00:09:08.698]  It's like writing on the wall.
[00:09:08.698 --> 00:09:11.401]  It's like a bullhorn siren.
[00:09:11.401 --> 00:09:16.305]  It's like completely crystal clear for someone who's even half awake.
[00:09:16.305 --> 00:09:22.752]  But remember, they're targeting 60 to 70 percent of the public that's still in a dreamlike state.
[00:09:24.537 --> 00:09:34.199]  Just believing whatever they're told, thinking the government loves them and wants to kiss them on the head at night, who don't know the government's been hijacked by a kleptocracy.
[00:09:34.199 --> 00:09:35.020]  Sad issue.
[00:09:35.020 --> 00:09:41.381]  The point is, is that Rosa Corey is going to be joining us coming up.
[00:09:41.381 --> 00:09:44.102]  She's executive director of the Post Sustainability Institute.
[00:09:44.102 --> 00:09:49.103]  She's a forensic commercial real estate appraiser specializing in eminent domain.
[00:09:49.103 --> 00:09:52.544]  And that's how in the last decade she discovered it's all UN Agenda 21.
[00:09:53.837 --> 00:09:57.639]  Austin, Texas openly admits they're under Agenda 21.
[00:09:57.639 --> 00:09:59.460]  They're openly putting up little U.N.
[00:09:59.460 --> 00:10:02.701]  signs at the hike and bike trail entrances now.
[00:10:02.701 --> 00:10:03.702]  I didn't even know this.
[00:10:03.702 --> 00:10:12.666]  I hadn't been to a hike and bike trail in a couple years because I always go to, you know, just the side of the highway and enter hike and bike trails wherever I feel like it.
[00:10:12.666 --> 00:10:17.348]  But I actually went to one a few months ago and used a regular entrance and there were all these U.N.
[00:10:17.348 --> 00:10:20.950]  groups, signs up, basically stating it's their territory.
[00:10:22.030 --> 00:10:23.812]  They've got UN biospheres.
[00:10:23.812 --> 00:10:33.279]  They're, under the new system, going to be tearing up existing roads, shutting off the highway exits to rural areas.
[00:10:33.279 --> 00:10:34.100]  It's already begun.
[00:10:34.100 --> 00:10:39.024]  The NAFTA superhighways, the Trans-Texas Corridor, eminent domain.
[00:10:39.024 --> 00:10:41.606]  It is a total takeover of our society.
[00:10:41.606 --> 00:10:44.588]  Ties in to the North American Union.
[00:10:44.588 --> 00:10:48.472]  It's in all the Security Prosperity Partnership documents.
[00:10:48.472 --> 00:10:49.352]  The New York Times.
[00:10:50.433 --> 00:10:53.899]  Of course, came out demonizing
[00:10:55.014 --> 00:11:09.943]  People, earlier in the week, who talk about Agenda 21, and they admit that, oh my gosh, the public's waking up to the UN Agenda 21, but they're conspiracy theorists because they don't want the UN system running their local towns and cities.
[00:11:09.943 --> 00:11:22.591]  They don't deny it's taking over, they just say you're a conspiracy theorist for not liking the UN taking over your local government through regionalism, and it's designed to shut down the family farms, drive everybody into the cities,
[00:11:23.331 --> 00:11:31.758]  It's official UN maps that have been out for more than 15 years that show more than half the United States off limits to human activity.
[00:11:31.758 --> 00:11:40.525]  We're going to be breaking all of that down today in the second hour with our guest.
[00:11:40.525 --> 00:11:46.089]  In fact, she joins us after the 45 break when we come back at 45 after.
[00:11:46.089 --> 00:11:50.773]  She's going to be joining us because I read some of her work and I knew that she was spot on.
[00:11:50.773 --> 00:11:51.954]  She's written a book
[00:11:53.496 --> 00:12:05.003]  Behind the green mask, the whole fake green movement's about land grabbing, power grabbing, nothing to do with sensible environmental laws and things.
[00:12:05.003 --> 00:12:13.048]  It's all a neo-feudalistic excuse for centralized megacorporations that control governments to take control of our society.
[00:12:15.263 --> 00:12:19.264]  And when you read the New York Times article again, they don't deny it's happening.
[00:12:19.264 --> 00:12:25.065]  They just say, oh my gosh, these people are starting to fight us at the local level and turn this back.
[00:12:25.065 --> 00:12:26.226]  It's terrible.
[00:12:26.226 --> 00:12:31.327]  I mean, the UN's great, and this is for the earth.
[00:12:31.327 --> 00:12:40.789]  But hearing her on the radio, see, I've read some of her articles, but hearing her on the radio the other day, I heard her on a local Austin station.
[00:12:42.645 --> 00:12:58.253]  I was driving home and listened to her for about 30 minutes and then I sat there in the parking lot at my house even though I wanted to go in and see my family for about 30 minutes listening to her just riveted because I'd never heard anyone tie it all together.
[00:12:58.253 --> 00:12:59.974]  I'd separately done all the research.
[00:12:59.974 --> 00:13:02.315]  I knew everything she was saying was true.
[00:13:03.197 --> 00:13:04.417]  And accurate.
[00:13:04.417 --> 00:13:09.799]  But I'd never heard anybody really put it all together, just how hellish this is.
[00:13:09.799 --> 00:13:19.222]  This covert, creeping takeover through the zoning boards, the state zoning boards, the highway departments, seizing the entire infrastructure.
[00:13:19.222 --> 00:13:23.203]  And then here I live in Austin, the worst city
[00:13:24.344 --> 00:13:25.404]  East of California.
[00:13:25.404 --> 00:13:27.825]  California has fully fallen to this.
[00:13:27.825 --> 00:13:29.485]  Total feudalism.
[00:13:29.485 --> 00:13:32.246]  20 plus percent yearly carbon taxes.
[00:13:32.246 --> 00:13:33.227]  Home inspections.
[00:13:33.227 --> 00:13:36.527]  They're saying no future single-family dwellings.
[00:13:36.527 --> 00:13:39.348]  Germany now has passed this as law.
[00:13:39.348 --> 00:13:39.868]  I'm not kidding.
[00:13:39.868 --> 00:13:40.589]  Look it up.
[00:13:40.589 --> 00:13:43.769]  Dirk Spiegel says how great it is.
[00:13:43.769 --> 00:13:44.730]  Carbon taxes.
[00:13:44.730 --> 00:13:46.130]  Carbon rationing.
[00:13:46.130 --> 00:13:52.672]  The only city to totally be implementing this at a more disgusting level is Austin.
[00:13:54.993 --> 00:14:18.629]  And they just come in and openly get in everyone's face and say, under Agenda 21, and there it is from the United Nations website, you just type in agenda21un.org and you'll be on their site as they admit global government, global tax, but then separately they have the ADL, Southern Poverty Law Center, and others
[00:14:19.645 --> 00:14:23.708]  Coming out and saying we're kooks, we're crazy, we're nuts.
[00:14:23.708 --> 00:14:26.631]  It doesn't exist.
[00:14:26.631 --> 00:14:27.871]  Understand that.
[00:14:27.871 --> 00:14:38.180]  It's all happening, world government being announced, run by six megabanks that created 1,500 plus trillion in fraudulent paper, bought up the world through fraud.
[00:14:38.180 --> 00:14:44.565]  Now they're imploding it to consolidate control and buy up everything on pennies of the dollar and having us bail out their system.
[00:14:45.714 --> 00:14:55.259]  With hundreds of trillions of dollars to prop it up, while lecturing us that we've got to have our taxes raised and our standard of living dropped to pay off our debts.
[00:14:55.259 --> 00:15:13.929]  All planned, all official, and they have all these traitorous organizations here in the United States that pose as the arbiters of all information, calling those of us that read the official UN plans and see it being implemented, we are the enemy.
[00:15:15.376 --> 00:15:20.178]  And part of UNESCO and the UN program is the federalization of police worldwide.
[00:15:20.178 --> 00:15:23.379]  Because once they're under federal control, they can be internationalized.
[00:15:23.379 --> 00:15:27.520]  And they have all the major police departments doing joint training with foreign police departments.
[00:15:27.520 --> 00:15:30.221]  And being able to go and arrest people in Japan.
[00:15:30.221 --> 00:15:33.962]  And then Japanese police can come to Austin and arrest people here.
[00:15:33.962 --> 00:15:36.663]  So we're gonna have her on coming up.
[00:15:36.663 --> 00:15:39.164]  We got big Ron Paul news first.
[00:15:39.944 --> 00:15:45.029]  Then news on, of course, Whitney Houston dead from prescription drugs.
[00:15:45.029 --> 00:15:47.792]  Much more deadly than even illegal drugs.
