[00:00:06.513 --> 00:00:06.696]  All right.
[00:00:41.421 --> 00:00:43.241]  Welcome to the InfoWars Nightly News.
[00:00:43.321 --> 00:00:44.322]  I'm your host, Rob Dew.
[00:00:44.622 --> 00:00:46.923]  And today's date is Thursday, August 16, 2012.
[00:00:47.383 --> 00:00:50.724]  And here's a look at the Power Pack show we have for you coming up.
[00:00:53.663 --> 00:01:00.589]  Tonight, the Pentagon is developing humanoid robots to perform evacuation operations.
[00:01:01.170 --> 00:01:08.457]  Then, an Oxford professor says that genetically engineering ethical babies is a moral obligation.
[00:01:08.877 --> 00:01:20.494]  Plus, Megadeth frontman Dave Mustaine is coming under fire for suggesting that the Obama administration could have been responsible for the Batman massacre.
[00:01:21.034 --> 00:01:24.379]  That's up next on the InfoWars Nightly News.
[00:01:36.769 --> 00:01:38.570]  So we have a big show lined up for you today.
[00:01:39.030 --> 00:01:42.611]  In case you were listening to the Alex Jones Radio Show, you noticed we had a lot of big guests.
[00:01:42.631 --> 00:01:54.355]  We had Richard Belzer, Christopher Walken, and at the end of the show we played an interview from Dave Mustaine where he wanted to clarify some remarks he made that were from a concert when he was over in Europe.
[00:01:54.375 --> 00:01:58.816]  And we posted the article, Dave Mustaine, Obama staged Batman massacre.
[00:01:59.913 --> 00:02:02.874]  And so we got a couple quotes here, basically what he said on stage.
[00:02:03.234 --> 00:02:11.217]  So he's staging all these murders, like the Fast and Furious thing down on the border, Aurora, Colorado, all the people were killed there, and now the beautiful people at the Sikh temple.
[00:02:11.697 --> 00:02:18.359]  I don't know where I'm going to live if America keeps going that way, because it's going to look like it's turning into Nazi Germany.
[00:02:19.099 --> 00:02:30.988]  Mustaine has been savaged by numerous media outlets for his comments, despite the fact that the Fast and Furious program, which saw the Obama administration put guns directly into the hands of Mexican drug cartels, has led to the murders of hundreds of people.
[00:02:31.388 --> 00:02:33.390]  And Dave Mustaine is not the only guy to say this.
[00:02:33.430 --> 00:02:36.192]  We had Larry Pratt on the show, who said the exact same thing.
[00:02:36.252 --> 00:02:37.353]  He actually brought out the numbers.
[00:02:37.593 --> 00:02:41.416]  There's about 400 people that have been killed that are directly tied to Fast and Furious.
[00:02:42.177 --> 00:02:45.099]  And that doesn't even count the ones we don't know about.
[00:02:46.344 --> 00:02:49.986]  Or the amount of guns that we've shipped down there that are going to be involved in future murders.
[00:02:50.086 --> 00:02:55.268]  And that's all done by Eric Holder, the Obama administration, people on his watch.
[00:02:55.348 --> 00:02:59.790]  So when Dave Mustaine was saying Obama, he's talking about the entire administration.
[00:03:00.210 --> 00:03:04.912]  And what he did actually, we shot our interview in this studio where he came on, and here's the article.
[00:03:05.573 --> 00:03:06.513]  It's exclusive.
[00:03:06.813 --> 00:03:10.555]  Dave Mustaine clarifies Obama's stage shooting statement.
[00:03:11.435 --> 00:03:15.538]  And, basically, you look at it and, you know, it goes into it.
[00:03:15.578 --> 00:03:20.481]  There's the video right there that we shot in the studio during the radio show.
[00:03:20.841 --> 00:03:25.844]  And we're going to go to that radio, or we're going to go to that interview right now, that video of it.
[00:03:26.005 --> 00:03:31.908]  It's about seven minutes long, but it shows you, it's got Dave clarifying what he meant when he said Obama.
[00:03:32.149 --> 00:03:35.130]  He's meaning Obama at large, the entire administration.
[00:03:35.511 --> 00:03:40.314]  And then also, right after that, we go to the comments that Larry Pratt made just a few days later.
[00:03:40.934 --> 00:03:49.762]  After we aired the interview, it was a radio interview that Dave and Alex did back on the 20th of July, if I remember correctly.
[00:03:50.102 --> 00:03:52.624]  Then we had Larry Pratt on, and he said the exact same thing.
[00:03:53.004 --> 00:03:56.227]  And so what Dave was saying, he goes, I was just saying what Larry Pratt was saying.
[00:03:56.567 --> 00:04:02.072]  And if you think I'm bad, why don't you talk to Larry Pratt, because here's a very well-respected guy in the Second Amendment community.
[00:04:02.412 --> 00:04:05.695]  He's come out and said that Fast and Furious was staged by the government.
[00:04:05.956 --> 00:04:06.837]  We all know that.
[00:04:06.877 --> 00:04:07.757]  The memos have come out.
[00:04:07.838 --> 00:04:12.702]  They wanted to demonize the Second Amendment and they were looking for reasons to go after the Second Amendment.
[00:04:13.023 --> 00:04:18.128]  So when we have these staged shootings, we need to look at the number one suspect, which is the government.
[00:04:18.468 --> 00:04:20.170]  They're the ones who have something to gain from this.
[00:04:21.107 --> 00:04:29.457]  You know, gun owners like myself and other people out there do not have anything to gain from supporting mass shootings or having mass shootings out there.
[00:04:29.697 --> 00:04:30.398]  We don't want this.
[00:04:30.638 --> 00:04:31.639]  This is not something we want.
[00:04:31.659 --> 00:04:33.041]  This is not what the Second Amendment is about.
[00:04:33.061 --> 00:04:35.463]  The Second Amendment is about protecting you from the government.
[00:04:35.984 --> 00:04:39.228]  So the government is the only one that has any interest in taking away your guns.
[00:04:39.639 --> 00:04:41.882]  This was going on the same time as the U.N.
[00:04:42.462 --> 00:04:43.924]  report, the U.N.
[00:04:43.964 --> 00:04:45.045]  treaty that they were going to sign.
[00:04:45.065 --> 00:04:49.330]  This was a couple days before, actually, the Aurora massacre.
[00:04:49.350 --> 00:04:57.979]  And then you have the Sikh temple shooting, both of which you've got different witnesses saying different things, saying they saw multiple shooters, gas canisters being thrown from different directions.
[00:04:58.060 --> 00:05:00.763]  There's photos of gas masks.
[00:05:01.303 --> 00:05:04.485]  And then a photo of a gas mask that has a knife next to it.
[00:05:04.505 --> 00:05:08.126]  And then the next photo, the knife is gone from the gas mask.
[00:05:08.306 --> 00:05:08.987]  All kinds of stuff.
[00:05:09.007 --> 00:05:13.009]  We're actually going to play a little bit later after we play this video.
[00:05:13.749 --> 00:05:18.631]  John Bound did a great piece on just covering the gambit of the Aurora massacre.
[00:05:18.971 --> 00:05:24.254]  So first we're going to play this video with Dave Mustaine and Alex Jones, which then goes into a Larry Pratt interview.
[00:05:28.257 --> 00:05:32.840]  And joining us on the phone line is the founder of Megadeth, Dave Mustaine.
[00:05:33.480 --> 00:05:49.990]  He wants to clarify and respond to the huge international story that has broken in the last 24 hours concerning his comments taken out of context at an overseas concert concerning the tragic shootings in the last month here in the United States.
[00:05:50.290 --> 00:05:51.410]  Dave, thanks for being with us.
[00:05:52.291 --> 00:05:53.071]  You're welcome, Alex.
[00:05:53.171 --> 00:05:53.872]  It's good to be with you.
[00:05:54.457 --> 00:06:00.289]  Dave, they are certainly attacking the First Amendment and trying to basically twist what you've said from a concert.
[00:06:00.789 --> 00:06:02.914]  What did you really mean by what you said, Dave?
[00:06:03.632 --> 00:06:27.644]  Well, look, first off, it's good to be with you, Alex, and to clarify things, no one can deny that there were criminal rogues in the administration, and it was CBS News got the memos, Congress has the information, and basically Larry Pratt, the head of Gun Owners of America, who's a highly respected person, said that if they would stage Fast and Furious, they'd be capable of staging anything,
[00:06:28.522 --> 00:06:30.944]  And it was all done to blame the Second Amendment.
[00:06:31.044 --> 00:06:32.624]  We'd be fools not to look at this.
[00:06:33.005 --> 00:06:34.005]  You know, our U.S.
[00:06:34.045 --> 00:06:36.066]  Border Patrol agents were killed.
[00:06:36.667 --> 00:06:38.648]  And like I said, I was just quoting Larry Pratt.
[00:06:39.448 --> 00:06:39.809]  That's it.
[00:06:39.889 --> 00:06:40.369]  Bottom line.
[00:06:41.801 --> 00:06:43.662]  I wonder why they're not attacking Larry.
[00:06:43.722 --> 00:06:54.566]  He's been in the news, he's been on my show, but he's been in major newspapers saying, look, thousands died in Mexico, hundreds in the U.S., border patrol agents, police officers, and as you said, you've done your homework.
[00:06:55.046 --> 00:07:00.248]  CBS News, months ago, got the memos where they said they were going to blame the Second Amendment.
[00:07:00.708 --> 00:07:03.589]  So I think you're clarifying, though, with that criminal rogue statement that
[00:07:04.309 --> 00:07:06.111]  You're saying, we don't know Obama.
[00:07:06.611 --> 00:07:08.653]  When we say Obama, we mean the administration.
[00:07:09.113 --> 00:07:14.678]  I mean, clearly, people in the administration, and they won't release the rest of the documents they're covering up, they did do this.
[00:07:14.959 --> 00:07:16.360]  They did stage a false flag.
[00:07:17.060 --> 00:07:18.262]  So is that what you're clarifying?
[00:07:18.302 --> 00:07:21.565]  That you're saying somebody in the administration could have been behind this?
[00:07:22.307 --> 00:07:23.348]  Right.
[00:07:23.368 --> 00:07:29.875]  In the heat of the moment when you're on stage and you're talking, sometimes you're not as eloquent as you'd like to be.
[00:07:29.955 --> 00:07:33.279]  But like I said, I was just quoting what Larry said.
[00:07:34.778 --> 00:07:43.240]  You know, we really need to investigate this, and we need to have the Attorney General release the documents and find out who's responsible for this.
[00:07:43.280 --> 00:07:50.522]  People died, you know, and the democratic process is, let's investigate, let's find out what's going on here.
[00:07:50.922 --> 00:08:00.784]  I love our country, you know, and I respect... And, you know, my whole thing with this is that I think we should just look into it.
[00:08:01.562 --> 00:08:15.374]  Well, I'm going to air this here on the radio, Dave, and I'm going to add to it the fact that a bunch of Democratic strategists have said on Hardball, but also in memos, that a mass shooting would help them, quote, reconnect with the public.
[00:08:15.454 --> 00:08:20.339]  And we were talking just last week on the phone, when you were overseas with me, we were talking about
