[00:00:04.380 --> 00:00:05.734]  I'm good.
[00:00:40.776 --> 00:00:42.797]  It's Thursday, August 23rd, 2012.
[00:00:42.838 --> 00:00:51.505]  I'm Alex Jones, and this is another special, original edition of InfoWars Nightly News.
[00:00:51.906 --> 00:00:52.546]  Straight ahead!
[00:00:55.765 --> 00:01:01.346]  Tonight, on the Info Wars Nightly News, Alex charges the front line with three powerful patriots.
[00:01:01.686 --> 00:01:09.648]  First, John Whitehead, attorney for decorated Marine Brandon Robb, who was detained in a psychiatric ward, had this to say about Brandon's treatment.
[00:01:09.688 --> 00:01:10.988]  This morning, Brandon called me.
[00:01:11.468 --> 00:01:13.048]  He said, John, I'm freaked out.
[00:01:13.108 --> 00:01:13.788]  I said, what's wrong?
[00:01:13.808 --> 00:01:15.449]  Because he's really usually so relaxed.
[00:01:15.489 --> 00:01:18.009]  He said, a psychiatrist just visited me.
[00:01:18.469 --> 00:01:20.349]  And he said, I'm going to brainwash you.
[00:01:20.930 --> 00:01:22.930]  And I'm going to force medications on you.
[00:01:23.530 --> 00:01:24.230]  I'm coming back.
[00:01:25.011 --> 00:01:28.993]  Also, Steve Pichanik closes the book on the new SEAL Team 6 story.
[00:01:29.353 --> 00:01:36.096]  New Info Warrior, the Bionic, Dan Bodondi, steps into the ring to reveal how he plans to make the globalists tap out.
[00:01:36.536 --> 00:01:39.577]  And Texas Judge prepares for civil war if Obama's re-elected.
[00:01:39.837 --> 00:01:42.899]  All that and more, coming up on the Info Wars Nightly News.
[00:01:53.231 --> 00:01:55.955]  Welcome back to this extended edition tonight.
[00:01:55.995 --> 00:01:58.820]  Dr. Steve Pachenik with Breaking News is going to be joining us again.
[00:01:59.481 --> 00:02:01.484]  The head of the Rutherford Institute with
[00:02:02.239 --> 00:02:07.181]  Very chilling news dealing with the First Amendment, people being arrested for their speech all over the country.
[00:02:08.301 --> 00:02:10.962]  He confirmed in our earlier interview that analysis.
[00:02:10.982 --> 00:02:23.887]  We're going to have Dan Bodondi here in a moment do the first part of the news, and then I'm going to interview him a bit dealing with assaults on children by the globalists through their government re-education brainwashing camps.
[00:02:24.400 --> 00:02:24.860]  Thank you, Alex.
[00:02:47.094 --> 00:02:49.176]  Prepare for civil war, prepare for U.N.
[00:02:49.196 --> 00:02:54.920]  troops marching on our streets, says Judge Tom Head of Lubbock County.
[00:02:55.460 --> 00:03:04.467]  Reactions continue, this is off a CBS article, stating that reactions continue after a Texas leader issued a public warning for what he calls a civil war.
[00:03:05.127 --> 00:03:06.787]  And a possible invasion of U.N.
[00:03:06.867 --> 00:03:11.148]  troops if President Barack Obama, Barry Sotoro, is re-elected.
[00:03:11.888 --> 00:03:18.930]  Leavitt County Judge Tom Head is convinced that Mr. Obama winning the second term will lead to a revolt by the American people.
[00:03:19.490 --> 00:03:24.391]  And he's pushing a tax increase for the district's attorney office and the Leavitt County Sheriff's Department.
[00:03:24.951 --> 00:03:30.352]  He says the money is needed to beef up its sources in case President Obama wins a November election.
[00:03:30.936 --> 00:03:34.698]  Now, in light of the story here, I see this coming.
[00:03:34.798 --> 00:03:36.999]  I mean, people are sick of Obama.
[00:03:37.039 --> 00:03:38.340]  They're sick of the Obama administration.
[00:03:38.380 --> 00:03:43.983]  But unfortunately, people are not, all people are not aware of the right-wing, left-wing paradigm.
[00:03:44.323 --> 00:03:49.126]  They're going to go for the Mitt Romney, for the great conservative Christian of Paul Ryan.
[00:03:52.185 --> 00:03:55.368]  This is our false pretense of right versus left.
[00:03:55.828 --> 00:03:58.311]  And, you know, they're beefing up the American patriots.
[00:03:58.331 --> 00:04:00.393]  I mean, you see patriot groups rising all over the place.
