[00:00:00.646 --> 00:00:01.707]  You got it.
[00:00:01.707 --> 00:00:07.552]  This transmission is coming to you.
[00:00:07.552 --> 00:00:09.814]  Waging war on corruption.
[00:00:09.814 --> 00:00:11.955]  Alright, here I go.
[00:00:11.955 --> 00:00:17.560]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:26.258 --> 00:00:33.982]  It is Sunday the 25th day of November 2012.
[00:00:33.982 --> 00:00:48.509]  I am your host Alex Jones and we have got an incredibly important transmission lined up for you yet again today on a host of issues across the board here.
[00:00:49.633 --> 00:01:04.223]  We're going to be getting into the cyber security directive that Obama signed a week and a half ago, which Congress, I was reading an article last night, has complained they're not allowed to see.
[00:01:04.223 --> 00:01:17.933]  How is it that Congress, that's co-equal to the executive and the judicial, how can the legislative that's co-equal to the executive and the judicial
[00:01:18.843 --> 00:01:22.524]  How can it not be privy to the President's secret order?
[00:01:22.524 --> 00:01:26.885]  See, Congress wouldn't give Obama what he wanted on cyber security.
[00:01:26.885 --> 00:01:31.626]  Enhance control of the Internet over the Globalist, over the UN, and others.
[00:01:31.626 --> 00:01:44.328]  And so it was really hitting me last night that he said he'd do an executive order to just do it, but still that executive order would be public, so he just said, I just signed another order, and by the way, it's secret.
[00:01:44.328 --> 00:01:46.829]  And whereas the Internet's a double-edged sword, you can use it,
[00:01:48.106 --> 00:01:52.569]  To reach incredible amounts of people, the system knows how to game it.
[00:01:52.569 --> 00:01:54.891]  Just like a black box voting machine.
[00:01:54.891 --> 00:01:55.712]  Here's an example.
[00:01:55.712 --> 00:02:02.837]  20 plus videos just disappeared off our YouTube channel.
[00:02:02.837 --> 00:02:06.699]  And I called and talked to the people involved with it.
[00:02:06.699 --> 00:02:09.922]  They didn't delete 20 plus videos, but it says deleted by user.
[00:02:11.462 --> 00:02:25.790]  And that's just an example of when you're on another platform where you think it's your website, you think it's your content, your ideas, your video, your art, but they can just disappear it whenever they want.
[00:02:25.790 --> 00:02:27.991]  One time they deleted Change the Channel.
[00:02:27.991 --> 00:02:31.493]  He was out of town visiting family, didn't even have his computer with him.
[00:02:31.493 --> 00:02:33.775]  He was at a picnic.
[00:02:33.775 --> 00:02:35.036]  I called his cell phone number.
[00:02:37.079 --> 00:02:38.539]  Was named Ken Webb.
[00:02:38.539 --> 00:02:39.059]  Nice fella.
[00:02:39.059 --> 00:02:40.460]  About a year and a half ago.
[00:02:40.460 --> 00:02:42.920]  It only had like 7 million views on that particular video.
[00:02:42.920 --> 00:02:45.261]  Now it's like 12 million on that particular video.
[00:02:45.261 --> 00:02:49.882]  Plus, there's a bunch of different versions of it, but he uploads a lot of our documentaries.
[00:02:49.882 --> 00:02:57.644]  And I've had him on as a guest, so I found his number in my computer, called him up, and I said, hey, Ken.
[00:02:57.644 --> 00:02:59.945]  I said, did you delete that?
[00:02:59.945 --> 00:03:03.125]  And he said, no, I'm at a barbecue with family.
[00:03:03.125 --> 00:03:04.526]  I said, well, it says you deleted it.
[00:03:04.526 --> 00:03:05.306]  Deleted by user.
[00:03:06.656 --> 00:03:10.398]  And by the way, when a user deletes it, you can't ever put it back up.
[00:03:10.398 --> 00:03:17.902]  We raised a stink, and Google admitted somebody hacked in and deleted it, so they reinstated it.
[00:03:17.902 --> 00:03:23.105]  Something they've said before and ever since is impossible.
[00:03:23.105 --> 00:03:25.526]  So, I don't know what's going on.
[00:03:25.526 --> 00:03:32.449]  And we've got four or five big channels, we've got over 400-something million views, and YouTube's an important outreach.
[00:03:32.449 --> 00:03:33.370]  It's maybe 15% of our outreach.
[00:03:36.769 --> 00:03:40.991]  But it's a very wide, diverse audience.
