[00:00:01.050 --> 00:00:02.212]  Coast to coast.
[00:00:02.592 --> 00:00:03.914]  Direct from Austin.
[00:00:04.635 --> 00:00:07.940]  You're listening to the Alex Jones Broadcasting Network.
[00:00:08.220 --> 00:00:10.643]  We've got it!
[00:00:17.231 --> 00:00:19.332]  Waging war on corruption.
[00:00:19.472 --> 00:00:30.737]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[00:00:30.838 --> 00:00:34.319]  Hey, Barack Obama!
[00:00:35.140 --> 00:00:38.902]  He's been elected again as the 44th President of the United States.
[00:00:40.539 --> 00:00:44.405]  It, of course, is Sunday, November 4th, 2012.
[00:00:44.986 --> 00:00:55.722]  He hasn't been elected to his second term yet, but if you looked at the bookies in Vegas, Ireland, and England, they're already paying out on it.
[00:00:56.303 --> 00:01:08.425]  And that's a real attempt from my view and my research to influence things and to make it look like a foregone conclusion from a historically very, very seedy industry, if you can call it that.
[00:01:08.445 --> 00:01:10.006]  We're going to be going over that report.
[00:01:10.426 --> 00:01:16.327]  The New York Times says 85% chance that he's going to win and use one of their pet pollsters to say that.
[00:01:16.967 --> 00:01:18.727]  Look, I know Mitt Romney's a globalist.
[00:01:18.847 --> 00:01:20.427]  I know he's New World Order all the way.
[00:01:21.848 --> 00:01:22.648]  The issue is
[00:01:24.380 --> 00:01:26.915]  Barack Obama won't be facing re-election.
[00:01:27.947 --> 00:01:30.648]  He'll have the power of the pardon and the power of the executive order.
[00:01:31.648 --> 00:01:35.569]  And he's got a total criminal crew up there under him that is going to go for broke.
[00:01:36.189 --> 00:01:38.670]  They've said they've only shut down 200 coal power plants, roughly.
[00:01:38.690 --> 00:01:40.091]  They're going to shut down over a thousand.
[00:01:40.511 --> 00:01:42.571]  They've publicly said this as soon as he's re-elected.
[00:01:43.192 --> 00:01:47.293]  And he's now said he will move to ban, extrajudicially, your handguns and rifles.
[00:01:48.173 --> 00:01:49.553]  Not for manufacturer sale.
[00:01:49.854 --> 00:01:51.294]  They're going to order them turned in.
[00:01:51.354 --> 00:01:52.514]  They want to start a civil war.
[00:01:53.154 --> 00:01:54.115]  This is a criminal group.
[00:01:56.057 --> 00:02:04.249]  Now, he's a puppet of the globalists, and that's why the system really wants to get Obama back in, because they believe he'll just do whatever he's told and move forward.
[00:02:04.730 --> 00:02:09.477]  Romney will have more trouble with his constituency doing it, and will be facing re-election.
[00:02:11.039 --> 00:02:12.380]  I always say throw the bums out.
[00:02:13.180 --> 00:02:28.627]  You know I sat on the benches with McCain and Obama because it was not an incumbent and said either way it's going to be horrible but clearly, clearly the power structure wanted Obama four years ago and that's why I made the Obama deception and of course he won.
[00:02:29.067 --> 00:02:34.230]  This time there is some splits in the power structure but still the main power structure
[00:02:35.390 --> 00:02:37.690]  Once Obama, and we're going to be breaking all this down today.
[00:02:38.351 --> 00:02:40.711]  Also, you know, I monitor mainstream media.
[00:02:40.991 --> 00:02:42.851]  It's a tough job, but somebody's got to do it.
[00:02:43.792 --> 00:02:51.153]  And Bill Maher has more race baiting, more calls for race war in this country, and it dovetails with Michael Moore.
[00:02:51.633 --> 00:02:54.333]  It dovetails with what we see from MSNBC.
[00:02:55.834 --> 00:03:03.795]  And the fact that more threats to attack white people, more threats to attack and burn things down.
[00:03:05.359 --> 00:03:07.441]  are being allowed by the Secret Service.
[00:03:26.328 --> 00:03:29.409]  Barack Obama, white people, black people are going to come and attack you.
[00:03:30.089 --> 00:03:37.192]  And it's real cute and it's real funny, making it racist if you don't vote for Barack Obama.
[00:03:37.232 --> 00:03:37.792]  Just amazing.
[00:03:37.832 --> 00:03:42.814]  It was white people in massive record numbers voting for Obama that put him in office.
[00:03:42.834 --> 00:03:43.994]  And that was a fair election.
[00:03:44.034 --> 00:03:45.215]  It was somewhat of a landslide.
[00:03:48.506 --> 00:04:07.419]  No need for the power structure to use a lot of fraud there because who they wanted got in and so you've chosen who we want well that's okay and again McCain wasn't good either he was a placeholder like somebody in a professional boxing match run by the mafia where you know there's a guy who's gonna win and there's a guy that gets in there and takes a dive
[00:04:08.752 --> 00:04:12.979]  John McCain is basically a Democrat posing as a Republican.
[00:04:13.500 --> 00:04:16.525]  And the Republicans are globalists posing as Republicans.
[00:04:16.565 --> 00:04:18.329]  So, we're in deep trouble either way.
[00:04:19.910 --> 00:04:28.072]  But, in my gut, and also intellectually, I know that we're going to be facing more trouble, probably, from Barack Obama.
[00:04:28.612 --> 00:04:46.136]  I'll also be honest with you, and I've talked to a lot of big talk show hosts and other people off record, at least in the short term, higher ratings, more AM and FM affiliates, the star of this show rising faster, if Barack Obama gets elected.
[00:04:47.509 --> 00:04:50.654]  Because people are going to stay more awake and angry and upset.
[00:04:51.215 --> 00:04:52.436]  Mitt Romney gets elected.
[00:04:52.496 --> 00:04:53.518]  Sleepy time happens.
[00:04:54.439 --> 00:05:01.490]  And so, again, I still don't want Obama to win, though, because I care about freedom more than having a big radio show.
[00:05:01.530 --> 00:05:02.151]  We'll be right back.
[00:05:02.171 --> 00:05:02.651]  Stay with us.
[00:05:08.999 --> 00:05:11.741]  Alex Jones here with a message to fellow freedom lovers.
