[00:00:03.015 --> 00:00:03.255]  I'm good.
[00:00:35.220 --> 00:00:37.825]  It's Tuesday, September 4th, 2012.
[00:00:38.988 --> 00:00:39.849]  I'm Alex Jones.
[00:00:40.110 --> 00:00:44.057]  Get ready for another edition of InfoWars Nightly News.
[00:00:44.498 --> 00:00:45.159]  Straight ahead.
[00:00:48.089 --> 00:00:56.481]  Tonight, the effort to characterize the right to assemble as terrorism accelerates and the DoD classifies protesters as low-level terrorists.
[00:00:56.981 --> 00:01:04.912]  Then, a bizarre video catches the TSA's new policy of testing passenger drinks long after they have already passed through security.
[00:01:05.473 --> 00:01:12.277]  Meanwhile, TSA security checkpoints at public events are becoming normalized as grope downs come to the DNC.
[00:01:12.517 --> 00:01:19.321]  Plus, the Obama campaign struggles to draw crowds as only 14,000 people showed up to his campaign kickoff.
[00:01:19.661 --> 00:01:28.586]  This time, desperate Democrats are forced to ship in busloads of college students to fill a 74,000 seat stadium and create the illusion of popularity.
[00:01:29.007 --> 00:01:32.849]  All that and more up next on the InfoWars Nightly News.
[00:01:41.966 --> 00:01:48.009]  Our first story tonight has grave import for the once land of the free, home of the brave.
[00:01:48.049 --> 00:01:51.951]  We see cyber security in the Pentagon saying they want to restrict free speech.
[00:01:52.672 --> 00:01:56.834]  We see warrantless wiretapping by the NSA openly against the American people.
[00:01:57.314 --> 00:02:08.300]  The rebranding of the War on Liberty, known as the War on Terror, from Al-Cieda to conservatives, libertarians, gun owners, anti-war activists, across the political spectrum.
[00:02:09.230 --> 00:02:13.793]  Basically, if you have a social conscience and stand for liberty, you're the enemy.
[00:02:14.394 --> 00:02:16.595]  Our country's been occupied by foreign banks.
[00:02:16.936 --> 00:02:18.537]  They openly brag about it.
[00:02:19.500 --> 00:02:27.446]  Every day I see articles at Infowars.com and PrisonPlanet.com linking to mainstream news promoting global corporate governance as the answer.
[00:02:28.086 --> 00:02:32.850]  It's a neo-colonialism, but not the nation-state going in and exploiting the third world.
[00:02:33.310 --> 00:02:44.619]  The globalists have taken over the old nation-states that were the heart of the empires and are flipping it where they ship our jobs to the third world and won't let us develop finished goods here.
[00:02:45.299 --> 00:02:46.981]  So all of this is happening.
[00:02:47.541 --> 00:02:49.062]  All of this is unfolding.
[00:02:49.643 --> 00:02:52.105]  And we see stories like this first one.
[00:02:52.866 --> 00:02:56.809]  Activists put on terror watch lists to prevent him protesting DNC.
[00:02:57.510 --> 00:03:01.733]  Effort to characterize right to assemble as terrorist accelerates.
[00:03:02.334 --> 00:03:04.356]  And here's what's scary about this.
[00:03:05.834 --> 00:03:21.143]  In the local news stories covering it, they don't act like it's a big deal that he was arrested trying to get on a plane because he'd been put on a terror list and the ACLU got the documents because he was planning to protest.
[00:03:21.503 --> 00:03:23.064]  They list that as terrorism.
[00:03:23.104 --> 00:03:29.328]  In fact, in the article, we actually have the documents and it lists in them
[00:03:31.380 --> 00:03:34.124]  What low-level terrorism is defined as?
[00:03:35.505 --> 00:03:43.856]  Attacking the Pentagon, IEDs, hate crimes against radical groups, and protest.
[00:03:43.916 --> 00:03:49.502]  So, protest is mixed in with bombing the
[00:03:50.990 --> 00:03:54.952]  Pentagon or racial attacks or explosives on the highway.
[00:03:55.613 --> 00:03:56.673]  I mean this is insane.
[00:03:56.894 --> 00:04:07.420]  They just mix it in there and it says that they asked prosecutors to hold him in the jail where they threw him until the DNC was over so he wouldn't carry out his terrorism.
[00:04:08.040 --> 00:04:12.383]  So now we've gone from free speech zones to you'll get thrown in a dungeon.
[00:04:13.123 --> 00:04:15.505]  Now we caught the Pentagon in Toronto.
[00:04:17.318 --> 00:04:30.191]  During the G20 a few years ago, we also caught them in Pittsburgh and in London with black vans pulling up and cars pulling up and grabbing activists and putting bags over their heads and putting them in cars.
[00:04:30.631 --> 00:04:33.514]  And I watched the body language and I said, that's fake!
[00:04:34.335 --> 00:04:35.656]  And it turned out it was.
[00:04:35.716 --> 00:04:40.961]  They were doing it to scare everyone, but to have the media see it and see what the response would be.
