[00:00:02.841 --> 00:00:03.442]  We're good to go.
[00:00:35.754 --> 00:00:36.654]  It's June 25th.
[00:00:36.734 --> 00:00:37.735]  I'm Paul Joseph Watson.
[00:00:37.775 --> 00:00:39.835]  Welcome to InfoWars Nightly News.
[00:00:42.836 --> 00:00:57.141]  Tonight on the InfoWars Nightly News, Paul Joseph Watson speaks with Douglas J. Hagman, founder of the Northeast Intelligence Network, about Fast and Furious and GoDaddy's censorship of Obama's truth spots.
[00:00:57.702 --> 00:00:58.062]  Plus,
[00:00:59.062 --> 00:01:04.170]  White Sky is coming to a horizon near you, courtesy of the Globalist Agenda.
[00:01:04.811 --> 00:01:09.398]  And we announced the Phase 1 winner of the Obama Poster Contest.
[00:01:09.779 --> 00:01:12.923]  All that and more on the InfoWars Nightly News.
[00:01:22.793 --> 00:01:26.914]  Top story tonight, DHS cell phone alert system follows you around.
[00:01:27.274 --> 00:01:43.158]  Not only does the Department of Homeland Security's new emergency alert system force cell phone users to receive text messages directly from our dear leader President Obama, it also quote follows the user wherever they go according to newly released details of the program.
[00:01:43.698 --> 00:01:47.179]  Now if you weren't aware of this, we've been covering it for years virtually.
[00:01:48.152 --> 00:01:59.408]  All new cell phones in the US are required by the federal government to have a special chip in them which basically allows the Feds to send you text messages which automatically pop up on your phone.
[00:02:00.561 --> 00:02:06.442]  If you haven't got a new phone, don't worry, because the older phones are receiving operating system upgrades.
[00:02:06.462 --> 00:02:10.883]  You saw the big brouhaha last week about Apple iOS 6.
[00:02:11.603 --> 00:02:12.943]  And it's all part of the same system.
[00:02:13.003 --> 00:02:17.944]  Everything's going to be upgraded to receive these Presidential Emergency Alerts.
[00:02:19.104 --> 00:02:21.425]  And by the way, you can't opt out of them.
[00:02:21.445 --> 00:02:22.145]  They're mandatory.
[00:02:22.185 --> 00:02:26.626]  At least the ones directly from Barack Obama are mandatory.
[00:02:27.529 --> 00:02:43.227]  And so we've also learned today with this new story that the messages are also going to be delivered with their own special ringtone and vibration so that sheeple are going to be made to feel very special when they receive their informative message from our dear leader.
[00:02:43.848 --> 00:02:47.852]  But until now we didn't know about this little added extra bombshell
[00:02:48.953 --> 00:02:49.794]  that's come out today.
[00:02:49.854 --> 00:03:03.464]  According to Todd Kraus, the weather warning coordinator at the National Weather Service's Chanhassen office, the WEA alert system tracks cell phone users wherever they go in order to deliver region-specific warnings.
[00:03:03.864 --> 00:03:12.691]  Quote, what the system does is actually follow you around wherever you are going, based on users' proximity to cellular towers, Kraus told TwinCities.com.
[00:03:13.703 --> 00:03:37.722]  So, basically, Big Sis needs to know exactly where you are at all times in order to send these fear-mongering messages, which I call them that because in the only major test of them that they've done so far in New Jersey, it created nothing but panic, confusion, anxious, terror-filled 9-11 calls because the message basically said, you know, shelter in place.
[00:03:37.762 --> 00:03:39.063]  This is a government announcement.
[00:03:39.163 --> 00:03:40.484]  It completely went over the top.
[00:03:40.544 --> 00:03:41.485]  Everybody freaked out.
[00:03:42.365 --> 00:03:47.432]  Again, achieving the exact opposite of what it's supposed to do, which is calm people down in an emergency.
[00:03:48.514 --> 00:03:54.102]  So seeing as anyone who's, you know, publicly active now has a cell phone, they carry it around with them at all times.
[00:03:55.171 --> 00:04:06.374]  And with the admission now that the DHS is not only going to send people, bombard them with messages that you can't opt out of, they're going to now track you everywhere you go via the same system.
[00:04:06.434 --> 00:04:12.336]  It's almost as anathema to privacy as if you had a microchip embedded in your forehead.
[00:04:13.036 --> 00:04:15.456]  And again, mandatory, you can't opt out.
[00:04:15.757 --> 00:04:20.758]  It pops up, Barack Obama's smiling face on your phone delivering the latest fear-mongering alert.
[00:04:22.964 --> 00:04:31.051]  And it's all about the fact, as we've documented, they're building this infrastructure of informational control through this emergency alert system.
[00:04:31.071 --> 00:04:41.741]  You've already seen, in terms of the media and broadcasting platform, they can override and hijack anything they want so long as it's in the name of a civil emergency.
[00:04:42.915 --> 00:04:51.657]  And that's eventually going to be tied into the surveillance camera in telestreets, light hubs that are being rolled out in major cities across the US.
[00:04:52.297 --> 00:05:04.980]  So this meshed network of surveillance is ultimately also planned to be designed to be a Big Brother announcement grid where they just bark orders at you as you're passing by the streetlight.
[00:05:05.820 --> 00:05:13.068]  Also linked in with these emergency alerts, so now they admit they can track you, they can follow you around, all through Big Sis.
[00:05:14.266 --> 00:05:15.467]  More police state news.
[00:05:15.907 --> 00:05:20.010]  Media promotes troops on streets to cut down on crime.
[00:05:20.730 --> 00:05:22.411]  Following reports last week that the U.S.
[00:05:22.491 --> 00:05:26.474]  Army had wheeled tanks rolling down residential streets and highways in St.
[00:05:26.514 --> 00:05:39.542]  Louis as part of a training program, local news media channels featured interviews with residents who praised the sight of troops on the streets as a valuable crime-fighting tool, similar to that used in foreign countries.
