[00:00:09.882 --> 00:00:10.362]  Media.
[00:00:11.003 --> 00:00:12.103]  Government cover-ups.
[00:00:12.763 --> 00:00:13.544]  You want answers?
[00:00:14.264 --> 00:00:15.124]  Well, so does he.
[00:00:15.764 --> 00:00:19.446]  He's Alex Jones on the GCN Radio Network.
[00:00:20.006 --> 00:00:24.047]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.825 --> 00:00:35.807]  I really do feel like I'm living in the Twilight Zone more and more.
[00:00:35.867 --> 00:00:37.148]  I know a lot of you do as well.
[00:00:37.168 --> 00:00:38.949]  Thanks for joining us.
[00:00:39.029 --> 00:00:39.730]  It's Wednesday.
[00:00:41.891 --> 00:00:50.997]  Already the first day, it's hard to believe, of August 2012 and we will be here for the next three hours.
[00:00:51.177 --> 00:00:51.557]  Wow!
[00:00:52.638 --> 00:00:53.299]  Where to begin?
[00:00:53.319 --> 00:00:57.702]  It finally broke in a big way in mainstream media yesterday.
[00:00:59.492 --> 00:01:14.604]  In the London Guardian, the Associated Press, the Asia Times, really all over the place that the main force, in fact the majority of the fighters in Syria are Al-Qaeda.
[00:01:14.664 --> 00:01:23.270]  Now that was the case over a year ago when the whole Libya liberation, and I say that as a joke, by the Peace Prize President started.
[00:01:24.352 --> 00:01:30.517]  And we had guests on, multiple guests from Tripoli and other areas like Tarpley.
[00:01:30.537 --> 00:01:38.704]  In fact, we should get Tarpley on sometime this week just on this serious situation before we go off into how wonderful big government is.
[00:01:39.145 --> 00:01:41.106]  But I do want to get Tarpley's take on all this.
[00:01:41.206 --> 00:01:44.930]  Max Keiser is going to be joining us coming up in the third hour.
[00:01:46.031 --> 00:01:48.453]  He says the collapse is imminent.
[00:01:49.284 --> 00:01:51.084]  And I really don't usually hear him talk like that.
[00:01:51.124 --> 00:01:54.905]  He says there's going to be a collapse of JPMorgan and stuff like that down the road because they're derivatives.
[00:01:55.405 --> 00:02:00.727]  And since then, it's turned out it was a billion, two billion, eight billion, 10 billion, 20 billion, 40 billion.
[00:02:01.047 --> 00:02:02.267]  Of course, all that's leverage.
[00:02:02.327 --> 00:02:07.628]  So a billion is more like hundreds of billions, depending on how the derivatives are structured.
[00:02:08.608 --> 00:02:15.090]  So all of that is coming up today here on the World Wide Transmission.
[00:02:16.454 --> 00:02:20.415]  And as usual, I'm getting to the point where I'm just completely overwhelmed.
[00:02:20.475 --> 00:02:21.355]  I know a lot of you are.
[00:02:22.055 --> 00:02:25.196]  It's all just cuckoo, land, crazy, the news we've got.
[00:02:26.096 --> 00:02:26.556]  It's crazy.
[00:02:28.316 --> 00:02:30.617]  It is so bizarre, all of it.
[00:02:30.637 --> 00:02:31.917]  I don't even know how to respond to it.
[00:02:32.217 --> 00:02:37.038]  I mean, we knew it was coming, but to see it unfold is quite another thing.
[00:02:37.118 --> 00:02:38.199]  So we're going to be going over.
[00:02:38.319 --> 00:02:44.220]  Al-Qaeda turns the tide for rebels in battle for eastern Syria, and then the article basically
[00:02:46.104 --> 00:02:49.525]  Goes on to describe them as freedom fighters.
[00:02:49.545 --> 00:03:01.027]  And of course, I predicted that down the road we would see a move to then invade Syria and Libya to deal with Al Qaeda.
[00:03:01.387 --> 00:03:03.087]  NATO funds Al Qaeda, the U.S.
