[00:00:00.049 --> 00:00:00.650]  We've got it!
[00:00:09.703 --> 00:00:13.803]  Waging war on corruption.
[00:00:14.083 --> 00:00:15.504]  It's Alex Jones.
[00:00:16.064 --> 00:00:19.805]  Coming to you live from the front lines of the InfoWar.
[00:00:22.305 --> 00:00:23.605]  Now we see the earth.
[00:00:23.705 --> 00:00:27.786]  You got it.
[00:00:27.866 --> 00:00:29.847]  Now we see the earth now.
[00:00:30.727 --> 00:00:33.428]  You got it.
[00:00:33.508 --> 00:00:34.728]  Now we see the earth.
[00:00:36.289 --> 00:00:40.341]  You got it.
[00:00:40.441 --> 00:00:41.885]  We see the earth now.
[00:00:43.069 --> 00:00:43.570]  You got it.
[00:00:49.275 --> 00:00:51.536]  We're going to be here for the next two hours.
[00:00:52.096 --> 00:00:54.376]  Thank you so much for joining us.
[00:00:54.516 --> 00:00:58.177]  It is Sunday, the 24th day of June 2012.
[00:00:58.998 --> 00:01:00.698]  Hard to believe it's about to be July.
[00:01:01.438 --> 00:01:04.399]  We'll be more than halfway into 2012 and the end of the world as we know it.
[00:01:08.837 --> 00:01:35.783]  Of course, the world will keep on spinning, I predict, after 2012, but we will be deep inside the New World Order, globally behind enemy lines in New World Order eugenicist control freak captured territory with no hope of reversing civilization's plunge into technocratic hell until the awakening takes place on a mass scale and we begin to throw our weight against the machine's wheels.
[00:01:37.287 --> 00:01:40.553]  That's begun at a certain level, that's why the globalists are going into high gear.
[00:01:41.335 --> 00:01:45.262]  And as things get more and more evident, you're going to see the awakening accelerate.
[00:01:46.260 --> 00:01:47.800]  So it's a race for the finish line.
[00:01:48.260 --> 00:01:52.421]  We're going to be live here for the next two hours.
[00:01:52.482 --> 00:01:58.303]  And again, I want to thank everyone out there for joining us on your Sunday.
[00:01:59.223 --> 00:02:14.567]  We understand that everybody out there is extremely busy throughout the week, and we are very thankful that so many millions of people across the United States and the world care about freedom.
[00:02:15.822 --> 00:02:20.026]  And are involved in the fight for human awakening.
[00:02:21.967 --> 00:02:26.351]  Okay, we have got a particularly jam-packed broadcast lined up for you.
[00:02:26.491 --> 00:02:30.895]  I mean, every day I come on air and say, very important broadcast today, because it is.
[00:02:30.955 --> 00:02:32.476]  It gets crazier by the minute.
[00:02:34.278 --> 00:02:42.585]  We're going to look at a report from InfoWars.com from KSDK Television.
[00:02:42.605 --> 00:02:43.866]  We're going to play part of that clip.
[00:02:45.325 --> 00:02:46.345]  Don't be alarmed.
[00:02:46.526 --> 00:02:51.127]  Army trains MPs to drive tanks on US streets.
[00:02:52.068 --> 00:02:54.669]  Shidings of vehicles provoke fears of martial law.
[00:02:55.389 --> 00:02:59.831]  And boy, let me tell you, the trolls came out of the woodwork on this bad boy.
[00:03:01.211 --> 00:03:07.014]  Just saying it's a made-up story and that there's no threat of the military being on the streets.
[00:03:08.160 --> 00:03:12.583]  And then I saw some people commenting, well why does it matter if we have troops on the streets?
[00:03:13.364 --> 00:03:21.529]  I don't know, North Korea has it, Mexico has it, Rome became an empire and not a republic once they had it with Caesar.
[00:03:22.109 --> 00:03:23.931]  It's always what brings a country down.
[00:03:24.231 --> 00:03:32.777]  If you've got troops on the streets, you're living in a very fascistic, authoritarian, or communist system.
[00:03:33.097 --> 00:03:34.098]  Not a good place to be.
[00:03:35.078 --> 00:03:38.362]  And governments, when they become oppressive, always put troops on the streets.
[00:03:38.903 --> 00:03:46.072]  That's why it's in the Constitution and the Declaration of Independence and the Bill of Rights that you don't have troops on the streets.
[00:03:46.912 --> 00:04:01.515]  You know, it's why America's different and became the example of what to be like, instead of now being the example of wars, aggression, torture, face scanning cameras, surveillance, the NSA spying on us illegally.
[00:04:01.815 --> 00:04:14.378]  We're now the symbol of a hijacked, lawless nation being thrown, just like when communists would take over countries, they would then go into the exploitive phase, using that country they'd taken over against the next country.
[00:04:14.938 --> 00:04:17.239]  And then use that country against the next country.
[00:04:17.960 --> 00:04:20.941]  And again, the United States has been captured by the globalists.
[00:04:22.662 --> 00:04:24.083]  People say, oh my gosh, the U.S.
[00:04:24.123 --> 00:04:25.664]  is going to fight the Russians and the Chinese.
[00:04:25.964 --> 00:04:28.566]  Ladies and gentlemen, the United States doesn't exist anymore.
[00:04:29.146 --> 00:04:30.647]  We're part of the New World Order.
[00:04:30.667 --> 00:04:31.868]  We were taken over by fraud.
[00:04:32.208 --> 00:04:34.589]  So it's fraudulent, it's illegitimate, we can reverse it.
[00:04:35.690 --> 00:04:41.173]  So I'm going to go over the facts that it's admitted they're preparing troops for the streets of America.
[00:04:42.830 --> 00:04:50.895]  And then some people said, oh, well, Alex, yeah, we need troops because the collapsing dollar and then all this stuff, you know, they want to protect us.
[00:04:50.935 --> 00:04:53.756]  Folks, the globalists engineered the financial collapse.
[00:04:53.936 --> 00:04:54.297]  I know.
[00:04:54.317 --> 00:04:56.938]  I know they're getting ready for the collapse.
[00:04:56.978 --> 00:04:57.719]  They engineered it.
[00:04:57.759 --> 00:04:59.300]  Yes, we've been talking about it for 17 years.
[00:05:03.251 --> 00:05:10.919]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:05:11.359 --> 00:05:14.983]  Alex and his staff have used these pure soap products for years.
[00:05:15.444 --> 00:05:22.251]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:05:22.731 --> 00:05:25.554]  See them on the web at 5starsoap.com.
[00:05:25.754 --> 00:05:30.256]  Or call 800-340-7091 for a free catalog.
[00:05:30.596 --> 00:05:36.259]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:05:36.519 --> 00:05:41.642]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:05:41.942 --> 00:05:43.562]  This is an amazing deal.
[00:05:43.923 --> 00:05:48.465]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:05:49.145 --> 00:05:56.810]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[00:06:05.536 --> 00:06:09.619]  You are listening to an InfoWars.com Frontline Report.
[00:06:12.121 --> 00:06:16.044]  If you are receiving this transmission, you are the resistance.
[00:06:23.644 --> 00:06:32.174]  From deep in the heart of FEMA Region 6, Austin, Texas, transmitting worldwide, it's Alex Jones.
[00:06:35.238 --> 00:06:37.040]  Monday through Friday from 11 a.m.
[00:06:37.060 --> 00:06:37.720]  to 2 p.m.
[00:06:37.781 --> 00:06:40.424]  Central Standard Time, I'm live on the radio.
[00:06:40.804 --> 00:06:42.146]  And then back Sundays live.
[00:06:43.581 --> 00:06:45.262]  Thank you so much for joining us.
[00:06:45.282 --> 00:06:46.963]  We're here every Sunday, 4 to 6 p.m.
[00:06:47.464 --> 00:06:49.085]  Central Standard Time.
[00:06:49.585 --> 00:06:57.210]  Blasting out on the AM and FM dial, also simulcasting on XM, and of course via the audio streams at InfoWars.com.
[00:06:58.091 --> 00:07:03.955]  If you are a new listener, I know we've got a lot of new affiliates across the United States picking us up today.
[00:07:03.975 --> 00:07:08.838]  In fact, two new affiliates that I plugged on Friday picking us up today.
[00:07:09.439 --> 00:07:12.100]  And you're a new listener, you've heard a lot about the show.
[00:07:13.021 --> 00:07:15.023]  And you're thinking, you know, is this guy a nut?
[00:07:15.143 --> 00:07:16.144]  Is he for real?
[00:07:16.664 --> 00:07:19.086]  Well, that's up to you to decide.
[00:07:20.467 --> 00:07:22.069]  I'm certainly not perfect.
[00:07:23.170 --> 00:07:29.295]  I certainly don't have all the answers, and I absolutely make routine mistakes.
[00:07:30.981 --> 00:07:37.543]  But the difference is, I don't try to twist and deceive like much of the mainstream media.
[00:07:37.863 --> 00:07:40.784]  You know, most quote mainstream media is not really deceiving.
[00:07:41.384 --> 00:07:44.325]  If it's a story that doesn't politically matter to the system, they'll tell the truth.
[00:07:44.665 --> 00:07:52.028]  But when it's a big national talking point, like Obama having the entire media basically say that there were no death panels,
[00:07:54.025 --> 00:08:04.207]  in his health care plan and then once they got it in place they admit that there are death panels that ration and cut back care and basically grandma just needs to die.
[00:08:04.227 --> 00:08:08.508]  We now see that in Time Magazine, Newsweek, the case for killing granny, how great it is.
[00:08:08.848 --> 00:08:14.989]  We're seeing headline articles about killed children up to age three if the parents don't want them even if they're healthy.
[00:08:15.849 --> 00:08:17.709]  Now the eugenics is out in our face.
[00:08:17.729 --> 00:08:20.950]  So that's just a quick quick example of what I'm talking about here.
[00:08:22.154 --> 00:08:28.738]  I have studied history, and those that don't know history, as many philosophers and historians have pointed out, are doomed to repeat it.
[00:08:29.199 --> 00:08:36.023]  Because humans live a limited lifespan, about 75 years on average, and we do the same things over and over again.
[00:08:36.323 --> 00:08:39.465]  And we set up civilizations the same way over and over again.
[00:08:39.505 --> 00:08:42.687]  We make the same mistakes over and over again.
[00:08:42.727 --> 00:08:45.009]  And if we don't learn from history, we're doomed to repeat it.
[00:08:45.449 --> 00:08:46.910]  Knowledge is power.
[00:08:46.970 --> 00:08:49.131]  The people perish for lack of knowledge.
[00:08:53.106 --> 00:08:58.228]  By studying basic history, I've learned what is good and what is bad.
[00:08:58.308 --> 00:09:08.451]  What works for civilization, what empowers humanity, what empowers families, what empowers children, what is healthy, what is wholesome, what is good.
[00:09:10.032 --> 00:09:16.974]  Versus all the signs that you're going into a deep, dark tyranny run by very bad people, and that's the norm in history.
[00:09:17.765 --> 00:09:19.229]  And all the danger signs there.
[00:09:19.550 --> 00:09:23.502]  And if there are 100 danger signs, the United States has got about 300.
[00:09:23.622 --> 00:09:23.823]  I mean...
[00:09:26.471 --> 00:09:37.314]  Literally, it's more than double or triple anything I've ever seen from a historical perspective of danger, Will Robinson, look out, we're in trouble.
[00:09:37.915 --> 00:09:54.700]  I mean, if you study Hitler, if you study Mao, if you study Stalin, if you study Caligula, if you study Nero, if you study Montezuma, if you study any of these tyrants of history, everything that's happening is consciously for a tyranny.
[00:09:56.536 --> 00:09:58.737]  And it's the same thing worldwide.
[00:09:59.658 --> 00:10:08.322]  The world is sliding in a conscious system of governmental, bureaucratic, authoritarian oppression.
[00:10:08.622 --> 00:10:12.864]  This is what the establishment has decided to do, and they're quite honest about it.
[00:10:12.904 --> 00:10:14.225]  Today we're going to be breaking that down.
[00:10:15.746 --> 00:10:23.390]  There is a story up at InfoWars.com that I'm going to start with, then I'm going to get to the CBS News headline, GM Grass,
[00:10:24.642 --> 00:10:27.145]  Genetically modified grass linked to Texas cattle deaths.
[00:10:27.625 --> 00:10:38.898]  The federal government, the EPA, is out there and they say the grass in Bastrop, outside Austin, at least two ranches, is off gassing cyanide gas.
[00:10:40.467 --> 00:10:41.848]  And I went and did some research.
[00:10:41.948 --> 00:10:44.811]  I didn't know grass could do this, but it's happening.
[00:10:45.191 --> 00:10:46.532]  I saw a movie a few years ago.
[00:10:46.552 --> 00:10:47.413]  I forgot the name of it.
[00:10:47.433 --> 00:10:48.134]  I'm trying to look it up.
[00:10:48.634 --> 00:10:52.998]  Where it happens in the Northeast and the trees start releasing... The Happening.
[00:10:53.438 --> 00:10:54.019]  Okay, thank you.
[00:10:54.259 --> 00:10:57.562]  And the trees start releasing cyanide and I thought, oh, that's a dumb movie.
[00:10:58.042 --> 00:10:59.424]  I watched it on the treadmill one day.
[00:11:01.212 --> 00:11:05.278]  And then I looked it up and found out, oh my gosh, that comes from real things that have happened.
[00:11:05.559 --> 00:11:06.580]  Yes, it's called the happening.
[00:11:07.181 --> 00:11:10.386]  Except in this case, the trees just kill everybody in the Northeast.
[00:11:11.687 --> 00:11:12.648]  I shouldn't laugh about it.
[00:11:12.708 --> 00:11:23.137]  It's right outside Austin, Texas and they just mentioned at the end, oh yeah, they confirmed cyanide gas is coming off the genetically modified grass and everything's wonderful.
[00:11:23.597 --> 00:11:27.661]  So we're going to be looking at that report and how it dovetails with this Daily Mail story.
[00:11:28.001 --> 00:11:34.447]  Bird flu virus is just three mutations away from making the leap into a deadly human pandemic.
[00:11:36.284 --> 00:11:57.485]  And the federal government published a few months ago how to mutate the mousepox for humans and it kills over 90% of those it comes in contact with and they've put out the ingredients list for even a small biological firm to be able to release it.
[00:11:57.505 --> 00:12:00.528]  And 90 plus percent of the people that come in contact with it are dead.
[00:12:02.168 --> 00:12:07.693]  Airborne Ebola is also being produced at major universities all over the United States at level 4 bioweapons labs.
[00:12:07.933 --> 00:12:09.134]  Just type that into a search engine.
[00:12:09.174 --> 00:12:09.834]  It's mainstream news.
[00:12:10.135 --> 00:12:12.997]  You know, this is the kind of stuff I actually am concerned about when I go to bed at night.
[00:12:13.237 --> 00:12:17.761]  When I go to bed at night, I don't look under my bed for al-Qaeda, getting you a better chance of dying from a honeybee sting.
[00:12:18.101 --> 00:12:19.663]  By the way, that's from Scientific American.
[00:12:19.683 --> 00:12:21.084]  That's just not Alex Jones saying that.
[00:12:21.844 --> 00:12:22.165]  Look it up.
[00:12:22.485 --> 00:12:30.511]  Better chance of a honeybee killing you each year than al-Qaeda, but I'm supposed to give up all my rights and have checkpoints on the highways and no freedom because of al-Qaeda.
[00:12:31.232 --> 00:12:34.793]  Who our government and NATO criminally fund to attack Libya and Syria.
[00:12:35.933 --> 00:12:44.815]  But I'm not supposed to be concerned about hundreds of level 3 and level 4, 36 new ones built in the last few years, all over the US.
[00:12:45.895 --> 00:12:50.156]  Things like Lyme's disease, you know that came from a level 4 bioweapons lab, Plum Island.
[00:12:51.076 --> 00:12:53.137]  It's a weaponized syphilis, basically.
[00:12:54.754 --> 00:13:06.786]  They just call it, because they don't want to freak you out, they call it Lyme disease, weaponized syphilis put into, well, the blood of animals that ticks then slurp, and then now it's spreading all over the United States.
[00:13:10.350 --> 00:13:11.872]  Not very fun, is it?
[00:13:12.232 --> 00:13:16.657]  But, you know, hey, it's not, the media didn't say be scared of it, so I'm not scared of that.
[00:13:18.942 --> 00:13:26.127]  So, again, I'm talking about the perception, how the system gets us to learn to be afraid of things that aren't a threat, but then ignore things that are real threats.
[00:13:26.447 --> 00:13:27.128]  Here's an example.
[00:13:27.208 --> 00:13:30.550]  I put out a video that's gone viral titled, Leaked!
