[00:00:00.069 --> 00:00:01.109]  The radio starts here.
[00:00:08.513 --> 00:00:09.173]  Big Brother.
[00:00:09.813 --> 00:00:10.874]  Mainstream media.
[00:00:11.594 --> 00:00:12.835]  Government cover-ups.
[00:00:13.335 --> 00:00:14.175]  You want answers?
[00:00:14.936 --> 00:00:15.856]  Well, so does he.
[00:00:16.476 --> 00:00:20.098]  He's Alex Jones on the GCN Radio Network.
[00:00:20.678 --> 00:00:24.740]  And now, live from Austin, Texas, Alex Jones.
[00:00:26.829 --> 00:00:30.914]  Welcome to the Alex Jones Show on this Monday, September 24, 2012.
[00:00:31.234 --> 00:00:35.840]  This is Mike Adams, the health ranger, sitting in for Alex today.
[00:00:35.860 --> 00:00:38.503]  And he will be back with you tomorrow.
[00:00:38.583 --> 00:00:42.007]  And in the meantime, we've got a whirlwind of breaking news from all fronts.
[00:00:42.888 --> 00:00:48.353]  And some very interesting guests coming up on today's show will be with you for the next three hours.
[00:00:49.393 --> 00:00:52.936]  And here's some of what's coming up, and then we're going to get right into the news.
[00:00:53.437 --> 00:00:54.718]  We've got guests joining us today.
[00:00:54.758 --> 00:00:58.341]  Stacy Malkin from Proposition 37 in California.
[00:00:58.641 --> 00:01:05.867]  That is the proposition that is attempting to require GMOs to be labeled on foods so that consumers can choose not to eat poison.
[00:01:06.367 --> 00:01:08.309]  Yes, wouldn't that be a nice choice to have?
[00:01:08.809 --> 00:01:15.031]  But of course, the food industry is lining up against that proposition, and we'll talk about whether that's likely to pass.
[00:01:15.911 --> 00:01:23.734]  And then we've got Anthony Gucciardi from Natural Society joining us today with some breaking news from scientists who support GMOs.
[00:01:24.254 --> 00:01:29.055]  Yes, they've sent us emails now that say they know GMOs are killing you.
[00:01:29.315 --> 00:01:30.696]  That's what they want.
[00:01:31.556 --> 00:01:32.297]  That's the goal.
[00:01:32.717 --> 00:01:36.179]  And this is openly admitted by a member of the scientific community.
[00:01:36.219 --> 00:01:41.563]  We'll have that email and those details breaking right here on the Alex Jones Show in the second hour today.
[00:01:42.103 --> 00:01:46.606]  Then in the third hour, Ted Anderson is going to be dropping by just for a bit.
[00:01:47.026 --> 00:01:56.693]  And then after that, we're going to get into how to protect yourself from radiation poisoning in case Fukushima gets worse or in case there's another nuclear disaster somewhere in the world.
[00:01:57.313 --> 00:01:58.214]  Which could happen.
[00:01:58.394 --> 00:02:00.535]  Lots of causes behind it, so we'll get into that.
[00:02:01.015 --> 00:02:03.316]  Also, how to protect yourself from MSG.
[00:02:03.336 --> 00:02:05.077]  Yeah, monosodium glutamate.
[00:02:05.598 --> 00:02:08.860]  Also sometimes in the form of free glutamate in your foods.
[00:02:09.240 --> 00:02:10.420]  It's an excitotoxin.
[00:02:10.801 --> 00:02:18.305]  You've heard guests like Dr. Russell Blaylock, a neurosurgeon, right here on the Alex Jones Show, talking about the toxicity of MSG.
[00:02:18.765 --> 00:02:21.787]  But no one's ever been able to really describe how to protect yourself
[00:02:22.287 --> 00:02:35.498]  from MSG, but some interesting new research has come out that I'm going to cover in the third hour that has a lot of promise for how to protect yourself from MSG with a supplement, and we'll talk about that.
[00:02:35.898 --> 00:02:43.545]  Plus, also today we've got news about motorists being detained for paying cash at toll booths.
[00:02:44.265 --> 00:02:47.067]  Yeah, cash is now something that makes you a criminal.
[00:02:47.828 --> 00:02:53.750]  We've got children, a young girl, I think eight years old, with ovarian cancer.
[00:02:54.150 --> 00:02:56.711]  News about painkillers causing headaches.
[00:02:57.512 --> 00:02:58.752]  So it's a cycle of addiction.
[00:02:59.212 --> 00:03:02.734]  Once you take the painkiller, you get a headache, you need more painkillers.
[00:03:03.274 --> 00:03:05.114]  Gee, I wonder who designed that system.
[00:03:05.234 --> 00:03:06.095]  Big Pharma, maybe?
[00:03:06.855 --> 00:03:16.219]  We've got news about a new desktop fabrication machine, a desktop replicator that can actually produce physical objects just like printing out pages on a bubble jet printer.
[00:03:16.799 --> 00:03:26.563]  It's just been announced and I'm going to talk to you, share with you some of the implications of that technology and what it means for our economy and our world.
[00:03:27.083 --> 00:03:30.044]  It's a bigger deal than you might suspect just from hearing the headline.
[00:03:30.625 --> 00:03:32.945]  UK hospitals are on the verge of collapse.
[00:03:34.866 --> 00:03:42.631]  As socialized medicine fails, prescription painkillers are now killing more Americans than heroin and cocaine combined.
[00:03:42.992 --> 00:03:45.593]  Yeah, prescription drugs are the big killers.
[00:03:46.354 --> 00:03:47.995]  And by the way, I'm just breezing through these right now.
[00:03:48.035 --> 00:03:52.097]  We'll get these in more detail when we return on the other side of the break that's coming up.
[00:03:52.478 --> 00:03:53.518]  Attack of the drones.
[00:03:53.558 --> 00:03:53.999]  The U.S.
[00:03:54.079 --> 00:03:56.400]  Army wants miniature suicidal drones.
[00:03:56.740 --> 00:03:57.981]  Kamikaze drones.
[00:03:58.522 --> 00:04:01.544]  They're single-use drones that can kill you from six miles away.
[00:04:02.304 --> 00:04:09.692]  They launch those suckers and just drive them right into your front door or bedroom window, whatever the target happens to be.
[00:04:09.712 --> 00:04:11.755]  Here's some news.
[00:04:11.775 --> 00:04:14.097]  You know the warrantless DNA collection that's been going on?
[00:04:15.106 --> 00:04:25.734]  In the police state here, the court of California is now going to reconsider whether that is allowed based on new findings that say there's no such thing as junk DNA.
[00:04:26.215 --> 00:04:38.184]  Most of your DNA has been described as quote junk DNA but it turns out that DNA may be able to describe traits and they can learn a lot of things about you by collecting that DNA without using a warrant so that's being challenged.
[00:04:38.704 --> 00:04:43.388]  In New Jersey, there are attempts to strip parental rights over vaccine exemptions.
[00:04:43.828 --> 00:04:44.909]  They don't want you to have a choice.
[00:04:45.189 --> 00:04:46.430]  They don't want you to be able to say no.
[00:04:46.951 --> 00:04:51.274]  And we get the morning after pills being given out to students without parents' consent.
[00:04:51.715 --> 00:04:56.399]  All of that news and a lot more, plus the guests, straight ahead right here on the Alex Jones Show.
[00:04:56.459 --> 00:04:56.999]  Stay with us.
[00:04:57.019 --> 00:04:57.700]  We'll be right back.
[00:05:03.812 --> 00:05:06.554]  Alex Jones here with a message to fellow freedom lovers.
[00:05:06.834 --> 00:05:11.657]  The prognosis for the entire planetary economic system runs from bad to worse.
[00:05:11.857 --> 00:05:19.021]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[00:05:19.161 --> 00:05:24.586]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[00:05:24.806 --> 00:05:28.530]  These are items that I did research on, that I personally use.
[00:05:28.830 --> 00:05:33.354]  You've got the LifeStraw, so you can turn fetid water into safe water anywhere you go.
[00:05:33.554 --> 00:05:38.759]  The KTOR Hand Crank Generator, to charge up key equipment during power outages or out in the field.
[00:05:39.019 --> 00:05:42.080]  Strategic Relocation 3rd Edition by Joel Skousen.
[00:05:42.240 --> 00:05:44.481]  When Disaster Strikes by Matthew Stein.
[00:05:44.741 --> 00:05:49.342]  Therosafe used by Homeland Security to protect yourself during any radiological event.
[00:05:49.502 --> 00:05:51.943]  Hand crank shortwave AM FM radios.
[00:05:52.383 --> 00:05:59.426]  Everything that we've researched and found to be the best is available at InfoWarshop.com and your purchase makes our Info War possible.
[00:05:59.586 --> 00:06:00.646]  We're getting prepared.
[00:06:00.866 --> 00:06:01.286]  Are you?
[00:06:01.546 --> 00:06:02.367]  InfoWarshop.com
[00:06:05.811 --> 00:06:13.478]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:06:13.918 --> 00:06:17.542]  Alex and his staff have used these pure soap products for years.
[00:06:18.002 --> 00:06:24.808]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:06:25.308 --> 00:06:28.131]  See them on the web at 5starsoap.com.
[00:06:28.331 --> 00:06:32.814]  Or call 800-340-7091 for a free catalog.
