[00:00:00.684 --> 00:00:01.005]  I got it.
[00:00:07.317 --> 00:00:09.438]  Waging war on corruption.
[00:00:09.438 --> 00:00:11.719]  Alright, here I go.
[00:00:11.719 --> 00:00:18.661]  It's Alex Jones, coming to you live from the front lines of the Infowar.
[00:00:18.661 --> 00:00:21.402]  Now we see the earth.
[00:00:21.402 --> 00:00:23.523]  You got it.
[00:00:23.523 --> 00:00:28.365]  Now we see the earth now.
[00:00:28.365 --> 00:00:31.146]  You got it.
[00:00:31.146 --> 00:00:32.346]  Now we see the earth.
[00:00:34.878 --> 00:00:40.095]  Well, ladies and gentlemen, it's supposedly 19 days until the world ends.
[00:00:42.520 --> 00:00:54.488]  December 21st is 19 days away, and I've got a bunch of articles here where people are freaking out, not sleeping, not paying their bills, not going to work.
[00:00:54.488 --> 00:00:59.091]  Quite a few people think Planet X, Nibiru, will be hitting the Earth.
[00:00:59.091 --> 00:01:07.637]  Of course, there are hundreds of thousands of amateur astronomers who can find tiny asteroids millions of miles
[00:01:09.458 --> 00:01:20.705]  But we here are to believe that Nibiru is going to be smashing into us because the Mayans said so.
[00:01:20.705 --> 00:01:23.007]  By the way, the Mayans did not say so.
[00:01:23.007 --> 00:01:29.992]  And that this huge planet is very close to us in the solar system.
[00:01:30.959 --> 00:01:34.342]  In fact, it's already closer than Mars and it's going to kill all of us.
[00:01:34.342 --> 00:01:35.843]  So, I guess that's it.
[00:01:35.843 --> 00:01:37.204]  19 days to live.
[00:01:37.204 --> 00:01:40.266]  Sayonara, as they say.
[00:01:40.266 --> 00:01:42.668]  Planetary seppuku is in the offing.
[00:01:43.849 --> 00:01:45.510]  Okay, let's get serious here.
[00:01:45.510 --> 00:01:48.973]  We're going to be breaking down the so-called fiscal cliff.
[00:01:48.973 --> 00:01:50.754]  Excuse me, I said 19 days.
[00:01:50.754 --> 00:01:53.076]  It's 18 days.
[00:01:53.076 --> 00:01:55.718]  I guess because they're going on the other side of the world where the days start.
[00:01:55.718 --> 00:01:57.559]  Because I guess in other parts of the world it is 18 days.
[00:01:57.559 --> 00:01:59.461]  It's 19 where I'm at.
[00:01:59.461 --> 00:02:02.623]  18 days, 1 hour, 58 minutes.
[00:02:02.623 --> 00:02:03.403]  And we're all dead.
[00:02:03.403 --> 00:02:05.505]  Boom!
[00:02:05.505 --> 00:02:06.786]  You're dead.
[00:02:06.786 --> 00:02:10.629]  The evil... It's one of my favorite sayings.
[00:02:12.488 --> 00:02:13.988]  We'll be killing us.
[00:02:13.988 --> 00:02:15.589]  Just like you're dead.
[00:02:15.589 --> 00:02:16.229]  Boom!
[00:02:16.229 --> 00:02:25.131]  You're dead if you don't give Al Gore all of your money through the carbon taxes.
[00:02:25.131 --> 00:02:28.332]  Okay, so we're going to be going over some of that today.
[00:02:28.332 --> 00:02:35.394]  But seriously, more of this humor is just gallows jest because
[00:02:37.992 --> 00:02:41.473]  I saw this about a week ago at DrudgeReport.com.
[00:02:41.473 --> 00:02:44.134]  We wrote articles about it at Infowars.com.
[00:02:44.134 --> 00:02:45.555]  So did the New American Magazine.
[00:02:45.555 --> 00:02:47.936]  So did the Weekly Standard.
[00:02:47.936 --> 00:02:53.178]  And it's all documented that the end of the free internet as we know it is here.
[00:02:55.123 --> 00:03:03.793]  In fact, guys, I forgot to print this because I saw this in the stack and it reminded me that this is coming to a head and then we printed a couple articles.
[00:03:03.793 --> 00:03:14.185]  But will you print me the CNET, because that's CBS, the Declan McCullough, there's a bunch of them, breaking down that the Cybersecurity Act
[00:03:15.618 --> 00:03:19.440]  Is basically a Russian-style or Chinese-style censorship.
[00:03:19.440 --> 00:03:21.440]  And then they go bullet point by bullet point.
[00:03:21.440 --> 00:03:23.681]  Just so you know, it's not Alex Jones saying it.
[00:03:23.681 --> 00:03:30.504]  I mean, I've been telling you this for over a decade because I was actually reading what Internet2 conferences were saying, meeting around the world.
[00:03:30.504 --> 00:03:32.805]  I was actually reading what the UN was saying.
[00:03:32.805 --> 00:03:34.225]  But now it's here.
[00:03:34.225 --> 00:03:43.169]  They're going to try to implement web taxes, web IDs, web tracking, automatic killing your computer if they claim you've downloaded something that is copyright.
[00:03:44.749 --> 00:03:48.130]  And we've seen massive abuse of that out there.
[00:03:48.130 --> 00:04:06.975]  And Politico has written an attack piece on Matt Drudge and DrudgeReport.com acting like it's just Matt Drudge saying this or that Matt Drudge is saying this in a vacuum when all Matt Drudge is doing is linking to even mainstream media documenting this.
[00:04:08.415 --> 00:04:15.542]  Pro-globalist, and you've got to say Politico is that, to a great extent, they always have to act like none of this is happening.
[00:04:15.542 --> 00:04:18.224]  Oh, you think there's a mega banking takeover happening?
[00:04:18.224 --> 00:04:21.187]  You think there's a world government being announced, you crazy people?
[00:04:21.187 --> 00:04:27.333]  Yeah, that Alex Jones, he believes in Bilderberg and other imaginary things, you know, stuff like this.
[00:04:27.333 --> 00:04:29.795]  And that's why you've become passé.
[00:04:30.936 --> 00:04:32.377]  More and more.
[00:04:32.377 --> 00:04:35.719]  People like Politico try to pose like they're alternative media or new media.
[00:04:35.719 --> 00:04:36.099]  No they're not.
[00:04:36.099 --> 00:04:37.820]  It's like Newsweek with the Daily Beast.
[00:04:37.820 --> 00:04:39.601]  So we've got that report.
[00:04:39.601 --> 00:04:42.623]  I want to get into what the fiscal cliff really means.
[00:04:42.623 --> 00:04:45.125]  Obama wants retroactive tax increases.
[00:04:45.125 --> 00:04:49.507]  And he wanted to be given dictatorial power over that process.
[00:04:49.507 --> 00:04:53.290]  And so we'll tell you how they're going to hold us all hostage coming up.
[00:04:53.290 --> 00:04:57.392]  We've got a bunch of special reports we're going to premiere here as well.
[00:04:57.392 --> 00:04:57.892]  Stay with us.
[00:04:57.892 --> 00:04:58.913]  Tell your friends and family to tune in.
[00:04:58.973 --> 00:05:03.056]  Millions of people are going to get sick this winter from colds, flu, and other illnesses.
[00:05:03.056 --> 00:05:04.277]  Don't be one of them!
[00:05:04.277 --> 00:05:09.981]  Protect yourself with Supernatural Silver, a revolutionary new broad-spectrum antibacterial solution.
[00:05:09.981 --> 00:05:19.788]  Recent advances in silver technology have resulted in a silver solution that can be used daily to prevent bacteria, viruses, mold, and food poisoning, and help improve wound healing.
[00:05:19.788 --> 00:05:26.473]  Supernatural Silver is safe enough to consume every day, while powerful enough to destroy the causes of many serious diseases.
[00:05:26.573 --> 00:05:26.973]  I think so.
[00:05:56.573 --> 00:06:01.795]  Like us on Facebook.
[00:06:01.795 --> 00:06:05.636]  We now take you live to the Central Texas Command Center.
[00:06:05.636 --> 00:06:13.079]  In the heart of the resistance, you're listening to the Alex Jones Show.
[00:06:13.079 --> 00:06:17.161]  It is Sunday, the second day of December 2012.
[00:06:17.161 --> 00:06:25.704]  Only 18 days and a few hours until the mainstream media in Hollywood says we're all dead.
[00:06:27.731 --> 00:06:35.193]  And then I've seen mainstream news articles the last few years saying that I'm saying 2012 is the end of the world, and I've never said any such thing.
[00:06:35.193 --> 00:06:36.574]  It is an absolute hoax.
[00:06:36.574 --> 00:06:40.655]  There is no Planet X coming to kill us on the 21st.
[00:06:40.655 --> 00:06:45.456]  But at any time, a giant world war could break out using nuclear weapons.
[00:06:45.456 --> 00:06:52.418]  Most defense analysts admit that we're in more danger now than at the height of the Cold War or even the Cuban Missile Crisis.
[00:06:53.098 --> 00:07:00.485]  And so there are real threats to humanity taking place going on out there, but certainly not 2012.
[00:07:00.485 --> 00:07:07.612]  And before I get into all of the news on the fiscal cliff and what's really behind that and the big announcement,
[00:07:08.332 --> 00:07:16.063]  That countries are banding together worldwide under the UN and the IMF and World Bank to censor the internet.
[00:07:16.063 --> 00:07:18.065]  We've known this has been coming for a long time.
[00:07:18.065 --> 00:07:23.412]  I want to decipher really the propaganda out there by Politico and others saying there's nothing to worry about.
[00:07:24.386 --> 00:07:31.892]  Kind of like they said, there's no carbon taxes at the Copenhagen meeting, and then it turned out there were giant carbon taxes they were pushing.
[00:07:31.892 --> 00:07:39.137]  It's the same thing over and over again, or Obama saying, I don't want to increase taxes on the general public, and it turns out that's exactly what he's demanding now.
[00:07:40.638 --> 00:07:50.324]  With the fiscal cliff is where they hold us hostage with all these entitlements and then shell us on accepting new taxes and expanded taxes and retroactive taxes.
[00:07:50.324 --> 00:07:51.665]  So all of that is coming up.
[00:07:51.665 --> 00:07:54.927]  But on the 2012 issue, here's the Daily Mail.
[00:07:54.927 --> 00:08:01.831]  NASA warns Mayan apocalypse stories pose threat to frightened children and suicidal teenagers.
[00:08:01.831 --> 00:08:04.713]  The National Aeronautics and Space Administration warns that the
[00:08:06.503 --> 00:08:14.290]  2012 Mayan apocalypse rumors pose a real-life threat to frightened children and depressed teenagers.
