[00:00:00.089 --> 00:00:00.750]  Find out right now!
[00:00:29.721 --> 00:00:31.304]  Thank you for listening to GCA.
[00:00:39.841 --> 00:00:44.043]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:00:44.684 --> 00:00:45.504]  You want answers?
[00:00:46.264 --> 00:00:47.225]  Well, so does he.
[00:00:47.825 --> 00:00:51.467]  He's Alex Jones on the GCN Radio Network.
[00:00:52.008 --> 00:00:56.130]  And now, live from Austin, Texas, Alex Jones.
[00:01:06.817 --> 00:01:07.098]  Yeah.
[00:01:15.885 --> 00:01:16.785]  Welcome, my friends.
[00:01:16.865 --> 00:01:17.265]  Welcome.
[00:01:17.305 --> 00:01:22.307]  Thank you so much for joining us as we start another three-hour transmission against tyranny.
[00:01:22.387 --> 00:01:25.247]  It is Tuesday, the 23rd day of January 2007.
[00:01:25.707 --> 00:01:31.569]  We're going to have open phones today and take a lot of your phone calls and cover the news.
[00:01:32.149 --> 00:01:41.171]  We have Hutton Gibson, who hasn't done a talk radio interview in over two and a half years, since the big Passion of the Christ controversy.
[00:01:42.200 --> 00:02:03.286]  He's coming on today, though, to talk about the Catholic Church and how it's been taken over by Masonic influences, and what Ratzinger is doing when he calls for the New World Order, when he went to Turkey and prayed to Mecca, and much, much more, with Hutton Gibson joining us in the second hour.
[00:02:03.426 --> 00:02:11.168]  I am honored that Mr. Gibson and the Gibson family trust this show enough
[00:02:12.264 --> 00:02:17.606]  That he would break his silence on this broadcast.
[00:02:18.546 --> 00:02:38.793]  And I was very pleased when I was contacted and told a few weeks ago that, when I talked to Hutton, that he was considering speaking out despite the media demonization and other things that he went through and the taking out of context statements
[00:02:39.674 --> 00:03:07.635]  uh... that he made and then well people making up statements that he never had made but again he'll be joining us to talk about the catholic church what the traditional catholics are are are are really saying that is coming up in the second hour today in the meantime i don't know where to start with all this news uh... paul watson wrote an article yesterday about mexican street gangs targeting blacks
[00:03:09.717 --> 00:03:21.203]  And we have a message board, and I'd say about 30% of people in there were very mad at us, claiming that we were trying to be racist against Hispanics by simply reporting this.
[00:03:23.304 --> 00:03:26.225]  Folks, we're just trying to cover the news here.
[00:03:27.666 --> 00:03:29.507]  And the facts are the facts.
[00:03:29.587 --> 00:03:35.150]  It is a minority of Hispanics, but it is a large group of people
[00:03:36.016 --> 00:03:40.078]  Who say they want to kill all whites and all blacks.
