[00:00:00.169 --> 00:00:01.290]  Serious tax problem.
[00:00:01.671 --> 00:00:02.652]  So get serious.
[00:00:02.932 --> 00:00:04.313]  Call Nationwide Tax Relief.
[00:00:04.713 --> 00:00:06.635]  We're honest and we'll treat you like family.
[00:00:06.976 --> 00:00:10.319]  Call us for your free confidential consultation.
[00:00:10.819 --> 00:00:12.141]  Again, you're not alone.
[00:00:12.441 --> 00:00:13.602]  You've got Nationwide.
[00:00:13.962 --> 00:00:16.044]  Call Nationwide Tax Relief today at 1-800-958-2677.
[00:00:16.064 --> 00:00:16.325]  That's 1-800-958-2677.
[00:00:27.388 --> 00:00:30.378]  This is the GCN Radio Network.
[00:00:37.955 --> 00:00:40.817]  USA Radio Network News, Richard Curtis reporting.
[00:00:41.297 --> 00:00:42.998]  About 1,800 people packed St.
[00:00:43.038 --> 00:00:48.942]  Timothy's Catholic Church in Chantilly, Virginia yesterday in honor of 18-year-old Rima Samaha.
[00:00:49.023 --> 00:00:54.526]  Many speaking to the audience made reference to Samaha's dancing and other talents, as well as her smile.
[00:00:55.007 --> 00:01:00.910]  Her father, Joseph, said while there is great grief, he does forgive his daughter's killer, son Hui Cho.
[00:01:01.071 --> 00:01:04.313]  We express our most sincere condolences to the families
[00:01:05.053 --> 00:01:09.556]  Of the other Virginia Tech students and professors that died on that same day.
[00:01:11.076 --> 00:01:17.720]  We also want to extend our condolences to the children and members of the Korean community who have also lost a son.
[00:01:18.280 --> 00:01:24.844]  President Bush addressed the annual White House Correspondents Dinner last night, striking a far more somber note than he has in years past.
[00:01:24.924 --> 00:01:27.505]  In light of this week's tragedy at Virginia Tech,
[00:01:30.615 --> 00:01:32.156]  Uh, decided not to be funny.
[00:01:32.836 --> 00:01:39.720]  The president, however, did tell those in attendance that he felt the dinner came at a perfect time, given what a tough week it's been for the entire nation.
[00:01:40.300 --> 00:01:44.342]  He then turned over the microphone to this year's entertainment comedian, Rich Merle.
[00:01:45.237 --> 00:01:52.921]  And an Illinois woman accused of killing an expectant mother and her unborn child, now charged with murdering the woman's three other children last September.
[00:01:53.501 --> 00:01:58.063]  A grand jury has indicted 24-year-old Tiffany Holland, the deaths of the children ages 1, 2, and 7 years.
[00:01:58.083 --> 00:01:59.484]  CSA Radio Network News.
[00:02:04.753 --> 00:02:08.014]  My name's Brian, and I've been suffering from psoriasis for over 15 years.
[00:02:08.134 --> 00:02:10.274]  And this product, SkinZinc, actually works.
[00:02:10.734 --> 00:02:12.214]  I love it because there's no steroids.
[00:02:12.234 --> 00:02:13.915]  You just spray it on, and it works.
[00:02:13.935 --> 00:02:15.075]  It's like having brand new skin.
[00:02:15.155 --> 00:02:18.695]  I'm Janine, and I just want to tell everyone out there that SkinZinc is amazing.
[00:02:18.996 --> 00:02:19.856]  I don't itch.
[00:02:19.896 --> 00:02:21.556]  Look, I'm in a t-shirt and shorts.
[00:02:21.616 --> 00:02:23.396]  I finally have a social life again.
[00:02:23.596 --> 00:02:24.376]  Just try it.
[00:02:24.437 --> 00:02:24.957]  It works.
[00:02:25.037 --> 00:02:25.697]  Believe me.
[00:02:25.717 --> 00:02:30.638]  My name is Mark, and I've used everything there is to treat the dry, flaky skin on my arms.
[00:02:30.978 --> 00:02:31.658]  SkinZinc helps.
[00:02:31.678 --> 00:02:32.858]  I don't know why doctors don't
[00:02:32.958 --> 00:02:34.759]  I don't have this, but I'm telling you, they don't.
[00:02:34.899 --> 00:02:37.681]  After using SkinZinc, it's completely cleared up.
[00:02:37.901 --> 00:02:39.222]  SkinZinc is phenomenal.
[00:02:39.363 --> 00:02:44.206]  I tried SkinZinc and in about one week, I noticed that the rashes on my arms were going away.
[00:02:44.246 --> 00:02:46.127]  The worst that I've ever used, period.
[00:02:46.167 --> 00:02:49.510]  Call right now for your in-home 30-day risk-free trial of SkinZinc at 1-800-554-8526.
[00:02:49.530 --> 00:02:49.810]  That's 1-800-554-8526.
[00:02:49.830 --> 00:02:51.351]  SkinZinc helps you eliminate psoriasis.
[00:02:57.575 --> 00:02:58.175]  Call 1-800-554-8526.
[00:02:58.195 --> 00:02:58.396]  1-800-554-8526.
[00:02:58.456 --> 00:03:03.298]  One of the U.S.
[00:03:05.779 --> 00:03:12.623]  Navy's best pilots was killed yesterday afternoon when an F-A-18 jet fighter crashed during an air show in Beaufort, South Carolina.
[00:03:13.183 --> 00:03:16.165]  The pilot and his plane were part of the Blue Angels flight demonstration team.
[00:03:16.425 --> 00:03:20.027]  An investigation is underway to determine what went wrong leading to the crash.
[00:03:20.766 --> 00:03:27.768]  At a news conference, Belfort County Emergency Management Director William Wynne said there will be restrictions for people in the vicinity of where the crash occurred.
[00:03:27.788 --> 00:03:36.950]  No one will be allowed into that area due to pending investigations and debris that is scattered with some hazardous materials involved.
[00:03:37.270 --> 00:03:42.911]  Wynne said there's no clear information available on the number of houses that may have been damaged by debris from the stricken jet as well.
[00:03:43.672 --> 00:03:49.178]  Some residents in part of Georgia are feeling the effects of the largest wildfire to ravage the area in roughly half a century.
[00:03:49.899 --> 00:03:55.987]  The 45,000 acre Sweat Farm Road has destroyed close to 20 homes since it was first reported last Monday.
[00:03:56.007 --> 00:03:59.090]  At least a thousand people have been forced to evacuate their homes.
[00:03:59.851 --> 00:04:01.554]  This is USA Radio Network News.
[00:04:05.029 --> 00:04:07.310]  Hello, and welcome back to Ask the Orkin Man.
[00:04:07.550 --> 00:04:10.852]  Orkin Man, I got a science test tomorrow and I haven't studied much.
[00:04:11.052 --> 00:04:12.093]  Isn't school out for the summer?
[00:04:12.393 --> 00:04:13.474]  Summer school, dude.
[00:04:13.574 --> 00:04:14.875]  It's uncommon house bugs.
[00:04:14.935 --> 00:04:15.535]  Can you help me?
[00:04:15.615 --> 00:04:15.875]  Sure.
[00:04:15.995 --> 00:04:17.616]  Tell me about brown-banded roaches.
[00:04:17.776 --> 00:04:18.597]  Sure question.
[00:04:18.657 --> 00:04:19.477]  No such thing.
[00:04:19.557 --> 00:04:21.258]  There is, and they like to hide in furniture.
[00:04:21.378 --> 00:04:22.159]  Ha ha, me too.
[00:04:22.419 --> 00:04:22.799]  Okay.
[00:04:23.019 --> 00:04:23.779]  Odorous house ants.
[00:04:23.920 --> 00:04:25.420]  How do you know my aunt's house smells funny?
[00:04:25.941 --> 00:04:27.982]  I was talking about ants that forage day and night.
[00:04:28.122 --> 00:04:28.762]  That's her!
[00:04:28.882 --> 00:04:32.564]  Folks, you can't become an expert overnight, but you can call us at 1-800-ORKIN-MAN.
[00:04:35.018 --> 00:04:41.467]  In the aftermath of the massacre at Virginia Tech, it is only natural for people to suffer some residual emotional effects.
[00:04:42.328 --> 00:04:52.310]  Dr. Ferris, tumor with the National Institute of Mental Health says it's important for people to acknowledge that they have been affected by tragic events like this in order to help them deal with emotional impact.
[00:04:52.350 --> 00:05:10.974]  In general, and it sort of depends on the age of the child, it's probably a good idea for parents to be prepared to explain what's happened as best that they're able, to encourage their children to express their feelings and to listen to them without sort of passing judgment of telling them that they're right or wrong about the way they feel.
[00:05:11.880 --> 00:05:20.961]  And an auction held yesterday in New York City raised nearly two and a half million dollars to benefit musicians who virtually lost everything they had in Hurricane Katrina in New Orleans.
[00:05:21.576 --> 00:05:27.681]  Among the high-dollar memorabilia hitting the block was a Les Paul guitar used by U2's The Edge for $240,000.
[00:05:28.002 --> 00:05:30.524]  More news on usaradio.com.
[00:05:30.544 --> 00:05:33.146]  I'm Richard Curtis with USA Radio Network News.
[00:05:33.526 --> 00:05:42.054]  According to a recent report by the National Institute of Health, high blood pressure is a major risk factor for heart disease and a chief risk factor for stroke and heart failure.
[00:05:42.274 --> 00:05:44.096]  It affects about 50 million Americans.
[00:05:44.316 --> 00:05:45.497]  That's one in four adults.
[00:05:45.797 --> 00:05:51.905]  Because many people have high blood pressure for years without knowing it, the American Heart Association calls it the silent killer.
[00:05:52.166 --> 00:05:55.850]  At ResearchedHerbs.com, we recognize your concern for your well-being.
[00:05:56.131 --> 00:06:03.080]  As your online partner in health, we are committed to empowering you with the resources you need to make informed health decisions about high blood pressure.
[00:06:03.300 --> 00:06:12.967]  Visit us online at ResearchedHerbs.com to learn more about HeartCare, the widely researched natural herbal supplement for regulating blood pressure and maintaining optimum heart health.
[00:06:13.287 --> 00:06:19.371]  Did you know that the safety and effectiveness of HeartCare is backed by over a hundred clinical trials and experimental studies?
[00:06:19.751 --> 00:06:20.211]  Act now!
[00:06:20.311 --> 00:06:26.836]  Visit us online at ResearchedHerbs.com or call us at 1-800-845-3841 to start protecting yourself from the silent killer.
[00:06:26.856 --> 00:06:27.176]  That's 1-800-845-3841.
[00:06:34.141 --> 00:06:40.985]  Prepare yourself for a talk radio experience like no other.
[00:06:41.005 --> 00:06:43.347]  Strap yourselves in and hold on.
[00:06:43.727 --> 00:06:45.889]  He stands for truth.
[00:06:46.489 --> 00:06:49.652]  He stands for justice.
[00:06:49.712 --> 00:06:51.233]  He stands for what's right.
[00:06:51.653 --> 00:06:54.515]  This is the Alex Jones Show.
[00:06:54.995 --> 00:06:57.257]  Call Alex now, toll free.
[00:06:58.135 --> 00:06:58.315]  At 877-590-5525.
[00:06:58.356 --> 00:07:02.462]  Now live from Austin, Texas, here's Alex Jones.
[00:07:15.149 --> 00:07:16.050]  Welcome, my friends.
[00:07:16.150 --> 00:07:16.570]  Welcome.
[00:07:16.630 --> 00:07:18.751]  It is the first day of April, 2007.
[00:07:19.631 --> 00:07:21.112]  April Fool's Day.
[00:07:21.152 --> 00:07:26.635]  I could get up here and tell you that wild hyenas had escaped from the Austin Zoo.
[00:07:26.755 --> 00:07:29.577]  I could tell you that George Bush was a conservative.
[00:07:29.657 --> 00:07:29.897]  I could
[00:07:30.638 --> 00:07:34.542]  Even report to you that there's no such thing as a New World Order.
[00:07:35.183 --> 00:07:36.424]  But I don't joke around.
[00:07:36.464 --> 00:07:38.406]  I don't play games, my friends.
[00:07:38.627 --> 00:07:42.691]  And so we're going to dispense with any April Fool's jokes today.
[00:07:42.711 --> 00:07:47.496]  This is a syndicated broadcast I've been doing now for about six months out of the studios of NewsRadio.
[00:07:48.456 --> 00:07:50.817]  590KLBJ, the mothership right here in Austin, Texas.
[00:07:51.157 --> 00:07:56.359]  Speaking of that, I want to thank all the affiliates out there, AMFM, Shortwave Internet, that are picking up the show.
[00:07:56.739 --> 00:08:03.721]  You can also go to 590KLBJ.com, and there is on the main page a chat room.
[00:08:03.781 --> 00:08:07.002]  I'll also be taking your questions from that chat room today.
[00:08:07.022 --> 00:08:12.724]  It's very easy to register and get set up with the chat room, so be sure to visit 590KLBJ.com, and I'll be taking
[00:08:13.184 --> 00:08:19.590]  Questions via the chat room as well as the toll-free line 877-590-5525.
[00:08:19.630 --> 00:08:21.812]  That's 877-590-5525.
[00:08:24.775 --> 00:08:28.258]  Let me go through some of the headlines and news we'll be covering today.
[00:08:28.418 --> 00:08:28.799]  U.S.
[00:08:29.159 --> 00:08:32.362]  ready to strike Iran on Good Friday.
[00:08:32.842 --> 00:08:34.024]  That's next Friday.
[00:08:34.464 --> 00:08:37.287]  That's from the Jerusalem Post today, Sunday, April 1st.
[00:08:38.382 --> 00:08:42.264]  Another report here, London Evening Standard, Russian officials say U.S.
[00:08:42.304 --> 00:08:45.605]  will be ready to strike Iran in April.
[00:08:46.125 --> 00:08:51.888]  Another report, out of the French News Agency, Agency French Press, AFP, U.S.
[00:08:51.948 --> 00:08:55.369]  carrier deploys amid Iran tensions, the U.S.
[00:08:55.469 --> 00:08:55.809]  Nimitz.
[00:08:56.670 --> 00:08:59.711]  Now we'll bring that to three aircraft carriers.
[00:09:01.633 --> 00:09:07.538]  And if you think it's really there to relieve the Dwight D. Eisenhower, I got a bridge I'm really ready to sell you.
[00:09:08.138 --> 00:09:14.504]  Also, the Debco file, which has proven to be pretty accurate in the past, is reporting the war is going to be on.
[00:09:15.044 --> 00:09:21.910]  So I know a lot of you that associate your manhood with watching CNN and aerial bombardments, get ready to feel powerful in your easy chair.
[00:09:23.503 --> 00:09:26.606]  We'll get into the trap, though, and how we're being set up here a little bit later.
[00:09:27.227 --> 00:09:34.414]  Also, I've interviewed Craig Murray, the former ambassador, the former British ambassador to Uzbekistan.
[00:09:35.175 --> 00:09:40.801]  Last year, he also headed up the British government's Maritime Administration.
[00:09:40.861 --> 00:09:42.243]  Very powerful, very important.
[00:09:42.783 --> 00:09:45.505]  And so he's an expert on territorial waters and boundaries.
[00:09:46.105 --> 00:09:50.767]  And he's gone public along with many others now to state that it is not true ladies and gentlemen.
[00:09:51.688 --> 00:09:55.290]  All the evidence points towards the British in Iranian waters.
[00:09:56.350 --> 00:09:58.552]  Now the British government though is not lying to you.
[00:09:58.752 --> 00:10:04.355]  They're playing a lawyer game like Bill Clinton saying it depends on what the word is is means.
[00:10:05.115 --> 00:10:06.696]  Depends on what your meaning of is is.
[00:10:07.857 --> 00:10:08.357]  The British
[00:10:09.128 --> 00:10:18.414]  A few months ago, we wrote the maps themselves and now claim that new maps that have never been accepted are the territorial waters.
[00:10:18.835 --> 00:10:33.465]  That's kind of like if Mexico just claimed half of Texas belonged to Mexico, which they're actually claiming the whole Southwest does, but I mean, for the sake of argument, if Mexico just, you know, said that as far north as Dallas belonged to Mexico and just wrote a new map, would that be the case?
[00:10:34.145 --> 00:10:36.447]  No, it would not be the case.
[00:10:37.575 --> 00:10:40.156]  So, we'll be getting into that report as well.
[00:10:41.297 --> 00:10:53.303]  Also, I remember ten years ago learning that they planned to fund the European Union, the North American Union, the Asian Union, then merge those three unions to fund that, a global tax.
[00:10:53.423 --> 00:10:59.786]  And the UN officially said they were going to have a worldwide emissions tax on any fossil fuels that are used.
[00:11:01.378 --> 00:11:11.878]  They are just now broaching this to the public, though, and you read stories like this one out of the Washington Post, Total Propaganda by Juliet Elprint and Stephen Mufson.
[00:11:12.541 --> 00:11:16.183]  And it says, tax on carbon emissions gains support.
[00:11:16.684 --> 00:11:19.245]  And they say they just thought of this last week.
[00:11:19.705 --> 00:11:22.807]  It's a wonderful new... It's kind of like the Pentagon announced last year.
[00:11:23.188 --> 00:11:25.049]  Oh, we're going to break Iraq in three parts.
[00:11:25.469 --> 00:11:26.590]  Oh, we just thought of that.
[00:11:27.130 --> 00:11:29.451]  The official Pentagon plan from the early 80s.
[00:11:29.872 --> 00:11:31.813]  So they would break Iraq into three parts.
[00:11:32.793 --> 00:11:38.217]  I mean, for those of us that actually read government documents and actually follow the real policy and not the stuff on Fox and CNN,
[00:11:39.284 --> 00:11:42.208]  It's just how they insult your intelligence, but I guess it works.
[00:11:42.869 --> 00:11:45.752]  So, here's world government right here.
[00:11:45.772 --> 00:11:48.696]  Here's world government in front of everyone's face.
[00:11:50.417 --> 00:11:57.180]  So we'll be getting into the new taxes you're going to be paying unless you can wake up and admit to yourself there's a North American Union and America's under attack.
[00:11:57.640 --> 00:11:58.980]  The real threat is not Iran.
[00:11:59.220 --> 00:12:01.121]  It's the criminals that run our government, both parties.
[00:12:01.521 --> 00:12:02.282]  We'll be breaking that down.
[00:12:02.682 --> 00:12:04.442]  Also, foreclosures accelerated.
[00:12:04.482 --> 00:12:08.084]  Million-dollar homes right down to $80,000 and $150,000 homes.
[00:12:08.904 --> 00:12:10.405]  Massive foreclosures.
[00:12:10.545 --> 00:12:13.306]  Record foreclosures since the Great Depression.
[00:12:13.706 --> 00:12:15.727]  But they're still telling you that the economy's great.
[00:12:16.447 --> 00:12:18.788]  Meanwhile, the dollar's in absolute free fall.
[00:12:19.924 --> 00:12:21.565]  I'm pretty upset about that myself.
[00:12:22.486 --> 00:12:27.869]  But I'm so busy covering the news, I don't have time to scramble with the money I've saved and put it into something that's safe.
[00:12:27.909 --> 00:12:28.589]  I just don't have time.
[00:12:28.949 --> 00:12:29.990]  I literally don't even care.
[00:12:30.010 --> 00:12:34.453]  I'm just sitting here in horror, watching the country go into a new depression.
[00:12:36.960 --> 00:12:42.362]  It's kind of like a heroin head that's taken their last injection, but when that wears off, there's no more heroin.
[00:12:42.923 --> 00:12:44.203]  And it's going to be quite a crash.
[00:12:44.884 --> 00:12:45.884]  So we'll be going over that.
[00:12:46.424 --> 00:12:52.947]  We told you three and a half weeks ago, a week before the Rosie O'Donnell story broke, where she says 9-11 is an inside job, basically.
[00:12:53.267 --> 00:12:59.590]  We told you about her getting ready to go public before she did, because of our inside sources.
[00:12:59.650 --> 00:13:03.092]  And then, of course, she started about three weeks ago putting stuff on her blog.
[00:13:03.532 --> 00:13:06.373]  It is now in the top two stories in the country.
[00:13:07.083 --> 00:13:08.624]  It's Iran and then Rosie O'Donnell.
[00:13:09.844 --> 00:13:21.848]  It's on every CNN, MSNBC, FOX, every major publication that I've seen, wall to wall, from AOL to USA Today, and I'm very close to getting Rosie on my show this week.
[00:13:22.569 --> 00:13:24.130]  I talked to Charlie Sheen yesterday.
