[00:00:00.572 --> 00:00:01.853]  Welcome, ladies and gentlemen.
[00:00:01.913 --> 00:00:02.313]  Welcome.
[00:00:02.333 --> 00:00:03.754]  It is the sixth day of August 2007.
[00:00:03.834 --> 00:00:07.516]  We're going to be live here for the next three hours.
[00:00:07.536 --> 00:00:11.598]  We don't have any guests today because I want to be able to cover news and take your phone calls.
[00:00:13.079 --> 00:00:15.621]  The stock market is in serious decline right now.
[00:00:15.641 --> 00:00:25.466]  The dollar is in free fall again today, as well as the nation's second-largest mortgage lender declaring bankruptcy unexpectedly.
[00:00:26.047 --> 00:00:29.669]  And that's not because of people who were at risk.
[00:00:30.633 --> 00:00:34.616]  Uh, borrowers defaulting or slow paying.
[00:00:35.096 --> 00:00:39.099]  That is because of quote, main line people with good credit.
[00:00:41.821 --> 00:00:45.224]  Very serious, so the latest info is coming out on that minute by minute.
[00:00:45.244 --> 00:00:47.145]  We'll be covering that when we get back from break.
[00:00:48.026 --> 00:00:53.270]  Also, as if that isn't bad enough, we now have new details, since I first covered this yesterday on the Sunday show we do now.
[00:00:54.668 --> 00:00:58.730]  Foot-and-mouth virus released from government laboratory in England.
[00:00:59.130 --> 00:01:06.052]  They did this last time and killed 8 million sheep, more than 2 million cows, and devastated most farms in the nation.
[00:01:06.092 --> 00:01:11.515]  This is all about control and quarantines and lockdowns, and they're even admitting the government did it again.
[00:01:12.535 --> 00:01:15.236]  I mean, they just admit it and then roll forward.
[00:01:17.328 --> 00:01:22.590]  And folks, I see articles like this every day, but I usually don't see three or four or five in one day.
[00:01:22.750 --> 00:01:25.710]  There are five stories today.
[00:01:27.611 --> 00:01:34.713]  Headline, the Denver News Channel 7, ABC, fire crew bosses who can't speak Spanish are fired.
[00:01:35.533 --> 00:01:36.533]  Can't lose jobs.
[00:01:37.654 --> 00:01:38.774]  Another headline here.
[00:01:42.137 --> 00:01:45.140]  English speaker says the landlord's message is clear.
[00:01:45.260 --> 00:01:45.901]  No Spanish.
[00:01:45.961 --> 00:01:46.681]  You're kicked out.
[00:01:47.102 --> 00:01:48.884]  We don't want gringos here anymore.
[00:01:50.145 --> 00:01:50.945]  Here's another one.
