[00:00:00.049 --> 00:00:01.309]  That's the law required.
[00:00:26.673 --> 00:00:31.457]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:00:38.682 --> 00:00:39.343]  Big Brother.
[00:00:39.983 --> 00:00:41.044]  Mainstream media.
[00:00:41.765 --> 00:00:42.865]  Government cover-ups.
[00:00:43.526 --> 00:00:44.327]  You want answers?
[00:00:45.087 --> 00:00:46.088]  Well, so does he.
[00:00:46.648 --> 00:00:50.451]  He's Alex Jones on the GCN Radio Network.
[00:00:50.852 --> 00:00:54.915]  And now, live from Austin, Texas, Alex Jones.
[00:00:56.462 --> 00:01:06.327]  Welcome ladies and gentlemen, welcome and thank you so much for joining us on this live Friday edition.
[00:01:06.407 --> 00:01:07.448]  The 13th day
[00:01:24.864 --> 00:01:25.484]  Of April 2007.
[00:01:26.305 --> 00:01:32.268]  And we're going to be live here for the next three hours.
[00:01:33.529 --> 00:01:42.654]  We have another 9-11 individual, another person going public on 9-11 and questioning the official story.
[00:01:42.674 --> 00:01:50.479]  A well-known actor from television and film, who currently has a highly rated television program.
[00:01:51.691 --> 00:01:56.535]  Coming on to talk about 9-11 and why he believes it is an inside job.
[00:01:56.995 --> 00:01:59.117]  That is coming up in the next hour.
[00:01:59.517 --> 00:02:03.240]  We'll tell you a little bit more about that individual just a little bit later.
[00:02:05.482 --> 00:02:14.169]  I mentioned this story yesterday, but I want to at the start today to spend more time on it.
[00:02:16.098 --> 00:02:19.179]  That's a report out of NewsTarget.
[00:02:19.680 --> 00:02:29.404]  Monsanto's GM corn, MON863, shows kidney, liver toxicity in animal studies.
[00:02:29.444 --> 00:02:45.431]  At the end of the show I mention this, so for those of you listening to a rebroadcast of yesterday's program that bumps right up against my live one, you just heard me talking about it, but for new listeners tuning in on the AM and FM dial, or Global Shortwave, or other places, we're going to spend some time on this.
[00:02:46.443 --> 00:02:52.648]  The corn in question, MON863, is made by the Monsanto Company.
[00:02:52.668 --> 00:02:53.869]  It isn't grown, it's made.
[00:02:55.890 --> 00:02:57.732]  I guess it is grown, but that's all designed.
[00:02:58.092 --> 00:03:06.419]  And approved for use in Australia, Canada, China, the European Union, Japan, Mexico, the Philippines, and the United States.
[00:03:06.459 --> 00:03:07.740]  This is the stuff that's approved.
[00:03:08.640 --> 00:03:13.244]  It had a gene inserted from the bacteria Bacillus
[00:03:13.996 --> 00:03:20.977]  We'll tell you when we get back from break what it did exactly to their bodies, what it did to their livers.
[00:03:43.948 --> 00:03:48.551]  What it did to their entire metabolic system.
[00:03:50.932 --> 00:03:53.854]  In the meantime, I'll also just give you a rundown of some of the news here.
[00:03:53.874 --> 00:03:54.874]  I don't even know where to start.
[00:03:57.135 --> 00:04:00.457]  CBS has fired him from his radio show.
[00:04:01.338 --> 00:04:03.619]  He has lost his TV show, of course, first.
[00:04:05.460 --> 00:04:12.104]  And most people are running around celebrating, including Bill O'Reilly and others, because they love censorship.
[00:04:12.634 --> 00:04:15.536]  They love to set the precedent of everyone being fired but themselves.
[00:04:17.578 --> 00:04:23.623]  Every show O'Reilly seems to do is fire this person, fire that person, arrest this person.
[00:04:24.123 --> 00:04:25.504]  I've never liked Don Imus.
[00:04:26.044 --> 00:04:27.005]  Very abrasive.
[00:04:27.966 --> 00:04:28.726]  A big bully.
[00:04:28.786 --> 00:04:30.047]  Somebody on a power trip.
[00:04:31.469 --> 00:04:33.170]  Relishing their petty power.
[00:04:34.511 --> 00:04:40.913]  And so it illustrates how transitory power is, and well, how transitory life itself is.
[00:04:41.553 --> 00:04:43.574]  All of this stuff is just going to be blown away.
[00:04:43.614 --> 00:04:44.274]  It doesn't matter.
[00:04:46.315 --> 00:04:47.175]  All of us die.
[00:04:47.195 --> 00:04:48.276]  None of it lasts forever.
[00:04:48.336 --> 00:04:50.256]  None of it even lasts really for the twinkling of an eye.
[00:04:52.037 --> 00:04:58.739]  But it's not just because I'm in the media that I do have a concern and get a chill up my spine to see this.
[00:05:00.603 --> 00:05:09.728]  Because, I mean, other people are being fired just for repeating what he said like it's some type of blasphemy.
[00:05:11.689 --> 00:05:15.210]  So we'll talk a little bit about Don Imus as well, and political correctness run amok.
[00:05:16.571 --> 00:05:19.612]  And we'll take your calls in this first hour, second hour, and third hour.
[00:05:19.632 --> 00:05:20.933]  It will be open lines today.
[00:05:20.953 --> 00:05:21.533]  1-800-259-9231.
[00:05:21.613 --> 00:05:21.993]  Stay with us.
[00:05:37.176 --> 00:05:42.620]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
