[00:00:00.109 --> 00:00:01.490]  A really good idea.
[00:00:01.590 --> 00:00:04.692]  And thanks to Inventech, no one's gonna cash in but me.
[00:00:05.053 --> 00:00:08.815]  They're going to help me get my invention off the drawing board and into the marketplace.
[00:00:09.155 --> 00:00:10.576]  I really need Inventech.
[00:00:10.857 --> 00:00:11.837]  What's that number again?
[00:00:11.857 --> 00:00:11.917]  1-800-313-6868.
[00:00:12.438 --> 00:00:12.838]  One more time?
[00:00:12.858 --> 00:00:13.138]  Call 1-800-313-6868.
[00:00:13.258 --> 00:00:13.559]  That's 1-800-313-6868.
[00:00:29.729 --> 00:00:39.755]  This is the GCN Radio Network.
[00:00:39.995 --> 00:00:40.655]  Big Brother.
[00:00:41.296 --> 00:00:42.376]  Mainstream media.
[00:00:43.077 --> 00:00:44.197]  Government cover-ups.
[00:00:44.217 --> 00:00:45.638]  You want answers?
[00:00:46.398 --> 00:00:47.179]  Well, so does he.
[00:00:47.950 --> 00:00:51.531]  He's Alex Jones on the GCN Radio Network.
[00:00:52.151 --> 00:00:56.252]  And now, live from Austin, Texas, Alex Jones.
[00:01:08.575 --> 00:01:17.317]  Well, early this morning, my wife woke me up and said, get up, they've shut down part of downtown Austin.
[00:01:19.582 --> 00:01:24.126]  There are dead birds all over the place, and some police had to go to the hospital.
[00:01:25.987 --> 00:01:32.632]  And sure enough, at least three police officers said they felt ill when they were responding to the report.
[00:01:32.753 --> 00:01:40.218]  The Capitol Police first discovered a bunch of dead pigeons out front the Capitol, and then all the way up Congress.
[00:01:40.559 --> 00:01:46.884]  Congress was supposedly littered with several dozen of the dead flying rats.
[00:01:50.359 --> 00:01:51.079]  I better watch it.
[00:01:51.139 --> 00:01:53.080]  Kevin races pigeons and he loves them.
[00:01:53.300 --> 00:01:58.161]  We've actually had pigeons delivered here before and they were in the big box with the holes in it.
[00:01:59.121 --> 00:01:59.281]  Uh-oh!
[00:02:00.222 --> 00:02:01.422]  We're in trouble now!
[00:02:02.782 --> 00:02:05.643]  Jack Bauer will be kicking down the door to keep us safe.
[00:02:07.143 --> 00:02:17.086]  But to make a long story short, it's probably one of the apartment owners or business owners downtown sick of the
[00:02:18.032 --> 00:02:20.995]  Flying rats who poisoned a bunch of them, which people do.
[00:02:21.616 --> 00:02:34.608]  They put little electrical zappers all over the store signs, all over the buildings downtown, on all the ledges, or many of the ledges, in an attempt to frustrate the pigeon infestations.
[00:02:36.210 --> 00:02:40.334]  But I would have to say that someone poisoned the pigeons.
[00:02:41.943 --> 00:02:47.166]  Or there was some big vat of water on a rooftop they've been drinking out of and somebody poisoned the pigeons.
[00:02:47.326 --> 00:02:53.169]  Or a chemical leached on a building on a rooftop into a big vat of water and killed the pigeons.
[00:02:53.989 --> 00:03:01.893]  Something like that, but I really wasn't even going to cover it today until I noticed that Drudge was reporting on it and there was national news reports.
[00:03:02.514 --> 00:03:04.935]  Had Al-Qaeda struck?
[00:03:06.816 --> 00:03:08.957]  Hmm, was it all over for us?
[00:03:11.016 --> 00:03:19.683]  So we'll be going over just the hysteria in society.
