[00:00:01.210 --> 00:00:02.031]  You want answers?
[00:00:02.791 --> 00:00:03.672]  Well, so does he.
[00:00:03.692 --> 00:00:08.035]  He's Alex Jones on the GCN Radio Network.
[00:00:08.556 --> 00:00:12.679]  And now, live from Austin, Texas, Alex Jones.
[00:00:14.140 --> 00:00:18.083]  There's a lot of editing going on, editing in the Matrix.
[00:00:18.183 --> 00:00:29.692]  We know Bush has bought billions and billions of fake news and thousands of reporters out pushing a police state martial law, telling us how good it is to have police in black uniforms arresting reporters coast to coast.
[00:00:30.712 --> 00:00:32.913]  A new age of darkness is upon us.
[00:00:32.973 --> 00:00:38.375]  Hillary and Chuckie and all of them have been voting for it while criticizing their scapegoat, Alberto Gonzalez.
[00:00:38.776 --> 00:00:41.437]  A unified front of tyranny upon the people.
[00:00:41.897 --> 00:00:49.520]  Virgil Griffith is the amazing individual who's gotten so much attention because of the open source nature of Wikipedia.
[00:00:49.540 --> 00:00:52.581]  He was able to craft a program and a wiki scanner.
[00:00:53.782 --> 00:00:56.083]  We've been hearing so much about the last three weeks since this broke.
[00:00:56.872 --> 00:01:02.336]  And headlines, see who's editing Wikipedia, Diebold, the CIA, and campaigns.
[00:01:03.156 --> 00:01:14.384]  And it goes on from there, and we've been doing wiki scans and finding out all the government agencies and people that have been in there foxing and messing with the postings about me, or just out of hand deleting them.
[00:01:14.704 --> 00:01:18.227]  Hundreds of pages about my films and works we've done, just gone forever.
[00:01:19.082 --> 00:01:19.723]  Oh, it's a sure thing.
[00:01:19.743 --> 00:01:20.484]  It's a pleasure to be here.
[00:01:36.957 --> 00:01:38.598]  You're a Caltech graduate student.
[00:01:39.099 --> 00:01:40.460]  When did you think up this idea?
[00:01:40.480 --> 00:01:43.542]  How long did it take you to craft this wondrous application?
[00:01:44.062 --> 00:01:46.644]  Well, I thought of the idea actually about a year ago.
[00:01:47.245 --> 00:01:54.590]  And this was when some Wikipedians caught Congressmen whitewashing their own pages.
[00:01:55.210 --> 00:02:02.316]  And so I think, hey, if they can do this manually, I can do this for all of Wikipedia.
[00:02:02.616 --> 00:02:05.198]  But unfortunately, I was always busy then, so I sat on the idea.
[00:02:06.391 --> 00:02:11.934]  When you finally got it built and tested, what was it like to see the incredible results you were getting?
[00:02:27.279 --> 00:02:39.385]  I quickly saw that it would be a bad idea if there was any sort of system on my website where people could rate how juicy the edits were, because that would probably get you sued.
[00:02:39.725 --> 00:02:46.129]  So I was very happy when Wired Magazine stepped in and they offered to do that for me.
[00:02:46.509 --> 00:02:56.794]  So that way I could stand back and be objective, and I could just say, oh look, I just provide the tool and whatever people do with it, well that's up to them.
[00:02:57.799 --> 00:03:03.742]  Well, I'm asking my listeners to go in and use this and make submissions to our PrisonPlanet.com form.
[00:03:03.762 --> 00:03:07.004]  We're going to create a section there, and everybody should do this.
[00:03:07.024 --> 00:03:09.105]  We should learn how the crannies of the web work.
[00:03:09.145 --> 00:03:10.927]  We should investigate what's happening.
[00:03:11.307 --> 00:03:20.372]  Now, back, what, last year when there were allegations of congressmen manipulating it, they denied it and called it a conspiracy theory, but now your scanners confirmed a lot of that.
[00:03:21.132 --> 00:03:23.374]  Yeah, it's certainly true.
[00:03:23.394 --> 00:03:27.176]  I mean, if you want to, you can go search right now and you can see tons of them.
[00:03:27.516 --> 00:03:29.157]  It's quite glorious.
[00:03:30.498 --> 00:03:42.225]  To be completely fair to them, it does not necessarily mean that they or their staff made it, but we do know that it came from someone within the congressional computer network.
[00:03:42.486 --> 00:03:43.846]  Yeah, because it's the IP address.
[00:03:43.886 --> 00:03:46.428]  Explain to people out there how that works.
[00:03:46.708 --> 00:03:48.129]  Okay, well, let's see.
[00:03:49.150 --> 00:03:49.590]  I'll back up.
[00:03:49.938 --> 00:03:50.319]  I don't know.
[00:04:11.536 --> 00:04:12.256]  Two databases.
[00:04:12.316 --> 00:04:15.198]  The first one was where all the edits were from Wikipedia.
[00:04:15.258 --> 00:04:16.298]  Well, all the anonymous edits.
[00:04:16.598 --> 00:04:20.460]  And the second one were which numbers were owned by various companies.
