[00:00:04.543 --> 00:00:06.525]  He stands for truth.
[00:00:06.705 --> 00:00:07.805]  He stands for justice.
[00:00:07.845 --> 00:00:08.986]  He stands for what's right.
[00:00:09.006 --> 00:00:09.927]  This is the Alex Jones Show.
[00:00:09.967 --> 00:00:11.508]  Call Alex now, toll free at 877-590-5525.
[00:00:34.022 --> 00:00:47.452]  Now live from Austin, Texas, here's Alex Jones.
[00:00:47.913 --> 00:00:53.417]  Hello, my friends listening across the country and across the planet, around the planet.
[00:00:53.717 --> 00:00:55.398]  It is Sunday, October 7, 2007.
[00:00:55.559 --> 00:01:01.003]  We're going to be here for the next two hours, roughly.
[00:01:03.584 --> 00:01:08.367]  We're going to take quite a few phone calls today at 877-590-5525.
[00:01:08.387 --> 00:01:19.835]  Or locally, if you're listening to us off the station we broadcast out of, or if this transmission originates from, use radio 590 KLBJ.
[00:01:20.095 --> 00:01:22.697]  You can call 836-0590.
[00:01:25.439 --> 00:01:30.102]  I'm going to attempt to be calm today and just go over the news and information that I have in front of me.
[00:01:31.703 --> 00:01:33.284]  And a lot of it is very, very important.
[00:01:34.458 --> 00:01:43.042]  I am creating artificial life, declares US gene pioneer, with a Nobel Prize winning team that he's working with.
[00:01:43.062 --> 00:02:00.812]  It's Craig Vintner, the controversial DNA researcher involved in the race to decipher the human genetic code, has built a synthetic chromosome out of laboratory chemicals, and is poised to announce the creation of the first new artificial life form on Earth.
[00:02:00.952 --> 00:02:01.592]  And if you think
[00:02:02.216 --> 00:02:04.397]  This new announcement will be the first time they've done it.
[00:02:04.917 --> 00:02:10.859]  I've got oceanfront property in Arizona, and from my front porch, we can see the sea.
[00:02:11.520 --> 00:02:14.621]  As I said last week, ladies and gentlemen.
[00:02:14.701 --> 00:02:20.183]  They have at least 30 years of suppressed technology, and they declassified much of that in the past.
[00:02:20.223 --> 00:02:22.144]  That is, previous things that were secret.
[00:02:23.084 --> 00:02:27.626]  And they're now just making more and more announcements to the public, who doesn't seem to care.
[00:02:27.666 --> 00:02:30.747]  They're busy running around drooling in their football jerseys.
[00:02:32.061 --> 00:02:37.063]  Also, National Guard troops are being denied benefits after longest deployment of Iraq war.
[00:02:37.843 --> 00:02:41.285]  And that's out of WCSH Portland News.
[00:02:41.965 --> 00:02:44.406]  NBC will be breaking that down.
[00:02:47.607 --> 00:02:49.328]  I have a story here in front of me.
[00:02:49.508 --> 00:02:53.930]  More signs that the Bush people are preparing for President Hillary Clinton.
[00:02:55.270 --> 00:03:07.256]  They're already appointing former Clinton officials to the Defense Department and other key positions in preparation for that transfer of power, so there's not a real election going outside of Ron Paul.
[00:03:07.796 --> 00:03:19.202]  It's staged, both parties are in bed together, and the sooner you stop being children, and the sooner you start realizing that and then actually verifying that, don't believe me, go find out how bad it is, please.
[00:03:19.782 --> 00:03:22.684]  Don't just say you heard that, no, please, go look into it.
[00:03:23.157 --> 00:03:25.298]  And then you'll know how dire the straits are that we face.
[00:03:29.821 --> 00:03:41.588]  I saw something very depressing about two hours ago, and I'm going to play some of this, not all of it, it goes on for ten minutes, or at least a few minutes, so we can comment and review it.
[00:03:44.430 --> 00:03:50.154]  Stewart tells psychopathic MSNBC host, your book is a recipe for sadness.
[00:03:50.894 --> 00:03:52.175]  Now that's what to outlaw
[00:03:53.251 --> 00:04:03.594]  Journalism.com had to say about it, but I agree with what they wrote and what they said here, and it's a nice preface for some of the things I want to say about it.
[00:04:03.614 --> 00:04:21.639]  The driving here, I had hundreds of examples and ideas and indicators of a society in massive decline, a mass mental illness of society, going through my mind and just trying to pick a few examples
[00:04:22.372 --> 00:04:23.452]  That's really the problem.
[00:04:24.372 --> 00:04:29.894]  And by the way, I'm not up on some sardonic high horse here saying that I'm good.
[00:04:30.774 --> 00:04:42.516]  I'm quite pathetic and decadent and ignorant and malformed mentally myself, but a mental giant compared to most in this mutated current age that we're in.
[00:04:43.376 --> 00:04:45.777]  And that is the painful thing.
[00:04:48.709 --> 00:05:11.855]  Chris Matthews of Hardball sits up there giggling and snorting like a tart or trollop that he is and saying that basically lying is good and lying is American and that everything in our lives is a lie and that we just need to, like peacocks, put out these big displays and that that's all that matters.
[00:05:13.575 --> 00:05:16.396]  Well, you may want to liken yourself to a peacock, buddy.
[00:05:17.682 --> 00:05:18.243]  But not me.
[00:05:18.463 --> 00:05:21.406]  I'm about being honorable to my friends and family.
[00:05:21.966 --> 00:05:23.848]  I'm about being substantive.
[00:05:23.868 --> 00:05:25.629]  I'm about being true.
[00:05:27.151 --> 00:05:30.674]  And I mean true to those I care about, true to my enemies, to defeat them.
[00:05:31.715 --> 00:05:40.183]  And to see the establishment selling fraud and selling lies in the open marketplace.
[00:05:41.004 --> 00:05:43.386]  Well, they already sold us that torture of children is good.
[00:05:44.221 --> 00:05:46.382]  In front of their parents, so what's next?
[00:05:46.442 --> 00:05:48.384]  Well, lying is now good.
[00:05:49.464 --> 00:05:51.305]  And I tell you what, we've got time now.
[00:05:51.325 --> 00:05:56.769]  I'm going to play just a minute or two of this and then we're going to come back and I'm going to comment on this after the break.
[00:05:58.310 --> 00:06:00.651]  But you're really missing it if you don't see the video.
[00:06:00.891 --> 00:06:05.254]  There's a link to it up on PrisonPlanet.com.
[00:06:06.255 --> 00:06:09.717]  That's the second link on OutlawJournalism.com.
[00:06:10.539 --> 00:06:11.759]  Uh, easier place to find it.
[00:06:12.279 --> 00:06:16.541]  But, uh, Stuart Tells Psychopathic MSNBC Host, your book is a recipe for sadness.
[00:06:16.941 --> 00:06:26.263]  So let's just listen to this, and many of you have already got the mental disease of, uh, ninnying, uh, decadent, uh, sociopathic, uh, behavior.
[00:06:26.303 --> 00:06:27.143]  Mass psychosis.
[00:06:27.183 --> 00:06:29.484]  So you won't even understand why this is a big deal.
[00:06:29.504 --> 00:06:33.225]  You'll be snickering and agreeing, uh, in an effeminate way.
[00:06:33.585 --> 00:06:34.085]  Uh, here it is.
[00:06:34.685 --> 00:06:39.226]  What about my guest tonight?
[00:06:39.995 --> 00:06:46.778]  The host of MSNBC's Hardball and NBC's The Chris Matthews Show, his new book is called Life's a Campaign.
[00:06:47.278 --> 00:06:50.419]  Politics is talking about friendship, rivalry, reputation and success.
[00:06:50.759 --> 00:06:52.240]  Please welcome back to the show, Chris Matthews!
[00:06:52.880 --> 00:07:02.403]  Welcome back to the show!
[00:07:02.443 --> 00:07:03.844]  How's it going?
[00:07:04.084 --> 00:07:04.444]  It's great.
[00:07:05.004 --> 00:07:05.885]  Life's a Campaign.
[00:07:06.625 --> 00:07:09.106]  Now if I read this correctly, and I believe I read this book correctly,
[00:07:10.040 --> 00:07:19.964]  What you are saying is, people can use what politicians do in political campaigns to help their lives.
[00:07:20.364 --> 00:07:21.525]  Yeah!
[00:07:22.265 --> 00:07:23.105]  It's irony, isn't it?
[00:07:23.225 --> 00:07:24.366]  It strikes me as fundamentally wrong.
[00:07:26.006 --> 00:07:30.168]  It strikes me as a self-hurt book, if you will.
[00:07:30.788 --> 00:07:33.509]  Aren't campaigns fundamentally contrivances?
[00:07:34.290 --> 00:07:37.491]  Yeah, campaigns can be, but the way politicians get to the top
[00:07:38.722 --> 00:07:39.482]  Is the real thing.
[00:07:39.502 --> 00:07:40.343]  They know what they're doing.
[00:07:40.363 --> 00:07:43.504]  I mean, you don't have to believe a word they say, but watch how far they got.
[00:07:43.764 --> 00:07:44.664]  How did Clinton get there?
[00:07:44.684 --> 00:07:45.564]  How did Hillary get there?
[00:07:45.804 --> 00:07:47.465]  How did all these guys get there?
[00:07:47.485 --> 00:07:49.286]  They have methods to get to the top.
[00:07:49.366 --> 00:07:50.526]  Even if no one believes a word you say.
[00:07:54.295 --> 00:07:55.276]  You can be successful.
[00:07:55.356 --> 00:07:55.656]  Yes.
[00:07:58.318 --> 00:08:00.440]  Now that seems to me to be a book about sadness.
[00:08:01.861 --> 00:08:02.441]  Is it not?
[00:08:02.601 --> 00:08:02.881]  No.
[00:08:04.743 --> 00:08:06.804]  Can I give you an example of the truth here?
[00:08:06.984 --> 00:08:07.205]  Yes.
[00:08:07.565 --> 00:08:13.109]  Bill Clinton, when he was in college, would get women, girls, in bed.
[00:08:13.209 --> 00:08:14.090]  Not just in college.
[00:08:14.190 --> 00:08:15.671]  By listening.
[00:08:15.691 --> 00:08:16.612]  By listening to them.
[00:08:17.012 --> 00:08:17.252]  Yes.
[00:08:17.392 --> 00:08:18.313]  He was a great listener.
[00:08:18.971 --> 00:08:23.094]  And when friends of his couldn't get the girls of their dreams, he'd say, you gotta listen to these women.
[00:08:23.174 --> 00:08:25.495]  I thought growing up, you drank beer and you bragged.
[00:08:26.315 --> 00:08:29.057]  But he says, listen, because it's flattering.
[00:08:30.378 --> 00:08:31.399]  But it works.
[00:08:32.359 --> 00:08:36.402]  And then he goes into all these other forms of making people think you care about them.
[00:08:37.162 --> 00:08:45.767]  You see, you call up here, I might be rude to you, I'll tell you what I really think, I might hang up on you, talk over you, but it's not fake, see, because I don't care what you think about me.
[00:08:46.548 --> 00:08:46.788]  You see?
[00:08:48.175 --> 00:08:50.316]  At the end of the day, I care what I think about myself.
[00:08:51.676 --> 00:08:54.357]  And that's what people throughout history have actually been attracted to.
[00:08:54.917 --> 00:08:56.938]  They're selling you the fraud here.
[00:08:56.958 --> 00:08:57.518]  And it goes on.
[00:08:57.558 --> 00:08:58.759]  It gets much worse.
[00:09:00.339 --> 00:09:01.380]  Everything's a campaign.
[00:09:01.440 --> 00:09:02.440]  Everything is posing.
[00:09:02.480 --> 00:09:04.001]  Everything is putting on a front.
[00:09:04.341 --> 00:09:05.941]  Why, that's how you get your girl.
[00:09:07.262 --> 00:09:13.324]  No, the type of woman you would get off of putting on a front would be just as shallow as you are.
[00:09:14.068 --> 00:09:22.056]  The type of woman you would get would be some painted trollop, completely shallow and materialistic, who would be completely unhappy throughout your life.
[00:09:22.616 --> 00:09:26.000]  A real woman would have instinct and know you're a fake.
[00:09:27.441 --> 00:09:33.087]  So again, selling fraud, selling lies, selling the petty, the transient.
[00:09:33.107 --> 00:09:36.430]  We're going to come back, go through this, get into all the news.
[00:09:38.152 --> 00:09:40.254]  And I'll break down the very nature of the New World Order.
[00:09:40.274 --> 00:09:41.996]  You want to know who we're facing, what we're dealing with?
[00:09:42.016 --> 00:09:43.237]  I'm going to go over it.
[00:09:43.257 --> 00:09:51.065]  The websites are InfoWars.net, TruthNews.us, PrisonPlanet.tv, and InfoWars.com.
[00:10:03.522 --> 00:10:08.984]  It's here, after a year in production and traveling to distant lands, my new film Terror Storm is complete.
[00:10:09.345 --> 00:10:16.988]  Shocking declassified government documents prove that western governments are orchestrating terror attacks against their own populations as a pretext to enslave them.
[00:10:17.682 --> 00:10:24.747]  Terror Storm proves that not only was 9-11 an inside job, but the attacks of 7-7 in London were carried out by British intelligence.
[00:10:25.128 --> 00:10:36.536]  Terror Storm chronicles the lies that took us to war in Iran, a White House program to disseminate fake news, NSA spying, secret police torture, the latest 9-11 information, and much, much more.
[00:10:36.856 --> 00:10:40.439]  Terror Storm is the definitive guide to the history of government-sponsored terrorists.
[00:10:40.819 --> 00:10:43.061]  It's an anthology of government crimes.
