[00:00:00.029 --> 00:00:01.021]  Bidding talk rates.
[00:00:05.868 --> 00:00:06.528]  Big Brother.
[00:00:07.169 --> 00:00:08.269]  Mainstream media.
[00:00:08.950 --> 00:00:10.070]  Government cover-ups.
[00:00:10.710 --> 00:00:11.551]  You want answers?
[00:00:12.271 --> 00:00:14.192]  Well, so does he.
[00:00:14.212 --> 00:00:17.774]  He's Alex Jones on the GCN Radio Network.
[00:00:18.034 --> 00:00:22.136]  And now, live from Austin, Texas, Alex Jones.
[00:00:32.537 --> 00:00:33.439]  Oh, yeah.
[00:01:05.546 --> 00:01:09.349]  Wake up boys, there's a light at the window.
[00:01:11.211 --> 00:01:14.434]  I can hear someone knocking on the door.
[00:01:16.375 --> 00:01:20.939]  There are voices in the street and the sound of running feet.
[00:01:21.740 --> 00:01:25.183]  And they whisper the word, Alex Jones.
[00:01:26.904 --> 00:01:30.848]  There are men coming down from the valley.
[00:01:32.651 --> 00:01:47.854]  There are tall ships flying off the coast And they carry the light in the dark of the night Like a whisper in the wind Alex!
[00:01:49.735 --> 00:01:59.097]  Bring my gun and a handful of silver By the sea we will gather for the fight
[00:02:01.500 --> 00:02:16.707]  It's been so many years So many tears We have lost once before Now we'll settle the score When our cannons will roar Revolution!
[00:02:37.282 --> 00:02:39.043]  We're good to go.
[00:03:08.009 --> 00:03:27.414]  Let us march this road on the rocky hills tonight Under cover of the darkness We will slip behind their eyes And we will take the men who have stolen our lands For the years of domination Get them right between your eyes
[00:03:42.042 --> 00:03:42.524]  Yeah.
[00:04:36.558 --> 00:04:52.580]  Roll away the dawn Roll away the dawn and let me see The land of the free Has anything changed now?
[00:04:54.301 --> 00:04:56.221]  Sweet liberty
[00:05:01.165 --> 00:05:04.186]  More than 700 chemicals have been found in our drinking water.
[00:05:04.507 --> 00:05:07.008]  And did you know that you can have greater exposure to these chemicals?
[00:05:08.268 --> 00:05:09.329]  The War on Terrorism.
[00:05:09.629 --> 00:05:12.410]  Will it be fought overseas or will it affect us here at home?
[00:05:12.690 --> 00:05:16.851]  If you are like most folks, you want to be prepared, but can't afford an underground shelter.
[00:05:17.252 --> 00:05:18.092]  So what do you do?
[00:05:18.412 --> 00:05:22.974]  Did you know that you can use your home as a shelter against fallout and biological or chemical attacks?
[00:05:23.454 --> 00:05:25.595]  With a little know-how, it's not that difficult.
[00:05:26.075 --> 00:05:26.975]  Sheltering in Place!
[00:05:27.375 --> 00:05:40.778]  Surviving acts of terrorism from biological, chemical, and radioactive fallout, developed by Wayne LeBaron, a health physicist who has served as a specialist in environmental health, communicable diseases, and has worked as a nuclear specialist for the U.S.
[00:05:40.818 --> 00:05:47.860]  government, gives you easy-to-follow video instructions, and walks you step-by-step through the process of preparing your home as a shelter.
[00:05:48.220 --> 00:05:52.646]  Get this critical video every American needs for only $29 plus shipping.
[00:05:53.087 --> 00:05:55.149]  Order by calling New Millennium today at 888-803-4438.
[00:05:55.210 --> 00:05:55.971]  That's 888-803-4438.
[00:05:55.991 --> 00:05:57.392]  Or order on the web at Berkeywater.com.
[00:06:06.169 --> 00:06:06.770]  It's a fact.
[00:06:06.990 --> 00:06:14.060]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[00:06:14.101 --> 00:06:22.673]  With never-ending late fees over the limit fees and higher and higher interest rates, it has become mathematically impossible to repay all debt, making us all slaves to our creditors.
[00:06:22.933 --> 00:06:33.359]  The Federal Debt Relief System has created a successful attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecured debts which have been fraudulently created by the banks.
[00:06:33.419 --> 00:06:39.523]  We can terminate your unsecured debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[00:06:39.603 --> 00:06:44.566]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated their debt.
[00:06:44.646 --> 00:06:49.189]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[00:06:49.209 --> 00:06:49.609]  I think so.
[00:07:06.724 --> 00:07:08.005]  Unbearable money pressures.
[00:07:08.085 --> 00:07:09.646]  Deteriorating health conditions.
