[00:00:00.049 --> 00:00:01.150]  Do Our City Pass.
[00:00:02.291 --> 00:00:05.855]  What you're dealing with and we'll give you effective natural solutions.
[00:00:06.496 --> 00:00:12.381]  Nature's Cupboard is fully stocked with all the products you or your family might need and the prices are super competitive.
[00:00:12.642 --> 00:00:17.587]  Do yourself and your family a healthy favor and call my friend Dr. Chuck Landon at 1-800-290-9200.
[00:00:17.607 --> 00:00:17.667]  1-800-290-9200.
[00:00:17.687 --> 00:00:17.927]  Do it today.
[00:00:27.665 --> 00:00:32.429]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:00:39.395 --> 00:00:40.035]  Big Brother.
[00:00:40.696 --> 00:00:41.757]  Mainstream media.
[00:00:42.458 --> 00:00:43.558]  Government cover-ups.
[00:00:44.219 --> 00:00:45.040]  You want answers?
[00:00:45.800 --> 00:00:46.721]  Well, so does he.
[00:00:47.362 --> 00:00:51.085]  He's Alex Jones on the GCN Radio Network.
[00:00:51.545 --> 00:00:55.609]  And now, live from Austin, Texas, Alex Jones.
[00:00:58.331 --> 00:01:02.455]  Well, I want to thank the guest host that sat in for me.
[00:01:02.475 --> 00:01:09.661]  I have missed four shows, I guess five, counting the Sunday syndicated transmission that I do.
[00:01:10.982 --> 00:01:22.712]  And part of it was vacation, the other part was very, very hard work on an important secret project that I've been working on a while in the fight against the New World Disorder.
[00:01:23.988 --> 00:01:27.174]  And it is good to be back here with you today.
[00:01:27.595 --> 00:01:28.276]  We got D.V.
[00:01:28.336 --> 00:01:37.252]  Kidd just popping in for about 15 minutes in the third hour to give us an update on the National Trucker Strike that's been promoted by the grassroots the last few months.
[00:01:38.206 --> 00:01:38.786]  And D.V.
[00:01:38.826 --> 00:01:42.667]  Kidd, now a Texan, we're really proud to have her here with us in the Lone Star State.
[00:01:43.447 --> 00:01:48.608]  She'll be giving us a report on what the trucker rallies are doing here in this state and hopefully in the third hour.
[00:01:48.928 --> 00:01:56.450]  We can get calls in from other truckers and people involved in the demonstration against the North American Union coming up in the third hour.
[00:01:58.030 --> 00:02:00.791]  I got a lot of clips, obviously, that have been gone a while.
[00:02:00.891 --> 00:02:03.591]  I haven't been not checking into the news and following it.
[00:02:03.631 --> 00:02:05.151]  There is a lot I want to discuss.
[00:02:05.291 --> 00:02:07.752]  Huge 9-11 developments on so many fronts.
[00:02:09.591 --> 00:02:11.632]  Other important news as well.
[00:02:12.133 --> 00:02:13.974]  Rosie O'Donnell is leaving The View.
[00:02:14.054 --> 00:02:20.398]  Now, I knew that she was leaving The View three weeks ago, but I was not at liberty to talk about it.
[00:02:21.378 --> 00:02:34.086]  Basically, three weeks ago I was told by sources, I'll just leave it at that, that these are multiple sources inside the O'Donnell camp, while other sources
[00:02:35.843 --> 00:02:38.084]  I'm not supposed to give my sources away, so I'm not going to.
[00:02:38.524 --> 00:02:40.805]  Point is, it's guaranteed what I knew then was going to happen.
[00:02:41.785 --> 00:02:44.386]  And it was that Rosie O'Donnell... Well, you know what?
[00:02:44.406 --> 00:02:45.666]  I'll tell you about it when we get to that.
[00:02:47.107 --> 00:02:47.847]  It's in the stack.
[00:02:48.987 --> 00:02:49.728]  I'm going to get to it.
[00:02:49.748 --> 00:02:52.428]  I know Paul Watson is listening to write an article about it.
[00:02:53.909 --> 00:02:59.911]  And so we will cover what's happened in that saga in the next 15 minutes or so.
[00:03:00.991 --> 00:03:03.352]  It's weird when I haven't been on the radio for three or four days.
[00:03:04.451 --> 00:03:09.315]  Well, I guess I missed four shows, five shows, but I've really been gone a total of six days.
[00:03:10.135 --> 00:03:12.537]  It's like going back ten years ago.
[00:03:12.577 --> 00:03:14.798]  I'm just now getting on radio.
[00:03:14.818 --> 00:03:21.223]  I've only been doing radio a few years, and I'm still a little nervous, and it's strange to hear the sound of my own voice in my ears.
