[00:00:06.826 --> 00:00:14.449]  He stands for truth.
[00:00:15.870 --> 00:00:17.731]  He stands for justice.
[00:00:19.092 --> 00:00:20.672]  He stands for what's right.
[00:00:21.533 --> 00:00:23.874]  This is the Alex Jones Show.
[00:00:24.854 --> 00:00:27.655]  Call Alex now, toll free at 877-590-5525.
[00:00:27.675 --> 00:00:30.277]  Now live from Austin, Texas.
[00:00:36.405 --> 00:00:37.891]  Here's Alex Jones.
[00:00:41.892 --> 00:00:43.153]  Welcome, ladies and gentlemen.
[00:00:43.213 --> 00:00:43.653]  Welcome.
[00:00:43.794 --> 00:00:47.076]  It is Easter Sunday, the 8th of April, 2007.
[00:00:47.156 --> 00:00:51.219]  We'll be here for the next two hours, roughly.
[00:00:51.659 --> 00:00:56.703]  We're going to have wide open phones at 877-590-5525.
[00:00:56.723 --> 00:00:57.644]  That's 877-590-KLBJ.
[00:00:57.684 --> 00:01:05.670]  Or, if you're listening to the station that this syndicated broadcast originates out of, all over Texas, the local number is 836-0590.
[00:01:05.690 --> 00:01:08.072]  And we will get you up and on the air.
[00:01:12.589 --> 00:01:15.972]  I tell you, most days I'm glad to go into a radio talk show.
[00:01:16.553 --> 00:01:20.697]  It's very rare that I'm not chomping at the bit, and I'm on the radio six days a week.
[00:01:20.757 --> 00:01:24.440]  I have a syndicated weekday show I've been doing now for about eight and a half, nine years.
[00:01:25.662 --> 00:01:30.426]  But today I was really chomping at the bit, but then there's that problem.
[00:01:30.446 --> 00:01:36.552]  There's so much to cover that I really can't do justice to it, but I will try my best and take time out to take your calls.
[00:01:37.150 --> 00:01:39.693]  We'll be talking about colony collapse disorder.
[00:01:40.154 --> 00:01:47.323]  I've had family that has been involved in ranching and farming and also a lot of industrial level beekeeping.
[00:01:47.343 --> 00:01:54.732]  In fact, my uncle worked for a brand name that's one of the best here in Texas that a lot of you probably heard of.
[00:01:55.798 --> 00:02:03.542]  And so I know a lot about beekeeping, or at least more than the general public, but I wasn't going to comment on it the last few months without doing some research.
[00:02:03.562 --> 00:02:09.245]  So in the last couple weeks, I've probably spent, because I found it to be fascinating, 10 hours.
[00:02:10.066 --> 00:02:17.530]  10 hours in-depth reading CDC reports, reading zoology reports from Russia, China, Germany, the United States.
[00:02:18.320 --> 00:02:19.861]  And I'm concerned.
[00:02:20.461 --> 00:02:22.743]  In fact, it's pretty darn scary.
[00:02:23.283 --> 00:02:26.545]  So we'll be talking about Colony Collapse Disorder today.
[00:02:27.786 --> 00:02:29.487]  Probably spend 20 minutes on it.
[00:02:29.507 --> 00:02:37.652]  I'm going to read some reports from the CDC, some interpartmental discussions that have gone on, and I'll read a basic synopsis of several studies.
[00:02:38.308 --> 00:03:03.006]  that have been done with not just the decline but in the state of Texas alone over seventy percent of the wild and the domesticated honey bee colonies have disappeared and they're disappearing in a way that in the thousands of years of written tradition studying beekeeping it's it's one of the oldest agriculture sciences out there no one's ever seen this before they fly off and they don't come back
[00:03:04.149 --> 00:03:10.014]  In the past, you know, colonies might get sick and then they would basically produce more queens and then that hive might die.
[00:03:10.375 --> 00:03:11.175]  That's not happening.
[00:03:11.636 --> 00:03:16.480]  They're just disappearing or they're dying out altogether, so we'll be going over that.
[00:03:17.080 --> 00:03:31.813]  Meanwhile, the big banks and the big oil companies are financing the hysteria that you see from the Super Bowl with the fake neocon behavior, the fake conservative behavior, not supposedly conservative, to the Weather Channel and the public schools
[00:03:32.473 --> 00:03:40.763]  And every other major publication, global government, global tax, global carbon tax, save us, save us from the deadly pollutant carbon dioxide.
[00:03:41.124 --> 00:03:48.772]  Carbon dioxide is actually a life accelerant and produces a higher level of oxygen after it interfaces with the plants.
[00:03:49.173 --> 00:03:52.537]  And we actually, all the big studies show, we want higher carbon dioxide.
[00:03:52.817 --> 00:04:03.464]  We've had higher carbon dioxide in the past, but they're telling you something that's not a pollutant, is a pollutant, and telling you that the solution to global warming, which is going on, it's not man-made, is a global government.
[00:04:05.105 --> 00:04:15.912]  And so you've got things like that that aren't real environmental crises, and then they've got serious issues like genetic engineering that the evidence is in, that's causing the honeybee, and
[00:04:17.136 --> 00:04:22.139]  Many other species of insect have dropped dead en masse, as well as a lot of new problems in human beings.
[00:04:22.279 --> 00:04:28.062]  But you're not going to find that outside scholarly reports, because the global government really could care less.
[00:04:28.102 --> 00:04:34.405]  In fact, out of these crises that are going to be caused by it, they'll just offer you more solutions, and that's more of a micromanaged police state world.
[00:04:35.800 --> 00:04:37.461]  So, we'll go over that for you.
[00:04:37.781 --> 00:04:41.022]  Speaking of global warming being a fraud, here it is the front page of the Statesman today.
