[00:00:00.149 --> 00:00:00.969]  Dead on.
[00:00:01.009 --> 00:00:05.431]  You'll find, I think, that it'll work more than just on heart problems and circulation problems.
[00:00:05.451 --> 00:00:06.872]  It'll work on other problems as well.
[00:00:07.052 --> 00:00:11.554]  For more information, call 1-877-928-8822 or visit our website at www.heartdrop.com.
[00:00:11.614 --> 00:00:13.094]  That toll-free number again?
[00:00:13.114 --> 00:00:13.234]  1-877-928-8822.
[00:00:13.514 --> 00:00:17.056]  Sold in the largest leveraged buyout in history.
[00:00:17.436 --> 00:00:18.356]  Thank you for listening to GCA.
[00:00:31.147 --> 00:00:37.776]  BLBJ in Austin.
[00:00:37.856 --> 00:00:40.600]  USA Radio Network News, Richard Curtis reporting.
[00:00:41.101 --> 00:00:47.189]  Tornadoes have ripped through Arkansas, including one that cut a five-mile swath through the heart of the community of Dumas.
[00:00:48.442 --> 00:00:54.048]  Tina Owens with the State Department of Emergency Management says looters moved in as soon as the tornadoes moved out.
[00:00:54.168 --> 00:01:00.274]  One of the buildings that was hit was a Fred's Dollar Store and we understand that there has been some looting in that area.
[00:01:00.334 --> 00:01:03.017]  At least 27 people were hurt by the strong winds.
[00:01:03.057 --> 00:01:04.559]  Three of those are in critical condition.
[00:01:04.979 --> 00:01:08.423]  Crews are also looking for an unknown number of people who may still be missing.
[00:01:09.272 --> 00:01:20.544]  The permanent five members of the UN Security Council plus Germany will be in London Monday to talk about whether to increase sanctions on Iran following its failure to meet the February 21st deadline to end its enrichment of uranium.
[00:01:21.085 --> 00:01:22.747]  Vice President Dick Cheney says the U.S.
[00:01:22.787 --> 00:01:26.831]  favors a diplomatic approach for dealing with Iran's rogue nuclear program.
[00:01:26.991 --> 00:01:31.336]  We've worked with the European community and through the United Nations.
[00:01:32.136 --> 00:01:39.261]  ...to put in place a set of policies to persuade the Iranians to give up their aspirations and to resolve the matter peacefully.
[00:01:39.321 --> 00:01:40.262]  That's still our preference.
[00:01:40.962 --> 00:01:45.646]  But I've also made the point, the President's made the point, that all options are still on the table.
[00:01:46.106 --> 00:01:51.450]  Ten days of cracking down on violence in Baghdad has left about 400 suspected terrorists dead.
[00:01:51.950 --> 00:02:01.117]  Iraqi Prime Minister Nouri al-Maliki also says his government is dealing equally with Shiite and Sunni Muslims involved in the ongoing violent attacks in and around Baghdad.
[00:02:01.718 --> 00:02:02.979]  It's USA Radio Network News.
[00:02:19.076 --> 00:02:28.979]  HomeVis7.com would like to give you a free work-at-home information package and DVD that will show you how you could earn a full-time income by starting with just a few hours a week.
[00:02:29.340 --> 00:02:37.522]  In our first month we made over $1,000 and we've just completed our 12th month in the business and it looks like our check is going to be somewhere around $6,500.
[00:02:39.383 --> 00:02:42.266]  I made about $1,200 my very first month in the business.
[00:02:42.886 --> 00:02:45.229]  Obviously, now it's well over 10 times that.
[00:02:45.349 --> 00:02:50.794]  For your free DVD and information package, please log on to HomeBiz7.com.
[00:02:51.134 --> 00:02:52.175]  Shipping is not included.
