[00:00:00.309 --> 00:00:01.090]  Find out right now!
[00:00:02.631 --> 00:00:03.692]  Our product for just $89.95.
[00:00:04.293 --> 00:00:03.692]  $89.95!
[00:00:04.493 --> 00:00:09.918]  The Fuel Mule works on any furnace too, no matter what fuel it uses.
[00:00:10.278 --> 00:00:21.048]  Call 866-880-7826, 866-880-STAN, or go to TheFuelMule.com and help save money and reduce our dependence on foreign oil.
[00:00:21.288 --> 00:00:24.871]  The Fuel Mule works and will pay for itself in just a few months, guaranteed.
[00:00:28.362 --> 00:00:33.144]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:00:40.047 --> 00:00:40.688]  Big Brother.
[00:00:41.348 --> 00:00:42.408]  Mainstream media.
[00:00:43.129 --> 00:00:44.229]  Government cover-ups.
[00:00:44.870 --> 00:00:45.690]  You want answers?
[00:00:46.450 --> 00:00:48.371]  Well, so does he.
[00:00:48.391 --> 00:00:51.693]  He's Alex Jones on the GCN Radio Network.
[00:00:52.193 --> 00:00:56.275]  And now, live from Austin, Texas, Alex Jones.
[00:00:59.517 --> 00:01:02.840]  We are live from Austin, Texas, deep behind enemy lines.
[00:01:02.880 --> 00:01:04.841]  You're listening to the Alex Jones Show.
[00:01:04.881 --> 00:01:07.143]  It is the 23rd day of April, 2007.
[00:01:09.024 --> 00:01:12.047]  I'm Jack Blood, filling in for Alex Jones today.
[00:01:12.147 --> 00:01:17.851]  Alex will be joining us in about 30 minutes on the broadcast to give us some updates and talk about some breaking news as well.
[00:01:18.231 --> 00:01:22.915]  And we'll be back in the chair tomorrow for your listening pleasure and your edification.
[00:01:23.836 --> 00:01:25.657]  So much news to report today.
[00:01:25.717 --> 00:01:29.280]  The Sunday news cycle starting off the news week.
[00:01:30.061 --> 00:01:41.841]  Almost unwatchable, almost completely useless as they tried to do everything in their power to spin the Virginia Tech story, to spin or counterman the
[00:01:42.646 --> 00:01:50.352]  Alberto Gonzales story, and of course to further pad the war in Iraq, which is really falling to pieces right into our very noses.
[00:01:50.832 --> 00:01:51.593]  We'll talk about that.
[00:01:51.633 --> 00:01:54.836]  Also, Boris Yeltsin has died today.
[00:01:54.896 --> 00:01:58.458]  Of course, he will be eulogized around the world as a great leader.
[00:02:00.360 --> 00:02:09.427]  We'll talk about that, including some of the information that Boris Yeltsin tried to pass to our government regarding the JFK shooting the Russians immediately.
[00:02:10.485 --> 00:02:18.570]  Going to the conclusion that LBJ was behind the JFK assassination, as well as the Texas oil people.
[00:02:18.750 --> 00:02:22.232]  This would include Halliburton or Kellogg, Brown and Root, among others.
[00:02:22.272 --> 00:02:28.955]  Of course, we remember that LBJ was the KBR president, Kellogg, Brown and Root president, the Halliburton president.
[00:02:30.016 --> 00:02:31.997]  This was in all the newspapers back in the day.
[00:02:32.017 --> 00:02:35.099]  It was pretty much acknowledged right out in the open, so we'll talk about that.
[00:02:36.079 --> 00:02:37.200]  Iran and Iraq.
[00:02:38.228 --> 00:02:47.307]  Let's be very clear here, according to the phony information that we're getting, that is being put out throughout the media, Al-Syiedah in Iran?
[00:02:48.109 --> 00:02:58.754]  I think that's kind of hard to swallow, but according to this information, Iran and Iraq, the LCIA, the quadrants in Iran and Iraq, are planning a massive attack on Britain.
[00:02:59.194 --> 00:03:00.775]  We'll talk about that on the program today.
[00:03:00.795 --> 00:03:11.500]  There's also some information, according to World Net Daily, smoking gun tape that could indict Hillary Clinton, possibly exposing her to a felony.
[00:03:12.180 --> 00:03:15.101]  That would have a five-year prison sentence attached to it.
[00:03:15.361 --> 00:03:16.981]  More Virginia Tech news today.
[00:03:17.041 --> 00:03:20.202]  More news coming out about the DARPA connections of Virginia Tech.
[00:03:20.722 --> 00:03:21.822]  We'll talk about that today.
[00:03:22.163 --> 00:03:24.703]  Also, there is something big going on in France.
[00:03:24.743 --> 00:03:25.623]  We'll touch on that.
[00:03:25.883 --> 00:03:30.645]  The left versus right is being billed on Drudge Report and in mainstream media.
[00:03:30.705 --> 00:03:36.606]  But we have a dire warning for you related to this selection process going on in France right now.
[00:03:37.286 --> 00:03:39.927]  More information about Alberto Antigonzalez.
[00:03:40.587 --> 00:03:45.570]  The Cold War, as it pertains to Russia now, with this missile shield in play over Europe.
[00:03:45.930 --> 00:03:47.131]  We've done the analysis.
[00:03:47.191 --> 00:03:49.192]  This is not a defensive weapon.
[00:03:49.393 --> 00:03:55.776]  This is really a mode or a method to clear the way for offensive weapons in space, creating a space war.
