[00:00:00.069 --> 00:00:00.289]  Hey!
[00:00:02.291 --> 00:00:03.332]  He stands for truth.
[00:00:03.392 --> 00:00:04.793]  He stands for justice.
[00:00:04.833 --> 00:00:05.753]  He stands for what's right.
[00:00:05.774 --> 00:00:07.675]  This is the Alex Jones Show.
[00:00:07.695 --> 00:00:09.276]  Call Alex now, toll free.
[00:00:26.255 --> 00:00:26.435]  At 877-590-5525.
[00:00:26.475 --> 00:00:28.858]  Now live from Austin, Texas.
[00:00:28.898 --> 00:00:30.120]  Here's Alex Jones.
[00:00:41.152 --> 00:00:42.493]  Welcome, welcome.
[00:00:42.553 --> 00:00:46.335]  Welcome, my friends, to another live Sunday edition.
[00:00:46.395 --> 00:00:47.755]  Five days a week is not enough for me.
[00:00:48.096 --> 00:00:51.117]  Here I am with this Sunday edition of the Alex Jones Show.
[00:00:51.597 --> 00:00:53.378]  Every Sunday from 4 to 6 p.m.
[00:00:53.458 --> 00:00:54.499]  Central Standard Time.
[00:00:54.999 --> 00:01:06.125]  Coming to you via MS Communications and the GCN Radio Network out of the studios of NewsRadio 590, KLBJ, deep in the heart of Texas, syndicated from California to upstate New York.
[00:01:07.390 --> 00:01:08.471]  On the AM and FM dial.
[00:01:08.931 --> 00:01:15.075]  Simulcast on three different satellite systems and of course global shortwave WWCR as well.
[00:01:15.655 --> 00:01:20.258]  And we've got two of the biggest and fastest growing alternative news sites in the world.
[00:01:20.959 --> 00:01:23.560]  Frankly, they're about the biggest alternative news sites in the world now.
[00:01:23.600 --> 00:01:24.601]  I don't even like to say that.
[00:01:24.621 --> 00:01:25.782]  It's kind of a catch-22.
[00:01:25.862 --> 00:01:27.923]  It's good to tell folks we're winning the InfoWar.
[00:01:27.963 --> 00:01:30.085]  At the same time, I like to be small-time.
[00:01:30.165 --> 00:01:33.867]  It feels good, actually, to be kind of under the radar or to have it both ways.
[00:01:33.927 --> 00:01:36.769]  But yes, folks, we're engaging the enemy at point-blank range.
[00:01:37.188 --> 00:01:49.157]  in the information war and the websites are PrisonPlanet.com, InfoWars.com, JonesReport.com, InfoWars.net, PrisonPlanet.tv, MartialLaw911.info, ArnoldExposed.com.
[00:01:49.837 --> 00:01:51.939]  And I'm launching several other big ones soon.
[00:01:52.579 --> 00:01:56.582]  We see this is an info war and the enemy puts out the same propaganda in a hundred flavors.
[00:01:56.923 --> 00:02:00.585]  We put out our secret weapon, the truth, on many different websites.
[00:02:00.605 --> 00:02:03.627]  It also gives us multi-faceted redundancy.
[00:02:03.988 --> 00:02:05.349]  Thank you for joining us.
[00:02:05.369 --> 00:02:06.570]  We will have open phones.
[00:02:06.630 --> 00:02:06.930]  I have a
[00:02:08.092 --> 00:02:09.612]  Surprise guest in the second hour.
[00:02:09.632 --> 00:02:11.073]  I'll just leave it at that.
[00:02:11.733 --> 00:02:14.273]  And we'll see if they end up showing up to the program.
[00:02:14.293 --> 00:02:20.054]  I've noticed if it's a what you call adversarial sometimes that it tends to jinx it to talk about it beforehand.
[00:02:20.834 --> 00:02:22.275]  So we'll see what happens in the next hour.
[00:02:22.295 --> 00:02:24.615]  A little surprise perhaps for you.
[00:02:26.075 --> 00:02:32.077]  There is so much news and I was sitting here for about 20 minutes before broadcast time looking at my 1, 2, 3, 4, 5, 6 stacks and I thought
[00:02:35.114 --> 00:02:36.455]  What is most important here?
[00:02:36.636 --> 00:02:37.616]  And this happens more and more.
[00:02:37.636 --> 00:02:39.478]  I mean, what should I cover first?
[00:02:39.858 --> 00:02:41.820]  Let me just mention what's in front of me right now.
[00:02:43.442 --> 00:02:45.884]  And again, it is the 5th day of August.
[00:02:46.264 --> 00:02:47.305]  More than half the year's gone.
[00:02:47.325 --> 00:02:49.387]  That's hard to believe.
[00:02:49.407 --> 00:02:51.669]  2007, August 5th, on this Sunday.
[00:02:52.190 --> 00:02:54.732]  Pentagon to implant microchips in soldiers.
[00:02:54.772 --> 00:02:56.714]  This is directly from the Pentagon.
[00:02:57.296 --> 00:03:04.739]  And not just under their skin, that already happened quietly two years ago to Special Forces and now it's fanning out, because I had family it happened to, that's how I knew.
[00:03:05.139 --> 00:03:05.900]  Now it's in the news.
[00:03:06.400 --> 00:03:09.501]  No, in the brains, standard, you'll be getting a brain chip.
[00:03:10.161 --> 00:03:11.922]  You can't make this type of stuff up, folks.
[00:03:11.962 --> 00:03:17.885]  We're going to be going over that and Clemson University is heading up that report.
[00:03:19.165 --> 00:03:21.806]  Ron Paul is being censored again in front of everyone.
[00:03:22.446 --> 00:03:26.128]  I saw it come out this morning from Free Market News up on PrisonPlanet.com.
[00:03:27.097 --> 00:03:29.678]  And I sure enough watched it real time.
[00:03:30.578 --> 00:03:35.579]  Ron Paul was thousands and thousands of votes ahead of everybody, getting 45 plus percent of the vote.
[00:03:36.559 --> 00:03:40.840]  And between 10 candidates in this morning's Republican debate.
[00:03:41.360 --> 00:03:44.541]  And then they erased all of his tallies but kept everybody else's.
[00:03:44.581 --> 00:03:46.701]  And then he went ahead again and they erased those.
[00:03:46.741 --> 00:03:48.101]  And he went ahead again and they erased those.
[00:03:49.462 --> 00:03:53.042]  Everybody went completely ape over this, started calling ABC, emailing them.
[00:03:53.762 --> 00:03:56.563]  And so they stopped it a few hours ago and Ron Paul,
[00:03:57.678 --> 00:03:59.980]  Now, this is 20 minutes ago when I printed this off last.
[00:04:00.580 --> 00:04:07.824]  Ron Paul has 12,675 votes, with the closest person behind him, Mitt Romney, at 2,046.
[00:04:08.264 --> 00:04:14.348]  And it only lets you vote once per IP, so it's somewhat scientific.
[00:04:14.828 --> 00:04:19.351]  In fact, a lot of evidence, and Las Vegas is claiming that these internet polls
[00:04:20.350 --> 00:04:29.355]  That Gallup and CNN and everybody else has been having are more scientific than the old Gallup system of calling select little zip codes.
[00:04:30.215 --> 00:04:34.617]  It tends to be old ladies that they found statistically that will answer polls.
[00:04:35.097 --> 00:04:39.039]  The pollsters know which areas, demographics, which numbers have gotten these responses.
[00:04:39.820 --> 00:04:43.561]  And more and more the old line polls are showing to be fraudulent.
[00:04:43.621 --> 00:04:46.083]  Now you can say that they're fraudulent because
[00:04:48.030 --> 00:04:58.074]  Of the fact that it is a stale population that is in the old technology grid that they're calling, or you can argue that they're skewing it on purpose, and frankly I think it's both of them.
[00:04:58.114 --> 00:05:01.715]  Because they say, well why does Ron Paul win every major poll?
[00:05:02.916 --> 00:05:13.620]  Whether it's on Fox or CNN, when it's an internet or call-in or text poll, where you can only vote once, but then he shows up 2-3% in all the other polls.
[00:05:14.418 --> 00:05:16.159]  And that's because you've got two different worlds.
[00:05:16.219 --> 00:05:19.702]  You've got people, on average, there's some really tech-savvy old folks.
[00:05:20.622 --> 00:05:28.348]  You've got some old folks that are, but statistically, people over 65 even, are not as tech-savvy, not getting their news from the net.
[00:05:28.388 --> 00:05:34.452]  They may go on the net and check their bank statement, but they're certainly not on there getting their news, and they're not on there voting.
[00:05:34.932 --> 00:05:36.073]  So you've got two different worlds.
[00:05:36.633 --> 00:05:39.095]  You've got the new world, and you've got the old world.
[00:05:39.616 --> 00:05:40.076]  But see, it's
[00:05:40.865 --> 00:05:44.107]  Generational shifts don't happen over 20-30 years like they used to.
[00:05:44.127 --> 00:05:45.407]  They're happening in a couple years now.
[00:05:45.848 --> 00:05:52.091]  I mean, I'm 30-something years old, folks, and I'm an old fogey having trouble keeping up with all the technological advances that the young kids are into.
[00:05:52.731 --> 00:05:54.852]  And all of this is going to accelerate.
[00:05:55.012 --> 00:05:56.373]  But look, I'm running out of time here.
