[00:00:00.289 --> 00:00:05.313]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com!
[00:00:05.653 --> 00:00:07.635]  Shop now at Pepperspray.com or call 1-800-908-9988.
[00:00:07.715 --> 00:00:08.015]  That's 1-800-908-9988.
[00:00:08.035 --> 00:00:10.798]  Pepperspray.com wishes you and yours a safe and happy holiday season!
[00:00:20.425 --> 00:00:22.607]  ...plan will fill the pain from cutbacks.
[00:00:22.627 --> 00:00:28.090]  Details on the... You're listening to GCN.
[00:00:28.590 --> 00:00:30.332]  ...will be J. Austin, Texas.
[00:00:34.009 --> 00:00:35.550]  IRN USA Radio News.
[00:00:35.830 --> 00:00:36.851]  I'm Jody Jordan.
[00:00:36.971 --> 00:00:41.094]  British Prime Minister Gordon Brown has been meeting with leaders of Pakistan and India today.
[00:00:41.574 --> 00:00:46.798]  He's been pledging more support in the war on terrorism and funding in the wake of the deadly attacks in India.
[00:00:46.838 --> 00:01:03.509]  We will act specifically to develop Pakistani bomb disposal capability, to provide scanning equipment, particularly to help detect car bombs, to finance and help with the extremism centers, and to help with legislation where necessary against terrorism.
[00:01:03.729 --> 00:01:11.075]  Also today, NDS Prime Minister is calling for normalized relations with Pakistan amid rising tensions between the neighbors.
[00:01:11.656 --> 00:01:12.677]  Here's Sam Dolnick.
[00:01:12.917 --> 00:01:24.467]  Kashmir's always been kind of- When you need him to relax and behave while daily alleviates-
[00:01:25.740 --> 00:01:33.068]  Long-term symptoms of stress like compulsive barking, chewing, digging, jumping, aggression, and other undesirable behavior.
[00:01:33.188 --> 00:01:36.292]  And because poise is all natural, they're safe and non-addictive.
[00:01:36.372 --> 00:01:37.393]  For us, it's simple.
[00:01:37.613 --> 00:01:39.795]  A calmer dog is a happier dog.
[00:01:39.935 --> 00:01:42.098]  And because he's happier, we're happier.
[00:01:42.378 --> 00:01:45.402]  Call right now for your 30-day risk-free trial of POIS.
[00:01:45.502 --> 00:01:45.742]  Call 1-800-733-0904.
[00:01:45.762 --> 00:01:46.042]  That's 1-800-733-0904.
[00:01:46.062 --> 00:01:47.865]  Veterinarian developed and recommended.
[00:01:47.885 --> 00:01:48.385]  Call 1-800-733-0904.
[00:01:48.465 --> 00:01:48.746]  That's 1-800-733-0904.
[00:02:00.555 --> 00:02:04.659]  Northeast utility officials are trying to recover from a devastating ice storm.
[00:02:05.139 --> 00:02:07.942]  Hundreds of thousands of customers remain without power.
[00:02:08.502 --> 00:02:13.927]  President Bush has declared a state of emergency in nine Massachusetts counties and all of New Hampshire.
[00:02:14.542 --> 00:02:20.464]  This Kittery, Maine resident says she and her husband have been without power and running water since early Friday.
[00:02:20.584 --> 00:02:21.885]  There was no power.
[00:02:21.905 --> 00:02:26.666]  I heard crashes out here, so we knew it wasn't going to be pretty.
[00:02:26.766 --> 00:02:31.748]  And the White House is weighing its options on ways to prevent a collapse of the troubled auto industry.
[00:02:32.429 --> 00:02:42.016]  Financial experts say White House officials could help the auto industry by tapping into the $700 billion bailout fund or using part of the bailout for emergency loans.
[00:02:42.496 --> 00:02:43.457]  Here's Deb Riekman.
[00:02:43.577 --> 00:02:49.061]  The White House and the Treasury officials this weekend are weighing the pros and cons of a range of bailout actions.
