[00:00:00.950 --> 00:00:01.770]  You want answers?
[00:00:02.530 --> 00:00:03.511]  Well, so does he.
[00:00:04.071 --> 00:00:07.453]  He's Alex Jones on the GCN Radio Network.
[00:00:08.274 --> 00:00:12.396]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.857 --> 00:00:37.400]  I talked some about this yesterday on the broadcast, but I didn't spend as much time on it as I wanted to.
[00:00:38.721 --> 00:00:52.667]  So early in this first hour today, I want to spend some time on this Wednesday edition, the 16th day of April 2008, on a cover story in the local paper here in Austin, Texas, that outlined everything
[00:01:21.186 --> 00:01:21.266]  Yeah.
[00:02:05.882 --> 00:02:06.582]  Hello, my friends.
[00:02:06.642 --> 00:02:07.683]  Thank you for joining us.
[00:02:07.903 --> 00:02:14.125]  As promised, I am going to take your phone calls right now.
[00:02:14.145 --> 00:02:17.907]  And then we are going to get into this little tidbit.
[00:02:18.407 --> 00:02:25.710]  Report Netanyahu says 9-11 terror attacks good for Israel.
[00:02:25.950 --> 00:02:27.551]  Very, very arrogant.
[00:02:28.311 --> 00:02:30.612]  Very, very in your face.
[00:02:32.170 --> 00:02:32.850]  Look at that.
[00:02:32.890 --> 00:02:37.092]  Isn't that a nice little headline for you.
[00:02:37.112 --> 00:02:41.935]  So we'll be breaking that down.
[00:02:41.995 --> 00:02:47.037]  Also, inside sources in Israel saying that there is going to be an attack on Iran.
[00:02:47.537 --> 00:02:48.618]  We will be covering that.
[00:02:48.678 --> 00:02:51.799]  But right now, let's go ahead and go to Joshua in Los Angeles.
[00:02:51.819 --> 00:02:52.419]  You're on the air.
[00:02:52.740 --> 00:02:53.420]  Thank you for holding.
[00:02:54.260 --> 00:02:54.680]  Good morning Alex.
[00:02:54.720 --> 00:02:55.261]  How are you doing?
[00:02:55.521 --> 00:02:55.741]  Good.
[00:02:56.850 --> 00:03:07.032]  Um, I just got a few things that I wanted to discuss, because I keep seeing, uh, what I think is a problem in the way that we, uh... Well, do me a favor, uh, are you on a cordless, because I can't really hear you.
[00:03:07.492 --> 00:03:08.912]  Oh, yeah, let me switch over.
[00:03:08.932 --> 00:03:10.692]  Sounds like you're fumbling around quite a bit.
[00:03:11.733 --> 00:03:12.433]  Okay, is this better?
[00:03:12.933 --> 00:03:15.053]  Yeah, just try to hold the phone there and go ahead.
[00:03:15.673 --> 00:03:21.214]  Okay, um, well, first of all, the style of language that we use, I think, needs to be modified.
[00:03:21.254 --> 00:03:25.195]  We should be able to preface, uh, what we're saying with, um,
[00:03:26.112 --> 00:03:27.133]  We're good to go.
[00:03:45.501 --> 00:04:01.197]  Well, if you watch in American Drug War, when I confront General McCaffrey, I have the news articles, and I do read them and source them, but you can't always do that, and by Hart saying that he never said New World Order, we did go get the source and then show him as a liar later.
[00:04:01.858 --> 00:04:03.660]  That's the thing, though, that delay there.
[00:04:04.061 --> 00:04:05.462]  I mean, I know you cite sources.
[00:04:05.482 --> 00:04:10.488]  This is more for the listeners than for you, because I know you've got your stuff together, but a lot of us don't because we don't have the experience.
[00:04:10.908 --> 00:04:12.350]  We need to use academic language.
[00:04:12.370 --> 00:04:14.252]  We need to use academic sourcing.
[00:04:14.873 --> 00:04:19.998]  We need to make sure that we don't make incorrect references, and if we can't remember sources, we need to carry them with us.
[00:04:20.319 --> 00:04:22.121]  If we're not going to carry the sources with us,
[00:04:22.621 --> 00:04:25.803]  Or take the time to do proper research and make proper references.
[00:04:25.883 --> 00:04:27.964]  And that's just lazy and it's completely pointless.
[00:04:28.004 --> 00:04:33.387]  Because you're just, at that point, a person that's doing that is just trying to get it off their chest and isn't really affecting any change.
[00:04:33.907 --> 00:04:35.428]  And if anything... Well, I mean, come on.
[00:04:35.708 --> 00:04:38.769]  I think somebody just screaming at Gary Hart gets something done.
[00:04:38.789 --> 00:04:43.271]  And I think, you know, they went there and said you called for a New World Order and said use a disaster for it.
[00:04:44.392 --> 00:04:45.513]  I think they did a pretty good job.
[00:04:45.573 --> 00:04:46.815]  I mean, none of us are going to be perfect.
[00:04:46.835 --> 00:04:49.337]  If we try to become perfectionists, it'll never get done.
[00:04:49.357 --> 00:04:52.360]  I think it's more important to get out in the field and take action.
[00:04:52.400 --> 00:05:03.412]  But, I mean, certainly if they would have dug up the source and said on C-SPAN, September 13, 2001, you said, quote, that would have been a little bit better.
[00:05:03.452 --> 00:05:06.455]  But I don't want to, like, Monday morning quarterback these guys.
[00:05:06.889 --> 00:05:08.610]  Well, you have a legitimate point, Alex.
[00:05:08.671 --> 00:05:14.395]  I just think that if you go to China and you're speaking English to people, they're not going to understand it.
[00:05:14.415 --> 00:05:24.524]  A lot of the people that we're trying to talk to are educated, they're conditioned in a certain manner, and they have a certain culture, and we need to respect that culture in order to speak to them if we want to be effective.
[00:05:25.060 --> 00:05:31.905]  We're not going to be able to speak to them in this manner and be taken seriously by other people, because these people that we're talking to aren't going to listen to us.
[00:05:31.925 --> 00:05:33.686]  It's the people that are watching that we want to reach.
[00:05:34.126 --> 00:05:42.292]  And academics and intellectuals are the type of people that are watching these types of things, and if we can speak in a language that they will understand, and that they will respect, then we will succeed.
[00:05:42.312 --> 00:05:44.433]  But I mean, I think they did, and I appreciate your call.
[00:05:45.154 --> 00:05:48.356]  I mean, I think they did.
[00:05:48.376 --> 00:05:51.098]  I don't fully understand what you're saying.
[00:05:54.639 --> 00:05:59.200]  I mean, they did say, you said, and then they, on the video, shoved Gary Hart lying.
[00:05:59.620 --> 00:06:01.060]  And that's the audience we're talking to.
[00:06:01.120 --> 00:06:03.460]  I'm not just targeting intellectuals.
[00:06:03.521 --> 00:06:14.202]  Most of them that are in the institutions are too cowardly of even losing their pension or their tenure to much less even talk about any serious issues.
[00:06:16.523 --> 00:06:23.424]  I want to pull up this article, because it's up on PrisonPlanet.com, to mention it and show it to people.
[00:06:24.383 --> 00:06:26.264]  Because I had it here in my stack and I can't find it.
[00:06:26.845 --> 00:06:32.369]  Paul posted it last night about Israel insiders saying that there's going to be an attack on Iran.
[00:06:32.969 --> 00:06:34.771]  And I'm not saying that means it's going to happen.
[00:06:35.971 --> 00:06:42.056]  But what we do have to look at is that the neocons have boldly attacked quite a few countries that didn't have anything to do with 9-11.
[00:06:45.816 --> 00:06:48.597]  We have to be conscious of the fact that they do do bold things.
[00:06:48.617 --> 00:06:50.537]  I mean, they attacked us on 9-11.
[00:06:51.397 --> 00:06:54.218]  There is no telling what they might do.
[00:06:54.258 --> 00:06:59.039]  There is no telling what they might be capable of doing.
[00:07:00.099 --> 00:07:01.760]  And so we can't underestimate that.
[00:07:01.800 --> 00:07:03.540]  They do have the aircraft carriers over there.
[00:07:04.320 --> 00:07:12.162]  The neocons are leaving office soon, though they control most of the people that are already in office in both parties.
[00:07:12.702 --> 00:07:14.423]  So it's going to just be passing a torch
[00:07:15.635 --> 00:07:16.796]  Here's a story right here.
[00:07:17.596 --> 00:07:19.777]  This is out of Newsmax.
[00:07:20.297 --> 00:07:22.478]  Jim Meyer's source, U.S.
[00:07:22.519 --> 00:07:24.139]  strike on Iran nearing.
[00:07:25.620 --> 00:07:33.204]  And then meanwhile, we have comments like this from Benjamin Netanyahu, who says 9-11 terror attacks good for Israel.
[00:07:34.024 --> 00:07:39.207]  That's what I'm going to be talking about after
[00:07:40.871 --> 00:07:42.332]  We take some more of your calls.
[00:07:42.932 --> 00:07:47.315]  Let's go ahead and talk to John in Michigan's next.
[00:07:47.876 --> 00:07:49.657]  John in Michigan, you're on the air.
[00:07:49.737 --> 00:07:50.077]  Welcome.
[00:07:51.658 --> 00:07:52.438]  Hiya, Alex.
[00:07:52.899 --> 00:07:54.160]  How's my audio?
[00:07:54.640 --> 00:07:55.020]  It's good.
[00:07:56.401 --> 00:07:56.961]  Oh, that's good.
[00:07:56.981 --> 00:08:01.004]  Just turned off my wall air conditioner so you can hear me better.
[00:08:01.084 --> 00:08:01.604]  Well, thank you.
[00:08:04.775 --> 00:08:15.926]  Boy, it's pretty wild with all this technology that the world banking gangsters have with being able to read our minds and, you know, know everything about us.
[00:08:16.587 --> 00:08:20.310]  And I'll be honest with you, personally, I don't have a problem with that.
[00:08:21.211 --> 00:08:26.737]  Because I understand in the spiritual realm, our lives are an open book anyway.
[00:08:30.715 --> 00:08:32.296]  Well, there's a problem with that, sir.
[00:08:32.436 --> 00:08:34.218]  They're not going to read any minds.
[00:08:34.278 --> 00:08:47.729]  They're just going to lie and claim that the computer says that you're guilty and then con the public that you deserve to go to Guantanamo Bay because the computer says so.
[00:08:47.749 --> 00:08:49.190]  And I will cover this as well today.
[00:08:49.491 --> 00:08:51.873]  The government is trying to wrap its mind around yours.
[00:08:54.554 --> 00:09:21.480]  Well, there's some interesting relationships in the book of Revelation with dealing with how all the technologies that the intelligence community has and how they are basically building an evil machine and this evil machine is what people are going to be following and
[00:09:25.004 --> 00:09:40.173]  Uh... becoming subjected to... Yeah, Revelation talks about artificial creations that talk and look like a giant man in Jerusalem and all sorts of wonders that will certainly con the general public.
[00:09:40.193 --> 00:09:40.933]  Thanks for the call.
[00:09:41.273 --> 00:09:42.294]  I appreciate it, John.
[00:09:43.594 --> 00:09:45.736]  Yeah, a lot of people say, well, I have nothing to hide.
[00:09:46.636 --> 00:09:47.896]  Let the government read my mind.
[00:09:48.657 --> 00:09:49.697]  You have privacy.
[00:09:50.477 --> 00:09:53.338]  You see, it's tyrannies that want to spy on you.
[00:09:53.638 --> 00:09:55.399]  It's the bad things that they want to do.
[00:09:56.019 --> 00:10:01.741]  It isn't that, oh, well, let me leave my doors unlocked because I'm a good person, I have nothing to hide.
[00:10:02.241 --> 00:10:04.982]  Yeah, but bad people want to then come in your house and rob you.
[00:10:06.341 --> 00:10:09.524]  Or, you know, your toddler may walk out in the middle of the street and get run over.
[00:10:09.864 --> 00:10:11.526]  It's safe to lock the door.
[00:10:11.906 --> 00:10:14.449]  It isn't that you're living in fear, you're living in control.
[00:10:14.829 --> 00:10:17.872]  Or trying to control your environment as much as you can.
[00:10:17.892 --> 00:10:19.353]  That's what civilization is.
[00:10:20.835 --> 00:10:22.256]  You know, privacy is a good thing.
[00:10:23.017 --> 00:10:24.418]  I mean, let's just go ahead and get graphic.
[00:10:25.139 --> 00:10:28.001]  I don't ask my wife to come into the bathroom when I'm using the bathroom.
[00:10:29.783 --> 00:10:31.264]  Well, what do I have to hide?
[00:10:33.311 --> 00:10:38.574]  And so I do see a lot of copping out, though, with the Bible, saying, well, it's of the Lord.
[00:10:38.614 --> 00:10:39.595]  I mean, it's all coming.
[00:10:39.935 --> 00:10:42.316]  We shouldn't fight against it because the Lord's coming.
[00:10:43.337 --> 00:10:44.498]  They thought that was Hitler.
[00:10:44.538 --> 00:10:46.379]  They thought it hundreds of years ago.
[00:10:46.419 --> 00:10:48.040]  And I mean, the people always think that.
[00:10:48.780 --> 00:10:49.601]  I have a job to do.
[00:10:49.701 --> 00:10:50.822]  I'm going to confront corruption.
[00:10:51.882 --> 00:10:53.903]  Let's go ahead and talk to Ken in Austin.
[00:10:53.923 --> 00:10:54.684]  You're on the air, Ken.
[00:10:55.424 --> 00:10:56.405]  Yes, Alex Jones.
[00:10:56.545 --> 00:10:59.567]  I'm glad to have this opportunity to talk with you.
[00:11:00.819 --> 00:11:01.900]  I wanted to thank you.
[00:11:02.000 --> 00:11:05.862]  You did a great service for me and you telling the information and all.
[00:11:07.722 --> 00:11:14.205]  I wanted to tell you that I was telling a customer one time about my childhood and my experiences.
[00:11:14.265 --> 00:11:18.027]  I've operated all over the world and he wanted me to read a book.
[00:11:18.067 --> 00:11:21.249]  It was by David Icke and it had MKUltra in there.
[00:11:21.769 --> 00:11:23.710]  And it was really, I mean, it was all these things.
[00:11:23.770 --> 00:11:24.530]  I didn't believe it.
[00:11:25.150 --> 00:11:28.432]  Then I was listening to you one day and you were talking about MKUltra.
[00:11:29.150 --> 00:11:31.171]  And I decided to investigate it.
[00:11:31.211 --> 00:11:32.752]  I googled it and studied about it.
[00:11:33.573 --> 00:11:37.996]  And the things that happened to me in my childhood, I'm an MKUltra child.
[00:11:38.816 --> 00:11:43.019]  And I really appreciate that, that you're doing this job for everybody.
[00:11:43.059 --> 00:11:43.699]  Helping everybody.
[00:11:43.719 --> 00:11:45.420]  What, your parents worked for the government?
[00:11:45.460 --> 00:11:46.481]  You lived all over the world?
[00:11:46.501 --> 00:11:47.681]  They did what, experiments on you?
[00:11:48.562 --> 00:11:53.525]  No, I... My stepfather was with the police and the masons.
[00:11:53.725 --> 00:11:58.168]  And I was one of the people that had trauma-induced programming.
[00:11:58.849 --> 00:12:07.776]  And I've operated in different parts of the world, and the Central Intelligence Agency agents have come and done things, and I'm one of those people.
[00:12:08.537 --> 00:12:15.642]  Well, they admit, this is even on Discovery Channel and Major TV, and the point is they had it out years after we'd exposed it.
[00:12:16.583 --> 00:12:18.565]  I'm not just going off them as the source, is my point.
[00:12:19.906 --> 00:12:24.089]  And Dr. Ewan Cameron, thousands and thousands, more than 10,000,
[00:12:25.590 --> 00:12:30.893]  Women and children, and some men, but women and children are easier, were taken to facilities in Canada.
[00:12:30.913 --> 00:12:32.534]  They were taken out of foster homes, you name it.
[00:12:33.314 --> 00:12:36.916]  Brainwashed, electroshock, drugs, reprogramming.
[00:12:37.357 --> 00:12:42.860]  I mean, the stuff you see in movies like The Bourne Identity or The Bourne Supremacy.
[00:12:43.360 --> 00:12:44.541]  Oh, what's the latest one?
[00:12:44.801 --> 00:12:45.721]  The Bourne Ultimatum.
[00:12:46.182 --> 00:12:47.682]  I mean, that's really how they do it.
[00:12:48.683 --> 00:12:50.704]  And how did you discover this?
[00:12:50.744 --> 00:12:51.765]  By then learning about it?
[00:12:52.085 --> 00:12:54.086]  And then did that bring up memories or what happened?
[00:12:54.847 --> 00:12:59.091]  Well, I'm 50 years old, and I've always wanted to figure out what it was done to me.
[00:12:59.912 --> 00:13:05.777]  And when I was doing the Google search, there's a Dr. Ross in Dallas, and he's written books from the medical journals.
[00:13:06.718 --> 00:13:11.402]  And they talked about the tapes, the psychic driving tapes, and I remembered them.
[00:13:11.422 --> 00:13:13.664]  It's trauma-induced programming.
[00:13:16.287 --> 00:13:17.548]  My left frontal lobe was
[00:13:18.311 --> 00:13:19.552]  I guess damaged.
[00:13:19.612 --> 00:13:21.134]  They put a shotgun next to it.
[00:13:21.754 --> 00:13:22.876]  I was then programmed.
[00:13:22.936 --> 00:13:24.417]  It was from the age of 6 to 12.
[00:13:25.658 --> 00:13:28.681]  And when I got to the... They shot you in the head with a shotgun?
[00:13:28.821 --> 00:13:29.342]  No, no.
[00:13:29.362 --> 00:13:30.903]  They put the barrel next to it.
[00:13:31.204 --> 00:13:31.704]  The barrel.
[00:13:32.285 --> 00:13:33.426]  When I was 8 years old.
[00:13:34.247 --> 00:13:35.308]  And that was a trauma.
[00:13:36.248 --> 00:13:42.695]  And, you know, if I wrote the book and told the story, you would get all the details and you would understand.
[00:13:43.576 --> 00:13:47.038]  It's really what I've lived in my life.
[00:13:47.098 --> 00:13:48.359]  I speak many languages.
[00:13:48.439 --> 00:13:50.300]  I spent nearly 10 years at UT.
