[00:00:05.593 --> 00:00:09.515]  We're good to go.
[00:00:31.061 --> 00:00:31.782]  All right, folks.
[00:00:31.842 --> 00:00:33.423]  Thank you so much for joining us.
[00:00:33.443 --> 00:00:35.944]  This is the Maiden Voyage in our new studios.
[00:00:36.024 --> 00:00:43.649]  Next week, I'm going to go around the studio with a camera and show you the TV studios we're building, the radio studios we put together, and everything we're doing here.
[00:00:43.669 --> 00:00:50.534]  And I want to commend my team with everything else we've been doing, with a very limited staff already doing the job of a hundred people.
[00:00:52.314 --> 00:00:52.374]  I'm
[00:01:07.228 --> 00:01:22.444]  Right now we're streaming over PrisonPlanet.tv for the viewers and of course people listening on the web at InfoWars.com and then later today we'll post this file up on PrisonPlanet.tv for everybody and we're gonna expand the show.
[00:01:22.464 --> 00:01:28.591]  I'm gonna be able to put up maps on the screen with a pad where I can you know draw and you know
[00:01:28.891 --> 00:01:39.618]  Get into geopolitical issues or where I can show documents on screen and circle key subsections so you can be seeing what I'm seeing when I'm on the radio, when I'm on TV, what I'm covering.
[00:01:40.118 --> 00:01:45.202]  In the future we're going to load most of the top stories into the computer where we can put those on screen for you as well.
[00:01:45.942 --> 00:01:50.285]  Like, if I cover this article right here out of Bloomberg today, I won't just be holding it up and showing it to you.
[00:01:50.546 --> 00:01:51.666]  We'll put it up on screen.
[00:01:52.227 --> 00:01:55.109]  Fed refuses to disclose recipients of $2 trillion in lending.
[00:01:55.469 --> 00:02:01.134]  Now, it's $8.5 trillion now, but when the lawsuit was filed five, six weeks ago, it was only $2 trillion that had been stolen.
[00:02:01.734 --> 00:02:03.596]  And they won't even answer questions on that.
[00:02:03.616 --> 00:02:11.382]  So in the future, we'll be posting that up on screen for you as well, and then I can circle key comments and key statements that are in the article.
[00:02:12.222 --> 00:02:19.125]  Also, we have a story here I want to go over today, some with everybody, and that is out of the Financial Times of London.
[00:02:20.006 --> 00:02:23.788]  And it says, Manila reports Ebola virus in pigs in Manila.
[00:02:23.828 --> 00:02:27.930]  Now, this is a huge issue because the Philippines produces its own pork.
[00:02:28.370 --> 00:02:32.432]  They bring in their breeding stock out of Europe and out of the United States.
[00:02:32.912 --> 00:02:34.793]  They haven't brought any pigs in from Africa.
[00:02:35.493 --> 00:02:41.174]  And of course, this has always been something that humans would contract and some other primates like monkeys and apes.
[00:02:41.835 --> 00:02:53.978]  Now, we've seen a lot of the eugenicists saying they're hoping for an airborne Ebola to kill humans and wipe out 90% of the world's population against everybody.
[00:02:54.318 --> 00:02:59.099]  So we're going to be going over this report for everybody as well.
[00:03:00.461 --> 00:03:05.526]  Because this is just coming out of nowhere and the last time we saw this type of
[00:03:06.980 --> 00:03:32.334]  situation break out on the farm uh... breakout in agriculture it was in england in two thousand when the british government admits that someone inside the organization uh... got a level four bioweapons lab and uh... went out as a road and spread it all over the country and they killed a four million cows eight million sheep and decimated many of the farms and uh... cheaper uh...
[00:03:33.394 --> 00:03:34.474]  A production facilities.
[00:03:34.955 --> 00:03:38.656]  And so we look to the government again carrying this out.
[00:03:38.696 --> 00:03:42.277]  We know that Ebola was a biological weapon developed back in the 60s.
[00:03:42.417 --> 00:03:47.318]  It popped up by United Nations and World Health Organization and U.S.
[00:03:47.358 --> 00:03:52.520]  weapons labs in Africa and is clearly a bioweapon being tested for depopulation measures.
[00:03:52.900 --> 00:03:56.801]  And to have this show up in pigs is just off the charts insane.
[00:03:57.261 --> 00:04:01.203]  So we'll be going over some of that report for you today as well.
[00:04:02.463 --> 00:04:07.806]  We're also waiting for Aaron Dykes to arrive back or to call in.
[00:04:07.846 --> 00:04:09.126]  In fact, bring Rob in here.
[00:04:09.186 --> 00:04:10.947]  Rob was the last person to talk to Aaron.
[00:04:12.728 --> 00:04:21.172]  As part of NORTHCOM and the Army and the Marines conditioning the public to accept armed troops on the streets, they're sending troops into the schools to brainwash the children.
[00:04:21.592 --> 00:04:27.115]  They are running checkpoints around the country and they're going out to automobile accidents helping people in wrecks.
[00:04:27.535 --> 00:04:27.675]  I think?
[00:04:44.321 --> 00:05:07.490]  Who has done some reports for us in the past and the Marines got on the phone with me and the sergeant on air knew who I was but then wouldn't talk to me anymore and then they went and told security outside the Toys R Us in a parking lot with radio stations out there doing promos so it was supposedly a public event to kick him off the property so we sent Aaron and Derek
[00:05:08.150 --> 00:05:12.552]  up there a few hours ago to see what was happening and we have not heard back from them yet.
[00:05:12.592 --> 00:05:16.533]  Hope they weren't arrested for daring to ask questions in America.
[00:05:17.254 --> 00:05:29.558]  Also, speaking of the military, Secretary of Defense Gates last week in the Associated Press put out a PR piece saying, yes, we're hiring a lot of foreigners and bringing them in to be part of the military.
[00:05:29.578 --> 00:05:36.021]  But they spun it and said it's for linguists and for people to be able to protect the homeland.
[00:05:36.781 --> 00:05:37.822]  And that's a cover story.
[00:05:37.882 --> 00:05:38.743]  Certainly that's part of it.
[00:05:39.063 --> 00:05:42.925]  The main force is illegal aliens that they're legalizing.
[00:05:42.985 --> 00:05:47.288]  The largest army recruiting center, Marine Corps recruiting centers, are no longer in the United States.
[00:05:48.029 --> 00:05:55.594]  They are in the Manila, Philippines, speaking of Manila, and of course in Mexico City, Ukraine, and places along those lines.
[00:05:55.634 --> 00:05:57.555]  So with the classical tyranny of a
[00:05:58.556 --> 00:06:03.779]  A government that wants to oppress its people, bringing in foreign troops, and then integrating them into the total force.
[00:06:04.159 --> 00:06:12.743]  And I'm seeing this propaganda everywhere, without even looking for it on the news, on television, in newspapers, about how we need to have foreigners to make up our force.
[00:06:13.103 --> 00:06:21.027]  And I saw this in the Austin Chronicle, which is more propagandistic than even the daily Austin American Statesman.
[00:06:21.587 --> 00:06:26.690]  And it talks about this wonderful Palestinian man, and just how great he is,
[00:06:27.490 --> 00:06:29.811]  And how he was not a U.S.
[00:06:29.851 --> 00:06:33.392]  citizen, but after he joined the military they allowed him to become a U.S.
[00:06:33.432 --> 00:06:33.812]  citizen.
[00:06:34.092 --> 00:06:38.413]  So lots of PR humanizing the fact that our military is being made up of foreigners.
[00:06:38.753 --> 00:06:39.854]  Am I against somebody who's a U.S.
[00:06:39.894 --> 00:06:40.274]  citizen?
[00:06:40.594 --> 00:06:47.116]  Who lives here, who's Palestinian, or who's German, or who is Ukrainian, or British being part of our military?
[00:06:47.616 --> 00:06:47.776]  No.
[00:06:48.396 --> 00:06:51.918]  But the point is, is that they're doing it when they're not legal U.S.
[00:06:51.938 --> 00:06:52.438]  citizens.
[00:06:52.458 --> 00:07:00.981]  They're giving them green cards, they're taking illegal aliens and giving them green cards, and then after a few years of service, they're giving them, basically as mercenaries, U.S.
[00:07:01.001 --> 00:07:08.885]  citizenship, and they're propagandizing the public, conditioning the public, that all of this is acceptable, and that all of this is a great thing.
[00:07:09.850 --> 00:07:12.213]  And so, they're easing it into the public.
[00:07:12.233 --> 00:07:14.376]  You know, we always wondered, how would they hire the foreign troops?
[00:07:14.977 --> 00:07:18.381]  A decade ago, plus, when the Pentagon said they wanted to use foreign troops against the American people.
[00:07:19.343 --> 00:07:20.544]  And now we're seeing how they're doing it.
[00:07:21.105 --> 00:07:27.333]  Also, earlier this year, back in January of 2008, the Toronto Star and other papers reported
[00:07:28.234 --> 00:07:40.770]  That a secret deal was signed by the United States, Canada, and Mexico to use each other's troops, to use Mexican and American troops in Canada, to use Canadian and Mexican troops in the United States, to use Canadian and U.S.
[00:07:40.811 --> 00:07:46.057]  troops in Mexico for terrorism and, quote, to defend the homeland.
[00:07:46.738 --> 00:07:54.166]  And we also see an Associated Press article reporting that they're hiring illegal aliens to work as police officers in police departments.
[00:07:54.686 --> 00:07:57.469]  So, Stalin brought in foreigners to oppress people.
[00:07:57.489 --> 00:08:00.212]  The British brought in foreigners to oppress the colonies.
[00:08:01.013 --> 00:08:02.415]  This is seen over and over again.
[00:08:02.435 --> 00:08:04.537]  And then you also have the hundreds of thousands of mercenaries.
[00:08:04.817 --> 00:08:07.600]  No longer Blackwater USA, it's now Blackwater Worldwide.
[00:08:07.840 --> 00:08:09.242]  They're international in scope.
[00:08:09.642 --> 00:08:11.363]  They're signing weird deals with the Vatican.
[00:08:11.664 --> 00:08:14.166]  They are to patrol the streets of America.
[00:08:14.406 --> 00:08:15.887]  They've also been in the L.A.
[00:08:15.927 --> 00:08:20.430]  Times, photographed raiding medical marijuana facilities.
[00:08:20.971 --> 00:08:23.253]  So we're also seeing Blackwater involved in that.
[00:08:23.273 --> 00:08:25.474]  A lot of really serious, bizarre behavior.
[00:08:25.955 --> 00:08:37.384]  And of all places, Bill Moyer's program a few months ago on PBS had guests on talking about Israeli troops, Blackwater and Mexican troops.
[00:08:37.984 --> 00:08:53.261]  uh... and uh... other foreign troops that were in new orleans taking part into the operations in the gun confiscation i mean this is all really happening and as if that that isn't bad enough i learned twelve years ago that out of the minimum security federal prison
[00:08:54.449 --> 00:09:04.693]  In Bastrop, Texas, just outside of Austin, that they were hiring people to join the military, commuting their sentences, if they would join the military.
[00:09:05.213 --> 00:09:12.276]  Now the Washington Times, the Associated Press have reported since then that actually there's a huge program recruiting violent, aggravated felons.
[00:09:12.296 --> 00:09:15.497]  An aggravated felon means something violent.
[00:09:15.777 --> 00:09:17.698]  Rape, robbery, armed robbery.
[00:09:18.579 --> 00:09:21.062]  In fact, the news has listed they're hiring arsonists.
[00:09:21.703 --> 00:09:24.726]  They're hiring a rapist for the military.
[00:09:24.766 --> 00:09:33.196]  So they're bringing in a pack of rogues, huge throngs of foreigners to carry out all of these operations.
[00:09:34.197 --> 00:09:38.640]  I do want to give out the toll-free number if you're watching at PrisonPlanet.tv.
[00:09:38.660 --> 00:09:45.923]  We're also going to put that up on screen for people that are watching PrisonPlanet.tv, the toll-free number to call in.
[00:09:45.943 --> 00:09:56.789]  But if you're listening on the InfoWars and PrisonPlanet.com free audio streams that are there of this show, let me give it out to you verbally, audibly, so you can hear it, not just on the screen.
[00:09:56.809 --> 00:09:57.089]  888-201-2244.
[00:09:57.109 --> 00:09:57.149]  888-201-2244.
[00:10:03.332 --> 00:10:05.733]  We're going to open those phone lines up in just a moment.
[00:10:05.773 --> 00:10:12.515]  We can just open the computer system up to take calls and literally 20, 30, 40 will come in in seconds.
[00:10:13.215 --> 00:10:17.437]  In the past when we've done special audio reports and PrisonPlanet.tv pieces,
[00:10:19.255 --> 00:10:21.218]  separate from being hooked up to Genesis.
[00:10:21.258 --> 00:10:32.714]  Now, of course, starting next Monday, I am going to be live in studio here for the full four hours, and several hours of that will be live at PrisonPlanet.tv.
[00:10:33.455 --> 00:10:35.998]  And all of that is a beta test
[00:10:36.699 --> 00:10:37.200]  I don't know.
[00:10:59.241 --> 00:10:59.401]  I don't
[00:11:15.264 --> 00:11:20.446]  As a depression instituted and orchestrated by the federal government.
[00:11:20.466 --> 00:11:29.190]  So again, 888-201-2244 and PrisonPlanet.tv viewers can see that live right now on their screen.
[00:11:29.550 --> 00:11:33.291]  Incidentally, we are running a special 5 plus months free.
[00:11:33.311 --> 00:11:36.492]  It comes up to 5.3 months free when you get a yearly membership and pay for 6.7 months.
[00:11:36.513 --> 00:11:38.553]  You pay for 6.7 months, you get 5.3 months free at Prison Planet.
[00:11:43.115 --> 00:12:11.533]  uh... dot tv and uh... you can share that with uh... several people and the passcode will still works we hope that you get some membership and then give that to others also all twenty one of my films all of my other special reports these tv reports everything is posted at prison planet dot tv easily downloaded and burned a desk to share with others and basically every subject uh... that uh... you can imagine is posted uh... op uh... on prison planet dot tv it's four and a half years up and running
[00:12:12.313 --> 00:12:19.837]  I guess since April of 2003, so quite a long time that we have been doing that.
[00:12:19.897 --> 00:12:27.841]  But here is the Austin Chronicle telling us how great the foreigners are who were not citizens and put in the military.
[00:12:27.861 --> 00:12:31.323]  And then once they prove themselves, they get to become citizens again.
[00:12:31.323 --> 00:12:32.524]  Again, all sounds romantic.
[00:12:32.804 --> 00:12:38.649]  It's being pitched simultaneously in every major newspaper we see, all part of a PR propaganda campaign.
[00:12:39.009 --> 00:12:53.821]  Now, this may not be paid for by the government, but I had a guest on last week reporting from Congress that billions of dollars in fake news and propaganda are paid for each year and put in newspapers, TV and radio, and the public is never told about that.
[00:12:53.881 --> 00:13:00.867]  It's clearly a unified propaganda push, and then other newspapers kind of parrot it and pick it up, I guess not knowing they're part of that, so we don't know what the Chronicle
