[00:00:00.209 --> 00:00:01.470]  We're good to go.
[00:00:35.218 --> 00:00:36.758]  Welcome, ladies and gentlemen.
[00:00:37.019 --> 00:00:37.559]  Welcome.
[00:00:37.639 --> 00:00:52.142]  You know, I had some guests scheduled today, but I just went ahead and canceled them five minutes ago because I want to take time out to not just rant and rave myself or listen to the interesting and informative guests that we bring you each day.
[00:00:52.222 --> 00:00:53.422]  I want to hear from you.
[00:00:55.347 --> 00:00:57.548]  First-time callers will go to the head of the line.
[00:00:57.588 --> 00:01:01.789]  People that disagree are the only group that can trump first-time callers.
[00:01:02.449 --> 00:01:05.670]  But everyone is always welcomed, and we appreciate your phone calls.
[00:01:06.830 --> 00:01:07.531]  We're live.
[00:01:07.631 --> 00:01:09.391]  It is the 26th day.
[00:01:09.451 --> 00:01:17.693]  It's already Wednesday, the 26th day of March 2008, and we're going to be live here for the next two hours and 59 minutes.
[00:01:18.214 --> 00:01:19.254]  The toll-free number is 1-800-259-9231.
[00:01:24.381 --> 00:01:38.468]  I was going through my stacks of news last night and noticed in the last week I probably didn't cover about half the news I had printed off and wanted to talk about, so I will try today to just briefly mention some of the things that we haven't alerted you to.
[00:01:39.889 --> 00:01:52.655]  Also, there is a huge, important stack of news in front of me today on human rights worldwide, on what's happening with the economy, what's happening with the cashless society, enslavement grid.
[00:01:54.562 --> 00:02:00.286]  A lot of important audio clips are going to be playing today as well, so we have a big broadcast lined up for you.
[00:02:01.347 --> 00:02:16.057]  But I would like to hear listeners call in and discuss the Supreme Court in oral arguments saying that they believed in restrictions of the Second Amendment, that it was a right, but that it can be heavily restricted.
[00:02:17.277 --> 00:02:23.682]  And then now we're set for them to rule coming up in the next two months.
[00:02:24.722 --> 00:02:49.489]  Big attack on the Second Amendment and how that ties into New York, Boston, Chicago, D.C., Dallas, where police come to your doors, Phoenix, Tucson, the list goes on and on, Portland, where they come to your door and knock on the door and say, we want to search for illegal guns or we want to make sure your guns are properly stowed.
[00:02:49.809 --> 00:02:51.209]  Just a safety check, ma'am.
[00:02:51.509 --> 00:02:53.330]  Please give us authorization to come in.
[00:02:55.228 --> 00:03:00.874]  Now, this is just now getting attention, but for at least eight years, I've been aware of it, starting in Dallas and Tucson.
[00:03:01.454 --> 00:03:02.796]  Dallas, Texas.
[00:03:03.396 --> 00:03:04.798]  Tucson, Arizona.
[00:03:06.139 --> 00:03:15.388]  People think this is just going on in Boston and New York and Chicago and D.C., where the people are basically disarmed slaves, to a great extent.
[00:03:16.109 --> 00:03:18.872]  No, this is happening right here in the heart of Texas.
[00:03:20.040 --> 00:03:30.849]  And it's part of a larger program of control, so we'll be breaking that down, and also I'll be reading some of the comments from the InfoWars.com page, where people comment on these articles about this, because they bring up points.
[00:03:31.690 --> 00:03:39.977]  You know, so often I think about points when I'm not on air, and then I get on air, and it's like I lose 20 or 30 IQ points, because I get all excited and hurried.
[00:03:40.798 --> 00:03:47.844]  But then if I go back to your comments, it reminds me of the very things I'm thinking, and more often than not, angles that I didn't even think about.
