[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[00:00:19.039 --> 00:00:20.119]  Thank you for joining us.
[00:00:20.159 --> 00:00:24.421]  We do have Joseph Stiglitz for the next 30 minutes on the line with us.
[00:00:24.481 --> 00:00:27.562]  We're going to go to break in just a moment and come back with him.
[00:00:27.602 --> 00:00:29.542]  A brief biography of Joseph Stiglitz.
[00:00:30.883 --> 00:00:32.663]  Of course, he's a best-selling author.
[00:00:33.243 --> 00:00:37.585]  He's also known as the chief economist at the World Bank.
[00:00:38.265 --> 00:00:43.647]  In 1995, he did a report of the Intergovernmental Panel on... and he won the 2007 Nobel Peace Prize.
[00:00:48.863 --> 00:00:49.063]  I'll say.
[00:01:12.376 --> 00:01:28.201]  It was a little bit predictable, though, and in fact I probably, if you asked me, I would have said that I did not think the turmoil was over, and that I think it's going to go on for another year, year and a half, two years, the economic slowdown.
[00:01:28.281 --> 00:01:33.802]  Well, we did ask you that, and you did say two to three years, going from memory, and that it would deepen.
[00:01:34.062 --> 00:01:35.543]  Did you think it would deepen this fast?
[00:01:37.757 --> 00:01:42.338]  You can't predict exactly when these kinds of events happen.
[00:01:42.618 --> 00:01:47.719]  Yes, I actually did think it would be happening roughly around now.
[00:01:47.759 --> 00:01:52.460]  Basically, what's been happening is the cumulative effects.
[00:01:53.420 --> 00:01:55.480]  House prices have continued to fall.
[00:01:55.500 --> 00:01:57.040]  That means more defaults.
[00:01:57.120 --> 00:02:05.562]  That means more financial institutions are in deep problems.
[00:02:06.212 --> 00:02:11.235]  You know, you can paper things over for a while, but eventually you have to face reality.
[00:02:11.255 --> 00:02:12.135]  Well, stay there, sir.
[00:02:12.175 --> 00:02:17.598]  We're going to skip this break for TheInfoWars.com and PrisonPlanet.tv viewers with Joseph Stiklitz.
[00:02:17.618 --> 00:02:18.659]  For everybody else, we'll be right back.
[00:02:19.929 --> 00:02:21.790]  Okay, Mr. Stiglitz, let's continue.
[00:02:21.830 --> 00:02:24.372]  I was just breaking there for some stations that left us.
[00:02:25.032 --> 00:02:32.838]  And let's make sure and talk about your new book also before you leave us today, because that ties into all of this.
[00:02:33.298 --> 00:02:44.845]  Why were you, five, six, seven years ago, talking about, in fact I remember first interviewing you about six years ago, you were bringing up the fact that there was no accountability, that they were
[00:02:46.225 --> 00:02:51.046]  Leveraging these asset-backed securities, these debt-backed securities.
[00:02:51.607 --> 00:02:58.228]  I remember four years ago you came on the show, you were talking about problems with mortgages and the real estate bubble in the United States.
[00:02:58.248 --> 00:03:03.530]  I mean, why were you talking about this years and years before anybody else was really talking about it?
[00:03:04.270 --> 00:03:15.800]  Well, the problem is that much of the news, much of the views on what's going on in the financial markets comes from those who are making money out of the financial markets.
[00:03:16.200 --> 00:03:25.107]  So if you were, you know, one of the people in Lehman Brothers, one of the people in AIG, you're going to be talking up the economy.
[00:03:25.127 --> 00:03:27.689]  You're going to say how wonderful the thing is, go buy my shares.
[00:03:28.230 --> 00:03:30.231]  And in fact, the head of
[00:03:31.312 --> 00:03:37.198]  Uh, Lehman Brothers, uh, last April, uh, was quoted as saying, you know, we've turned the corner.
[00:03:37.238 --> 00:03:39.481]  The economy is, you know, is on the uptick.
[00:03:40.815 --> 00:03:45.939]  And the same thing goes for the President and the Secretary of Treasury.
[00:03:47.281 --> 00:03:48.442]  They've been saying that.
[00:03:48.702 --> 00:03:51.665]  Not only have they been telling the American people, they've been going around the world.
[00:03:52.806 --> 00:04:04.756]  I talked to senior government officials all over the world, and they said, you know, we just had a private meeting with the Secretary of Treasury, and he said, you've turned the corner.
[00:04:05.197 --> 00:04:06.398]  And I said, don't you believe it?
[00:04:07.683 --> 00:04:11.328]  The fact is that they're involved in salesmanship.
[00:04:13.511 --> 00:04:23.685]  As an academic, I'm trying to figure out what is really going on, and unfortunately what I saw was really going on was not very good.
[00:04:26.008 --> 00:04:30.453]  In layman's terms, for the average folks out there and for myself, what is going on?
[00:04:30.533 --> 00:04:34.357]  What did you see that was happening that really raised red flags for you?
[00:04:35.258 --> 00:04:36.339]  Well, there were several things.
[00:04:37.060 --> 00:04:41.645]  Let me just pick up one that's related to my book that's just coming out on the $3 trillion war.
[00:04:46.147 --> 00:04:52.370]  Very peculiar things about the financing of this war and the relationship between the war and the economy.
[00:04:53.711 --> 00:04:59.573]  This is the first war in America's history that has been totally financed on the credit card.
[00:05:00.694 --> 00:05:08.277]  That even as we went into the war we had a big deficit and yet the president asked for a tax cut for upper-income Americans.
[00:05:08.317 --> 00:05:11.839]  It's also the first preemptive war just where they've done nothing and we go in.
[00:05:12.179 --> 00:05:12.859]  That's right.
[00:05:12.879 --> 00:05:15.681]  It clearly was a war of choice.
[00:05:15.701 --> 00:05:16.061]  Stay there.
[00:05:16.081 --> 00:05:17.201]  We're going to join some stations.
[00:05:17.221 --> 00:05:21.803]  I want you to start back over about a minute ago and go over your new book, The $3 Trillion War.
[00:05:21.843 --> 00:05:22.144]  Here we go.
[00:05:27.961 --> 00:05:29.942]  We're speaking with Joseph Stiklitz.
[00:05:30.042 --> 00:05:32.603]  He is a Nobel Prize winner.
[00:05:32.623 --> 00:05:38.404]  In fact, he's been involved in several Nobel Prizes here, if I read his bio correctly.
[00:05:38.805 --> 00:05:40.825]  And he's been kind enough to come on the show.
[00:05:41.646 --> 00:05:45.467]  This is probably, I don't know, the sixth or seventh visit of the last seven years or so.
[00:05:46.987 --> 00:05:48.228]  We bring you The Economist.
[00:05:49.598 --> 00:05:50.359]  Who have been right.
[00:05:50.659 --> 00:05:59.006]  We don't bring you the economists who have been wrong, the ones they like to put on TV all the time, though you're on television sometimes, but it's about 90% disinfo in my opinion.
[00:05:59.707 --> 00:06:11.737]  You were getting into the red flags you saw years ago, and then going into this war, and why you've been ringing the alarm bells about really serious financial problems.
[00:06:11.777 --> 00:06:12.658]  So please continue.
[00:06:13.118 --> 00:06:22.063]  Well, what I was saying is that there are several things, both about the war and the way that it was financed, that should have been a cause of concern.
[00:06:22.764 --> 00:06:25.485]  This was a war of choice.
[00:06:25.525 --> 00:06:27.226]  This was a preemptive war.
[00:06:27.266 --> 00:06:34.591]  This was a war, though, that as we went to war, we had a huge deficit, and yet the President asked for a tax cut.
[00:06:35.131 --> 00:06:38.013]  Usually, when you go to war, you ask your young men and women to go
[00:06:39.162 --> 00:06:42.604]  Risk their lives, and then there's a sense of shared sacrifice.
[00:06:43.124 --> 00:06:48.466]  And the only sacrifice the President asked was for people to go down to the shopping malls.
[00:06:49.627 --> 00:06:52.988]  And there was actually a tax cut for upper-income Americans.
[00:06:53.568 --> 00:07:04.293]  Well, the piling up of debt has meant that should a problem occur, and a problem has now occurred, there would be less room for maneuver.
[00:07:04.313 --> 00:07:06.014]  We wouldn't be able to do anything.
[00:07:06.536 --> 00:07:06.977]  I don't know.
[00:07:12.003 --> 00:07:22.092]  We had a surplus of 2% of GDP that gave us a lot of ammunition to use to try to remedy the problem.
