[00:00:00.569 --> 00:00:01.670]  Government cover-ups.
[00:00:02.311 --> 00:00:03.151]  You want answers?
[00:00:03.912 --> 00:00:04.813]  Well, so does he.
[00:00:05.453 --> 00:00:09.056]  He's Alex Jones, on the GCN Radio Network.
[00:00:09.657 --> 00:00:13.780]  And now, live from Austin, Texas, Alex Jones.
[00:00:19.124 --> 00:00:27.951]  It is Wednesday, the sixth day of August, 2008, and for the next four hours,
[00:00:29.187 --> 00:00:32.650]  We are going to have wide open phones.
[00:00:34.192 --> 00:00:37.515]  Wide open phones for the next four hours.
[00:00:38.756 --> 00:00:53.750]  It is bizarre being here in my office with the moving trucks here this morning as 90% of the office has now been moved out of here just this morning and it's just a little old me sitting here in my tiny little studio.
[00:00:54.597 --> 00:01:01.068]  Which will still be here for the next few months as we finish building the new radio studio and the TV studio.
[00:01:01.747 --> 00:01:09.289]  We are busy little bees over at the new 7,800 square foot office, which is big for us.
[00:01:09.329 --> 00:01:13.170]  This one's about 2,400 square feet.
[00:01:13.670 --> 00:01:16.130]  And we have another even smaller office.
[00:01:16.150 --> 00:01:17.190]  We've had two offices.
[00:01:17.210 --> 00:01:20.511]  It's been confusing and caused problems over the last few years.
[00:01:20.571 --> 00:01:23.632]  Well, we are now moving into one big office.
[00:01:23.812 --> 00:01:28.813]  Thanks to you, the listeners, supporting us with the InfoWars Money Bump.
[00:01:30.032 --> 00:01:34.114]  Everything we do, everything we've been able to accomplish is because of you.
[00:01:34.735 --> 00:01:36.055]  Yes, we work long hours.
[00:01:36.115 --> 00:01:37.336]  Yes, we make good films.
[00:01:37.936 --> 00:01:40.357]  And we travel to dangerous hot spots to cover things.
[00:01:40.398 --> 00:01:41.538]  We bring you the best guest.
[00:01:41.958 --> 00:01:46.601]  But it's a team effort, all of us together, in this fight against the New World Order.
[00:01:46.641 --> 00:01:54.665]  You have our continued commitment to work as hard as we can to do the best job we can to bring you the most accurate and up-to-date information.
[00:01:55.025 --> 00:01:55.986]  Does that mean we're perfect?
[00:01:56.306 --> 00:01:56.506]  No.
[00:01:56.526 --> 00:01:57.947]  Does it mean we don't drop the ball?
[00:01:58.107 --> 00:01:58.247]  No.
[00:01:59.188 --> 00:02:01.329]  Does it mean that we never make mistakes?
[00:02:01.589 --> 00:02:04.551]  No, but we're doing the best job we can.
[00:02:04.611 --> 00:02:15.336]  I want to thank every one of you in the United States, Canada, Europe, Mexico, Latin America, Asia, all of our supporters, all the PrisonPlanet.TV members.
[00:02:15.976 --> 00:02:20.898]  We just make that better and better for you now four plus years into having PrisonPlanet.TV.
[00:02:21.319 --> 00:02:24.320]  All of you that get the books and videos and DVDs off of the website.
[00:02:24.941 --> 00:02:34.524]  And then we also bring on all these other guests and try to support their outreaches and what they're doing and building this as a platform for everyone who are team players against the New World Order.
[00:02:34.904 --> 00:02:44.046]  We are Team Liberty, Team Freedom, Team Humanity, Team Anti-Dehumanization and it's great to work with all of you.
[00:02:44.866 --> 00:02:51.208]  But it takes me back to three plus years ago when we moved into this office from my tiny
[00:02:52.600 --> 00:02:53.540]  700 square foot office.
[00:02:53.600 --> 00:02:56.641]  Yes, 700 square foot office that had three people in it.
[00:02:56.681 --> 00:02:57.701]  Well, four, counting me.
[00:02:58.382 --> 00:02:59.842]  Then I would broadcast out of my house.
[00:03:00.282 --> 00:03:02.883]  I mean, that's the type of growth that we've been seeing here.
[00:03:03.463 --> 00:03:04.983]  And I should have tried to grow earlier.
[00:03:05.043 --> 00:03:06.504]  I tried to really keep it small.
[00:03:06.924 --> 00:03:08.544]  I tried to never raise funds.
[00:03:09.084 --> 00:03:11.745]  I refused almost all advertising.
[00:03:11.765 --> 00:03:14.466]  I didn't even really have advertising, except for a few web banners.
[00:03:14.506 --> 00:03:17.566]  If somebody emailed me, we'd sell them a $500 ad banner.
