[00:00:00.249 --> 00:00:01.330]  Government cover-ups.
[00:00:02.011 --> 00:00:02.812]  You want answers?
[00:00:03.593 --> 00:00:04.494]  Well, so does he.
[00:00:05.155 --> 00:00:08.758]  He's Alex Jones on the GCN Radio Network.
[00:00:09.339 --> 00:00:13.403]  And now, live from Austin, Texas, Alex Jones.
[00:00:23.883 --> 00:00:24.823]  Welcome, my friends.
[00:00:24.903 --> 00:00:29.904]  The global financial meltdown is intensifying as we track it day by day here.
[00:00:31.264 --> 00:00:46.787]  The zombie population doesn't even have the slightest inkling what's happening, though we are able to unlock some of the zombies out of the false realities they're living in, the false constructs that they have been captured by.
[00:00:47.807 --> 00:00:53.008]  But still, the enemy operations expand against humanity worldwide.
[00:00:53.800 --> 00:00:57.063]  With devastating results on the population.
[00:00:57.543 --> 00:01:07.913]  Their black-op eugenics programs of extermination and planting the population with cancer viruses, blocking cancer treatment, carrying out aerial chemical, biological, radiological spraying continues.
[00:01:08.273 --> 00:01:12.317]  Their intensified attacks are mainly focused in the third world and against government forces.
[00:01:12.917 --> 00:01:15.980]  Their own forces upon discharge, of course, are implanted
[00:01:16.660 --> 00:01:18.201]  With the pathogens to kill them.
[00:01:18.641 --> 00:01:26.883]  Because we had another medical doctor, Dr. Stan Montefon, yesterday reading all the declassified public documents where your government is murdering you, police and military.
[00:01:27.383 --> 00:01:29.284]  Of course, you're still living in the false paradigm.
[00:01:29.324 --> 00:01:30.644]  Most of you have been so programmed.
[00:01:30.985 --> 00:01:32.085]  You're unable to break out.
[00:01:32.205 --> 00:01:34.666]  You have been systematically programmed to be laughing right now.
[00:01:35.066 --> 00:01:35.826]  It is not funny.
[00:01:35.846 --> 00:01:37.006]  That's part of your programming.
[00:01:37.707 --> 00:01:45.369]  We hope that just as a challenge, you would check out our claims and find out you and your family are being soft-killed right now.
[00:01:47.043 --> 00:01:53.228]  Richard Cook, a former White House economic analyst, will be joining us coming up in 30 minutes.
[00:01:54.229 --> 00:02:03.397]  Then we have Bob Chapman joining us at 12.30 noon today, an hour and a half for his daily visit during the meltdown.
