[00:00:02.142 --> 00:00:02.562]  Michael Hoffman.
[00:00:24.537 --> 00:00:34.682]  Former reporter, New York Bureau, Associated Press, other major publications, award-winning historian, highly respected, joins us to tell you about some of his books and his website.
[00:00:34.722 --> 00:00:42.946]  If you'd like to check it out or learn more, revisionisthistory.org is one of the sites.
[00:00:43.942 --> 00:00:48.445]  We have links to that up on Infowars.com right now.
[00:00:48.465 --> 00:00:54.969]  Yeah, being a history buff, because it's so entertaining, I mean, I got into history because it's better than fiction.
[00:00:55.669 --> 00:01:04.195]  I mean, the slave ships, the beating the people, the killing the white slaves, the white slaves all over the U.S., all over Australia.
[00:01:05.596 --> 00:01:08.298]  Uh, you were allowed to kill them, but not kill the black slaves.
[00:01:08.918 --> 00:01:23.989]  But see, they can't allow that out in the news, because then whites and blacks wouldn't hate each other, blacks wouldn't feel especially downtrodden and second class, wouldn't imagine every white person was their slave owner, when really, a few percentage points of whites even own black slaves.
[00:01:25.470 --> 00:01:34.696]  Going back to Michael Hoffman, finishing up on this subject, then I want to get in to the roots of the New World Order, the occult empire, this amalgamation of groups, what you believe is at the heart of it, sir.
[00:01:35.316 --> 00:01:39.398]  But anything else you wanted to add about white slaves and bringing it up to modern times?
[00:01:40.319 --> 00:01:43.260]  Well, I think that you're right about racial reconciliation.
[00:01:43.320 --> 00:01:51.885]  I believe that the people who are trying to harm blacks in America are the ones who are trying to establish some sort of genetic predisposition for enslavement
[00:01:52.555 --> 00:02:09.049]  And being passive in this way, and once you've done that, then you're controlling the minds of black people because you're giving them a permanent subservient status, and a permanent stigma of racial resentment against the white master, when that hasn't been the case.
[00:02:09.730 --> 00:02:20.779]  The very definition of the word slave comes from the root of the word slav, because it was the slavs of Eastern Europe and Russia who had been hereditary slaves,
[00:02:21.505 --> 00:02:24.468]  For various economic and political reasons.
[00:02:24.488 --> 00:02:29.892]  Well, if you read the Bible, with the Israelites, or the Romans, or anybody else, they were slaves of every color.
[00:02:30.873 --> 00:02:41.842]  They were slaves of every color, and when we get deeper into this subject, we will also talk about how the Midrash and Rabbi Moses' mammothies caused black people to be associated with ham,
[00:02:43.058 --> 00:02:47.020]  And that the curse in Genesis on Ham was made a racial curse.
[00:02:47.080 --> 00:02:53.462]  And for those who know their Bible, they know, of course, that there is no racial component to the curse on Ham in Genesis.
[00:02:53.983 --> 00:02:59.845]  And then that was used to kick off the transatlantic slave trade in the mid-1500s and 1600s.
[00:03:00.265 --> 00:03:02.166]  And provide the justification for it, yes.
[00:03:02.927 --> 00:03:03.527]  Absolutely.
[00:03:03.927 --> 00:03:11.330]  Now, I want to be clear about this, because blacks feel victimized, they feel like a subgroup, and all whiteys must pay.
[00:03:11.390 --> 00:03:14.671]  Listen to Barack Obama's preacher, the blue-eyed devil.
[00:03:15.151 --> 00:03:20.133]  And if you look historically in numbers, there have been more white slaves than there have been black slaves.
[00:03:20.613 --> 00:03:22.654]  Now, again, this is the modern way of thinking.
[00:03:22.674 --> 00:03:24.155]  That doesn't lessen what happened to them.
[00:03:25.120 --> 00:03:28.986]  It's just like, again, if there's two bank robbers, you're not saying one's innocent and the other isn't.
[00:03:29.366 --> 00:03:41.264]  It's saying that this is a button they have installed in the psyche of blacks where the government, the nanny state, can play the part of the provider when really they're carrying out eugenics operations against them.
[00:03:41.906 --> 00:03:50.850]  Well, you mentioned the elite and how the people who are not elite are mostly concerned with animal appetites, whereas the elite is concerned with control.
[00:03:50.910 --> 00:03:57.994]  But anyone who aspires to become elite or get into the elite, hopefully for benevolent reasons and not predatory ones,
[00:03:58.630 --> 00:04:02.954]  ...understands what maybe a lot of civil rights activists do not understand.
[00:04:03.254 --> 00:04:12.122]  That if you don't take responsibility for your life, if you don't blame your life on yourself or take credit for your achievements on yourself, you can't get ahead.
[00:04:12.162 --> 00:04:13.583]  You're psychologically crippled.
[00:04:14.123 --> 00:04:20.365]  And yet we see this covert mechanism in American society where blacks are told to blame others.
[00:04:20.485 --> 00:04:22.165]  That's not a way for them to get ahead.
[00:04:22.265 --> 00:04:24.405]  It's a way to keep them out of the elite.
[00:04:24.806 --> 00:04:35.548]  Second point here, Alex, when you mentioned Barack Obama's preacher, one of the things that troubles me about all of the negativity that's associated with that is
[00:04:36.135 --> 00:04:48.761]  Why is there not a commensurate amount of fury and media angst about John McCain's preacher, John Hagee, who is a man who forms what I call Ku Klux Judaism?
[00:04:48.781 --> 00:04:49.641]  No, no, I agree.
[00:04:49.682 --> 00:04:50.042]  Stay there.
[00:04:50.062 --> 00:04:55.924]  Well, we actually expose the fact that he says Jesus isn't the Messiah and that worshiping Israel is the new religion.
[00:04:56.165 --> 00:04:57.365]  We'll be right back with our guest.
[00:04:57.385 --> 00:04:57.825]  Stay with us.
[00:04:59.666 --> 00:05:01.047]  It is a big idea.
[00:05:01.067 --> 00:05:03.128]  A new world order.
[00:05:03.889 --> 00:05:08.173]  In the near future, Earth is dominated by a powerful world government.
[00:05:08.793 --> 00:05:11.576]  It's known as the Bilderberg Group.
[00:05:11.616 --> 00:05:13.858]  Could their objective be world domination?
[00:05:14.398 --> 00:05:16.840]  For thousands of years, their dark order grew.
[00:05:17.581 --> 00:05:24.907]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
