[00:00:00.009 --> 00:00:00.309]  Big Brother!
[00:00:18.909 --> 00:00:19.930]  Mainstream media.
[00:00:20.671 --> 00:00:21.772]  Government cover-ups.
[00:00:22.432 --> 00:00:23.233]  You want answers?
[00:00:24.013 --> 00:00:24.914]  Well, so does he.
[00:00:24.934 --> 00:00:29.238]  He's Alex Jones on the GCN Radio Network.
[00:00:29.758 --> 00:00:33.801]  And now, live from Austin, Texas, Alex Jones.
[00:00:34.616 --> 00:00:40.302]  For the rest of this hour and the entirety of the next, we have two great guests on with us.
[00:00:40.322 --> 00:00:48.892]  We're going to open the phones up at the end of the show, the last 30 minutes or so, for our guests joining us from Central America, down in Panama.
[00:00:49.693 --> 00:00:52.076]  We're the founders of Natural Solutions Foundation.
[00:00:52.596 --> 00:00:59.704]  I tried to go over both their bios, it would take all day, but Major General Albert N. Stubblebine, U.S.
[00:00:59.764 --> 00:01:03.107]  Army retired, and of course he headed up the U.S.
[00:01:03.148 --> 00:01:05.450]  Army's Electronic Research and Development Command, U.S.
[00:01:05.991 --> 00:01:11.376]  Army's Intelligence and Security Command, he was the head of Army Special Forces, the head of Fort Bragg,
[00:01:12.237 --> 00:01:17.083]  He's worked with some of the biggest and some of the most secretive defense contractors.
[00:01:17.764 --> 00:01:21.949]  He's been involved in some of the most secretive black op operations.
[00:01:21.969 --> 00:01:25.774]  And after all these years of research, he's come to basically the same conclusion I have.
[00:01:26.075 --> 00:01:29.038]  This is a giant world government set up to carry out eugenics.
[00:01:29.679 --> 00:01:56.277]  An extermination of the majority of the public with ambient soft kill weapons being slowly and incrementally turned up and then institutionalizing and covering up through compartmentalization the deaths, the diseases, cancer, one in 33 having it now, one in two males, one in three females, diabetes up thousands of percentile, the media saying that poison, melamine in milk is good, saying that the deadly plastic chemicals are good as people die in mass,
[00:01:57.077 --> 00:02:01.998]  Saying that GMO foods that sterilize the rats and mice are good for us as it sterilizes the public.
[00:02:02.319 --> 00:02:04.379]  As sperm counts drop by more than eighty percent.
[00:02:04.679 --> 00:02:05.539]  Women are infertile.
[00:02:05.860 --> 00:02:07.780]  Just mass plagues all by design.
[00:02:08.180 --> 00:02:09.220]  And they have studied it all.
[00:02:09.261 --> 00:02:17.723]  They have really single-handedly, with the help of the folks that are members of their organization, helped shoot down a lot of takeovers by Codex Alimentarius.
[00:02:18.023 --> 00:02:20.964]  They've been some of the sole reporters who at gunpoint have been
[00:02:21.744 --> 00:02:27.309]  Pushed out of public meetings that they've been guest of at the UN.
[00:02:27.510 --> 00:02:28.611]  Just amazing stories.
[00:02:28.671 --> 00:02:30.993]  So I wanted to have them on with us.
[00:02:31.033 --> 00:02:37.059]  Major General Stubblebine and the Medical Director of HealthFreedomUSA.org.
[00:02:37.459 --> 00:02:43.565]  And that is Rima E. Labo, MD, graduate of Albert Einstein College of Medicine.
[00:02:44.086 --> 00:02:45.727]  And then it goes through all of her amazing
[00:02:46.748 --> 00:02:48.169]  Well, and it's great to be here!
[00:03:08.783 --> 00:03:10.065]  A lot is happening.
[00:03:10.265 --> 00:03:15.792]  Just a side issue before we get into the Codex Alimentarius, what you saw in Europe, and bring the doctor in.
[00:03:16.252 --> 00:03:19.777]  Have you heard all the big announcements that they're going to abolish the National Guard?
[00:03:19.957 --> 00:03:22.180]  I have all the documents here, but it's in the Washington Post.
[00:03:22.741 --> 00:03:25.784]  And put them under NORTHCOM, and it says for civil insurrection
[00:03:26.385 --> 00:03:35.387]  And to work with the police, and they're deploying microwave guns in all the major cities to prepare, I guess, for war with the American people.
[00:03:35.407 --> 00:03:41.428]  I had a retired JAG colonel on the first hour saying that this is unconstitutional.
[00:03:42.068 --> 00:03:45.049]  What's your take on it, being the former head of special forces?
[00:03:46.669 --> 00:03:50.330]  It's absolutely not constitutional.
[00:03:50.870 --> 00:03:54.211]  And it bothers the hell out of me, if you really want to know.
[00:03:55.213 --> 00:03:58.415]  Well, please elaborate, sir, because this is... I think it is horrible.
[00:04:00.797 --> 00:04:02.699]  You know, we have a Constitution.
[00:04:03.379 --> 00:04:07.743]  And what we've done with it is burn it, throw it away, and forget about it.
[00:04:07.923 --> 00:04:08.803]  And it's wrong.
[00:04:10.525 --> 00:04:22.934]  Now, when you were heading up the areas of the Army in the 70s and 80s and into the early 90s, or back in the 80s, I mean, back then, if they tried this with the Army then, what would you be saying if you were there today?
[00:04:24.175 --> 00:04:25.016]  It'd be a revolt.
[00:04:25.834 --> 00:04:27.875]  They would say, you can't do that.
[00:04:28.695 --> 00:04:30.376]  It's not constitutional.
[00:04:30.917 --> 00:04:43.663]  You cannot use the military, the army, or the navy, or the marines, or the air force, for civil, for civil actions.
[00:04:44.543 --> 00:04:47.105]  It is not constitutional.
[00:04:47.585 --> 00:04:49.766]  And that's exactly what we would have said then.
[00:04:51.238 --> 00:04:53.899]  Why isn't it constitutional?
[00:04:54.420 --> 00:04:56.601]  Why is it not constitutional?
[00:04:56.661 --> 00:05:02.704]  Why did the founders, why did every other civilized nation say you don't have your army engaging the people?
[00:05:02.724 --> 00:05:06.326]  Because the army is meant to kill people and break things and go after enemies.
[00:05:06.646 --> 00:05:13.090]  I mean, why did the Romans 2,000 years ago say it's against the law for Caesar to bring the troops into Rome?
[00:05:14.750 --> 00:05:19.473]  Because you didn't want somebody who could become then a dictator
[00:05:20.704 --> 00:05:41.534]  By using the army to quell any kind of unrest, any kind of disagreement, you didn't want this so-called ruler to take advantage of the power of the army, literally, to quell the populace.
[00:05:42.495 --> 00:05:48.697]  That's the reason that they made it unconstitutional, because they knew, then,
[00:05:50.273 --> 00:06:00.725]  That it was not going to be correct if a ruler could become a dictator by using the military.
[00:06:01.165 --> 00:06:01.906]  Very simple.
[00:06:03.468 --> 00:06:08.073]  And that's what the Army War College and the Naval War College and all of them said for hundreds of years.
[00:06:10.547 --> 00:06:16.552]  My dad's got a big book, The History of the Army, and right in there it has several chapters saying what you just said.
[00:06:17.053 --> 00:06:23.418]  So the Army has to know what they're being told to do now is treason against the Constitution.
[00:06:25.179 --> 00:06:39.351]  Well, you know, it's very interesting because at some level, or some levels, we apparently have sort of morphed into this position we're in.
[00:06:41.322 --> 00:06:49.764]  Instead of, you know, we didn't just sort of jump into this thing one day and suddenly be there.
[00:06:50.604 --> 00:06:53.805]  We've kind of oozed or morphed into this thing.
[00:06:54.525 --> 00:07:04.987]  I don't know what the current commanders are thinking, but I cannot help but believe that they are very, very upset with some of the things that are going on.
[00:07:06.248 --> 00:07:07.628]  I mean, you know, they brought this
[00:07:08.712 --> 00:07:09.292]  I don't know.
[00:07:37.489 --> 00:07:46.276]  I can't believe that a commander who's being given that order doesn't say, what the hell is going on here?
[00:07:46.296 --> 00:07:48.497]  That's right.
[00:07:48.517 --> 00:07:50.139]  I was going to say, all of the National Guard.
[00:07:58.211 --> 00:08:04.755]  Yeah, and then I read deeper and it talks about Obama's civilian corps of one million.
[00:08:05.095 --> 00:08:06.275]  Does that concern you, sir?
[00:08:06.295 --> 00:08:08.737]  A one million man spy corps?
[00:08:11.318 --> 00:08:13.539]  Or is that going to be a personal army?
[00:08:14.580 --> 00:08:16.381]  Oh no, it's going to be outside the army, you're right.
[00:08:16.421 --> 00:08:21.364]  Yes, they're saying it's going to be a federal domestic force.
[00:08:21.384 --> 00:08:26.947]  I mean, how do people not recognize that that is... I mean, that is classic tyranny, is it not, sir?
[00:08:28.499 --> 00:08:32.101]  Okay, how can you have your own army?
[00:08:32.862 --> 00:08:33.982]  I mean, look at Blackwater.
[00:08:34.923 --> 00:08:36.704]  You know, what is Blackwater?
[00:08:36.924 --> 00:08:40.726]  Whose allegiance does Blackwater swear to?
[00:08:41.467 --> 00:08:42.547]  To the Constitution?
[00:08:43.968 --> 00:08:45.449]  Oh, no, no, no, no.
[00:08:46.430 --> 00:08:48.811]  Does it swear to Halliburton?
[00:08:49.952 --> 00:08:50.852]  Well, I think so.
[00:08:51.773 --> 00:08:57.016]  So how do you then have your own personal army and
[00:08:58.106 --> 00:09:01.388]  Then is there more than one personal army out there?
[00:09:02.709 --> 00:09:05.810]  You know, Halliburton got one?
[00:09:07.071 --> 00:09:08.572]  Obama have one?
[00:09:09.152 --> 00:09:10.273]  Does McCain have one?
[00:09:11.074 --> 00:09:13.995]  Who else has their own personal army?
[00:09:14.856 --> 00:09:15.536]  And why?
[00:09:16.136 --> 00:09:20.539]  You know, the big question is not do they do, but why do they have it?
[00:09:20.879 --> 00:09:27.363]  Well, what's coming, Alex, what's coming that we don't know that each one of these individuals
[00:09:31.487 --> 00:09:34.789]  What is that in your educated opinion, General?
[00:09:37.351 --> 00:09:50.959]  I think something is getting ready to happen which is devastating, and I don't know whether it's another false flag event like 9-11, I don't know whether it's a
[00:09:56.684 --> 00:09:58.245]  Avian flu pandemic.
[00:09:59.005 --> 00:09:59.685]  I don't know.
[00:09:59.705 --> 00:10:03.227]  I don't know the exact details.
[00:10:04.507 --> 00:10:05.267]  What is coming?
