[00:00:00.109 --> 00:00:00.469]  I don't know.
[00:00:14.366 --> 00:00:16.868]  Folks, we're talking to Ted Nugent, who's touring the country right now.
[00:00:17.428 --> 00:00:20.470]  Ted, you look, I mean, I've had you on a couple times over the years.
[00:00:20.510 --> 00:00:24.794]  I think the first time I interviewed you was, I think, eight years ago, and then about five years ago.
[00:00:24.814 --> 00:00:26.675]  So it's been about five years since you've joined us.
[00:00:27.335 --> 00:00:28.436]  And I totally agree with you.
[00:00:28.496 --> 00:00:29.837]  We don't need open borders.
[00:00:29.877 --> 00:00:30.978]  We don't need gun control.
[00:00:31.018 --> 00:00:33.320]  We need more liberty, not less liberty.
[00:00:33.340 --> 00:00:36.142]  We need to legalize freedom, like Ron Paul has said.
[00:00:36.262 --> 00:00:42.887]  But, I mean, we have the Republican Party that's tripled the size of government the last eight years.
[00:00:43.747 --> 00:00:47.932]  George Bush said that he would sign the assault weapons ban if it got to his desk.
[00:00:47.972 --> 00:00:49.354]  Thank God it didn't.
[00:00:49.394 --> 00:00:58.664]  So my whole point is, how do we awaken the people that both parties are sold out to interests that don't want us to have freedom?
[00:00:59.385 --> 00:01:03.350]  Well, Alex, God bless you for using your megaphone.
[00:01:03.786 --> 00:01:04.166]  I don't think so.
[00:01:15.905 --> 00:01:28.653]  Because as a participating, we the people, experimenter in self-government, I believe it is our moral and spiritual obligation to be involved, to be outspoken, to blow those whistles.
[00:01:28.693 --> 00:01:29.634]  And here's the answer.
[00:01:30.014 --> 00:01:38.860]  The simple answer is outlined lick for lick in a brand new book I'm just wrapping up right now for Regnery Publishing called Ted White and Blue, The Nugent Manifesto.
[00:01:39.661 --> 00:01:42.883]  And we need to, and not the scourge of liberalism in this country,
[00:01:43.413 --> 00:01:45.055]  But the scourge of apathy.
[00:01:45.575 --> 00:01:52.682]  And yes, I have many blood brothers that are hardcore, rugged individuals in the great Republic of Texas.
[00:01:52.962 --> 00:02:02.752]  But if you look around you in our home state of Texas, Alex, or Illinois, or Massachusetts, literally every state, the enemy isn't the liberals.
[00:02:03.556 --> 00:02:11.042]  The enemy is those of us who know and live logic every day, but don't do a damn thing about it.
[00:02:11.082 --> 00:02:22.151]  The curse in America is apathy, and we need to communicate with our friends at work, at school, at church, at the barbecue pit, at the bowling alley, at the shooting range.
[00:02:22.431 --> 00:02:27.375]  We need to communicate and prod specific issues, and I think it should start with gun control.
[00:02:27.815 --> 00:02:30.838]  It should go to taxes and education, upgrade and reform.
[00:02:31.238 --> 00:02:42.724]  Welfare reform, but we need to get these logical lifestyles by the most productive American families, those that have an alarm clock and bust their ass to be the best that they can be.
[00:02:43.065 --> 00:02:53.410]  We need to find that extra time like the Nugent family does, and let our Senator, our Congressman, our State Rep, our Governor, our Mayor, and the White House know exactly what we expect.
[00:02:53.751 --> 00:02:59.934]  For example, those two heroic border agents who are in jail right now, Compione and Ramos,
[00:03:00.805 --> 00:03:05.187]  They should be exonerated and they should be pardoned tonight.
[00:03:05.727 --> 00:03:13.270]  And every American should be pounding our own bully pulpit and demand that these heroes of law enforcement and border security
[00:03:13.832 --> 00:03:16.915]  are exonerated and let out of prison immediately.
[00:03:16.955 --> 00:03:18.316]  That's just one example.
[00:03:18.416 --> 00:03:18.856]  Yes it is.
