[00:00:05.391 --> 00:00:11.414]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:00:12.015 --> 00:00:14.996]  It's Alex Jones and the GCN Radio Network.
[00:00:34.784 --> 00:00:45.293]  All right, ladies and gentlemen, we are live here at PrisonPlanet.tv for the next hour and 51 minutes of the four-hour radio show we do live every weekday from 11 a.m.
[00:00:45.313 --> 00:00:46.033]  to 3 p.m.
[00:00:46.454 --> 00:00:48.916]  Central Standard Time, four hours live.
[00:00:49.396 --> 00:00:52.039]  But again, we go live in the last two hours
[00:00:52.979 --> 00:00:58.902]  of the radio show at PrisonPlanet.TV for all the folks watching out there on the internet.
[00:00:58.922 --> 00:01:12.510]  We're also developing this show for cable and satellite television in the next few months as well as another TV program that we are developing here out of the same studios.
[00:01:13.703 --> 00:01:15.966]  We're joined for the next 50 minutes by Kevin Ryan.
[00:01:17.168 --> 00:01:29.106]  Kevin Ryan, of course, was an engineer working in underwriting laboratories and discovered internal studies that had been done by the underwriters, which is underwriting laboratories of the Towers.
[00:01:30.167 --> 00:01:36.050]  That clearly showed that fire could not have brought those buildings down the way that the government was claiming.
[00:01:36.570 --> 00:01:38.250]  So he tried to get them to go public.
[00:01:38.270 --> 00:01:38.731]  They wouldn't.
[00:01:39.091 --> 00:01:42.112]  He wrote a letter to them publicly about it and they fired him.
[00:01:42.392 --> 00:01:53.737]  So I think it's better for Kevin Ryan to introduce himself, some of his background, the saga he's been through, and the amazing research he's done, not just in a thermite and thermate and explosives,
[00:01:55.738 --> 00:01:59.661]  And the testing of that, but who at NIST is involved in the cover-up?
[00:02:00.442 --> 00:02:09.569]  They just so happen to be thermate experts in their own right, with NASA and other groups for missile coupler separation seals.
[00:02:10.690 --> 00:02:11.490]  And a lot more.
[00:02:11.510 --> 00:02:16.112]  And it's been about six months since he dropped those original bombshells here on air.
[00:02:16.792 --> 00:02:20.034]  He, of course, works with architects and engineers for 9-11 Truth and other groups.
[00:02:20.434 --> 00:02:24.175]  And we are very, very honored to have Kevin Ryan on the show with us today.
[00:02:24.795 --> 00:02:26.316]  Kevin, good to talk to you again.
[00:02:27.383 --> 00:02:29.183]  Hi Alex, it's good to be with you again.
[00:02:29.783 --> 00:02:30.263]  You bet.
[00:02:30.283 --> 00:02:31.004]  You've got the floor.
[00:02:31.044 --> 00:02:39.845]  Describe a little bit about yourself, kind of a recap of this quest you've been on and what it's led you to today and the latest developments.
[00:02:41.225 --> 00:02:41.525]  Okay.
[00:02:42.065 --> 00:02:48.767]  I was, as you said, fired from Underwriters Laboratories and that was over four years ago in 2004.
[00:02:49.847 --> 00:02:56.888]  And I had been questioning them for about a year or so about the fire resistance testing that they did.
[00:02:57.794 --> 00:03:07.617]  Um, 40 years before, um, for the World Trade Center Towers, they had done fire resistance testing of the steel components used to build the World Trade Center Towers.
[00:03:08.378 --> 00:03:11.339]  And the CEO had told us about it.
[00:03:11.459 --> 00:03:17.761]  And I had spoken with the fire resistance testing manager at the time about it.
[00:03:18.701 --> 00:03:22.242]  And they were reluctant to share that information publicly.
[00:03:22.302 --> 00:03:24.343]  So we were asking
[00:03:25.639 --> 00:03:36.346]  Myself and one or two others in the UL about that testing and why the towers could possibly have failed from fire as a result.
[00:03:37.487 --> 00:03:40.229]  And couldn't get any answers from the upper management.
[00:03:40.929 --> 00:03:52.957]  So I went ahead and wrote a letter to the National Institute of Standards and Technology after I saw one of their draft reports, which I think we've seen now over the years leave a lot lacking than this.
[00:03:53.570 --> 00:03:55.331]  Reports are completely false.
[00:03:56.511 --> 00:03:59.592]  Each one of them has been false, and they've contradicted each other.
[00:04:00.312 --> 00:04:12.255]  But when they first put out a draft report in October 2004, I wrote them a letter that got me fired from Underwriters Laboratories, where I was laboratory manager and the top manager for one of their divisions.
[00:04:13.296 --> 00:04:21.338]  I've since done a lot of writing and research on 9-11, become the co-editor of the Journal of 9-11 Studies with Stephen Jones.
[00:04:22.219 --> 00:04:26.223]  A few years ago, I am a member of Architects and Engineers for 9-11 Truths.
[00:04:27.183 --> 00:04:30.626]  We also have a local group here where I live called the 9-11 Working Group.
[00:04:31.547 --> 00:04:37.953]  And so I do a lot of writing and research, presentations around the country, and whatever I can to get the truth out about 9-11.
[00:04:41.590 --> 00:05:06.529]  Why did you first question the collapse of the towers as an engineer, and then let's walk through the evidence of cover-up, trying to suppress you and others, and kind of a recap of the evidence that has come out that continues to make a compelling case for controlled demolition, and then the new research that's been developed that is, well, in a whodunit sense, bombshell
[00:05:07.833 --> 00:05:09.093]  But then this isn't a whodunit.
[00:05:09.133 --> 00:05:11.714]  This isn't some PBS mystery theater.
[00:05:11.754 --> 00:05:12.975]  This is the real world.
[00:05:13.435 --> 00:05:20.418]  This is inside job material, and this shakes the very foundation of our world to its core.
[00:05:22.338 --> 00:05:34.423]  Well, yeah, and the reason I first started questioning it was for, I think, a number of the reasons that you do what you do, Alex, and trying to get the word out, getting people prepared for a
[00:05:36.089 --> 00:05:40.371]  Pretty big transition here in society and, you know, it's coming.
[00:05:40.411 --> 00:05:51.698]  There's nothing we can really do about it, but it is important to be aware of the facts of what has happened over the last few years and try to prepare ourselves for the future.
[00:05:52.038 --> 00:06:02.604]  And so, you know, the first things that I noticed were if a steel has been tested for fire resistance for a number of hours, in fact, in furnaces,
[00:06:03.490 --> 00:06:13.273]  At temperatures that exceeded the temperatures that we all agreed actually existed in the towers, then how could the towers have failed from fire?
[00:06:14.513 --> 00:06:17.794]  Those questions were not answered and they still have not been answered.
[00:06:19.674 --> 00:06:21.955]  The NIST group has done a lot of tap dancing about
[00:06:23.384 --> 00:06:25.845]  The issue, and they've given us a number of false stories.
[00:06:25.945 --> 00:06:29.146]  I was about to say, they're constantly changing their story.
[00:06:29.186 --> 00:06:32.247]  It's always something new, and now they're admitting free fall of Building 7.
[00:06:33.007 --> 00:06:34.688]  They're having to admit molten steel.
[00:06:36.028 --> 00:06:38.069]  I mean, the laws of science are against them.
[00:06:38.989 --> 00:06:40.230]  Yeah, absolutely they are.
