[00:00:00.049 --> 00:00:00.389]  Watch it.
[00:00:03.551 --> 00:00:12.658]  Prepare yourself for a talk radio experience like no other.
[00:00:13.638 --> 00:00:15.019]  He stands for truth.
[00:00:16.400 --> 00:00:18.241]  He stands for justice.
[00:00:19.602 --> 00:00:22.304]  He stands for what's right.
[00:00:22.745 --> 00:00:24.386]  This is the Alex Jones Show.
[00:00:25.346 --> 00:00:28.188]  Call Alex now, toll free at 877-
[00:00:29.930 --> 00:00:29.950]  590-5525.
[00:00:30.030 --> 00:00:38.432]  Now live from Austin, Texas, here's Alex Jones.
[00:00:42.192 --> 00:00:44.333]  Welcome ladies and gentlemen, welcome.
[00:00:44.433 --> 00:00:47.713]  It is already Super Bowl Sunday, February 3rd, 2008.
[00:00:48.013 --> 00:00:53.474]  We're getting ready for Willie Nelson to play the pregame.
[00:00:55.635 --> 00:00:56.555]  That should be interesting.
[00:00:58.669 --> 00:01:03.772]  But we will be here live for the next two hours to talk about three big subjects.
[00:01:04.292 --> 00:01:08.574]  The fact that there's no difference between the Republicans and the Democrats at the higher levels of the party.
[00:01:09.055 --> 00:01:12.677]  Ann Coulter endorsing Hillary Clinton for president.
[00:01:13.597 --> 00:01:16.919]  We reported that Fox News basically runs her campaign along with the White House.
[00:01:17.871 --> 00:01:24.016]  But now it's in ABC News, and conservatives are now saying that if you're against Hillary, you are a liberal.
[00:01:24.356 --> 00:01:25.417]  Now, I predicted this.
[00:01:25.477 --> 00:01:26.298]  People couldn't believe it.
[00:01:26.598 --> 00:01:27.559]  They thought I was joking.
[00:01:27.919 --> 00:01:34.864]  The two parties are merging right now, and gun control, open borders, tax and regulation is now conservative.
[00:01:36.125 --> 00:01:38.607]  And most conservatives have, of course, gone along with this.
[00:01:39.648 --> 00:01:42.970]  They like the fantasy land, and that's why they're going to live in a depression.
[00:01:44.111 --> 00:01:45.272]  And the Democrats like their
[00:01:45.945 --> 00:01:48.667]  Democratic leaders as well that like being part of the slave herd.
[00:01:49.468 --> 00:01:55.192]  We here are not slaves, and we're going to be exposing the election news coming up today.
[00:01:56.133 --> 00:02:02.077]  Also, in the second stack, I have a huge stack of important economic news here in front of me.
[00:02:03.558 --> 00:02:07.982]  And we have one of Morgan Stanley's biggest partners,
[00:02:09.833 --> 00:02:28.381]  Who is in the top 20 financial advisors in the world, according to the New York Times, saying, by, this is a quote, by a farm, by seed, fertilizer, canned food, wine, medicine, and clothes, etc., for total economic collapse and absolute total depression.
[00:02:28.961 --> 00:02:30.501]  I'm not saying this is going to happen.
[00:02:30.741 --> 00:02:34.463]  I'm just saying it is a real possibility and a lot of experts are saying it.
[00:02:34.483 --> 00:02:39.345]  Nobel Prize winners on economics we've interviewed, the father of Reaganomics we've interviewed many times.
[00:02:40.075 --> 00:02:40.676]  I don't know.
[00:02:54.658 --> 00:02:57.460]  But unfortunately, I will not be watching the Super Bowl today.
[00:02:57.520 --> 00:03:02.042]  No, I'm going to be preparing my family for what there's a very good chance of.
[00:03:02.062 --> 00:03:10.266]  But don't worry, when you're in a depression, there's police and black ski masks everywhere running around, and getting your forced inoculations, there will still be plenty of sports available.
[00:03:10.807 --> 00:03:11.747]  There always is.
[00:03:11.767 --> 00:03:13.408]  There was in Nazi Germany as well.
[00:03:14.629 --> 00:03:18.110]  So don't worry, you might just want to tune out now, because you don't want to hear about serious issues.
[00:03:18.571 --> 00:03:19.111]  The Pats!
[00:03:20.345 --> 00:03:24.927]  Or are they busy spying, engaging in conspiracies, videotaping the other teams?
[00:03:25.047 --> 00:03:25.728]  That's impossible.
[00:03:25.748 --> 00:03:26.868]  There's no such thing as conspiracy.
[00:03:27.208 --> 00:03:29.329]  No one colludes, not football teams, not governments.
[00:03:29.670 --> 00:03:30.490]  Everything's fine.
[00:03:31.611 --> 00:03:37.173]  Don't treat the old and unhealthy, say doctors, yet now they say, just go ahead and kill them.
[00:03:37.193 --> 00:03:40.415]  I have a big stack of New World Order news about the nanny state.
[00:03:40.965 --> 00:03:47.049]  Along those lines that we're going to be breaking down for you as well today.
[00:03:47.209 --> 00:03:54.634]  That's really the most important news that we're going to be covering getting into this entire global dehumanization slave grid.
[00:03:55.514 --> 00:03:59.217]  We are also going to take a lot of your phone calls today, a ton of them.
[00:03:59.887 --> 00:04:03.692]  Terry in West Virginia, Mike in Washington, Florence in New York.
[00:04:03.752 --> 00:04:05.034]  The total free number to join us is 877-590-5525.
[00:04:05.054 --> 00:04:05.174]  877-590-KLBJ.
[00:04:05.214 --> 00:04:08.238]  After our namesake, formerly owned by President LBJ, no longer.
