[00:00:00.089 --> 00:00:00.549]  So much more.
[00:00:28.278 --> 00:00:31.120]  Okay, now the TV show is on DirecTV.
[00:00:31.160 --> 00:00:32.441]  You have to have a dish.
[00:00:32.601 --> 00:00:33.641]  DirecTV.
[00:00:34.282 --> 00:00:36.323]  And it's on channel 367.
[00:00:38.124 --> 00:00:40.085]  Eastern time, it's at midnight.
[00:00:40.926 --> 00:00:44.128]  Monday night, Tuesday night, Wednesday night, 11 p.m.
[00:00:44.548 --> 00:00:48.130]  Monday, Tuesday, and Wednesday in the central time zone.
[00:00:48.410 --> 00:00:50.632]  And so in California, that'd be 9 p.m.
[00:00:50.652 --> 00:00:51.872]  Pacific.
[00:00:52.353 --> 00:00:52.933]  That's correct.
[00:00:53.814 --> 00:00:55.174]  And our toll-free number is 1-800.
[00:00:58.872 --> 00:00:59.272]  516-8736.
[00:01:00.814 --> 00:01:06.239]  And you have a free offer of a year's subscription of News Watch Magazine, now in its 28th year of publishing.
[00:01:06.939 --> 00:01:10.463]  Let's go ahead and take a few quick calls here.
[00:01:10.903 --> 00:01:14.026]  Greg in New Jersey, thanks for holding in on the year with Pastor David J. Smith.
[00:01:14.634 --> 00:01:15.595]  Excellent show, gentlemen.
[00:01:15.615 --> 00:01:16.415]  I really appreciate it.
[00:01:16.495 --> 00:01:17.436]  I learned a lot today.
[00:01:18.376 --> 00:01:28.842]  One thing that I've been called is a racist, because in New Jersey, they had a Mexican consulate on wheels, literally come through Ocean, Monmouth, Middlesex County.
[00:01:28.862 --> 00:01:36.307]  Yeah, handing out fake IDs to everybody, but then the police throw the book at you for not having a driver's license, but the illegals are above the law, allowed to drink and drive.
[00:01:36.667 --> 00:01:39.268]  That's because they're part of taking over for the North American Union.
[00:01:39.308 --> 00:01:41.229]  Again, we're not bashing those people.
[00:01:41.530 --> 00:01:43.311]  The point is, they're a weapon, a tool.
[00:01:43.331 --> 00:01:43.631]  Go ahead.
[00:01:44.011 --> 00:01:45.332]  It's even better than that.
[00:01:45.352 --> 00:01:49.717]  They even had representatives from Bank of America there, signing up people for accounts.
[00:01:50.823 --> 00:01:52.264]  Now, correct me if I'm wrong.
[00:01:52.684 --> 00:01:53.745]  I mean, I understand.
[00:01:54.586 --> 00:02:03.952]  If there was something going on in America, and something terrible was happening in America, and Canada was the only place to go, maybe, you know, I could see... Well, let me be clear here.
[00:02:04.012 --> 00:02:10.816]  Wells Fargo and Bank of America, they both accept, with a consular matricula, and give them bank accounts.
[00:02:11.117 --> 00:02:13.278]  A citizen has to have three forms of ID.
[00:02:13.498 --> 00:02:15.479]  And we've gone in and protested Bank of America.
[00:02:15.720 --> 00:02:17.481]  Let me get a comment from David J. Smith on this.
[00:02:18.652 --> 00:02:32.610]  Well, it's obvious that they're going right along with President Bush and Fox's and British Prime Minister Martin's program, and they want to have a United States of North America, you might say.
[00:02:33.522 --> 00:02:42.125]  The three nations, one economy, so they're going to try to give them their own bank accounts, open it for them, because they see nothing but money.
[00:02:42.145 --> 00:02:48.667]  Once again, this is the greed of what's going on in America, and basically the whole world.
[00:02:48.947 --> 00:02:58.670]  And two years ago, Bank of America admitted in an AP article that, quote, oh, there's pressure to kick these poor people out, so yeah, we're bending the rules to help them.
[00:02:59.010 --> 00:03:02.971]  No, this is an agenda to balkanize and drive down wages in this country.
[00:03:03.371 --> 00:03:03.892]  That's right.
[00:03:04.572 --> 00:03:06.874]  Anything else you want to add there, Greg?
[00:03:07.174 --> 00:03:22.588]  Well, the thing that just troubles me is the fact that if you bring up the fact that, you know, if you're a law-abiding citizen of the United States, and then you point out the flagrant violations of federal, local, and other laws, you know, by people who don't even belong here, somehow you're labeled a racist.
[00:03:22.608 --> 00:03:24.930]  It's like, no, I stand for the rule of law.
[00:03:25.350 --> 00:03:31.674]  Also, we have the Catholic Church running around with their diocese pushing for legalization, and I think that's wrong.
[00:03:31.714 --> 00:03:33.775]  That goes back to what Pastor Smith was saying.
[00:03:33.795 --> 00:03:34.756]  Does that tie into this?
[00:03:35.956 --> 00:03:36.957]  It absolutely does.
[00:03:37.937 --> 00:03:46.382]  Even the Pope, when he came here, he chastised America and said we should have more compassion upon these illegal aliens coming into our country.
[00:03:46.462 --> 00:03:50.005]  But the truth is, they don't want to keep them down there, so they force a good revolution.
[00:03:50.345 --> 00:03:51.345]  They're using the U.S.
[00:03:51.405 --> 00:03:52.226]  as a steam valve.
[00:03:54.514 --> 00:03:55.035]  Absolutely.
[00:03:55.055 --> 00:03:57.638]  Well, thank you so much for that call, Greg.
[00:03:57.658 --> 00:03:58.139]  Anything else?
[00:03:59.051 --> 00:04:06.498]  No, I'm really glad to be a member of your subscription service.
[00:04:06.558 --> 00:04:08.339]  I learn a lot, and thank you very much.
[00:04:08.660 --> 00:04:09.420]  Thank you.
[00:04:09.741 --> 00:04:15.926]  PrisonPlanet.tv is how we finance much of what we do, and it's a great value, and it's a great activist tool, but it also supports us.
[00:04:15.966 --> 00:04:17.227]  So win, win, win, win.
[00:04:17.287 --> 00:04:18.108]  Thank you so much.
[00:04:18.548 --> 00:04:19.910]  Okay, we'll come back and take more calls.
[00:04:19.930 --> 00:04:21.751]  I'm going to let Pastor David J. Smith go now.
[00:04:22.112 --> 00:04:25.895]  He spent two hours with us today, and I want to have him back up in the near future.
[00:04:26.235 --> 00:04:33.799]  Thank you for your tireless work, sir, for my family, everybody else's family, and the great work you've done to try to bring people to the Lord.
[00:04:34.419 --> 00:04:35.359]  It's my pleasure.
[00:04:35.700 --> 00:04:37.560]  And God bless and keep going.
[00:04:37.741 --> 00:04:38.441]  Take care, my friend.
[00:04:38.481 --> 00:04:38.841]  Thank you.
[00:04:39.181 --> 00:04:39.341]  Bye.
[00:04:39.761 --> 00:04:43.163]  We'll be right back, ladies and gentlemen, with more of your calls first than a lot of news.
[00:04:43.183 --> 00:04:43.403]  1-800-259-9231 or 512-646-5400.
[00:04:43.423 --> 00:04:43.803]  Stay with us.
[00:04:51.297 --> 00:04:54.238]  Have you ever thought about what's in your shampoo, soap, or detergent?
[00:04:54.398 --> 00:04:59.639]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[00:04:59.899 --> 00:05:05.260]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[00:05:05.640 --> 00:05:06.761]  Hi, this is Alex Jones.
[00:05:07.101 --> 00:05:16.123]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[00:05:16.423 --> 00:05:18.045]  Now, compare a Calbin Pure Soap.
[00:05:18.265 --> 00:05:22.449]  All natural, earth-friendly, no harsh chemicals, no animal testing.
[00:05:22.489 --> 00:05:27.113]  They're safe, and you save 85% of the money you're spending on cleaning products now.
[00:05:27.494 --> 00:05:30.957]  Start saving over $1,000 a year for your family of four.
[00:05:31.337 --> 00:05:32.138]  Keep it natural.
[00:05:32.438 --> 00:05:35.821]  Call Calbin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[00:05:40.806 --> 00:05:46.329]  Try Cal Bend Pure Soaps, and I'll bet you'll never use any other cleaning products again.
[00:05:46.589 --> 00:05:49.991]  Call 1-800-340-7091 for all your cleaning needs.
[00:05:51.392 --> 00:05:52.792]  It is a big idea.
[00:05:52.812 --> 00:05:54.913]  A new world order.
[00:05:55.614 --> 00:05:59.796]  In the near future, Earth is dominated by a powerful world government.
[00:05:59.856 --> 00:06:02.257]  It's known as the Builder Bird.
[00:06:03.358 --> 00:06:05.519]  Could their objective be world domination?
[00:06:06.115 --> 00:06:08.557]  For thousands of years, their dark order grew.
[00:06:09.317 --> 00:06:16.642]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:06:19.666 --> 00:06:24.629]  For the first time in history, the elite's plan for world government is blown wide open.
[00:06:25.110 --> 00:06:28.752]  You will learn the secret that drives the entire New World Order agenda.
[00:06:28.972 --> 00:06:31.494]  Bill of Rights is making great progress toward a world government.
[00:06:31.554 --> 00:06:32.494]  Most people have no idea.
[00:06:32.514 --> 00:06:33.455]  They're not after money.
[00:06:33.495 --> 00:06:34.555]  They have all the money they need.
[00:06:34.776 --> 00:06:35.496]  They're after power.
[00:06:35.756 --> 00:06:36.597]  That's what I have to teach you.
[00:06:36.897 --> 00:06:41.440]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[00:06:41.640 --> 00:06:44.441]  Or watch it online right now at PrisonPlanet.tv.
[00:06:45.663 --> 00:06:48.232]  Endgame, prepped for global enslavement.
[00:06:48.413 --> 00:06:49.557]  You have been warned.
[00:06:50.396 --> 00:06:51.757]  Wake up, Protestant America!
[00:06:51.997 --> 00:06:55.500]  There is an ecumenical movement now being planned to join church and state.
[00:06:55.660 --> 00:07:01.585]  This confederation of evangelicals, Catholics, and Protestant denominations will form one huge political voting block.
[00:07:01.705 --> 00:07:05.488]  Their agenda is enforcement of religious worship and morality by legislation.
[00:07:05.788 --> 00:07:10.271]  Our forefathers wrote the Bill of Rights to guarantee all Americans this freedom, liberty of conscience.
[00:07:10.531 --> 00:07:15.015]  History and the Bible prove to them that these two systems, church and state, must be kept separate.
[00:07:15.215 --> 00:07:18.918]  It must be our love of God and of country that prompts or constrains us.
[00:07:19.238 --> 00:07:21.640]  This will change the character, not civil enforcement.
[00:07:21.840 --> 00:07:26.943]  From history we saw that when church and state united, known as Papal Rome, religious intolerance resulted.
[00:07:27.143 --> 00:07:30.526]  This union would go directly contrary to the great principles of our nation.
[00:07:30.826 --> 00:07:33.448]  America and Papal Rome are uniting in this agenda.
[00:07:33.608 --> 00:07:36.149]  Protestant America, awake before it is too late.
[00:07:36.369 --> 00:07:38.091]  The prophecies are fast fulfilling.
[00:07:38.311 --> 00:07:39.652]  Jesus is coming soon.
[00:07:39.892 --> 00:07:41.233]  For free materials call 888-211-1715.
[00:07:41.253 --> 00:07:42.994]  Or write The Bible Says, Box 99, Lenore City, Tennessee, 37771.
[00:07:52.219 --> 00:07:58.242]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:07:58.842 --> 00:08:01.923]  It's Alex Jones and the GCN Radio Network.
[00:08:01.943 --> 00:08:16.830]  We're back live ladies and gentlemen.
[00:08:20.350 --> 00:08:24.093]  And now I'm going to take some more of your calls, then we've got a big news blitz coming up.
[00:08:24.494 --> 00:08:25.715]  I'm going to skip ahead of everybody.
[00:08:25.775 --> 00:08:29.458]  Betty in Florida says she disagrees, so she'll go to the head of the line.
[00:08:29.478 --> 00:08:33.482]  Doesn't matter, my detractors still say all the calls are screened and fake.
[00:08:34.623 --> 00:08:43.630]  And even when they call in themselves, it's all part of the dishonesty and intellectual bankruptcy of those that claim only they fight the New World Order, no one else.
[00:08:44.571 --> 00:08:46.273]  But let's see if Betty really disagrees or not.
[00:08:46.333 --> 00:08:47.374]  Betty in Florida, go ahead.
[00:08:47.958 --> 00:08:48.459]  Hi, Alex.
[00:08:49.439 --> 00:08:57.367]  I really do disagree with you, but this time it has to do with when you were talking about the Catholic Church being part of the New World Order.
[00:08:58.207 --> 00:08:59.568]  Well, I mean, let's be clear here.
[00:08:59.689 --> 00:09:01.450]  I'm not bashing Catholics individually.
