[00:00:23.695 --> 00:00:24.115]  Whenever you're ready.
[00:00:37.282 --> 00:00:38.723]  Alright, folks, we are back.
[00:00:38.743 --> 00:00:47.148]  I'm having some video issues over here for the stream, so you might just get audio on my pretty little face when I play these YouTube clips, unfortunately.
[00:00:47.208 --> 00:00:48.749]  But we're just going to have to deal with that.
[00:00:49.369 --> 00:00:51.951]  But that's okay, because I've got a hell of a guest on the line.
[00:00:51.971 --> 00:00:56.173]  I have Justin Martel of Student Scholars for 9-11 Truth for the next 30 minutes.
[00:00:56.193 --> 00:00:57.974]  And then we have G. Edward Griffin.
[00:00:58.515 --> 00:01:03.778]  We're going to be playing some YouTube clips, including the new We Are Change confrontation with the Clintons, at least the first half.
[00:01:04.558 --> 00:01:07.300]  Without the cursing, because the second half has a lot of cursing, apparently.
[00:01:09.282 --> 00:01:10.703]  I'm just psyched up, Justin.
[00:01:10.743 --> 00:01:14.786]  I'm so excited to see so many people waking up to the Bilderberg Conference.
[00:01:15.166 --> 00:01:17.448]  Over a hundred protesters out there right now.
[00:01:18.369 --> 00:01:20.070]  Of course, Alex Jones, Luke Rudowsky.
[00:01:20.470 --> 00:01:23.252]  But they're not going to be able to hide for much longer, are they, Justin?
[00:01:24.573 --> 00:01:26.195]  I would say not.
[00:01:26.955 --> 00:01:31.378]  I think that Alex's new documentary, Endgame, had a lot to do with that.
[00:01:32.452 --> 00:01:33.653]  Absolutely, absolutely.
[00:01:33.854 --> 00:01:42.483]  Well, let's play... I mean, it's only going to be audio, unfortunately, because the video feed, for some reason, isn't taking to my computer as I'd like.
[00:01:42.803 --> 00:01:47.769]  But I'm going to play your confrontation, the Student Scholars confrontation.
[00:01:47.789 --> 00:01:49.470]  I believe that's Eric Jackman doing that one?
[00:01:50.071 --> 00:01:50.211]  Yep.
[00:01:50.411 --> 00:01:52.692]  That's SST911.org, by the way, folks.
[00:01:52.912 --> 00:01:54.393]  Great organization for young folks.
[00:01:54.433 --> 00:01:58.775]  If you are in college and you're not part of a 9-11 truth group, this is the group to be a part of.
