[00:00:00.009 --> 00:00:00.792]  Term free, 33 dollars.
[00:00:10.177 --> 00:00:11.097]  Welcome, my friends.
[00:00:11.117 --> 00:00:23.581]  We've got Tex Mars with us for close to an hour and a half, and we have Academy Award-winning documentary filmmaker of the Taxi to the Dark Side, as Dick Cheney called it, the torture camps where they torture children to death, joining us.
[00:00:23.601 --> 00:00:26.442]  She's also got a new film coming out about Hunter S. Thompson.
[00:00:27.422 --> 00:00:35.564]  But we are joined for the next hour and 20 minutes or so by a professor of space and aeronautics and military science, Tex Mars.
[00:00:35.604 --> 00:00:36.905]  He was an officer in the Air Force.
[00:00:37.765 --> 00:00:57.725]  He's had a whole bunch of best-selling books, not just on the New World Order and global government, but he's written the books that are, only one gets chosen a year, the official book on how to pass the armed services military exam and all sorts of scholarly stuff.
[00:00:57.745 --> 00:00:58.766]  He's really a scholar.
[00:00:59.326 --> 00:01:00.828]  And we've been having him on quite a bit lately.
[00:01:00.848 --> 00:01:03.392]  We're really honored to have him in the studio with us.
[00:01:03.432 --> 00:01:13.865]  We're blessed to have him and his wife, Wanda Mars, and their great staff over at Power of Prophecy here in Austin, Texas, really serving the world with some of the best and most heartening information.
[00:01:14.586 --> 00:01:15.287]  out there available.
[00:01:15.607 --> 00:01:19.889]  We had him on twice in the last month about mysterious monuments.
[00:01:20.209 --> 00:01:23.832]  For the prisonplanet.tv viewers, I showed you some of the pages here on air.
[00:01:23.852 --> 00:01:24.812]  He's got some more today.
[00:01:25.052 --> 00:01:27.994]  We'll be showing folks here on the document cam.
[00:01:28.875 --> 00:01:35.999]  But because so much has happened today, and because Texas made films about this and written books about this from the source documents,
[00:01:36.599 --> 00:01:47.048]  I wanted to first thank Tex for being here, but then get his response to Barack Obama coming out in a speech saying, million plus youth brigade armed and it's spying on the American people.
[00:01:47.068 --> 00:01:47.749]  They even said it.
[00:01:48.069 --> 00:01:52.233]  Now we know they've been setting it up, and we know Obama didn't invent this, he's just the front.
[00:01:53.193 --> 00:02:03.696]  And then they've announced in Chicago they're going to use the National Guard for gun confiscation and all over they have this knock and talk where police are trying to come to people's houses from Boston to Dallas to Tucson to L.A.
[00:02:04.176 --> 00:02:08.977]  under federal grants and they're taking blood at warrantless checkpoints now all over the country.
[00:02:09.857 --> 00:02:15.899]  And so they are really trying to get in our comfort zones and I wanted to get Tex Marr's take on that.
[00:02:15.979 --> 00:02:17.679]  Tex, it's a real honor to have you here.
[00:02:17.719 --> 00:02:18.919]  Hey Alex, great to be with you again.
[00:02:18.939 --> 00:02:21.260]  And it really is a momentous time.
[00:02:22.340 --> 00:02:26.704]  You know, this scheme by Barack Obama is not new.
[00:02:27.305 --> 00:02:35.972]  And as you mentioned earlier on your program, we go back to the Soviet era, when they had the Soviet communist youth.
[00:02:36.212 --> 00:02:43.498]  Also, remember the incredible brigades of red youth during the days of Mao Zedong.
[00:02:44.079 --> 00:02:50.144]  And Hillary Rodham Clinton, of all things, proposed a great youth corps for America.
[00:02:50.684 --> 00:02:59.915]  So, I believe that Barack is simply following in this socialist, communist line that we've seen really the last century.
[00:03:00.576 --> 00:03:05.662]  And you know, they believe that they can capture one entire generation, the youth.
[00:03:06.503 --> 00:03:11.128]  And if they can convert that youth into their way of thinking,
[00:03:11.818 --> 00:03:17.383]  And to the, as Gorbachev called it, perestroika, that that will mean a total victory for them.
[00:03:17.743 --> 00:03:18.924]  And I believe that's true.
[00:03:19.004 --> 00:03:24.408]  Now, the interesting thing is, you know, we were at Brave New Books just last week, and guess what?
[00:03:24.869 --> 00:03:30.353]  Much of the crowd there that's interested in exposing this, that are angry, are the youth.
[00:03:31.274 --> 00:03:36.418]  I think we have an incredible tide here of young people who are waking up
[00:03:37.054 --> 00:03:46.181]  Now, some of the old people, unfortunately, I'm a little older, and I'm a little embarrassed that maybe my generation, because the youth of America are beginning to say, hey, wait just a minute.
[00:03:46.981 --> 00:03:51.084]  This is an age of barbarism, and we're not going to take this anymore.
[00:03:51.905 --> 00:03:58.910]  And I think the youth understand the sacrifices made by Americans in generations past.
[00:03:59.490 --> 00:04:01.732]  And they're saying, we're not going to forfeit
[00:04:02.395 --> 00:04:05.477]  What great generations before us did.
[00:04:05.617 --> 00:04:07.638]  We're not going to forfeit those freedoms.
[00:04:08.438 --> 00:04:12.700]  But again, Barack Obama, John McCain, it doesn't matter.
[00:04:13.600 --> 00:04:18.783]  This is a very false dichotomy, this left-right spectrum.
[00:04:19.143 --> 00:04:20.604]  And I want people to understand something.
[00:04:21.584 --> 00:04:31.529]  People out there who are listening to us who may consider themselves as on the left side, okay, of center, they may believe that, well, if we get somebody like Barack Obama,
[00:04:32.205 --> 00:04:35.677]  Who says he's for change, everything will be okay.
[00:04:36.199 --> 00:04:38.206]  I'm afraid that some people will go to sleep.
[00:04:39.404 --> 00:04:43.326]  Because they believe that, hey, we're leftists, now we've got a leftist like us.
