[00:00:00.129 --> 00:00:02.651]  This is the GCN Radio Network, home to hard-hitting talk radio.
[00:00:29.036 --> 00:00:30.697]  Check your watch, it's four o'clock.
[00:00:43.422 --> 00:00:48.584]  David Plouffe has told Fox News Sunday that Obama has expanded the electoral map.
[00:00:48.784 --> 00:00:57.628]  We feel good about Kerry states, Iowa, New Mexico, Nevada, Colorado, Virginia, all of the prime takeaway targets that we've been working on for so long.
[00:00:57.668 --> 00:01:03.270]  And McCain campaign manager Rick Davis says undecided voters are likely to break in favor of McCain.
[00:01:03.490 --> 00:01:05.551]  Guess who's the undecided voters?
[00:01:05.651 --> 00:01:13.876]  People who, in the suburbs, expurbs, and rural areas, a lot of them Democrats, who just haven't bought into the Obama message, and guess what?
[00:01:13.956 --> 00:01:15.857]  If they haven't bought in by now, they probably aren't gonna.
[00:01:15.897 --> 00:01:21.280]  Both John McCain and Barack Obama will be east of the Mississippi this final Sunday before the election.
[00:01:21.780 --> 00:01:26.582]  McCain will stop in Pennsylvania and New Hampshire, while Obama returns to Ohio.
[00:01:27.183 --> 00:01:29.424]  This is IRN USA Radio News.
[00:01:30.735 --> 00:01:32.157]  Hi, this is Dale Denton from Maryland.
[00:01:32.537 --> 00:01:34.379]  I came from a real estate background.
[00:01:34.799 --> 00:01:39.624]  My traditional business, my overhead was enormous, and a downturn put me out of business.
[00:01:40.004 --> 00:01:50.455]  The problem with my traditional business was that my overhead grew as the company grew, and it eventually grew to about a half a million dollars a month, which I couldn't sustain during a recession and a downturn.
[00:01:50.935 --> 00:01:54.239]  I found myself near 50 and having to start over with a net retirement plan.
[00:01:54.986 --> 00:02:08.842]  I've been working the three-step plan for just over two and a half years, something under three years, and the great thing about the Andy Willoughby three-step plan, the minimum investment compared to the return that I got was just awesome.
[00:02:09.429 --> 00:02:12.092]  The Three Step Plan has given me my life back.
[00:02:12.333 --> 00:02:13.754]  Hi, how in the world are you anyway?
[00:02:13.815 --> 00:02:17.679]  This is Andy Willoughby with the Three Step Plan Home Business System.
[00:02:17.839 --> 00:02:23.026]  To find out how you could make more money working from home, go to 3stepplan.com or call 800-480-2102.
[00:02:23.046 --> 00:02:23.086]  800-480-2102.
[00:02:31.147 --> 00:02:37.352]  Poll workers in Wilton, New Hampshire have come up with a seat-of-the-pants way to make sure ballots aren't counted twice.
[00:02:38.052 --> 00:02:42.576]  Once tallied, they're stacked in bundles of 25 and someone sits on them.
[00:02:43.280 --> 00:02:46.282]  One town official calls it primitive, but effective.
[00:02:46.882 --> 00:02:55.327]  In contrast, Maryland House of Delegates Republican leader Anthony O'Donnell says he has problems with some of the provisions of the early voting amendment.
[00:02:55.527 --> 00:02:57.529]  People will be able to vote anywhere in the state.
[00:02:57.809 --> 00:03:04.613]  So someone can come to the lesbian vote from another part of the state, and then go to Western Maryland and vote, and then go to the Eastern Shore and vote.
[00:03:04.653 --> 00:03:06.694]  That to me is very, very frightening.
[00:03:07.799 --> 00:03:11.601]  In terms of people who want to or wish to abuse the system.
