[00:00:00.650 --> 00:00:01.731]  Government cover-ups.
[00:00:02.391 --> 00:00:03.212]  You want answers?
[00:00:03.993 --> 00:00:04.854]  Well, so does he.
[00:00:05.534 --> 00:00:09.198]  He's Alex Jones on the GCN Radio Network.
[00:00:09.718 --> 00:00:13.782]  And now, live from Austin, Texas, Alex Jones.
[00:00:31.929 --> 00:00:34.311]  Big broadcast lined up for you today.
[00:00:34.351 --> 00:00:44.378]  There have been some serious developments in the ongoing unfolding story of cameras and microphones built standard on almost every new computer system being sold.
[00:00:44.859 --> 00:00:45.659]  I say almost.
[00:00:45.739 --> 00:00:47.060]  Everything I've seen has them.
[00:00:48.021 --> 00:00:50.943]  Listening to you, watching you, tracking you.
[00:00:51.564 --> 00:00:57.408]  Comcast coming out and saying at a conference that this was their holy grail.
[00:00:58.451 --> 00:01:04.095]  They came out today and said, well, that story's not accurate, but then went on to admit that they're indeed doing it.
[00:01:05.676 --> 00:01:12.941]  Kind of like with the FBI a month ago with InfraGard, 23,000 executives, they have got prepared to shoot to kill orders at U.S.
[00:01:12.981 --> 00:01:14.682]  citizens during martial law.
[00:01:16.103 --> 00:01:23.727]  They said, the story is totally false in their press release, and then went on to say, yes, they're shoot to kill, and yes, they work for us, but everyone has that power.
[00:01:25.048 --> 00:01:26.069]  So they just spun it.
[00:01:26.610 --> 00:01:27.691]  And that's their corporate tactic.
[00:01:27.711 --> 00:01:29.752]  They say completely false, and then they state it.
[00:01:30.992 --> 00:01:36.375]  Kind of like FEMA said two years ago, completely false, we're not training preachers secretly for martial law.
[00:01:36.395 --> 00:01:39.096]  And then, well actually we are, but it's completely false.
[00:01:42.518 --> 00:01:47.261]  Their government psychiatrists have come up with that as, I mean, everything they do is crafted.
[00:01:47.281 --> 00:01:48.962]  And I meant to play this Friday.
[00:01:49.342 --> 00:01:51.543]  I did play it on the Sunday show, but we will play it today.
[00:01:52.829 --> 00:02:22.189]  uh... big company and has been consulting with the government wants to make you wear everyone wear a taser bracelet uh... when you enter the airport so everyone can be guilty until proven innocent to keep us safe they can just taser us at will to save us from evil al-qaeda hijackers that are hiding under every bed and cupboard so we'll get into that too also fifteen mile per hour speed plan for eco towns total micromanagement of your entire life
[00:02:23.261 --> 00:02:26.264]  Coming up, Iran behind green zone attacks.
[00:02:27.305 --> 00:02:33.389]  More lies, just like they claimed Iran tried to attack the missile cruisers with motor boats.
[00:02:33.469 --> 00:02:34.670]  Turned out that was a total lie.
[00:02:35.271 --> 00:02:39.454]  Pentagon report finds no evidence of Saddam's attempt to assassinate Bush.
[00:02:39.494 --> 00:02:43.978]  Remember they said Saddam was working with Al-Qaeda, the opposite group.
[00:02:45.519 --> 00:02:46.800]  He was a secular government.
[00:02:47.825 --> 00:02:50.506]  In fact, the CIA tried to use... It doesn't matter.
[00:02:50.546 --> 00:02:51.946]  The facts don't matter.
[00:02:52.686 --> 00:02:55.887]  Pentagon report finds no evidence of Saddam's attempt to assassinate Bush.
[00:02:56.727 --> 00:03:00.548]  Also, police ask residents to submit to voluntary gun searches.
[00:03:01.188 --> 00:03:02.388]  No, this isn't Boston.
[00:03:02.508 --> 00:03:03.629]  This is D.C.
[00:03:03.649 --> 00:03:14.191]  We're going to play a clip to analyze the news propaganda and then go through that huge Second Amendment news as the attack goes into warp drive against your
[00:03:14.998 --> 00:03:16.119]  Second Amendment ownership.
[00:03:16.519 --> 00:03:19.181]  While they announce, don't run, we are your friends.
