[00:00:00.009 --> 00:00:00.490]  I don't know.
[00:00:17.757 --> 00:00:22.085]  We are now into the fourth and final hour today on this Wednesday edition.
[00:00:22.486 --> 00:00:29.738]  Richard C. Cook is our guest analyst for NASA, for the Kennedy, for the Carter White House.
[00:00:32.062 --> 00:00:34.583]  Worked in a lot of other areas, U.S.
[00:00:34.623 --> 00:00:47.129]  Treasury Department, on and on and on, expert in monetary reform, talking about the collapse of the economy, how it's being done by design, bringing us into a neo-serfdom or feudalism, a North Korean-style state.
[00:00:47.529 --> 00:00:56.273]  He had just gotten to the point of the central bank financiers bringing down Russia by publicly, the Bank of England and others, and Brooklyn, shipping in thousands of Brooklyners
[00:00:57.934 --> 00:01:03.677]  To bring down the czars, not for the utopic communism, but for a banker utopia of slaves.
[00:01:04.057 --> 00:01:05.277]  Please continue, Mr. Cook.
[00:01:05.898 --> 00:01:23.025]  Well, and then you had over on the American side, you had of course the Federal Reserve system coming into being when the bankers took over the United States economy in 1913, and of course coming along with that was the 16th Amendment to the Constitution, where you instituted the income tax.
[00:01:23.792 --> 00:01:27.895]  The purpose of the income tax was to pay the interest on the permanent national debt.
[00:01:28.475 --> 00:01:49.268]  Now, I want to jump ahead because during the subsequent decades, while the United States was being harnessed as the financier's military enforcer for the world, there was actually a significant power struggle within the United States between the forces that wanted to have a strong nation, a strong national economy,
[00:01:49.961 --> 00:02:01.307]  And this was primarily the program of the New Deal of Franklin Roosevelt, but Roosevelt was very ambiguous about it, and he allowed the banking system to continue to function.
[00:02:02.828 --> 00:02:12.874]  And it was after World War II, when the American economy began to decline through the tremendous deficits that were being run up during the Vietnam War,
[00:02:13.675 --> 00:02:21.617]  That the United States began to fall back into the control of the international financial world.
[00:02:23.478 --> 00:02:29.099]  By the late 1960s, the Vietnam War was sinking the United States deeper into debt.
[00:02:30.540 --> 00:02:38.442]  The problem at that time was made worse by very heavy federal expenditures under social programs, particularly Medicare and Medicaid.
[00:02:39.102 --> 00:02:41.023]  But when Nixon became president,
[00:02:42.007 --> 00:02:52.510]  His Secretary of State, Henry Kissinger, came up with a plan where Saudi Arabia and the other OPEC nations would gradually increase the price of oil.
[00:02:53.350 --> 00:02:59.511]  And the profits for that were going to be used for the oil-producing nations to buy debt from the U.S.
[00:02:59.551 --> 00:02:59.991]  Treasury.
[00:03:00.611 --> 00:03:05.673]  In other words, this is what we were going to do with our deficit from that point on.
[00:03:06.213 --> 00:03:11.034]  It was going to be sold overseas to other countries, particularly the OPEC oil-producing nations.
[00:03:11.744 --> 00:03:22.910]  That's why, over the decade of the 70s, by 1980, the cost of oil had been ratcheted up from $3.50 a barrel to $39.50 a barrel.
[00:03:22.970 --> 00:03:24.671]  And that's really a global program.
[00:03:24.711 --> 00:03:26.492]  That's really a covert global tax.
[00:03:26.932 --> 00:03:27.532]  It's a tax.
