[00:00:00.349 --> 00:00:01.370]  Mainstream media.
[00:00:02.130 --> 00:00:03.231]  Government cover-ups.
[00:00:03.871 --> 00:00:04.692]  You want answers?
[00:00:05.472 --> 00:00:06.313]  Well, so does he.
[00:00:06.333 --> 00:00:10.615]  He's Alex Jones on the GCN Radio Network.
[00:00:11.216 --> 00:00:15.278]  And now, live from Austin, Texas, Alex Jones.
[00:00:29.889 --> 00:00:31.614]  He's running scandals.
[00:00:36.917 --> 00:00:38.698]  Number three, Iraq and 9-11 gates.
[00:00:39.198 --> 00:01:00.031]  Former Gitmo detainee Murat Qurnas, repeating in an interview what he had told his attorney three years ago, while still being held by the U.S., that when he was originally picked up and stored in Afghanistan for two months, interrogators hung him by his arms from the ceiling of a freezing aircraft hangar for five days, with doctors coming by periodically to assure his captors it was okay to keep on hanging him there.
[00:01:00.491 --> 00:01:06.475]  Qurnas says his interrogators demanded he admit he was an operative of and an associate of Mohammed Atta.
[00:01:06.975 --> 00:01:07.635]  The 9-11 plotter.
[00:01:08.135 --> 00:01:09.736]  The torture, sadly, is old news.
[00:01:10.016 --> 00:01:12.937]  The new news is Karnaz was from Germany.
[00:01:13.617 --> 00:01:13.897]  So?
[00:01:14.457 --> 00:01:23.319]  Remember the attempt to link 9-11 to Iraq by way of Mohammed Atta and some apocryphal meeting he was supposed to have had with the Iraqi intelligence service in Prague, April 2001?
[00:01:23.379 --> 00:01:33.082]  Well, get some German-born Muslim to admit he knew Atta, and you're halfway home to putting Atta at a meeting with Iraqi agents, even if it never happened.
[00:01:33.762 --> 00:01:34.863]  Number two, mortgage gate.
[00:01:35.084 --> 00:01:40.989]  Mr. Bush's Secretary of Housing and Urban Development, Alfonso Jackson, under criminal investigation, has resigned.
[00:01:41.550 --> 00:01:44.453]  The top Bush guy on Holmes quits in the middle of a Holmes crisis.
[00:01:44.953 --> 00:01:49.958]  As the coroner says to Jack Nicholson in the movie Chinatown, middle of a drought and a water commissioner drowns.
[00:01:50.319 --> 00:01:50.759]  Only in L.A.
[00:01:51.960 --> 00:01:54.261]  And number one, Mukasey said, what?
[00:01:54.502 --> 00:01:54.782]  Gate?
[00:01:55.342 --> 00:02:00.665]  Almost ignored in the coverage of his speech to the Commonwealth Club of San Francisco pleading for telecom immunity.
[00:02:01.045 --> 00:02:06.648]  Attorney General Michael Mukasey also said, quote, before 9-11, that's the call that we didn't know about.
[00:02:06.969 --> 00:02:13.933]  We knew that there has been a call from someplace that was known to be a safe house in Afghanistan, and we knew that it came to the United States.
[00:02:14.173 --> 00:02:15.954]  We didn't know precisely where it went.
[00:02:17.375 --> 00:02:17.655]  What?
[00:02:18.476 --> 00:02:23.221]  The government knew about some phone call from a safe house in Afghanistan into the U.S.
[00:02:23.602 --> 00:02:33.112]  about 9-11, before 9-11, and even though it had the same FISA courts and the same right to act against international targets in 2001 as it does now?
[00:02:33.993 --> 00:02:35.235]  You didn't do anything about it?
[00:02:36.107 --> 00:02:37.789]  Well, this would seem to leave only two options.
[00:02:37.869 --> 00:02:45.296]  Either the Attorney General just admitted that the government for which he works is guilty of malfeasant complicity in the 9-11 attacks, or he's lying.
[00:02:45.956 --> 00:02:47.037]  I'm betting on lying.
[00:02:47.858 --> 00:02:51.241]  If not, somebody in Congress better put that man under oath right quick.
[00:02:52.122 --> 00:02:53.583]  You could send him to Gitmo, I suppose.
[00:02:55.478 --> 00:02:56.939]  Welcome, ladies and gentlemen.
[00:02:57.039 --> 00:02:58.200]  It is April 1st, 2008.
[00:02:58.300 --> 00:03:02.543]  We're going to be live here for the next three hours.
[00:03:03.043 --> 00:03:08.207]  We'll be discussing in more detail the report you just heard Keith Olbermann talking about, quite a revelation.
[00:03:08.607 --> 00:03:11.649]  Then in one hour, Mike Rivero joins us for his monthly visit.
[00:03:12.149 --> 00:03:18.494]  Then we have the physicist Walter L. Wagner coming on to talk about some of the
[00:03:20.488 --> 00:03:33.016]  Different to scientific systems and devices like superconducting super colliders that endanger the very fabric of the dimension that we exist in here in the third dimension.
[00:03:34.317 --> 00:03:37.019]  So those are your guests today in the first hour.
[00:03:37.079 --> 00:03:43.523]  I'm going to cover a lot of important news and then I'm going to do part one at the bottom of the hour in about 28 minutes.
[00:03:44.524 --> 00:03:45.825]  Kind of a precursor to
[00:03:47.243 --> 00:04:00.176]  Dr. Wagner joining us coming up later in the third hour concerning the type of developments that do endanger humanity that the elite are completely ignoring.
[00:04:00.277 --> 00:04:02.599]  So that is coming up.
[00:04:04.554 --> 00:04:08.836]  In about 30 minutes, here is some of the news in front of me today.
[00:04:09.376 --> 00:04:12.198]  USA, 2008, the Great Depression.
[00:04:12.698 --> 00:04:16.840]  That's the cover of the English daily paper, The Independent.
[00:04:17.980 --> 00:04:25.784]  In other news, bread, milk, eggs prices spike massively, draining locals' wallets.
[00:04:26.904 --> 00:04:27.305]  U.S.
[00:04:27.445 --> 00:04:28.145]  food stamp
[00:04:29.082 --> 00:04:32.704]  Issuance is at all time whopping high.
[00:04:33.345 --> 00:04:37.567]  China stocks tumble 4.1% to new 11-month low.
[00:04:39.829 --> 00:04:44.812]  Retail gasoline prices at record high, $3.29 on average per gallon.
[00:04:44.872 --> 00:04:46.913]  Congress has big questions for big oil.
[00:04:47.473 --> 00:04:49.494]  UBS writes off $19 billion.
[00:04:50.075 --> 00:04:51.936]  This and a lot more on the other side.
[00:04:51.996 --> 00:04:52.476]  Stay with us.
[00:04:55.198 --> 00:04:56.499]  It is a big idea.
[00:04:57.668 --> 00:04:58.729]  A New World Order.
[00:04:59.409 --> 00:05:03.991]  In the near future, Earth is dominated by a powerful new government.
[00:05:04.311 --> 00:05:07.113]  It's known as the Bilderberg Group.
[00:05:07.153 --> 00:05:09.394]  Could their objective be world domination?
[00:05:09.934 --> 00:05:12.375]  For thousands of years, their dark order grew.
[00:05:13.115 --> 00:05:20.439]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:23.459 --> 00:05:28.442]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:28.923 --> 00:05:32.365]  You will learn the secret that drives the entire New World Order agenda.
[00:05:32.785 --> 00:05:35.247]  Bill of Rights is making great progress toward a world government.
[00:05:35.347 --> 00:05:36.488]  Most people have no idea.
[00:05:36.508 --> 00:05:37.268]  They're not after money.
[00:05:37.288 --> 00:05:38.389]  They have all the money they need.
[00:05:38.569 --> 00:05:39.270]  They're after power.
[00:05:39.570 --> 00:05:40.590]  That's what they're after.
