[00:00:00.009 --> 00:00:01.190]  File sharing networks.
[00:00:01.491 --> 00:00:02.872]  Bring down the new world order.
[00:00:03.273 --> 00:00:04.674]  PrisonPlanet.tv.
[00:00:07.798 --> 00:00:09.700]  Waging war on corruption.
[00:00:10.180 --> 00:00:12.984]  Alex Jones on the GCN Radio Network.
[00:00:28.407 --> 00:00:35.008]  Hello friends, we are live at PrisonPlanet.tv simulcasting the fourth hour of my syndicated radio broadcast.
[00:00:35.568 --> 00:00:44.510]  I'm Alex Jones, the news websites are InfoWars.com, PrisonPlanet.com and PrisonPlanet.tv.
[00:00:45.030 --> 00:00:56.472]  I'm taking some phone calls this hour to hear your predictions for 2008, what you're most concerned about with the economy, militarily, what's happening in Israel and Gaza, also the huge flare-up in tensions.
[00:00:57.472 --> 00:01:00.815]  between the two nuclear-powered nations of India and Pakistan.
[00:01:01.115 --> 00:01:02.616]  Why is it all happening now?
[00:01:02.636 --> 00:01:09.002]  Why is everything intensifying, all the different crises across the planet?
[00:01:09.802 --> 00:01:19.150]  We'll go over some of the latest news concerning what's happening in Gaza, a bunch of other important police state news that I have here in front of me today.
[00:01:20.208 --> 00:01:26.771]  And we will be taking your phone calls again, as I said, at 1-800-259-9231.
[00:01:28.891 --> 00:01:45.658]  Story here that is out of the Democrat Herald, and this story again is out of Oregon, and the governor of Oregon is in here saying that we have to have satellite tracker boxes in all of your cars to raise money for the roads.
[00:01:47.628 --> 00:01:59.011]  And then he goes on in the article to deceptively put out the same line we've been hearing for a decade that gas receipts are down.
[00:02:00.232 --> 00:02:07.254]  Well, if you simply go and you look at the fact that this country a decade, 12 years ago, was using 15 million barrels a day.
[00:02:08.348 --> 00:02:09.929]  At its height, 23 million barrels.
[00:02:10.009 --> 00:02:11.110]  It's dropped down to about 20.
[00:02:11.550 --> 00:02:17.794]  So 20 million barrels a day, and the gross tax receipts for the states and the feds are way up.
[00:02:18.574 --> 00:02:27.620]  So the claim that they've got to track you by the mile and turn your car into a taxi cab, this is to track and control you.
[00:02:27.640 --> 00:02:29.381]  They're doing this in Europe, doing this in England.
[00:02:30.001 --> 00:02:35.705]  They're trying to do it in Texas, New Jersey, California, but Oregon has got it introduced in the legislature.
[00:02:36.884 --> 00:02:40.907]  The Feds are paying for tests all over the U.S.
[00:02:40.947 --> 00:02:42.848]  where they advertise that you get paid.
[00:02:42.868 --> 00:02:51.354]  In the case of a study they're doing in Austin, 700-something bucks a year to put a satellite tracker box in your car and tax you by the mile.
[00:02:52.214 --> 00:02:53.876]  They're paying you to beta test this.
[00:02:54.836 --> 00:02:56.157]  This is total big brother.
[00:02:56.217 --> 00:02:59.800]  Tracking and tracing everywhere you go and taxing you by the mile.
[00:03:00.748 --> 00:03:03.949]  Then you're going to hear that counties, cities, and states are bankrupt.
[00:03:04.669 --> 00:03:17.312]  Counties, cities, and states, water districts, school districts, the tens of thousands of government entities, quasi-governmental entities, they, for more than 50 years, have set up a double set of books called the Comprehensive Annual Financial Reports.
[00:03:17.992 --> 00:03:27.054]  And with the Comprehensive Annual Financial Reports, they've taken on average 65 percent, some places are more, some places less, and they invest that in offshore bank accounts.
[00:03:27.754 --> 00:03:35.308]  And then these international consortiums later make payoffs to the former city managers, mayors, and others to be part of this.
[00:03:35.429 --> 00:03:40.238]  It is open crime, open racketeering, and every city and county engages in it.
[00:03:42.324 --> 00:03:47.526]  The state of Texas has tens of billions of dollars of surplus every year.
[00:03:47.706 --> 00:03:50.807]  Trillions of dollars total in liquid assets.
[00:03:52.167 --> 00:03:58.029]  The comprehensive annual financial report of the city of Manhattan showed several trillion dollars just in a decade.
[00:03:58.589 --> 00:04:07.092]  That again is invested in offshore banks who then leverage the money with fractional reserve banking, loaning out ten times as much real reserves as they have.
[00:04:07.912 --> 00:04:13.357]  Now you're saying, wait a minute, I know my city or county makes investments for our pension funds.
[00:04:13.377 --> 00:04:13.417]  No.
[00:04:14.678 --> 00:04:15.779]  That's on budget.
[00:04:16.359 --> 00:04:16.780]  Budget.
[00:04:16.800 --> 00:04:18.101]  They're budgetary investments.
[00:04:18.141 --> 00:04:19.022]  This is separate.
[00:04:20.187 --> 00:04:31.331]  This was set up in Chicago by the Mafia in the 30s and 40s and in 1951 it was adopted nationwide as what's known as the Chicago 1313 model.
[00:04:32.231 --> 00:04:36.292]  And you can see my film, Comprehensive Annual Financial Reports Exposed.
[00:04:36.332 --> 00:04:39.593]  We have it available on DVD at Infowars.com.
[00:04:39.673 --> 00:04:40.473]  It's an important film.
[00:04:40.493 --> 00:04:41.614]  I hope you get it on DVD.
[00:04:42.114 --> 00:04:44.995]  But it's free on YouTube and Google if you don't want to pay for it.
[00:04:45.895 --> 00:04:48.657]  Just please spread the word about the material and the information.
[00:04:49.138 --> 00:05:02.067]  So when you hear that they've got to have 88 new taxes in New York and 50-something new taxes in Texas and franchises, really income taxes on businesses in Texas and everywhere else, no, your money goes to offshore banks.
[00:05:02.607 --> 00:05:03.368]  Who works for them?
[00:05:03.408 --> 00:05:04.529]  The military and the police.
[00:05:05.390 --> 00:05:09.412]  They're there to make sure the criminals are able to carry out their operation.
[00:05:09.693 --> 00:05:11.214]  That's what martial law is all about.
[00:05:11.574 --> 00:05:12.595]  Stay with us, we'll be right back.
[00:05:15.620 --> 00:05:19.001]  More than 700 chemicals have been found in our drinking water.
[00:05:19.141 --> 00:05:24.343]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[00:05:24.543 --> 00:05:29.305]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[00:05:29.685 --> 00:05:40.809]  The KDF Dual Media Shower Filter works with both hot and cold water, and it's designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[00:05:41.209 --> 00:05:46.754]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or 1 year whichever comes first.
[00:05:46.974 --> 00:05:53.060]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[00:05:53.240 --> 00:05:53.900]  What about you?
[00:05:54.281 --> 00:06:00.326]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[00:06:00.726 --> 00:06:02.848]  Call the Berkey guy and order now by calling 1-877-886-3653.
[00:06:06.212 --> 00:06:07.533]  That's 1-877-886-3653.
[00:06:09.996 --> 00:06:13.520]  Or simply click on the banner at GCNlive.com to order online now.
[00:06:15.102 --> 00:06:21.428]  A day unlike any other in the long course of American history, a terrorist act of war against this country.
[00:06:21.789 --> 00:06:23.451]  The enemy struck America on September 11th.
[00:06:24.423 --> 00:06:25.443]  But who is the enemy?
[00:06:25.964 --> 00:06:26.464]  Bin Laden.
[00:06:26.764 --> 00:06:27.724]  This is his M.O.
[00:06:27.744 --> 00:06:29.105]  We have to look to the Middle East.
[00:06:29.125 --> 00:06:30.805]  We have to look to Osama Bin Laden.
[00:06:31.125 --> 00:06:37.868]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:06:38.268 --> 00:06:38.708]  Some U.S.
[00:06:38.748 --> 00:06:44.390]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:06:45.090 --> 00:06:48.573]  I'm aware that some Israeli citizens have been detained.
[00:06:48.593 --> 00:06:58.842]  Bin Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:06:59.083 --> 00:06:59.823]  Fabled enemies.
[00:07:00.304 --> 00:07:07.590]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:07:08.071 --> 00:07:11.414]  Either you are with us or you are with the terrorists.
[00:07:16.175 --> 00:07:17.276]  Hello, I'm Steve Schenk.
[00:07:17.956 --> 00:07:21.278]  Many have been afraid they needed their food supplies before the election.
[00:07:21.799 --> 00:07:28.323]  The inauguration, not the election, is the deadline given by the Obama insiders for completing your food supplies.
[00:07:29.003 --> 00:07:40.811]  Joe Biden and Colin Powell both stated that shortly after the inauguration, possibly the 21st or 22nd of January, the new president would be forced by an international incident to make some unpopular decisions.
[00:07:41.791 --> 00:07:45.694]  This functions as an important deadline for getting any food you intend to have.
[00:07:46.311 --> 00:07:53.413]  The unpopular presidential decisions will likely affect restriction of transportation and availability of food distribution.
[00:07:54.354 --> 00:07:59.355]  Order any remaining food needed no later than four weeks before the inauguration to allow for shipping.
[00:07:59.976 --> 00:08:03.997]  Late orders cannot be guaranteed delivery by this deadline for disaster.
[00:08:04.517 --> 00:08:05.878]  Call 800-409-5633 on the web eFoodsDirect.com 800-409-5633
[00:08:16.408 --> 00:08:22.435]  From his Central Texas Command Center deep behind enemy lines, the information war continues.
[00:08:23.036 --> 00:08:26.020]  It's Alex Jones and the GCN Radio Network.
[00:08:36.308 --> 00:08:42.953]  You know, I think I'm going to get Joe Petro, who was partners with Kurt Vonnegut on his artwork, because I never got Kurt Vonnegut on the show.
[00:08:43.894 --> 00:08:54.263]  But Kurt Vonnegut sent me a hand-drawn and hand-signed, before he died, about eight months before he died, he said, I'm just too old, I don't want to come on the show, I'm done.
[00:08:54.343 --> 00:08:56.705]  But I just wanted you to know we appreciate your films and your work.
[00:08:56.985 --> 00:08:57.765]  I'm pretty proud of that.
[00:08:58.086 --> 00:09:00.007]  Kurt Vonnegut, an amazing literary mind.
[00:09:00.948 --> 00:09:04.211]  But the lithograph he sent me,
[00:09:06.405 --> 00:09:10.647]  is a birdcage with a bird flying out, the international symbol of liberty.
