[00:00:00.029 --> 00:00:01.095]  It's a political talk.
[00:00:01.678 --> 00:00:03.146]  Alex Jones Radio Network.
[00:00:11.391 --> 00:00:25.040]  Okay, folks, we are transmitting live on the AM and FM dials, satellite, global shortwave WWCR, the internet at Infowars.com and PrisonPlanet.com, and streaming live video over PrisonPlanet.tv.
[00:00:25.701 --> 00:00:29.563]  You've seen him in some of my films, camera guy, webmaster, writer.
[00:00:30.564 --> 00:00:32.806]  Jack of all trades, really great guy.
[00:00:33.587 --> 00:00:43.255]  Short notice here, Iranian television, Press TV, their international service, has myself on and London Guardian reporter today.
[00:00:44.496 --> 00:00:48.260]  So that's coming up at about 3.07 central for those that can...
[00:00:51.906 --> 00:00:56.429]  For those that are out there and want to record that and put it up on YouTube.
[00:00:56.770 --> 00:01:03.695]  So Aaron Dykes is going to be sitting in, coming up a little bit later in the show with Richard C. Cook.
[00:01:04.055 --> 00:01:12.902]  He's written for the Washington Post, other major publications, been a consultant for NASA, been a White House analyst, historian, and we really enjoy having him on.
[00:01:12.922 --> 00:01:15.864]  I wanted to briefly tell you why Keith Olbermann was kicked off.
[00:01:15.904 --> 00:01:17.045]  It was because of statements
[00:01:17.685 --> 00:01:19.646]  Like the one we're about to play that's about a minute long.
[00:01:19.666 --> 00:01:35.273]  If you want to watch the full video, there's like an 8 minute video saying basically Iran attacked us on 9-11, the terrorists thought they'd win, that we're going to get Al Qaeda and Iran, and basically it's like this warmongering propaganda.
[00:01:36.403 --> 00:01:44.749]  that is so ham-fisted, it sounds like something out of The Running Man or some dystopic 1984 novel or movie.
[00:01:46.050 --> 00:01:53.054]  And then Tom Brokaw is talking about how great, you know, the attack on Al-Qaeda is and how the endless wars were going to win the fight against Al-Qaeda.
[00:01:53.395 --> 00:01:55.316]  And they cut to Oberman and he says this.
[00:01:58.218 --> 00:01:59.839]  Tom, Chuck, great thanks.
[00:01:59.899 --> 00:02:01.200]  Tom Brokaw and Chuck Todd.
[00:02:01.240 --> 00:02:03.562]  We'll be back with you later on in the broadcast.
[00:02:05.630 --> 00:02:10.193]  I'm sorry, it's necessary to say this, and I wanted to separate myself from the others on the air about this.
[00:02:10.993 --> 00:02:33.226]  If at this late date any television network had of its own accord showed that much videotape and that much graphic videotape of 9-11, and I speak as somebody who lost a few friends there, it, we, would be rightly eviscerated at all quarters, perhaps by the Republican Party itself, for exploiting the memories of the dead, and perhaps even for trying to evoke that pain again.
[00:02:35.031 --> 00:02:38.673]  If you reacted to that videotape the way I did, I apologize.
[00:02:40.093 --> 00:02:45.477]  It is a subject of great pain for many of us still, and was probably not appropriate to be shown.
[00:02:46.457 --> 00:02:47.378]  We'll continue in a moment.
[00:02:49.259 --> 00:02:51.180]  And you can go watch the video that was inappropriate.
[00:02:51.200 --> 00:02:59.545]  They played scary music under it, and it kept showing Iranians and Iranian flags, and basically saying they did 9-11.
[00:02:59.585 --> 00:03:01.186]  Just incredible propaganda.
[00:03:01.286 --> 00:03:01.546]  Now,
[00:03:03.646 --> 00:03:09.515]  This is up on InfoWars.net and I want to ask Richard C. Cook about this first before we get into Freddie Mac and Fannie Mae and Fannie Mae Freddie Mac.
[00:03:10.116 --> 00:03:10.877]  Before we do that...
[00:03:11.972 --> 00:03:22.480]  But now, Ralph Nader's come out, he has a huge following, that's what's important, and said that 9-11 could be an inside job, there should be an official investigation, he said that in a press conference.
[00:03:23.021 --> 00:03:24.462]  So things are getting big here.
[00:03:25.002 --> 00:03:27.244]  The 9-11 truth movement is just exploding.
[00:03:28.004 --> 00:03:30.767]  A, what do you think this means to the New World Order crew?
[00:03:30.867 --> 00:03:37.612]  And B, extrapolating out, how do you see this developing in the future, Richard C. Cook?
[00:03:39.136 --> 00:03:46.862]  Well, I think it's really interesting and a very, very good thing to see Ralph Nader finally talking about real issues.
[00:03:48.283 --> 00:03:57.789]  You know, he's been going on about the same things he's been talking about for years with this latest presidential bid, corporate corruption, and all the stuff we know all about.
