[00:00:00.836 --> 00:00:01.256]  Yes, sir.
[00:00:01.837 --> 00:00:02.917]  Twelve after, he'll be ready.
[00:00:02.997 --> 00:00:03.638]  All right.
[00:00:07.820 --> 00:00:10.402]  Dr. Paul Craig Roberts is coming up in 15 minutes.
[00:00:11.242 --> 00:00:16.025]  For TV viewers, we just started transmitting, streaming live for PrisonPlanet.tv members.
[00:00:18.052 --> 00:00:25.078]  Folks watching this later as an archive, we had a caller earlier that said, well the Federal Reserve rules over us, it's private, but isn't that what the Bible says we should do?
[00:00:25.098 --> 00:00:34.927]  I mean, you know, it's don't stand up against slavery, don't not take the mercury-filled shots, don't not drink the fluoride water, whatever government says is God.
[00:00:35.027 --> 00:00:43.235]  And I wanted to call my uncle, who's one of the best Bible scholars I know, William Hammond, and have him comment, but Butch Paw, who's a talk show host right here on the network, a pastor,
[00:00:45.347 --> 00:00:48.548]  He's also an expert on this and made some documentaries about it, called in.
[00:00:48.568 --> 00:00:53.230]  So we've got this segment and part of the next before Dr. Roberts comes on, because I wanted to address this now.
[00:00:53.730 --> 00:00:55.511]  And I wanted to go to my uncle, William.
[00:00:57.152 --> 00:01:04.514]  Go ahead and just spend a few minutes giving people verses or try to explain to this person that it's... I mean, I'm not even a Bible expert.
[00:01:04.534 --> 00:01:06.595]  The whole Bible is about standing up against tyranny.
[00:01:07.196 --> 00:01:08.296]  What's going on with these people?
[00:01:09.116 --> 00:01:10.297]  Talk to me Alex, I'm sorry.
[00:01:10.317 --> 00:01:12.177]  No, I'm going to go to my uncle first, William.
[00:01:12.197 --> 00:01:13.038]  Go ahead, I'll be right here.
[00:01:14.231 --> 00:01:14.951]  Hello, everybody.
[00:01:15.292 --> 00:01:25.316]  All through history, both in the Bible and with most theologians, there's been the concept of just war, just resistance, unjust war, unjust resistance.
[00:01:26.076 --> 00:01:43.023]  And the Word of God is pretty clear that wars, just wars, involve defense, whereas unjust wars and unjust resistance involves aggression or open rebellion for rebellion's sake or for material reasons.
[00:01:43.948 --> 00:01:50.992]  So, in the Word of God, we see that we're always juggling with this, and we are to obey.
[00:01:51.092 --> 00:01:53.153]  Romans 13 has that kernel of truth.
[00:01:53.233 --> 00:02:13.244]  However, when the government is clearly violating every single tenet of the Word of God, and that which the Constitution and the nation was established upon, right down to our right to life of our unborn babies, and our right to defend our own lives, then we know
[00:02:14.045 --> 00:02:19.548]  That we're bumping up against unjust activity and the activities of an aggressor.
[00:02:20.189 --> 00:02:34.538]  There is a scripture that says at the end in the kingdom that the swords will be beaten into plowshares, but there's also an Old Testament scripture calling for a just war that says, beat your plowshares into swords.
[00:02:35.118 --> 00:02:38.060]  And Jesus himself said at the very end of his ministry,
[00:02:39.315 --> 00:02:46.140]  When he was advising his disciples and his apostles, he said, if you've got two coats, sell one and buy a sword.
[00:02:46.980 --> 00:02:55.566]  So he recognized that there was going to be terrible resistance to truth and righteousness, and it wasn't to be taken lying down doing nothing.
[00:02:55.766 --> 00:02:57.748]  Okay, now stop there because I'm going to bring you guys back.
[00:02:57.808 --> 00:02:58.908]  Butch, give them some verses.
[00:02:59.789 --> 00:03:06.674]  Well, if you go to 2 Kings chapter 11, you'll find in there very clearly where Jehody, the high priest of the day, the preacher, the head preacher,
[00:03:07.608 --> 00:03:07.888]  I think?
[00:03:22.099 --> 00:03:25.242]  Those powers are to be ministers of God to our good.
[00:03:25.503 --> 00:03:27.185]  That word ministry, it means deacon.
[00:03:27.485 --> 00:03:32.470]  The government itself is to be a deacon to glorify God and edify the good of the people.
[00:03:32.831 --> 00:03:42.041]  If it ceases to do good, it ceases to be righteous government, and then we are required, by God's law and His commandments, to resist that evil by all means necessary.
[00:03:43.668 --> 00:03:47.869]  And Bush, the whole Bible, I don't know where to start, is about people standing up against evil.
[00:03:48.929 --> 00:03:52.770]  Again, the whole Bible is written on Nehemiah chapter 4.
[00:03:52.890 --> 00:03:54.611]  It talks about resisting evil.
[00:03:55.071 --> 00:04:00.432]  In the Old Testament, Christ, as your uncle said, told his disciples, Luke 22, verse 36, to buy a sword.
[00:04:00.472 --> 00:04:02.392]  That wasn't for slicing cheese and cleaning toenails.
[00:04:02.412 --> 00:04:03.313]  That was for fighting with.
[00:04:03.853 --> 00:04:09.274]  These are things that are clearly written in the Scriptures, and people have got to quit listening to these manby-pamby pulpit pimps.
[00:04:09.721 --> 00:04:11.623]  They're getting paid to tickle their ears.
[00:04:12.023 --> 00:04:13.364]  Understand, we're here to fight evil.
[00:04:13.384 --> 00:04:14.966]  We're here to expose it and fight it.
[00:04:15.707 --> 00:04:17.869]  Paul wrote Romans 13 from prison.
[00:04:18.229 --> 00:04:19.150]  Why was he in prison?
[00:04:19.190 --> 00:04:21.452]  For obeying Caesar or for disobeying Caesar?
[00:04:22.533 --> 00:04:24.034]  Why did they kill so many of the prophets?
[00:04:24.094 --> 00:04:27.277]  Why did they do all that if they were to follow and grovel to government?
[00:04:27.798 --> 00:04:30.120]  And by this extension, the Founding Fathers are bad.
[00:04:31.301 --> 00:04:33.964]  Fighting Hitler was bad because it's all of God, isn't it?
[00:04:34.468 --> 00:04:43.435]  Well, if people just take time to look the Bible for what it says and quit trying to weasel away around this, they are accountable for the evil around them.
[00:04:43.495 --> 00:04:47.558]  If we are not fighting evil, we're not doing the will of our Father.
[00:04:47.578 --> 00:04:49.640]  Well, you're aiding it and the blood is on your hands.
[00:04:49.680 --> 00:04:52.182]  I want to talk behind the scenes for the internet listeners right now.
[00:04:52.202 --> 00:04:53.063]  We're going to skip this break.
[00:04:53.343 --> 00:04:54.444]  Everybody else will be right back.
[00:05:00.854 --> 00:05:07.158]  Guys, I know this is on really short notice, but it's crazy.
[00:05:07.498 --> 00:05:10.040]  All the prophets are being killed, put in prison.
[00:05:10.080 --> 00:05:15.003]  They're refusing to do what evil kings say in Israel, outside Israel, Babylon, Egypt.
[00:05:15.423 --> 00:05:18.585]  According to them, they should have done what Pharaoh said.
[00:05:19.306 --> 00:05:22.848]  They should have done what all of them said.
[00:05:22.928 --> 00:05:26.230]  Jesus should have done what the high priest and Herod said.
[00:05:26.250 --> 00:05:29.913]  I mean, this is unbelievable, and it's taught
[00:05:30.513 --> 00:05:37.415]  Everywhere, to not even warn people, because that's speaking out against the government, to take your shots, let them kill you, do whatever they say.
[00:05:38.075 --> 00:05:40.015]  It's insanity, it's unbiblical.
[00:05:40.595 --> 00:05:46.537]  And I'll make one comment, your uncle can talk all he likes to, because this is a point that is so, so important today.
[00:05:46.977 --> 00:05:57.079]  That if we render to Caesar what is not Caesar's, on my website, PastorButch.com, there's a three hour video, anybody can watch for free, entitled, Render to Caesar Explained.
[00:05:57.498 --> 00:06:03.559]  If we give unto Him what is not His, we make Caesar our God, we deny our God, and hell is our damnation.
[00:06:04.540 --> 00:06:05.320]  It's just that simple.
[00:06:06.280 --> 00:06:10.301]  And going back to my uncle, do you want to make some more comments here?
[00:06:11.381 --> 00:06:24.564]  Well, not only is the Bible on our side, but history is on our side as believers, because in a practical sense, Christianity would not exist today if no resistance had taken place throughout history.
[00:06:25.103 --> 00:06:28.646]  Look at what the Romans tried to do to the believers.
[00:06:29.046 --> 00:06:29.986]  It's almost unspeakable.
[00:06:30.027 --> 00:06:35.570]  They should have followed what the Emperor said and worshipped Saturn and Mars right there.
[00:06:35.650 --> 00:06:37.852]  They are bad, according to what that guy said.
[00:06:38.312 --> 00:06:40.574]  They should have made sacrifices for the Roman gods.
[00:06:40.674 --> 00:06:44.317]  Well, the point I just made was that Paul wrote most of the New Testament from prison.
[00:06:44.477 --> 00:06:45.958]  He lived in prison for obeying Caesar.
