[00:00:00.049 --> 00:00:01.210]  SprayYourPlate.com.
[00:00:01.430 --> 00:00:02.450]  That's Spray-om-om.
[00:00:02.531 --> 00:00:04.192]  Orders are kept strictly confidential.
[00:00:04.392 --> 00:00:07.814]  You are no longer defenseless against Big Brother, who is watching us all.
[00:00:08.014 --> 00:00:10.215]  Go to SprayYourPlate.com or call 800-276-9601.
[00:00:10.315 --> 00:00:16.539]  That's 800-276-9601 today.
[00:00:16.899 --> 00:00:18.320]  Don't give your money to the state.
[00:00:18.620 --> 00:00:19.321]  Spray your plate!
[00:00:19.601 --> 00:00:24.804]  And when it breaks... When it breaks... This is the GCN Radio Network.
[00:00:25.084 --> 00:00:27.286]  Home to hard-hitting talk radio.
[00:00:27.646 --> 00:00:28.106]  EO 590 KLVJ.
[00:00:32.859 --> 00:00:35.440]  IRN USA Radio News, I'm Jody Jordan.
[00:00:35.660 --> 00:00:42.123]  Congress and the Bush Administration are close to a deal on a Wall Street bailout to keep the nation's shaky economy from collapsing.
[00:00:42.603 --> 00:00:48.566]  Announcing a tentative agreement shortly after midnight, House Speaker Nancy Pelosi says they've made great progress.
[00:00:49.186 --> 00:00:51.367]  This is House Majority Leader Steny Hoyer.
[00:00:51.547 --> 00:00:53.368]  What if negotiations fall through?
[00:00:53.388 --> 00:00:55.189]  What if we fail to act?
[00:00:56.312 --> 00:00:59.836]  If we fail, every American could be adversely affected.
[00:01:00.077 --> 00:01:06.304]  Maryland State Police Superintendent Terrence Sheridan says a medevac helicopter has crashed in Maryland.
[00:01:06.324 --> 00:01:16.476]  It's with the deepest regret that I announce the deaths of four people who were aboard a Maryland State Police medevac helicopter that crashed earlier this morning in Prince George's County.
[00:01:17.677 --> 00:01:25.669]  A paramedic, an emergency responder, and one of the two accident victims were killed when the copter crashed around midnight in a suburban park after reporting bad weather.
[00:01:26.130 --> 00:01:28.113]  This is IRN USA Radio News.
[00:01:29.688 --> 00:01:37.234]  If you're driving down the road trying to decide whether you need a home equity loan just to buy gas, you might want to consider a home business.
[00:01:37.434 --> 00:01:39.216]  Hi, how in the world are you anyway?
[00:01:39.276 --> 00:01:43.219]  This is Andy Willoughby with the 3-Step Plan Home Business System.
[00:01:43.599 --> 00:01:47.602]  If you build a home business with the 3-Step Plan, you'd walk to work every day.
[00:01:47.902 --> 00:01:51.165]  It'd only take about 10 seconds and it wouldn't use any gas.
[00:01:51.545 --> 00:01:54.968]  And you probably wouldn't miss all the traffic hassles either.
[00:01:55.308 --> 00:02:00.049]  Of course, some 3-Step Plan members keep their job and just start a home business part-time.
[00:02:00.229 --> 00:02:00.869]  It's up to you.
[00:02:01.189 --> 00:02:03.590]  That's one of the great things about the 3-Step Plan.
[00:02:03.750 --> 00:02:05.210]  You get to make the choices.
