[00:00:13.122 --> 00:00:14.462]  He stands for truth.
[00:00:15.883 --> 00:00:17.704]  He stands for justice.
[00:00:19.105 --> 00:00:20.686]  He stands for what's right.
[00:00:21.046 --> 00:00:23.867]  This is the Alex Jones Show.
[00:00:24.868 --> 00:00:27.689]  Call Alex now, toll free at 877-590-5525.
[00:00:33.226 --> 00:00:37.867]  Now live from Austin, TX, here's Alex Jones.
[00:00:45.448 --> 00:00:47.329]  Welcome ladies and gentlemen, welcome.
[00:00:47.429 --> 00:00:50.529]  It is already the 13th day of January 2008.
[00:00:50.649 --> 00:00:55.670]  It's still taking some getting used to.
[00:00:56.250 --> 00:00:58.611]  Big broadcast lined up for you today.
[00:00:59.585 --> 00:01:06.467]  Coming up for most of the second hour, joining us from Tokyo, Japan, will be Forbes writer Benjamin Holford.
[00:01:07.548 --> 00:01:18.011]  He left Forbes voluntarily about a year ago, and they wouldn't let him publish different reports about a global group of Asian mafia, or basically the Triads.
[00:01:18.604 --> 00:01:28.727]  Reportedly at war with Western Mafia, Western Mafia, the highest levels of our governments, and so I interviewed him Friday for about 30 minutes.
[00:01:28.747 --> 00:01:46.313]  We had so much news going on that I said I wanted to bring him back, and undoubtedly later this week I'm going to have him back here on the weekday show for a part three, because there are some guests where they just have so much information that coincides, though, with a lot of news we're covering, so we have to partition them off and break the interviews into several pieces.
[00:01:48.130 --> 00:01:50.471]  I had Dennis Kucinich on Friday.
[00:01:50.491 --> 00:01:52.692]  In fact, his people wanted him to be back on the day.
[00:01:52.712 --> 00:01:53.372]  They were flattered.
[00:01:53.392 --> 00:01:54.272]  They got a big response.
[00:01:54.852 --> 00:01:56.193]  But we're going to have him on later this week.
[00:01:56.293 --> 00:01:59.614]  He wanted to talk more about the recount he's launched in New Hampshire.
[00:01:59.654 --> 00:02:03.895]  We'll give you the details of that, questioning the vote there.
[00:02:04.818 --> 00:02:12.483]  With Congressman Dennis Kucinich, one of the other Republican candidates running, is protesting the election there.
[00:02:12.963 --> 00:02:20.127]  And see, we're having a recount, supposedly, of the Democratic and Republican races from earlier this week because of major discrepancies and problems.
[00:02:20.187 --> 00:02:24.490]  And the man running the company, a convicted narcotics trafficker, they seem to always be.
[00:02:24.510 --> 00:02:30.053]  So we'll be recapping that, getting into some new developments there as well today.
[00:02:32.195 --> 00:02:33.535]  There's a big controversy
[00:02:35.086 --> 00:02:37.668]  By the Ron Paul supporters out there across the nation.
[00:02:37.688 --> 00:02:52.876]  In fact, I've seen them upset about anything, even remotely rivaling this, about the fact, I'd say it's running 50-50, about half the people out there on the blogs and the different websites and the different chat rooms and the emails I'm getting, the phone calls I'm getting.
