[00:00:00.009 --> 00:00:01.650]  Waging war on corruption!
[00:00:01.690 --> 00:00:02.851]  Alex Jones on the G-S-T-R-O-M 4!
[00:00:24.673 --> 00:00:25.554]  To 5 p.m.
[00:00:25.614 --> 00:00:30.339]  I'm thinking about doing a special one-hour show, but definitely I'll be live from 8 to midnight.
[00:00:30.679 --> 00:00:35.744]  I've been thinking about doing one in the middle of the day, but I'm not sure, but definitely live 8 to midnight.
[00:00:36.225 --> 00:00:38.387]  I may even do a morning one, but who knows what's going to happen.
[00:00:38.407 --> 00:00:40.129]  We'll definitely be there during that time for you.
[00:00:40.769 --> 00:00:42.570]  Richard Gage is coming up.
[00:00:42.651 --> 00:00:44.192]  Architects and Engineers for 9-11 Truth.
[00:00:44.212 --> 00:00:55.740]  We're not just going to be covering some of the basic science of how the globalists blew the buildings up in Building 7, but the police state they've set up afterward, the sagas, the tribulations Richard Gage has been through.
[00:00:56.721 --> 00:00:58.563]  That is coming up.
[00:00:59.623 --> 00:01:06.189]  Some of the news that I have here in front of me, and I'm going to do this at the end of the show today because I promised to do this.
[00:01:06.209 --> 00:01:08.090]  We're going to take some time out to cover it.
[00:01:08.411 --> 00:01:11.033]  Marines bringing combat training to Indy.
[00:01:13.004 --> 00:01:14.525]  And it says, uh, U.S.
[00:01:14.585 --> 00:01:22.771]  Marine helicopters will land at the old Eastgate Consumer Mall, Brookside Park, and other Indianapolis locations.
[00:01:23.272 --> 00:01:34.821]  And then down here it says, uh, we don't want anybody thinking there's an invasion happening or we've declared martial law or something like that, though that's in all the government documents and in the John Warner Defense Authorization Act.
[00:01:35.521 --> 00:01:44.631]  In my film Road to Tyranny, I interview Marine commanders who said they trained in the 80s and actually raided US citizens' homes and they've already fully integrated in for Marshall Law.
[00:01:46.397 --> 00:01:51.720]  Says, the Marines will practice firing weapons, conducting patrols, running vehicle checkpoints, and then they run real ones.
[00:01:51.740 --> 00:01:58.025]  They will come up to real citizens with the police, they'll initiate it, then troops, about training the troops to engage the American people.
[00:01:58.445 --> 00:01:59.145]  Totally illegal.
[00:02:00.886 --> 00:02:05.789]  Says, vehicle checkpoints, reacting to ambushes, and employing non-lethal weapons, according to a statement.
[00:02:06.070 --> 00:02:09.532]  That means they're going to have role players out there screaming, I'm an American, oh no, not the camp.
[00:02:09.992 --> 00:02:15.456]  And since we're doing this, the last 15 minutes of the show, I'll be able to play a clip from Road to Tyranny,
[00:02:16.769 --> 00:02:17.829]  I was going to play it off YouTube.
[00:02:17.889 --> 00:02:18.549]  Why do that?
[00:02:18.609 --> 00:02:18.889]  Why not?
[00:02:19.090 --> 00:02:20.090]  The DVD's in there.
[00:02:20.830 --> 00:02:23.270]  And we'll just cue that up to that point.
[00:02:23.631 --> 00:02:24.631]  It's like two hours in.
[00:02:24.671 --> 00:02:26.231]  It's a two hour, forty minute film.
[00:02:26.911 --> 00:02:30.752]  And we'll just play that on air for everybody from here and comment on it.
[00:02:31.172 --> 00:02:32.192]  So that is coming up.
[00:02:32.212 --> 00:02:33.153]  The most important news.
[00:02:35.133 --> 00:02:39.214]  I want to get the Czech President Klaus on.
[00:02:40.942 --> 00:02:41.722]  I thought of that this morning.
[00:02:41.802 --> 00:02:43.403]  I'll tell my producers, I'll just do that on air.
[00:02:44.183 --> 00:02:46.664]  All the other shows can try to compete with us and try to get him before we do.
[00:02:46.704 --> 00:02:48.524]  And I'll be just as happy if you do get him, by the way.
[00:02:48.544 --> 00:02:52.625]  I'll try to make him out to be a bunch of lazy sloths out there to actually get some good guests.
[00:02:53.125 --> 00:02:56.706]  So I always throw out who I'm going to have on to give you kind of a head start.
[00:02:56.726 --> 00:03:00.207]  Because all I care about is fighting the New World Order.
[00:03:00.567 --> 00:03:01.728]  I hope you get Klaus on.
[00:03:02.568 --> 00:03:03.468]  I haven't tried yet.
[00:03:04.589 --> 00:03:05.729]  I want the Czech President!
[00:03:08.137 --> 00:03:14.260]  In fact, I want everybody listening in Czechoslovakia to call his office and tell him we're good, we agree with him, and we want him on.
[00:03:14.280 --> 00:03:17.401]  It's amazing what he's come out and said.
[00:03:17.421 --> 00:03:21.303]  He says, environmentalism is not really about taking care of the environment.
[00:03:22.263 --> 00:03:24.484]  I don't mean what the well-meaning general public believes it is.
[00:03:24.504 --> 00:03:25.425]  And that's what he says.
