[00:00:01.991 --> 00:00:04.233]  You want answers?
[00:00:05.013 --> 00:00:05.874]  Well, so does he.
[00:00:06.555 --> 00:00:10.158]  He's Alex Jones on the GCN Radio Network.
[00:00:10.758 --> 00:00:14.822]  And now, live from Austin, Texas, Alex Jones.
[00:00:30.456 --> 00:00:31.398]  Welcome, my friends.
[00:00:31.478 --> 00:00:31.898]  Welcome.
[00:00:31.938 --> 00:00:36.185]  It is the final day of March 2008.
[00:00:36.505 --> 00:00:45.719]  Tomorrow will be April Fools, and of course the general public will be fooled, not just by their neighbors, bosses, friends, and families with different
[00:00:46.539 --> 00:01:09.146]  Practical jokes, but the very central banks that have engineered the financial implosion that is taking place will fool the general public into, quote, accepting their bailout, which will only intensify the severity of the crisis and the monstrous debts that each American will owe in the hundreds of thousands of dollars.
[00:01:09.206 --> 00:01:14.407]  Now, over $90,000 is what the average American currently owes in government expenditures.
[00:01:14.868 --> 00:01:16.208]  That's with what is just due
[00:01:17.441 --> 00:01:21.302]  Currently, not what it has been committed to.
[00:01:21.422 --> 00:01:26.983]  It is in the millions of dollars, if you look at the derivatives and all the leveraging, that each person owns.
[00:01:27.023 --> 00:01:28.203]  Impossible to pay back.
[00:01:28.703 --> 00:01:30.663]  Slaves of the New World Order.
[00:01:31.023 --> 00:01:32.984]  Human resources chattel.
[00:01:34.364 --> 00:01:42.945]  Let's just admit what the enemy sees us as, and to a great extent admit what we are, so we can set about reversing this course.
[00:01:43.405 --> 00:01:47.186]  Instead of being arrogant, well-fed cattle.
[00:01:48.980 --> 00:01:52.141]  Masses of important news and information for you today.
[00:01:52.902 --> 00:01:57.864]  FedEye's Nordic-style nationalization of U.S.
[00:01:58.084 --> 00:01:58.444]  banks.
[00:01:58.484 --> 00:01:59.905]  We'll break down what that really means.
[00:01:59.925 --> 00:02:05.427]  That means governmental power for the private Federal Reserve and the complete takeover of the economy.
[00:02:06.007 --> 00:02:08.968]  Bush and Brown in push to deal with crisis.
[00:02:08.988 --> 00:02:12.190]  They're going to save us, the two of them that both call for world government.
[00:02:12.790 --> 00:02:15.511]  Paulson promises financial overhaul.
[00:02:17.102 --> 00:02:19.043]  So we'll go over that financial news.
[00:02:19.123 --> 00:02:38.377]  And then remember, about four months ago, Fox News, British papers came out and said thousands of blonde-haired, blue-eyed, basically the Swedish bikini team meets ABBA, have been recruited by Al-Qaeda.
[00:02:38.397 --> 00:02:41.299]  There is an army of blonde-haired, blue-eyed Al-Qaeda's.
[00:02:41.379 --> 00:02:42.360]  They are everywhere.
[00:02:42.700 --> 00:02:43.761]  Trust no one.
