[00:00:11.010 --> 00:00:12.771]  Monday through Friday from 11 a.m.
[00:00:12.791 --> 00:00:13.432]  to 3 p.m.
[00:00:13.472 --> 00:00:14.372]  Central Standard Time.
[00:00:14.392 --> 00:00:15.173]  We're here live.
[00:00:15.773 --> 00:00:24.139]  Jason Mermins will be sitting in for me tomorrow when Truth Rising is released at PrisonPlanet.tv and on DVD at InfoWars.com.
[00:00:24.459 --> 00:00:26.540]  Truth is rising all across the world.
[00:00:26.841 --> 00:00:34.306]  The people are waking up to the Global Crime Syndicate, to their activities taking over our food, our water, our resources, our liberties, our freedoms.
[00:00:35.106 --> 00:00:47.760]  We are joined by Congressman Ron Paul, Dr. Ron Paul, for the rest of this hour, the next 25 minutes or so, to cover what's happening with the economy, what's happening with the build-up for war with Iran, what's developing here domestically.
[00:00:47.860 --> 00:00:53.287]  Both parties basically coming out for torture, coming out for warrantless wiretapping.
[00:00:53.307 --> 00:00:54.348]  We'll cover the gamut.
[00:00:54.588 --> 00:01:11.824]  But before we go any further, tragically last Thursday, we didn't learn about it until Monday because the family was private, the head of the Ron Paul 2008 campaign, friends with Ron Paul since 87, Kent Schneider, just a great guy who you could call at 10 o'clock at night on a Sunday about
[00:01:12.284 --> 00:01:12.704]  Yes, it would be nice.
[00:01:12.744 --> 00:01:13.625]  It's really a sad event.
[00:01:13.665 --> 00:01:15.767]  Kent worked with me and for me in the campaign in 1988.
[00:01:16.127 --> 00:01:17.428]  He was a college student back then.
[00:01:40.734 --> 00:01:45.096]  That was the Libertarian campaign, and he's worked for me essentially ever since.
[00:01:45.136 --> 00:01:48.598]  There was a small break there, but he was involved in D.C.
[00:01:48.658 --> 00:02:04.846]  with me, and then he was the one that I gave credit to for really giving the final sales pitch, and I think even you had encouraged me to run before I did, and a lot of people did, but it was finally Kent who sat down and outlined the value of it.
[00:02:05.587 --> 00:02:07.589]  And so I give him a lot of credit.
[00:02:08.589 --> 00:02:15.614]  If we did achieve anything, if it was a worthwhile venture, which I believe it has been, Kent deserves a lot of credit for it.
[00:02:17.015 --> 00:02:30.244]  Congressman, since you mentioned the worthwhile venture, and Kent pushing you over the edge, or the camel's straw that set all this in motion, the straw that broke the camel's back, we've had a great victory.
[00:02:30.804 --> 00:02:32.726]  And I always want the listeners to realize that
[00:02:33.226 --> 00:02:35.828]  Tens of millions of people now know the Federal Reserve is private.
[00:02:36.168 --> 00:02:39.631]  They know about the currency tax, the inflation tax.
[00:02:39.651 --> 00:02:41.812]  They know about the New World Order.
