[00:00:00.029 --> 00:00:00.817]  They can read along.
[00:00:01.281 --> 00:00:01.685]  I wanna...
[00:00:04.639 --> 00:00:10.121]  Jordan, we're going to be back on the main radio show in about three minutes, but I didn't want to waste any of the time that we have with you.
[00:00:11.221 --> 00:00:12.982]  So we're on air right now on the web.
[00:00:13.862 --> 00:00:23.625]  I want to walk through for people, because I know you've been immersed in this so long it becomes old hat, but I want to look, going back briefly, at the roots of all of this, and then what's at the top of the pyramid.
[00:00:23.965 --> 00:00:25.746]  Has it been one congruent group?
[00:00:26.086 --> 00:00:29.267]  How many thousands of years has it been congruent?
[00:00:29.307 --> 00:00:31.768]  Because this is a world that's awakening.
[00:00:32.088 --> 00:00:35.009]  Yeah, it's just such a convoluted subject when you want to talk about who's actually in charge.
[00:00:35.029 --> 00:00:35.569]  I would say that
[00:00:57.945 --> 00:01:02.906]  Europe, as I said, for 2,300 years has been at the bottom of all politics.
[00:01:03.646 --> 00:01:10.367]  And, of course, Europe has been the home of the Roman Empire.
[00:01:10.387 --> 00:01:13.408]  And, of course, the Vatican dominates Europe today.
[00:01:13.428 --> 00:01:26.430]  As a matter of fact, we are used to, in this country, hearing about royalty and the princes and Prince Charles and Prince Andrew and the Queen Mum.
[00:01:27.048 --> 00:01:38.778]  But all of that royalty, the entire concept of royalty of Europe, is based on God's, on something called the divine right of kings.
[00:01:38.938 --> 00:01:40.500]  And that's all certified by Rome.
[00:01:40.920 --> 00:01:42.081]  That's exactly right.
[00:01:42.221 --> 00:01:44.683]  That's who tells you what God said.
[00:01:44.824 --> 00:01:47.005]  And God said that you are a prince.
[00:01:47.646 --> 00:01:52.150]  Therefore you go to the Vatican, kneel before the holiness, His Holiness the Pope,
[00:01:52.805 --> 00:01:57.386]  And he crowned you, or knights you, into an order of knighthood.
[00:01:57.947 --> 00:02:00.768]  It doesn't matter from what country you come, it doesn't matter.
[00:02:01.008 --> 00:02:03.168]  Rome rules Europe, period.
