[00:00:00.029 --> 00:00:00.970]  Alright, we're back!
[00:00:00.990 --> 00:00:03.031]  It's the Alex Jones Show final hour.
[00:00:03.071 --> 00:00:05.713]  We're going to be taking your calls all hour.
[00:00:05.773 --> 00:00:09.335]  I'm going to talk a little bit about Internet, too.
[00:00:29.076 --> 00:00:30.217]  We're good to go.
[00:00:44.269 --> 00:00:45.589]  The relationship between Bin Laden and the CIA
[00:01:08.081 --> 00:01:11.003]  In the early 1980s, Bin Laden worked with operatives from U.S.
[00:01:11.023 --> 00:01:12.644]  intelligence, the Pakistani military, and Arab states.
[00:01:12.944 --> 00:01:17.727]  Is it not true that the United States government paid $300 million to the Bin Laden family for the construction of the military camp?
[00:01:36.690 --> 00:01:45.396]  At basis, though, I really think that these were more CIA assets, people that were recruited, like all of the folks I've been issuing visas to.
[00:01:45.897 --> 00:01:52.281]  Then we have that mysterious suitcase with all of the hijackers' names and all of this incriminating evidence.
[00:01:52.762 --> 00:01:53.702]  Why put a Koran?
[00:01:53.722 --> 00:01:54.723]  Why put flight manuals?
[00:01:54.743 --> 00:01:58.606]  Why put all this incriminating information if it's supposedly going to get burned up?
[00:02:06.187 --> 00:02:09.970]  Let's show you some video that was taken 8 days after 9-11.
[00:02:10.030 --> 00:02:14.273]  That man there is Osama Bin Laden's younger brother, Khalil.
[00:02:14.633 --> 00:02:17.535]  And that family that took off, that's a f***ing crime.
[00:02:17.896 --> 00:02:21.979]  I was surprised at the evidence that there were foreign governments involved.
[00:02:22.319 --> 00:02:25.902]  Most of that information is classified, I think overly classified.
[00:02:31.324 --> 00:02:33.625]  Alright folks, we're back.
[00:02:33.725 --> 00:02:39.968]  And again, we're going to be taking callers throughout the hour, so now's the time to call in at 1-800-259-9231.
[00:02:40.008 --> 00:02:41.028]  And I want to point this out.
[00:03:00.868 --> 00:03:18.183]  A caller brought up Internet 2 and who knows if what we're doing today and all week here at InfoWars.com and the Alex Jones Show is going to be possible when they bring in Internet 2 and they say, well, you have to have a subdomain page and you've got to be under this university or this corporation.
[00:03:18.643 --> 00:03:22.527]  We're going to decide what kind of content is truly approvable.
[00:03:23.496 --> 00:03:26.237]  What can we really let people see?
[00:03:26.257 --> 00:03:28.479]  And then they're also going to charge you per bandwidth.
[00:03:28.939 --> 00:03:32.501]  So that bandwidth right there that you're watching, I mean that's live streaming video.
[00:03:33.501 --> 00:03:35.362]  It's probably a little bit heavier than YouTube.
[00:03:36.503 --> 00:03:38.544]  And say you watch that all day or you leave it on loop.
[00:03:38.904 --> 00:03:42.546]  They're going to say, oh, look at you being so greedy on the internet.
[00:03:42.566 --> 00:03:46.788]  You're already paying a monthly fee, but you went over your bandwidth, so you're going to pay an extra $25 this month.
[00:03:46.808 --> 00:03:47.109]  Excuse me?
[00:03:47.169 --> 00:03:47.329]  Oh yeah!
[00:03:50.384 --> 00:03:52.546]  They're already testing it here in Beaumont, Texas!
[00:03:52.826 --> 00:03:58.810]  Not sure where Beaumont is, but it was reported I was on the Alex Jones Show a little over a month ago discussing this very topic.
[00:03:59.131 --> 00:04:06.736]  And not only are they going to bring that in, but they've already kind of introduced this as the cool, hip way to, you know, make sure that your information's secure.
[00:04:06.756 --> 00:04:12.481]  And they're going to put biometric thumb scanners on your little keyboard or your laptop, and they've already done that with some of the new IBM ThinkPads.
[00:04:13.121 --> 00:04:24.462]  Only instead of being in your own little database, it's going to be in a government database and you will constantly be logged on as yourself no matter what IP address you're on from any computer in this new Internet 2!
[00:04:25.939 --> 00:04:30.901]  Constantly tracked and traced, beyond anything, you know, you thought was possible before.
[00:04:31.681 --> 00:04:35.202]  So Internet 2 is bad news, we have to make people aware that it even exists!
[00:04:35.883 --> 00:04:38.584]  See, they're promoting it as something that's gonna be great for content.
[00:04:38.644 --> 00:04:45.666]  Lots more 3D content, lots more television, more integrated, Second Life, the new Google Lively, so much to do.
[00:04:45.686 --> 00:04:49.948]  It's InfoWars.com, PrisonPlanet.com, we'll be back after this with your phone calls.
[00:04:59.870 --> 00:05:06.293]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:05:06.633 --> 00:05:08.594]  The enemy struck America on September 11th.
[00:05:09.274 --> 00:05:10.294]  But who is the enemy?
[00:05:10.814 --> 00:05:11.335]  Bin Laden.
[00:05:11.615 --> 00:05:12.635]  This is his M.O.s.
[00:05:12.655 --> 00:05:13.916]  We have to look to the Middle East.
[00:05:13.976 --> 00:05:15.656]  We have to look to Osama Bin Laden.
[00:05:15.957 --> 00:05:22.719]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:05:23.119 --> 00:05:23.560]  Some U.S.
[00:05:23.600 --> 00:05:29.282]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:05:29.942 --> 00:05:33.484]  I'm aware that some Israeli citizens have been detained.
[00:05:33.824 --> 00:05:43.690]  ...Laden's connections to the CIA, the hijacker's ties to the FBI, the Saudi Arabian connection, the Israeli intelligence network, warnings and war games, the shadow government, and much, much more.
[00:05:43.910 --> 00:05:44.670]  Fabled enemies.
[00:05:45.151 --> 00:05:52.435]  Get the DVD at InfoWars.com or see it in super high quality along with hundreds of other titles at PrisonPlanet.tv.
[00:05:52.895 --> 00:05:56.257]  Either you are with us or you are with the terrorists.
[00:06:01.488 --> 00:06:06.769]  Are you tired of hearing that a cure for cancer is coming, but it will be available sometime in the future?
[00:06:07.130 --> 00:06:09.410]  At LaysMedInc, the future is here.
[00:06:09.770 --> 00:06:13.231]  Now it's cancer's turn to die with our patented methodology.
[00:06:13.431 --> 00:06:24.694]  Without cutting, bleeding, drugs, or damaging radiation, we can kill skin cancer and breast tumors of any size, and many other types of cancer without adverse side effects at our outpatient facility.
[00:06:24.854 --> 00:06:27.875]  We offer a real solution using real science.
[00:06:28.295 --> 00:06:32.156]  Our unique approach to cancer treatment is what everyone has been waiting for.
[00:06:32.416 --> 00:06:35.597]  A simple, easy way to eliminate the threat of cancer.
[00:06:35.877 --> 00:06:37.918]  LASER technology at its best.
[00:06:38.158 --> 00:06:41.319]  To receive an information packet, call our treatment center at 501-255-0528.
[00:06:41.399 --> 00:06:41.859]  That's 501-255-0528.
[00:06:41.979 --> 00:06:44.820]  Or visit our website at lasmedinc.com.
[00:06:45.040 --> 00:06:46.880]  That's L A S E M E D I N C dot com today.
[00:06:59.955 --> 00:07:05.597]  I am at a gathering of friends, minding my own business, when one of our buddies, Bob, walks up to me, very concerned.
[00:07:05.637 --> 00:07:08.398]  He says, wow, have you seen the gasoline prices lately?
[00:07:08.458 --> 00:07:09.178]  I said, oh, of course.
[00:07:09.618 --> 00:07:10.458]  Woo, they're high.
[00:07:10.858 --> 00:07:11.338]  He says, yeah.
[00:07:11.358 --> 00:07:12.139]  He says, what am I going to do?
[00:07:12.459 --> 00:07:12.999]  I've got a truck.
[00:07:13.019 --> 00:07:15.620]  There's no way anybody's going to buy my truck in this market.
[00:07:15.940 --> 00:07:17.540]  I really need the truck for my job.
[00:07:17.860 --> 00:07:19.541]  It uses more gas than I can afford.
[00:07:19.861 --> 00:07:21.801]  I've got to find a way to come up with some extra money.
[00:07:21.822 --> 00:07:23.462]  I've got a wife with four kids at home.
[00:07:23.762 --> 00:07:24.542]  I don't know what to do.
[00:07:24.882 --> 00:07:25.783]  I said, Bob, relax.
[00:07:25.923 --> 00:07:26.583]  I know what to do.
[00:07:27.163 --> 00:07:31.266]  Call eFoodsDirect.com or go up on the web at eFoodsDirect.com.
[00:07:31.466 --> 00:07:41.653]  They will deliver food, really good, high-quality, nutritional, delicious food to your door, your door now, right there in front of your house, for about half the price that you were paying for groceries last year.
[00:07:42.013 --> 00:07:49.598]  You can take the savings from that, offset the cost of your fuel, and use it to buy more inexpensive food to hedge against tomorrow's increasing food prices.
[00:07:49.838 --> 00:07:50.799]  Why don't you do that, Bob?
[00:07:51.039 --> 00:07:52.581]  He said, eFoodsDirect.com?
[00:07:52.641 --> 00:07:53.082]  I said, yep.
[00:07:53.122 --> 00:07:55.744]  Call them at 1-800-409-5633.
[00:07:55.784 --> 00:07:56.305]  That's 800-409-5633.
[00:07:56.405 --> 00:07:58.848]  Do it now.
[00:08:00.730 --> 00:08:06.756]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:08:07.357 --> 00:08:10.340]  It's Alex Jones and the GCN Radio Network.
[00:08:11.770 --> 00:08:16.574]  Alright folks, we are back live streaming video for PrisonPlanet.TV subscribers.
[00:08:17.474 --> 00:08:19.816]  And I promised callers, so I'm gonna take callers.
[00:08:19.856 --> 00:08:20.617]  Let's do it up.
[00:08:20.697 --> 00:08:24.580]  Your topics, your questions, your comments here on the Alex Jones Show.
[00:08:25.421 --> 00:08:27.482]  Let's go to Jim in Texas.
[00:08:27.542 --> 00:08:28.303]  Jim, what's on your mind?
[00:08:29.130 --> 00:08:39.937]  Hey Jason, I was calling to respond to what Alex called in earlier, asking people to help him out with the Michelle McCaulkin... The Malcolm situation, sure.
[00:08:39.977 --> 00:08:43.299]  Yes, specifically the website rightpundits.com.
[00:08:44.651 --> 00:08:46.533]  Has the video that he's looking for.
[00:08:46.593 --> 00:08:54.019]  It's a front-on view and basically what happens is two guys come up and they say, hey Alex, we're from Chicago.
[00:08:54.039 --> 00:08:57.662]  Yeah, and they're wearing an Obama hat and like this really fruity hat, right?
[00:08:57.722 --> 00:09:05.968]  One has an Obama hat on and it's funny because it's like a Black Panther style beret with Obama on.
[00:09:06.008 --> 00:09:07.009]  It's completely silly.
[00:09:07.450 --> 00:09:09.511]  But, you know, they identify themselves.
[00:09:09.551 --> 00:09:10.752]  They say, hey, we're fans.
[00:09:10.792 --> 00:09:11.213]  We're from
[00:09:11.853 --> 00:09:12.194]  I think so.
[00:09:24.395 --> 00:09:30.679]  Michelle, get Michelle referring to the camera man, telling him to stay on her Twitter, obviously.
[00:09:31.340 --> 00:09:38.925]  And so, you know, that's where if anybody, if Alex wants that specific frontal video, it's at RightPundits.com on their homepage.
[00:09:39.085 --> 00:09:43.468]  All right, or you can just do a Google search or a YouTube search, and there are tons of different angles.
[00:09:43.508 --> 00:09:46.310]  I mean, this was shot by about 20 different cameramen.
[00:09:47.050 --> 00:09:49.592]  It's a hell of a confrontation.
[00:09:49.632 --> 00:09:50.112]  I'm loving it.
[00:09:50.472 --> 00:09:51.053]  All right, so,
