[00:00:00.009 --> 00:00:01.810]  We're live at PrisonPlanet.tv
[00:00:26.787 --> 00:00:37.531]  As we are every day in the fourth hour, some days we do the whole show, other days two or three hours, but always at least one hour a day at PrisonPlanet.tv.
[00:00:37.611 --> 00:00:38.271]  I'm feeling good.
[00:00:38.291 --> 00:00:41.292]  I'm getting over that chest cold I've had the last four or five days.
[00:00:42.112 --> 00:00:43.393]  And we're taking your phone calls.
[00:00:43.433 --> 00:00:45.153]  I've covered a whole lot of issues.
[00:00:45.693 --> 00:00:50.675]  I mean, the private banks are saying we've taken trillions of dollars out of the Treasury, taxpayer money.
[00:00:51.395 --> 00:00:52.976]  We're not going to tell you who we gave it to.
[00:00:55.069 --> 00:00:56.770]  They're calling that transparency.
[00:00:58.032 --> 00:01:00.154]  They got this new Bretton Woods agreement coming up.
[00:01:00.534 --> 00:01:14.729]  Out of that framework, Lord Rothschild, the head of the Rothschild family, is in the major newspaper saying, and I'm going to show that to folks on the document cam later in the show, openly saying,
[00:01:15.902 --> 00:01:21.512]  That they're setting up a new world order and that it's a global government.
[00:01:21.532 --> 00:01:24.417]  That the new world order is global government.
[00:01:25.506 --> 00:01:28.047]  I think you're probably aware of Obama's use of NLP techniques in his speeches.
[00:01:54.744 --> 00:02:11.255]  Yeah, you know, I'm not an expert on any one area of mind control, but I've seen the TV shows about NLP, I know it's real, and I know that clearly, from the experts I've talked to in NLP, he is doing that, and then there's a lot of other mind control going on in the background, but absolutely.
[00:02:15.202 --> 00:02:21.046]  There's an article on wimps.com right now, an examination of Obama's use of hidden hypnosis techniques in his speeches.
[00:02:21.146 --> 00:02:22.908]  It's like 67 pages long.
[00:02:23.808 --> 00:02:25.190]  Yeah, we posted that a few weeks ago.
[00:02:26.370 --> 00:02:27.271]  It's a must-read.
[00:02:27.471 --> 00:02:33.336]  It's an absolute must-read to understand how satanically manipulative this man is.
[00:02:33.916 --> 00:02:35.477]  He's very dangerous.
[00:02:36.098 --> 00:02:42.803]  And he's going to be, who knows what sort of tricks he's going to be playing, because he talked about this
[00:02:47.008 --> 00:03:00.293]  Yeah, and they will point the mobs of dumbed-down fluoride heads at the mental clash when this revolution comes.
[00:03:00.353 --> 00:03:02.254]  It's not going to be against the bankers.
[00:03:02.654 --> 00:03:09.356]  You know, the public thinks it's somebody who's got a car and a two-bedroom house is the elite.
[00:03:09.576 --> 00:03:11.617]  No, they think anybody with five dollars is the elite.
[00:03:12.389 --> 00:03:24.114]  Yeah, and another thing I wanted to know is, there's a bill on the floor of Congress right now, from what I understand of it, for a draft of people 18-49, you're probably aware of that too, right?
[00:03:24.334 --> 00:03:38.059]  Yeah, they've been reintroducing that for the last decade under Congressman Rangel, and then he's got 50-something co-sponsors, last time I checked, and people just say, we're lying, it doesn't exist, even as Barack Obama announces they want to push it.
[00:03:39.076 --> 00:03:42.557]  Well, what are your plans to do when they... because you're in that age group, Alex.
[00:03:42.937 --> 00:03:44.018]  What are you going to do?
[00:03:44.838 --> 00:03:46.759]  Well, I'm not going to be joining.
[00:03:46.839 --> 00:03:48.119]  I'm not anybody's slave.
[00:03:48.679 --> 00:03:50.800]  And I'm not going to be part of any tattletale squad.
[00:03:51.160 --> 00:03:56.282]  But see, they're going to find lots of folks that want to wear black uniforms and want to spy on their neighbors.
[00:03:56.662 --> 00:04:00.043]  That's why we told you they'd have checkpoints and bus stops and trains and...
[00:04:01.563 --> 00:04:27.933]  Yeah, it's shocking to me that a group of all these millions of people could be convinced to vote for a man who has no accomplishments in his life, and even a cursory examination of his past shows involvement with all sorts of
[00:04:31.048 --> 00:04:34.731]  Well, still, he's a puppet, and it's shocking to people this could happen.
[00:04:35.292 --> 00:04:36.132]  I appreciate your call.
[00:04:36.153 --> 00:04:37.193]  He doesn't run anything.
[00:04:37.253 --> 00:04:38.074]  He's a nobody.
[00:04:39.095 --> 00:04:41.917]  The reason he's dangerous is because, again, he's a puppet.
[00:04:42.218 --> 00:04:45.601]  They will blame everything the Newell Order does for the next four to eight years on him.
[00:04:46.221 --> 00:05:05.993]  Then the New World Order will get a new lease on life with a new puppet and then we'll learn that that puppet's bad because they worked for the bankers and not us and then there'll be another puppet and then we'll have to learn that's a bad puppet but then we'll accept the new puppet as not being a puppet and then we'll find out they're a puppet and then they'll give us a new person and we'll be fooled by that and take a few years to figure out they're a puppet.
[00:05:06.473 --> 00:05:07.134]  We'll be right back.
[00:05:08.014 --> 00:05:09.215]  Hello, this is Steve Shane.
[00:05:09.847 --> 00:05:13.269]  The economic disaster is taking food out of the mouths of our families.
[00:05:13.669 --> 00:05:17.552]  Farmers, food brokers, and grocery stores can't get credit to supply your food.
[00:05:18.092 --> 00:05:21.214]  Over a third of us can't afford to buy food and pay our other expenses.
[00:05:21.694 --> 00:05:24.596]  Lines of credit and cards are often cut back or canceled.
[00:05:24.936 --> 00:05:30.840]  Last year, the eFoodsDirect Holiday Food Unit was a fun and exciting one-year supply with a great price.
[00:05:31.360 --> 00:05:38.264]  This year, to quickly complete our food supply preparations, eFoodsDirect has created a very serious holiday unit.
[00:05:39.272 --> 00:05:45.334]  This super supply costs $300 less than the basic Liberty one-year supply and has more food.
[00:05:45.934 --> 00:05:49.216]  Safe food for less than half the cost of last year's groceries.
[00:05:49.856 --> 00:05:53.417]  For delivery by Christmas, orders must be submitted by the end of November.
[00:05:54.037 --> 00:05:57.599]  Good food is a gift of life and love this holiday season.
[00:05:58.039 --> 00:05:59.419]  Call 800-409-5633 on the web, efoodsdirect.com, 800-409-5633.
[00:06:07.429 --> 00:06:13.813]  Today, unlike any other in the long course of American history, a terrorist act of war against this country.
[00:06:14.173 --> 00:06:16.155]  The enemy struck America on September 11th.
[00:06:16.835 --> 00:06:17.856]  But who is the enemy?
[00:06:18.356 --> 00:06:18.896]  Bin Laden.
[00:06:19.357 --> 00:06:20.137]  This is his MO.
[00:06:20.157 --> 00:06:21.498]  We have to look to the Middle East.
[00:06:21.538 --> 00:06:23.199]  We have to look to Osama Bin Laden.
[00:06:23.539 --> 00:06:30.284]  Fabled Enemies is the first 9-11 film to take a close look at the terrorist ties to intelligence networks inside the United States.
[00:06:30.684 --> 00:06:31.124]  Some U.S.
[00:06:31.164 --> 00:06:36.848]  investigators believe that there are Israelis again very much engaged in spying in and on the U.S.
[00:06:37.508 --> 00:06:40.949]  I'm aware that some Israeli citizens have been detained.
[00:06:40.969 --> 00:06:42.990]  Either you are with us, or you are with the terrorists.
[00:07:07.941 --> 00:07:10.864]  Fuel prices are up and down, biting into everyone's budget.
[00:07:11.344 --> 00:07:14.847]  If you're ready to start saving at the pump, Fuel Saver technologies can help.
[00:07:15.127 --> 00:07:22.914]  With a small squeeze of our fuel conditioner in your gas tank, more of each gallon of fuel will combust, improving your fuel economy 10 to 20% or more.
[00:07:23.214 --> 00:07:28.679]  Completely safe for all engines, gas or diesel, we guarantee that your savings will exceed the cost of our product.
[00:07:29.119 --> 00:07:35.123]  Our fuel additive reduces the emissions and maintenance costs and reduces the friction of engine moving parts.
[00:07:35.464 --> 00:07:41.628]  Our two ounce consumer squeeze bottle costs only $8 and treats 100 gallons of gasoline or 50 gallons of diesel.
[00:07:41.948 --> 00:07:47.772]  If you buy a case of 16 or 32 bottles, the price drops to $6 a bottle and we'll ship it to you for free.
[00:07:48.112 --> 00:07:51.194]  Call us toll free at 866-768-7811 or look online at fuelsaverinc.com.
[00:07:56.678 --> 00:07:58.099]  Start saving on fuel today!
[00:07:58.119 --> 00:07:58.979]  866-768-7811.
[00:07:59.339 --> 00:08:03.841]  Online, fuelsaberinc.com.
[00:08:04.081 --> 00:08:06.222]  Spend a little and save a lot!
[00:08:07.383 --> 00:08:12.445]  The Genesis Communications Radio Network proudly presents the Alex Jones Show.
[00:08:12.805 --> 00:08:15.086]  Because there's a war on for your mind.
[00:08:35.732 --> 00:08:38.412]  Eight minutes, twenty-five seconds into this fourth and final hour.
[00:08:38.452 --> 00:08:48.434]  Larry Pratt to discuss the record gun sales, smashing all previous records nationwide as people go out and buy up guns in anticipation of more gun control.
[00:08:48.454 --> 00:08:52.435]  But that'll come after the controlled economic implosion, the controlled rioting
[00:08:54.133 --> 00:09:20.114]  uh... the troops on the streets see the globalists know how to the social engineers know how to make you beg for their tyranny uh... but uh... right now let's go back to your calls and quickly alex in new york you're on the air welcome what alex okay we're gonna let him go urban atlanta you're on the air go ahead the alex jones show hello sir go ahead
[00:09:21.454 --> 00:09:24.556]  Hey, Muppets and puppets and demons, oh my!
[00:09:25.116 --> 00:09:26.477]  You're covering it all today, buddy!
