[00:00:00.169 --> 00:00:01.610]  We're good to go.
[00:00:29.093 --> 00:00:30.395]  Alright folks, we're back!
[00:00:30.475 --> 00:00:32.598]  It's the fourth hour of the Alex Jones Show.
[00:00:32.679 --> 00:00:35.383]  I'm Jason Burmas, sitting in today and tomorrow.
[00:00:35.403 --> 00:00:39.649]  I just want to remind everybody that Alex is going to be presenting a sneak peek!
[00:00:40.703 --> 00:00:43.505]  At the 9-11 Chronicles, Part 1, Truth Rising again.
[00:00:44.566 --> 00:00:47.769]  This is a film shot unlike any other from Alex Jones.
[00:00:47.789 --> 00:00:50.491]  Cinema Verite style, where he doesn't even do the voiceover.
[00:00:50.531 --> 00:00:52.453]  And it's really about the 9-11 truth movement.
[00:00:52.833 --> 00:01:00.359]  It contains candid interviews with Willie Nelson, Rosie O'Donnell, Jesse Ventura, George Carlin, Martin Sheen, and others.
[00:01:01.140 --> 00:01:09.467]  As well as confrontations with many political figures, including Bill and Hill Clinton, David Rockefeller, Arnold Schwarzenegger, Gary Hart, John McCain,
[00:01:10.990 --> 00:01:11.530]  And many more.
[00:01:12.231 --> 00:01:16.454]  So I hope people go out on Saturday, May 17th at 4 p.m.
[00:01:16.774 --> 00:01:19.236]  and Sunday, May 18th at 7 p.m.
[00:01:19.256 --> 00:01:20.056]  and go check that out.
[00:01:20.076 --> 00:01:25.020]  I think Alex himself will also be there to answer questions after the movie.
[00:01:25.060 --> 00:01:26.000]  Like I said, I've seen it.
[00:01:26.201 --> 00:01:26.781]  It's awesome.
[00:01:27.201 --> 00:01:32.825]  I'm very stoked for this one to get out there and hopefully get more people involved in the 9-11 Truth Movement.
[00:01:32.845 --> 00:01:36.408]  This is a yes-we-can-do-it type of movie, really focusing
[00:01:37.632 --> 00:02:01.886]  on what tactics we need to use to expose this information to the masses and uh... it's it's a bang-up job i'm really excited to see people's reaction i've got jim mars with me i've done a couple of radio shows with jim jim i think i've been on his uh... dreamland program before and i've met him a couple times out in chicago and of course new york city he is a famous accomplished author you can see him on the history channel all the time i see jim mars
[00:02:02.686 --> 00:02:04.047]  Hey, Jason, it's good to be with you today.
[00:02:19.614 --> 00:02:22.496]  So, Jim, what's the latest you've been working on?
[00:02:22.516 --> 00:02:25.558]  Because, again, you've been featured on the History Channel dozens of times.
[00:02:25.578 --> 00:02:28.940]  You were featured in a couple of Alex Jones' movies.
[00:02:28.960 --> 00:02:30.281]  You're an accomplished author.
[00:02:30.381 --> 00:02:32.382]  Obviously, the Terror Conspiracy about 9-11.
[00:02:33.022 --> 00:02:35.043]  You wrote Crossfire about JFK.
[00:02:35.264 --> 00:02:36.644]  What's next for Jim Mars?
[00:02:37.685 --> 00:02:40.086]  Well, I've got a bombshell coming out in June.
[00:02:40.967 --> 00:02:44.289]  I think everybody realizes that the good old U.S.
[00:02:44.369 --> 00:02:45.750]  of A. is in deep trouble.
[00:02:46.370 --> 00:02:49.132]  We've got too many problems, too much stuff going on.
[00:02:49.764 --> 00:02:53.546]  But nobody can seem to figure out exactly who to point the finger to.
[00:02:54.467 --> 00:02:59.810]  Liberals blame conservatives, conservatives blame liberals, Republicans blame Democrats, vice versa.
[00:03:00.571 --> 00:03:14.059]  And I have a new book coming out that's going to show that a small cabal of people have been operating through the last century and right up to today to absolutely change the face of the United States.
[00:03:14.099 --> 00:03:19.162]  And I'm not totally at liberty to get into all the details, but the title of the new book
[00:03:20.277 --> 00:03:22.558]  It's the rise of the Fourth Reich.
[00:03:24.480 --> 00:03:24.860]  Excellent.
[00:03:24.880 --> 00:03:26.081]  I think it's a pretty good idea.
[00:03:26.661 --> 00:03:45.572]  Well, you know, that's one of the things a lot of people in the general populace just don't understand, is that the Bush family really made its fortune, you know, not in the weapons and oil industry, although that's definitely where they made some of their money, but that was after they were Nazi money launderers for Union Banking Corp.
[00:03:45.652 --> 00:03:49.114]  and Averell Harriman Brothers Banking back in the Prescott Bush days.
[00:03:50.168 --> 00:04:05.289]  That's exactly right, and if you go back even farther than that, you'll find it was the Harriman family, and the Schiff family, and the Rockefellers, and many other members of Wall Street who actually funded and hence created communism in Russia.
[00:04:06.241 --> 00:04:07.201]  Absolutely, absolutely.
[00:04:07.402 --> 00:04:10.503]  That's what people don't get is that it's not about right and left.
[00:04:10.543 --> 00:04:13.204]  It's not about conservative or liberal.
[00:04:13.244 --> 00:04:23.829]  These are false paradigms that are paraded through our mass media in order to indoctrinate and brainwash us into taking a side so that we can't see past
[00:04:24.409 --> 00:04:53.531]  these uh... paradigms and we we do a lot of infighting you know it's it's just like i you know i was talking to paul joseph watson earlier i talked about how they like to divide us by race you know this is just another tool if they can't divide us by hating another race they're gonna have us hate another political group we got jim marz uh... i'm sorry jim we'll get back to you right after this uh... the websites are infowars.com and prisonplanet.com jim marz with us for the full hour prisonplanet.tv is where the videos at we'll be back after this on the Alex Jones Show
[00:05:03.770 --> 00:05:05.171]  It is a big idea.
[00:05:05.191 --> 00:05:07.312]  A new world order.
[00:05:08.012 --> 00:05:12.554]  In the near future, Earth is dominated by a powerful world government.
[00:05:12.914 --> 00:05:15.716]  It's known as the Bilderberg Group.
[00:05:15.756 --> 00:05:17.977]  Could their objective be world domination?
[00:05:18.517 --> 00:05:20.918]  For thousands of years, their dark order grew.
[00:05:21.693 --> 00:05:29.018]  Now as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[00:05:32.036 --> 00:05:37.021]  For the first time in history, the elite's plan for world government is blown wide open.
[00:05:37.501 --> 00:05:40.964]  You will learn the secret that drives the entire New World Order agenda.
[00:05:41.364 --> 00:05:43.826]  Bill of Rights is making great progress toward a world government.
[00:05:43.926 --> 00:05:45.087]  Most people have no idea.
[00:05:45.107 --> 00:05:45.868]  They're not after money.
[00:05:45.888 --> 00:05:46.949]  They have all the money they need.
[00:05:47.149 --> 00:05:47.870]  They're after power.
[00:05:48.150 --> 00:05:48.990]  That's what I have to do, sir.
[00:05:49.291 --> 00:05:53.814]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[00:05:54.035 --> 00:05:57.558]  Or watch it online right now at PrisonPlanet.tv.
[00:05:58.018 --> 00:06:00.300]  Endgame, blueprint for global enslavement.
[00:06:00.801 --> 00:06:01.887]  You have been warned.
[00:06:03.647 --> 00:06:04.127]  Hi, neighbor.
[00:06:04.447 --> 00:06:07.189]  They say the road to hell is paved with good intentions.
[00:06:07.749 --> 00:06:12.471]  Certainly we'd never intend to procrastinate getting our own food supply until there was none left at any price.
[00:06:13.031 --> 00:06:18.153]  We would intend to have plenty of food so the relief organizations could care for those unable to care for themselves.
[00:06:18.754 --> 00:06:25.857]  We would intend not to be standing in the bread line with the ignorant and the foolish who pretend the facts of food disappearance are untrue.
[00:06:26.357 --> 00:06:31.259]  If the experience of the Katrina disaster is evidence, the bread line may have no bread.
