[00:00:02.431 --> 00:00:11.439]  Okay, huge new development.
[00:00:13.600 --> 00:00:21.527]  Burmess, being from New York, Jason Burmess of Blue's Change fame, down here working with us on a film that he's making called Fabled Enemies.
[00:00:24.687 --> 00:00:26.950]  That gets into some of the foreign governments that were involved.
[00:00:27.510 --> 00:00:29.372]  Very controversial.
[00:00:29.493 --> 00:00:32.576]  Burmess is here with us in studio.
[00:00:33.577 --> 00:00:38.323]  And he has listened to most of the hour-long interview with Jesse Ventura this morning.
[00:00:38.343 --> 00:00:41.567]  In fact, he would only give Stern 40 minutes, a 40-minute interview.
[00:00:41.947 --> 00:00:42.187]  Gave us 50.
[00:00:42.488 --> 00:00:43.268]  That was nice of the governor.
[00:00:44.189 --> 00:00:49.811]  Uh, and they start attacking him and he goes ahead and brings up insurance fraud with blowing up the buildings.
[00:00:50.212 --> 00:00:50.932]  This is huge.
[00:00:51.072 --> 00:00:51.772]  This is big.
[00:00:51.792 --> 00:00:54.974]  Uh, I wanted to bring it yesterday and I just didn't get around to it.
[00:00:55.214 --> 00:00:56.254]  Who does he think did it?
[00:00:56.554 --> 00:00:57.235]  Why did they do it?
[00:00:57.355 --> 00:01:01.036]  He talked about how he thinks somebody blew it up and how the government's done stuff before he implied it.
[00:01:01.596 --> 00:01:02.257]  But, uh...
[00:01:03.577 --> 00:01:05.239]  I didn't get to that, but here it is.
[00:01:05.279 --> 00:01:07.361]  The more he gets attacked, the more he's going to come out.
[00:01:07.781 --> 00:01:09.763]  And then this just gives others the courage to speak out.
[00:01:10.203 --> 00:01:13.446]  Burms, before we play this five minute clip, you've heard more than just the five minutes.
[00:01:15.147 --> 00:01:18.170]  Tell us exactly what you heard this morning.
[00:01:18.490 --> 00:01:19.211]  Sure.
[00:01:19.371 --> 00:01:23.754]  Basically, he goes over how the only way that our country would go down is from an internal enemy.
[00:01:24.355 --> 00:01:25.435]  And that whole thing.
[00:01:25.816 --> 00:01:26.756]  Yeah, it was great.
[00:01:27.137 --> 00:01:28.778]  Internal enemies carried out 9-11.
[00:01:29.018 --> 00:01:29.799]  Jesse Ventura.
[00:01:29.959 --> 00:01:30.879]  We need a headline with that.
[00:01:30.959 --> 00:01:34.542]  Another one on... says 9-11 was insurance fraud.
[00:01:34.682 --> 00:01:35.143]  Oh my God.
[00:01:35.363 --> 00:01:36.524]  Attack right now, man!
[00:01:36.784 --> 00:01:37.604]  Get the articles up.
[00:01:37.645 --> 00:01:38.005]  Go ahead.
[00:01:38.345 --> 00:01:54.611]  So then he, uh, they bring up, well, you're one of those guys that doesn't think that two planes could bring down three buildings, and he brings up building seven quick, but then he also brings up how the World Trade Center Twin Towers weren't making money anymore, and that it was going to cost a billion dollars to take the asbestos out, at least.
[00:01:55.151 --> 00:01:58.215]  And then he mentioned the $7 billion insurance scam.
[00:01:58.255 --> 00:02:03.121]  He didn't mention Silverstein by name, but he basically said... But why not just blow him up and let the city breathe it?
[00:02:03.161 --> 00:02:08.747]  That's how you use each New York child and cop and firefighter as a vacuum to get rid of it.
[00:02:08.788 --> 00:02:09.348]  That was cheaper.
[00:02:10.009 --> 00:02:11.089]  Demolition was not an option.
[00:02:11.129 --> 00:02:11.850]  That's the other thing.
[00:02:12.290 --> 00:02:16.051]  They were not going to be allowed to demolish the Twin Trade Center and control demolition.
[00:02:16.071 --> 00:02:18.551]  They had to go floor by floor to take out the asbestos.
[00:02:18.831 --> 00:02:21.492]  And lo and behold, 9-11 happens and it becomes a non-issue.
[00:02:21.872 --> 00:02:23.813]  So he mentioned, you know, this guy made $7 billion.
[00:02:24.053 --> 00:02:27.854]  All of a sudden, Howard's like, well, man, I guess I'm going to have to read your book.
[00:02:28.494 --> 00:02:30.795]  And he's like, yeah, you really do need to read my book.
[00:02:30.815 --> 00:02:32.276]  So he exposed the insurance scam.
[00:02:32.296 --> 00:02:34.156]  He talked about how he was a demolition expert.
[00:02:34.536 --> 00:02:37.698]  He used the analogy of propane and kerosene.
[00:02:37.898 --> 00:02:40.178]  It was just great because you can't attack Jesse Ventura.
[00:02:40.399 --> 00:02:42.119]  It's very hard to attack him.
[00:02:42.179 --> 00:02:43.180]  They were very friendly to him.
[00:02:43.220 --> 00:02:43.980]  I was pretty surprised.
[00:02:45.396 --> 00:02:53.044]  Well, the little clip I heard was Robin trying to deny, going, well those buildings had problems, and well they collapsed because of an Easter Bunny.
[00:02:53.704 --> 00:02:54.805]  Let's be clear here.
[00:02:55.366 --> 00:02:59.470]  NIST has given five reasons it fell, and then they have retracted.
[00:02:59.550 --> 00:03:04.375]  Not the fuel tank, not bad construction, not melting steel, not weakening steel.
[00:03:04.775 --> 00:03:06.336]  They have now had to come in
[00:03:07.257 --> 00:03:10.360]  Not the tower falling, not the North Tower falling into it.
[00:03:10.620 --> 00:03:12.222]  Turns out it only had some windows knocked out.
[00:03:12.482 --> 00:03:14.163]  Potman Mechanic shows a fake photo.
[00:03:14.203 --> 00:03:14.984]  It's even gray.
[00:03:15.424 --> 00:03:17.947]  The building side, it's not the red building side, brick red.
[00:03:18.287 --> 00:03:19.628]  They show the World Financial Center.
[00:03:19.808 --> 00:03:21.129]  They won't even show the right building.
[00:03:21.169 --> 00:03:23.251]  I mean, that's the type of scams they engage in.
[00:03:23.271 --> 00:03:26.634]  You know, they say NORAD never intercepted anybody in the year before 9-11.
[00:03:27.355 --> 00:03:27.975]  Total lie.
[00:03:27.995 --> 00:03:31.678]  We have Reuters with the head of it saying 160-something times the year before.
[00:03:31.698 --> 00:03:34.201]  I mean, it's just the deception
[00:03:34.861 --> 00:03:35.462]  of our enemies.
[00:03:35.542 --> 00:03:40.826]  It's like they're now saying we're lying and there weren't Pentagon videos and others confiscated by the FBI.
[00:03:41.146 --> 00:03:44.309]  When it's all admitted they won't release those tapes, but it doesn't matter.
[00:03:44.329 --> 00:03:45.270]  The public's weak-minded.
[00:03:45.290 --> 00:03:47.411]  They just show video and say we're lying.
[00:03:47.932 --> 00:03:52.575]  I mean, this is the level of dis- or they bring out black propaganda and that's where you
[00:03:53.456 --> 00:04:11.408]  Going back to JFK, folks, he would have cops and FBI and coroners who were going to testify, and they'd be totally normal, 30-40 year careers, totally normal, 25 year careers, and they'd get up on stand and say, I am a space alien, or they'd get up on stand and say, I fingerprint my daughter every day to make sure they haven't, you know, taken her.
[00:04:12.308 --> 00:04:13.629]  I'm a fingerprinting expert, and then go...
[00:04:14.850 --> 00:04:19.132]  You know, I mean, that's what they do, and so Stern is having black propaganda on.
[00:04:19.152 --> 00:04:21.934]  I mean, if I wanted to have them over a barrel, I could.
