[00:00:00.009 --> 00:00:08.460]  Typically last ten.
[00:00:08.761 --> 00:00:10.243]  Ellen want is our guest.
[00:00:11.484 --> 00:00:15.910]  By the way, if a tree fell in the forest and nobody heard it fall, did it make a sound?
[00:00:17.501 --> 00:00:31.728]  Like, when we had Ron Paul on yesterday, out of the gates at the start of the show, our other big guest here, we randomly, throughout the four hour radio show every day, go live on the internet for PrisonPlanet.tv members with the video feed.
[00:00:31.908 --> 00:00:40.412]  We also then record that and post it within an hour to two hours after the show, depending on how long it takes to encode, for members to go watch at their leisure.
[00:00:40.792 --> 00:00:44.174]  Then you great guys and gals chop it up, put it on YouTube and everywhere else.
[00:00:44.674 --> 00:00:46.936]  Do great condensing down the info.
[00:00:46.956 --> 00:00:47.877]  We really appreciate it.
[00:00:48.478 --> 00:00:52.722]  Of course, there's also the free internet streams and higher quality at InfoWars.com.
[00:00:53.102 --> 00:00:56.205]  And so we can catch up on some of the time today, getting Alan Watt on a bit late.
[00:00:56.486 --> 00:01:00.389]  I'm going to skip some of the breaks for InfoWars.com listeners.
[00:01:00.570 --> 00:01:02.852]  Those streams are separate from GCN Live.
[00:01:02.872 --> 00:01:06.175]  You'll need to move over to the InfoWars streams to hear some of the behind the scenes.
[00:01:06.596 --> 00:01:08.617]  Alan, you were on hold before we went to that break.
[00:01:09.238 --> 00:01:32.134]  Where I brought up how the public, when they watch television, it's admitted, they taught this in RTF, go into a dream state or a hypnotized state and that now studies show, and we've read these on air and you can go over them, I know you're an expert on this, that the public is more suggestible because of television and a lot of people are staying in this unconscious glazed over mode.
[00:01:32.715 --> 00:01:38.179]  What are we dealing with there and how did the scientific dictatorship implement this so cunningly?
[00:01:39.910 --> 00:01:57.809]  We've got to go back into the histories of the publications of some of the members of this world movement, like Huxley and others and Lord Veteran Russell, who talked about the whole notion of peace and how they defined peace.
[00:01:58.928 --> 00:02:12.412]  And that was to eliminate all conflict throughout the world, and that meant right down to male and female conflict, which meant that the separation of the family unit, the disintegration of the family unit even, was essential for world peace.
[00:02:13.092 --> 00:02:28.437]  But they also said that individualism had to be destroyed, and what that meant was they would have to target specific parts of the human brain, and those parts which gave you your self-preservation abilities, your perceptions,
[00:02:29.927 --> 00:02:33.089]  The same things that animals have, wild animals, that keeps them alive.
[00:02:33.949 --> 00:02:51.176]  And people like Arthur Kessler, who was a propagandist and a member of MI5, who wrote lots of novels and non-fiction books along this particular line, wrote one book called The Ghost in the Machine about the elimination of this part of the brain.
[00:02:51.936 --> 00:02:58.819]  And he mentioned how departments within the United Nations were working on methods to lobotomize this part of the brain
[00:02:59.582 --> 00:03:07.126]  And they tried different methods, including chemical lobotomization, viral attack through inoculation, and various other means.
[00:03:07.546 --> 00:03:09.587]  Now, they have done this, I am pretty certain.
[00:03:09.607 --> 00:03:22.374]  They've been pretty well successful with most people, and it was to be augmented again with the kind of technology that Brzezinski was talking about, technotronic era, in his book Between Two Ages.
[00:03:23.473 --> 00:03:39.360]  He talks about techniques used, scientific techniques, electronic devices, which would, and he meant from the basic units of television onwards up to literal ELF waves from towers affecting people's minds and eventually directing them.
[00:03:39.620 --> 00:03:44.362]  He said eventually people won't know where their thoughts come from or where their opinions will come from.
[00:03:45.109 --> 00:03:47.052]  They'll be unable to think for themselves.
[00:03:47.072 --> 00:03:49.515]  They'll expect the media to do their reasoning for them.
[00:04:00.049 --> 00:04:10.432]  Yeah, well that ties in with a report that came out of Sweden from the Finnish newspapers, Finland, where a scientist there had
[00:04:27.848 --> 00:04:28.348]  Thank you.
[00:04:45.763 --> 00:04:52.385]  And without moving anything on that tower, they could target any individual within three feet.
[00:04:52.825 --> 00:04:56.646]  And this is all mainstream news, but people listening are laughing right now.
[00:04:56.926 --> 00:04:57.926]  Folks, it's 2008.
[00:04:58.506 --> 00:04:59.646]  This is Buck Rogers.
[00:05:00.566 --> 00:05:01.007]  Oh, it's here.
