[00:00:00.669 --> 00:00:04.150]  You want answers?
[00:00:04.930 --> 00:00:05.831]  Well so does he.
[00:00:06.471 --> 00:00:10.072]  He's Alex Jones on the GCN Radio Network.
[00:00:10.672 --> 00:00:14.773]  And now, live from Austin, Texas, Alex Jones.
[00:00:33.812 --> 00:00:35.233]  Welcome, ladies and gentlemen.
[00:00:35.313 --> 00:00:35.753]  Welcome.
[00:00:35.873 --> 00:00:38.714]  It is Friday, the fourth day of April, 2008.
[00:00:38.854 --> 00:00:58.942]  We'll be transmitting worldwide against tyranny for the next three hours, simulcasting on the AM and FM dial, global shortwave satellite systems, and of course, the internet at InfoWars.com, InfoWars.net, PrisonPlanet.com, PrisonPlanet.tv,
[00:01:01.135 --> 00:01:04.216]  JonesReport.com, TruthNews.us.
[00:01:06.457 --> 00:01:08.157]  No guest today.
[00:01:09.498 --> 00:01:14.720]  I might have one pop in about Iran war news in the third hour, but we're working on that right now.
[00:01:15.360 --> 00:01:16.440]  No guests right now today.
[00:01:16.460 --> 00:01:26.944]  I just want to be able to open the phones up and take your calls on the economy, on the Jesse Ventura interview, on the build-up for war with Iran,
[00:01:28.823 --> 00:01:38.030]  There is just so much news and information that we have here today that we're going to be going over and I'd love to hear from you on all of these issues or whatever topics you bring up.
[00:01:38.090 --> 00:01:44.035]  I love spinning the wheel of fortune and reaching into the grab bag and hearing what the callers have to say next.
[00:01:44.075 --> 00:01:46.777]  Takes us in so many unexpected directions.
[00:01:46.797 --> 00:01:49.078]  That's the real wild card.
[00:01:49.098 --> 00:01:49.158]  1-800-259-9231.
[00:01:49.178 --> 00:01:49.238]  1-800-259-9231.
[00:01:57.864 --> 00:01:59.905]  I was on Coast to Coast AM last night.
[00:02:02.246 --> 00:02:17.152]  I get so accustomed to knowing what a piece of filth Ted Turner is that when it came out in the news in the last two days that Ted Turner was talking about world population reductions and one-child policies in the U.S.
[00:02:18.993 --> 00:02:20.053]  that I didn't even talk about it.
[00:02:22.655 --> 00:02:23.335]  And that's because
