[00:00:00.429 --> 00:00:04.052]  You want answers?
[00:00:04.813 --> 00:00:05.713]  Well so does he.
[00:00:06.354 --> 00:00:09.977]  He's Alex Jones on the GCN Radio Network.
[00:00:10.577 --> 00:00:14.680]  And now, live from Austin, Texas, Alex Jones.
[00:00:27.970 --> 00:00:28.693]  Yeah.
[00:00:32.984 --> 00:00:35.466]  Welcome ladies and gentlemen, welcome and thank you for joining us.
[00:00:35.506 --> 00:00:39.590]  We're live at PrisonPlanet.tv, streaming over the web at PrisonPlanet.tv.
[00:00:39.630 --> 00:00:48.557]  Members going out, of course, on the free streams at Infowars.com, audio-wise, and simulcast on Global Shortwave, and over 70 AM and FM affiliates, as well as satellite.
[00:00:49.058 --> 00:00:52.120]  And to answer a few questions, we're beta testing the studio right now.
[00:00:52.140 --> 00:00:54.743]  We're also building a TV studio here in the building.
[00:00:55.203 --> 00:00:59.267]  You know, it took us a couple months to find a building when I announced I was going to do this six months ago.
[00:00:59.847 --> 00:01:02.369]  Then a few months to get moved in, build the studios.
[00:01:02.709 --> 00:01:03.870]  We're almost done with that.
[00:01:04.430 --> 00:01:10.754]  Then we are going to start editing it down to, I believe, two different TV shows a week.
[00:01:10.954 --> 00:01:15.558]  One in here, radio style, with the highlights of the guests and information we cover here throughout the week.
[00:01:15.778 --> 00:01:19.140]  And then another one in there in the main TV studio.
[00:01:19.460 --> 00:01:26.305]  And that'll take us a few months to get that honed down and then start editing those and putting them together for air on Dish Network or DirecTV.
[00:01:26.545 --> 00:01:29.267]  We're talking to both groups about the best channel to air it on.
[00:01:30.008 --> 00:01:31.254]  And the least expensive price.
[00:01:31.274 --> 00:01:33.263]  Obviously, we're going to have to be paying for that.
[00:01:35.652 --> 00:02:04.204]  inexpensive compared to what some people might have thought so we're developing all of this and uh... that is what is unfolding right now this is our third uh... official transmission uh... out of the studios and three-and-a-half years ago and i moved into my old tiny uh... you know pocket studio office of about two thousand five hundred square feet with about ten people in it we're now on eight thousand square foot building the first guy who was our guest in studio was Tex Mars
[00:02:04.784 --> 00:02:23.190]  And then we just now noticed, we hadn't put two and two together, that our first guest in the new studio, so he's kind of like the bottle of champagne we bash on the front of the ship, we have Tex by a rope swinging him into the new studio, and so for the next hour and fifty minutes we are joined in studio to talk about a host of issues, my good buddy Tex Mars.
[00:02:23.230 --> 00:02:24.250]  Tex, good to see you here with us.
[00:02:24.370 --> 00:02:26.531]  Hey Alex, it's great to be with you in the studio too.
[00:02:27.872 --> 00:02:28.632]  You know, it's important,
[00:02:29.692 --> 00:02:38.361]  You're the only one out there with the means, the brains, and the people, the listeners, the audience.
[00:02:38.962 --> 00:02:41.825]  And I know that from all the emails I get every time I'm on with you.
[00:02:42.225 --> 00:02:43.206]  And let me tell you something.
[00:02:43.587 --> 00:02:45.068]  We're in big, big trouble.
[00:02:45.709 --> 00:02:47.411]  And, you know, I decided to come today.
[00:02:47.431 --> 00:02:49.032]  You were very kind to invite me.
[00:02:49.913 --> 00:02:54.077]  And I want to tell people out there, what they're going to hear today is going to be unvarnished.
[00:02:54.438 --> 00:02:55.439]  It's going to be truthful.
[00:02:55.919 --> 00:02:59.763]  And we're not going to cut any corners, and we're not going to say, well, we better not say this.
[00:02:59.803 --> 00:03:06.109]  We'll get somebody angry at us, or we'll get audited, or whatever is the case.
[00:03:06.370 --> 00:03:08.232]  I am ready to pull out all the stops now.
[00:03:09.239 --> 00:03:16.162]  And let me tell you, I'm known as a pretty nice guy, but I'm pretty angry, I'm frustrated, and I'm upset.
[00:03:16.842 --> 00:03:18.383]  And I want to save America.
[00:03:18.763 --> 00:03:20.464]  And I want to save our Constitution.
[00:03:20.884 --> 00:03:27.787]  And we've got to do something, and if I sound like an angry man, well I am, but I'm angry because I'm indignant.
[00:03:28.007 --> 00:03:46.321]  Well, seeing the destruction of your beloved republic, you know, you were an Air Force officer, patriot, and like everybody else, you love this country, and you've been telling people the systematic destruction, and now we see this group of scam artists run by people like MADF stealing tens of trillions of dollars, and they are saying, if we don't like it, they'll just sic the military on us.
[00:03:46.957 --> 00:03:48.879]  Well, they are going to sic the military on us.
[00:03:49.099 --> 00:03:50.000]  That is their plan.
[00:03:50.961 --> 00:03:52.342]  That's why they've got U.S.
[00:03:52.463 --> 00:03:54.965]  Army forces now stationed in America.
[00:03:55.406 --> 00:03:56.967]  They're not just ready.
[00:03:57.247 --> 00:04:02.152]  They're not using us as staging grounds and preparation like we've done for over 200 years.
[00:04:02.533 --> 00:04:04.995]  But they're ready to take on the American people now.
[00:04:05.356 --> 00:04:06.357]  And they believe
[00:04:07.017 --> 00:04:17.059]  They believe there's going to be a significant number of American citizens angry enough to take up arms, just like is happening now in Greece and in some other areas of the world.
[00:04:17.459 --> 00:04:22.721]  Now, I believe we have to be smart about what we do things and not fall into the ditch here.
[00:04:23.341 --> 00:04:25.721]  But the first thing to do is to educate people.
[00:04:26.142 --> 00:04:28.122]  They've got to know what is really going on.
[00:04:28.162 --> 00:04:28.962]  And Alex, listen.
[00:04:29.462 --> 00:04:31.863]  This is engineered chaos.
[00:04:32.995 --> 00:04:34.055]  Engineered chaos.
[00:04:34.415 --> 00:04:36.776]  This isn't something that just suddenly happened.
[00:04:37.456 --> 00:04:41.457]  It wasn't just a few banks, Citibank, Bear Stearns, Lehman Brothers.
[00:04:41.897 --> 00:04:43.897]  This is an engineered event.
[00:04:44.317 --> 00:04:47.778]  They are reinventing the world.
[00:04:47.818 --> 00:04:54.219]  They're regenerating a Leninist Marxist paradise and we're going to be the victims.
[00:04:54.499 --> 00:04:57.920]  This is what happened during the French Revolution with the Illuminati.
[00:04:58.340 --> 00:04:59.120]  It's what happened
[00:05:00.381 --> 00:05:02.783]  In Russia with the Sovietization.
[00:05:03.203 --> 00:05:06.105]  This is the Sovietization of America.
[00:05:06.466 --> 00:05:14.052]  If you read 1984 by Orwell, if you read Gulag Archipelago by Solzhenitsyn, this is it.
[00:05:14.152 --> 00:05:15.473]  We're in the midst of it.
[00:05:15.914 --> 00:05:20.437]  And I believe we're only about nine months from a total collapse of the economy.
[00:05:20.958 --> 00:05:26.863]  And listen, I did a program on my own shortwave frequency yesterday.
[00:05:27.483 --> 00:05:30.725]  And I entitled it, I Smell War.
[00:05:31.585 --> 00:05:39.449]  And there is a specter that looms now, Alex, of a savage 2009-2010.
[00:05:39.950 --> 00:05:42.391]  So we're facing a great war.
[00:05:42.451 --> 00:05:44.412]  We're facing bloodshed and death.
[00:05:44.952 --> 00:05:47.593]  And we're facing the end of American sovereignty.
[00:05:47.894 --> 00:05:50.235]  And all of these things are interrelated at once.
[00:05:52.475 --> 00:05:55.217]  Well, I want to be nuanced about this.
[00:05:55.277 --> 00:06:00.480]  People hear us talk about international communist conspiracies, Marxist-Leninist, Sovietization.
[00:06:00.540 --> 00:06:01.360]  They think of Russia.
[00:06:01.700 --> 00:06:08.324]  They don't understand that the big New York and London banks want to enslave the population and they call feudalism
[00:06:08.704 --> 00:06:24.627]  Communism saying it's a worker's paradise when it's really giant death camps and GRU arresting people and they don't understand that it was in the New York Times in the thirties when they thought the public wanted it that they were going to merge Russia and the United States and bring in this big socialist system run by the central banks.
[00:06:24.948 --> 00:06:36.190]  They socialize with medicine and your payment and your labor so they have full control over you so there's no private property in the general public's hands only in the hands
[00:06:36.690 --> 00:06:37.650]  of the super elite.
[00:06:37.690 --> 00:06:40.171]  So this isn't the classic communist conspiracy.
[00:06:40.671 --> 00:06:47.534]  That's why people like McCarthy were useful until he found out, oh, the army's running communism.
[00:06:48.014 --> 00:06:49.074]  Oh, the CFR.
[00:06:49.134 --> 00:06:50.435]  And then they shut him down.
[00:06:50.655 --> 00:06:57.417]  When it was just a communist conspiracy, they liked him because it was being used to destroy the First Amendment and go after Americans and go after the left.
[00:06:57.837 --> 00:07:00.558]  But as soon as he found out, wait a minute, banks are funding this?
[00:07:01.258 --> 00:07:02.879]  Which has now come out was totally true.
[00:07:02.899 --> 00:07:08.340]  I mean, it's now mainstream news that Mao was put in in 1949 by the CIA.
